"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2020","2,683.77","2,686.24","2,696.84","2,674.23","-","0.44%"
"Apr 30, 2020","2,672.12","2,684.32","2,693.62","2,651.49","778.80K","-0.33%"
"Apr 29, 2020","2,680.90","2,718.36","2,718.80","2,672.35","-","-1.15%"
"Apr 28, 2020","2,712.22","2,740.65","2,749.62","2,700.65","-","-0.86%"
"Apr 27, 2020","2,735.67","2,743.46","2,752.23","2,727.75","-","-0.05%"
"Apr 24, 2020","2,737.05","2,744.74","2,768.28","2,732.30","-","-0.06%"
"Apr 23, 2020","2,738.70","2,737.98","2,740.98","2,707.46","155.20K","0.82%"
"Apr 22, 2020","2,716.38","2,725.49","2,730.17","2,706.29","560.70K","0.06%"
"Apr 21, 2020","2,714.81","2,719.74","2,739.38","2,709.28","406.61K","-0.16%"
"Apr 20, 2020","2,719.18","2,703.21","2,722.07","2,681.99","200.33K","0.94%"
"Apr 17, 2020","2,693.76","2,692.03","2,709.14","2,683.27","219.94K","0.29%"
"Apr 16, 2020","2,685.87","2,677.37","2,702.79","2,663.59","68.50K","0.43%"
"Apr 15, 2020","2,674.38","2,674.28","2,686.24","2,668.20","97.49K","0.18%"
"Apr 14, 2020","2,669.67","2,679.36","2,690.17","2,660.23","97.33K","-0.28%"
"Apr 13, 2020","2,677.13","2,679.85","2,699.53","2,662.97","201.86K","-0.05%"
"Apr 08, 2020","2,678.34","2,694.36","2,699.40","2,663.12","181.46K","-0.42%"
"Apr 07, 2020","2,689.66","2,677.55","2,703.10","2,665.25","99.76K","0.69%"
"Apr 06, 2020","2,671.22","2,688.18","2,688.18","2,647.30","138.56K","-0.58%"
"Apr 03, 2020","2,686.71","2,729.51","2,753.72","2,676.38","128.11K","-1.56%"
"Apr 02, 2020","2,729.26","2,801.88","2,801.88","2,728.26","187.48K","-2.70%"
"Apr 01, 2020","2,805.02","2,805.71","2,817.41","2,778.61","297.58K","0.03%"
"Mar 31, 2020","2,804.18","2,793.56","2,815.79","2,773.83","232.31K","0.91%"
"Mar 30, 2020","2,778.77","2,774.64","2,792.84","2,748.75","564.56K","0.36%"
"Mar 27, 2020","2,768.94","2,781.56","2,826.50","2,768.94","1.46M","-0.36%"
"Mar 26, 2020","2,778.86","2,756.00","2,793.40","2,753.78","190.84K","1.21%"
"Mar 25, 2020","2,745.55","2,736.75","2,763.47","2,734.99","232.25K","0.65%"
"Mar 24, 2020","2,727.86","2,693.54","2,730.92","2,689.72","379.68K","2.04%"
"Mar 23, 2020","2,673.37","2,652.17","2,674.32","2,632.92","163.16K","1.20%"
"Mar 19, 2020","2,641.71","2,661.82","2,679.23","2,623.48","299.37K","-0.27%"
"Mar 18, 2020","2,648.81","2,587.19","2,649.78","2,566.96","412.21K","0.78%"
