"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","26.00","26.70","26.70","25.30","0.07K","0.00%"
"May 04, 2020","26.00","26.50","26.50","25.23","0.09K","0.00%"
"Apr 30, 2020","26.00","26.00","26.00","26.00","0.20K","-1.85%"
"Apr 29, 2020","26.49","25.70","26.50","25.60","0.22K","2.28%"
"Apr 28, 2020","25.90","25.90","25.90","24.46","0.19K","2.78%"
"Apr 27, 2020","25.20","25.20","25.20","25.20","0.10K","-1.56%"
"Apr 24, 2020","25.60","25.80","25.80","25.22","0.25K","-1.35%"
"Apr 23, 2020","25.95","26.61","26.61","25.22","0.30K","-0.15%"
"Apr 22, 2020","25.99","26.68","26.68","25.99","0.20K","-0.04%"
"Apr 21, 2020","26.00","26.64","26.64","26.00","0.76K","-2.80%"
"Apr 20, 2020","26.75","26.76","26.76","25.30","0.29K","2.88%"
"Apr 17, 2020","26.00","25.80","26.00","25.00","1.48K","1.96%"
"Apr 16, 2020","25.50","26.00","26.00","25.00","0.48K","-0.35%"
"Apr 15, 2020","25.59","25.59","25.59","25.59","0.01K","-0.04%"
"Apr 14, 2020","25.60","25.60","25.60","24.45","0.14K","1.59%"
"Apr 13, 2020","25.20","25.58","25.58","25.20","0.14K","0.80%"
"Apr 08, 2020","25.00","25.00","25.00","25.00","0.27K","0.00%"
"Apr 07, 2020","25.00","25.50","25.50","24.25","0.68K","0.00%"
"Apr 06, 2020","25.00","25.70","25.70","25.00","0.67K","0.00%"
"Apr 03, 2020","25.00","25.22","25.22","24.47","4.59K","-0.87%"
"Apr 02, 2020","25.22","25.98","25.99","25.22","0.59K","-2.96%"
"Apr 01, 2020","25.99","25.98","25.99","25.98","0.55K","0.04%"
"Mar 31, 2020","25.98","25.22","25.99","25.22","0.18K","-0.04%"
"Mar 30, 2020","25.99","26.00","26.00","25.99","0.11K","-0.04%"
"Mar 27, 2020","26.00","26.00","26.00","26.00","0.24K","0.00%"
"Mar 26, 2020","26.00","26.00","26.00","26.00","0.02K","0.00%"
"Mar 25, 2020","26.00","27.00","27.00","26.00","0.01K","-2.91%"
"Mar 24, 2020","26.78","26.78","26.78","26.78","0.02K","0.00%"
"Mar 23, 2020","26.78","26.78","26.78","26.78","0.01K","3.00%"
"Mar 19, 2020","26.00","26.78","26.78","25.22","0.07K","0.00%"
"Mar 18, 2020","26.00","25.88","26.65","25.11","0.11K","-2.55%"
"Mar 17, 2020","26.68","26.68","26.68","26.68","0.18K","-0.07%"
"Mar 13, 2020","26.70","26.15","26.70","26.00","1.02K","0.00%"
"Mar 12, 2020","26.70","27.00","27.00","26.19","0.43K","-1.11%"
"Mar 11, 2020","27.00","26.99","27.00","26.99","0.38K","0.37%"
"Mar 10, 2020","26.90","27.00","27.00","26.30","0.70K","-0.37%"
"Mar 09, 2020","27.00","27.10","27.10","27.00","0.31K","-0.37%"
"Mar 06, 2020","27.10","27.93","27.93","27.10","2.73K","-2.97%"
"Mar 05, 2020","27.93","28.79","28.79","27.93","0.19K","-0.32%"
"Mar 04, 2020","28.02","28.02","28.02","28.02","0.52K","-2.98%"
"Mar 03, 2020","28.88","28.88","28.88","28.88","0.02K","0.28%"
"Mar 02, 2020","28.80","28.78","28.80","28.78","0.11K","0.07%"
"Feb 28, 2020","28.78","28.70","28.78","28.70","0.14K","0.28%"
"Feb 27, 2020","28.70","28.75","28.79","28.40","0.93K","-0.35%"
"Feb 26, 2020","28.80","28.80","28.80","28.78","0.34K","0.00%"
"Feb 25, 2020","28.80","28.83","28.83","27.70","1.54K","0.70%"
"Feb 24, 2020","28.60","28.60","28.65","27.75","0.46K","2.22%"
"Feb 21, 2020","27.98","27.17","27.98","27.00","2.26K","-0.04%"
"Feb 20, 2020","27.99","28.60","28.60","27.16","1.34K","-0.04%"
"Feb 19, 2020","28.00","28.64","28.64","27.64","2.72K","0.00%"
"Feb 18, 2020","28.00","28.47","28.65","27.62","0.66K","1.27%"
"Feb 17, 2020","27.65","28.80","28.80","27.20","2.32K","-1.25%"
"Feb 14, 2020","28.00","28.00","28.00","28.00","0.81K","-1.75%"
"Feb 13, 2020","28.50","28.50","28.50","28.50","0.01K","0.00%"
"Feb 12, 2020","28.50","28.50","29.00","28.50","1.45K","0.00%"
"Feb 11, 2020","28.50","28.50","29.00","27.65","10.71K","0.00%"
"Feb 10, 2020","28.50","29.10","29.10","28.23","0.87K","-2.06%"
"Feb 07, 2020","29.10","29.90","29.90","29.10","2.88K","-2.68%"
"Feb 06, 2020","29.90","29.90","29.90","29.90","0.07K","0.00%"
"Feb 05, 2020","29.90","29.89","29.90","29.89","0.30K","0.00%"
"Feb 04, 2020","29.90","29.90","29.90","29.80","0.06K","0.00%"
"Feb 03, 2020","29.90","29.97","29.97","29.20","0.61K","-0.23%"
"Jan 31, 2020","29.97","29.97","29.97","29.97","0.72K","0.00%"
"Jan 30, 2020","29.97","29.97","29.97","29.97","0.10K","0.57%"
"Jan 29, 2020","29.80","29.97","29.97","29.62","1.22K","-0.57%"
"Jan 28, 2020","29.97","29.97","29.97","29.96","0.72K","-0.03%"
