"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","0.38","0.38","0.38","0.38","1.06K","-9.52%"
"Apr 27, 2020","0.42","0.42","0.42","0.42","0.00K","2.44%"
"Apr 24, 2020","0.41","0.41","0.41","0.41","0.10K","0.00%"
"Apr 23, 2020","0.41","0.41","0.41","0.41","0.00K","0.00%"
"Apr 21, 2020","0.41","0.41","0.41","0.41","0.01K","2.50%"
"Apr 20, 2020","0.40","0.40","0.40","0.40","0.01K","2.56%"
"Apr 16, 2020","0.39","0.39","0.39","0.39","0.01K","2.63%"
"Apr 15, 2020","0.38","0.38","0.38","0.38","0.01K","2.70%"
"Apr 14, 2020","0.37","0.37","0.37","0.37","0.10K","2.78%"
"Apr 13, 2020","0.36","0.35","0.36","0.35","3.09K","0.00%"
"Apr 08, 2020","0.36","0.36","0.36","0.36","0.50K","-2.70%"
"Apr 07, 2020","0.37","0.37","0.37","0.37","1.12K","-2.63%"
"Apr 06, 2020","0.38","0.38","0.38","0.38","0.75K","-2.56%"
"Apr 02, 2020","0.39","0.39","0.39","0.39","1.00K","0.00%"
"Apr 01, 2020","0.39","0.39","0.39","0.39","0.75K","-7.14%"
"Mar 25, 2020","0.42","0.42","0.42","0.42","1.00K","-19.23%"
"Mar 10, 2020","0.52","0.53","0.53","0.52","0.13K","1.96%"
"Mar 09, 2020","0.51","0.53","0.53","0.51","9.28K","2.00%"
"Mar 06, 2020","0.50","0.50","0.50","0.50","0.40K","2.04%"
"Mar 05, 2020","0.49","0.49","0.49","0.49","1.41K","4.26%"
"Mar 04, 2020","0.47","0.47","0.47","0.47","3.19K","4.44%"
"Mar 03, 2020","0.45","0.44","0.45","0.44","2.84K","7.14%"
"Feb 28, 2020","0.42","0.41","0.42","0.41","1.27K","5.00%"
"Feb 27, 2020","0.40","0.39","0.40","0.39","1.87K","5.26%"
"Feb 26, 2020","0.38","0.38","0.38","0.38","0.52K","2.70%"
"Feb 25, 2020","0.37","0.37","0.37","0.37","0.97K","2.78%"
