"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","89.96","90.00","90.00","89.96","0.02K","2.23%"
"Apr 29, 2020","88.00","88.00","88.00","88.00","0.01K","1.35%"
"Apr 28, 2020","86.83","86.83","86.83","86.83","0.03K","-2.98%"
"Apr 27, 2020","89.50","89.50","89.50","89.50","0.02K","-2.72%"
"Apr 24, 2020","92.00","92.00","92.00","92.00","0.01K","2.22%"
"Apr 23, 2020","90.00","90.00","90.00","90.00","0.11K","-1.64%"
"Apr 22, 2020","91.50","91.50","91.50","91.50","0.01K","0.33%"
"Apr 21, 2020","91.20","91.20","91.20","91.20","0.07K","2.47%"
"Apr 20, 2020","89.00","88.50","89.00","88.50","0.16K","-2.44%"
"Apr 17, 2020","91.23","91.23","91.23","91.23","0.32K","2.99%"
"Apr 16, 2020","88.58","88.58","88.58","88.58","0.46K","3.00%"
"Apr 15, 2020","86.00","86.00","86.00","86.00","0.06K","2.99%"
"Apr 14, 2020","83.50","83.50","83.50","83.50","0.14K","2.96%"
"Apr 13, 2020","81.10","81.00","81.10","81.00","0.02K","3.00%"
"Apr 08, 2020","78.74","78.74","78.74","78.74","0.02K","3.00%"
"Apr 07, 2020","76.45","76.45","76.45","76.45","0.17K","2.95%"
"Apr 06, 2020","74.26","74.26","74.26","74.26","0.02K","3.00%"
"Apr 03, 2020","72.10","72.11","72.11","72.10","0.19K","2.99%"
"Apr 02, 2020","70.01","70.00","70.01","70.00","0.18K","2.96%"
"Mar 26, 2020","68.00","68.00","68.00","68.00","0.05K","3.19%"
"Mar 23, 2020","65.90","65.90","65.90","65.90","0.00K","-2.99%"
"Mar 19, 2020","67.93","67.93","67.93","67.93","0.02K","2.99%"
"Mar 18, 2020","65.96","65.96","65.96","65.96","0.00K","-3.00%"
"Mar 17, 2020","68.00","70.00","70.00","68.00","0.15K","-2.86%"
"Mar 16, 2020","70.00","70.00","70.00","70.00","0.07K","-1.41%"
"Mar 12, 2020","71.00","71.00","71.00","71.00","0.03K","0.03%"
"Mar 11, 2020","70.98","70.98","70.98","70.98","0.03K","-0.03%"
"Mar 10, 2020","71.00","71.00","72.00","71.00","0.13K","-0.01%"
"Mar 09, 2020","71.01","71.01","71.01","71.01","0.04K","-2.74%"
"Mar 05, 2020","73.01","73.01","73.01","73.01","0.05K","0.03%"
"Mar 04, 2020","72.99","72.99","72.99","72.99","0.03K","2.80%"
"Mar 03, 2020","71.00","72.00","72.00","71.00","6.26K","-1.25%"
"Mar 02, 2020","71.90","73.00","73.00","71.90","0.08K","-0.14%"
"Feb 28, 2020","72.00","72.00","72.00","72.00","0.08K","0.00%"
"Feb 27, 2020","72.00","72.00","72.00","72.00","0.01K","1.41%"
"Feb 26, 2020","71.00","71.00","71.00","71.00","0.12K","0.00%"
"Feb 20, 2020","71.00","71.00","71.00","71.00","0.27K","0.00%"
"Feb 19, 2020","71.00","71.00","71.00","71.00","0.07K","0.14%"
"Feb 17, 2020","70.90","70.90","70.90","70.90","0.06K","-0.14%"
"Feb 14, 2020","71.00","71.00","71.00","71.00","0.08K","-2.07%"
"Feb 12, 2020","72.50","72.50","72.50","72.50","0.08K","0.00%"
"Feb 11, 2020","72.50","72.50","72.50","72.50","0.05K","0.55%"
"Feb 07, 2020","72.10","72.10","72.10","72.10","0.01K","-0.54%"
"Feb 06, 2020","72.49","72.20","72.49","72.20","0.03K","-0.01%"
"Feb 04, 2020","72.50","72.50","72.50","72.50","0.17K","0.00%"
"Feb 03, 2020","72.50","73.50","73.50","72.50","0.25K","-1.36%"
"Jan 31, 2020","73.50","73.50","73.50","73.50","0.03K","0.00%"
"Jan 30, 2020","73.50","73.50","73.50","73.50","0.10K","0.00%"
"Jan 29, 2020","73.50","73.50","73.50","73.50","0.04K","-0.14%"
"Jan 28, 2020","73.60","73.50","73.60","73.50","0.14K","0.14%"
"Jan 27, 2020","73.50","73.00","73.50","73.00","0.07K","0.68%"
"Jan 23, 2020","73.00","73.00","73.00","73.00","0.06K","0.00%"
"Jan 22, 2020","73.00","73.00","73.00","73.00","0.05K","-2.54%"
"Jan 21, 2020","74.90","74.90","74.90","74.90","0.12K","2.60%"
"Jan 20, 2020","73.00","73.00","73.00","73.00","0.30K","0.01%"
"Jan 17, 2020","72.99","72.99","72.99","72.99","0.00K","4.27%"
"Jan 13, 2020","70.00","70.00","70.00","70.00","0.03K","0.00%"
"Jan 10, 2020","70.00","70.00","70.00","70.00","0.02K","0.00%"
"Jan 08, 2020","70.00","70.00","70.00","70.00","0.40K","-0.01%"
"Jan 06, 2020","70.01","70.01","70.01","70.01","0.01K","0.00%"
"Jan 03, 2020","70.01","70.01","70.01","70.01","0.04K","0.01%"
"Dec 31, 2019","70.00","70.00","70.00","70.00","0.03K","0.00%"
"Dec 30, 2019","70.00","70.00","70.00","70.00","0.07K","0.00%"
"Dec 27, 2019","70.00","70.00","70.00","70.00","0.01K","0.00%"
"Dec 26, 2019","70.00","70.00","70.00","70.00","0.03K","0.00%"
"Dec 25, 2019","70.00","70.00","70.00","70.00","0.08K","0.00%"
"Dec 24, 2019","70.00","71.00","71.00","70.00","0.14K","-1.41%"
"Dec 23, 2019","71.00","71.00","71.00","71.00","0.06K","0.00%"
"Dec 20, 2019","71.00","71.00","71.00","71.00","0.01K","0.00%"
