"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 11, 2020","41.00","41.00","41.00","41.00","0.00K","-0.32%"
"Feb 07, 2020","41.13","41.13","41.13","41.13","0.00K","-3.00%"
"Feb 06, 2020","42.40","42.40","42.40","42.40","0.01K","-5.65%"
"Jan 31, 2020","44.94","44.94","44.94","44.94","0.00K","-7.34%"
"Jan 21, 2020","48.50","48.50","48.50","48.50","0.00K","-2.98%"
"Dec 31, 2019","49.99","48.54","49.99","48.54","0.02K","-0.10%"
"Dec 30, 2019","50.04","50.04","50.04","50.04","0.03K","4.49%"
"Dec 27, 2019","47.89","47.89","47.89","47.89","2.79K","2.99%"
"Dec 19, 2019","46.50","45.50","46.50","45.50","0.39K","-0.64%"
"Dec 18, 2019","46.80","45.50","46.80","45.50","0.19K","3.77%"
"Dec 16, 2019","45.10","43.79","45.10","43.79","0.21K","6.07%"
"Dec 13, 2019","42.52","42.52","42.52","42.52","0.82K","2.98%"
"Dec 12, 2019","41.29","40.09","41.29","40.09","2.02K","6.06%"
"Dec 11, 2019","38.93","37.80","38.93","37.80","5.62K","0.36%"
"Dec 10, 2019","38.79","38.79","38.79","38.79","0.00K","-2.98%"
"Dec 06, 2019","39.98","39.98","39.98","39.98","0.10K","0.00%"
"Dec 05, 2019","39.98","39.98","39.98","39.98","0.07K","-0.05%"
"Dec 04, 2019","40.00","40.00","40.00","40.00","0.80K","0.05%"
"Dec 03, 2019","39.98","39.98","39.98","39.98","0.01K","-0.05%"
"Nov 21, 2019","40.00","39.00","40.00","39.00","0.79K","2.83%"
"Nov 20, 2019","38.90","39.00","39.00","38.90","2.17K","-0.26%"
"Nov 19, 2019","39.00","39.00","39.00","39.00","1.00K","-2.01%"
"Nov 18, 2019","39.80","39.80","39.80","39.80","0.05K","-3.86%"
"Nov 15, 2019","41.40","41.40","41.40","41.40","0.09K","-3.00%"
"Nov 13, 2019","42.68","42.68","42.68","42.68","0.01K","0.00%"
"Nov 12, 2019","42.68","42.68","42.68","42.68","2.00K","-2.98%"
"Nov 11, 2019","43.99","42.91","43.99","42.91","0.63K","2.54%"
"Nov 08, 2019","42.90","42.91","42.91","42.90","0.23K","0.00%"
"Nov 07, 2019","42.90","41.71","42.90","41.71","0.21K","5.93%"
"Nov 06, 2019","40.50","40.50","40.50","40.50","0.15K","1.25%"
"Nov 05, 2019","40.00","39.00","40.00","39.00","0.22K","2.56%"
"Nov 04, 2019","39.00","39.00","39.00","39.00","0.10K","-0.03%"
"Nov 01, 2019","39.01","38.11","39.01","38.11","0.33K","3.20%"
"Oct 31, 2019","37.80","37.00","37.81","37.00","0.52K","4.83%"
"Oct 30, 2019","36.06","36.05","36.06","36.05","0.91K","0.03%"
"Oct 29, 2019","36.05","36.05","36.05","36.05","0.10K","3.00%"
"Oct 28, 2019","35.00","35.00","35.00","35.00","0.02K","-1.19%"
"Oct 24, 2019","35.42","35.42","35.42","35.42","0.01K","0.00%"
"Oct 23, 2019","35.42","35.42","35.42","35.42","0.03K","3.48%"
"Oct 22, 2019","34.23","34.23","34.23","34.23","0.02K","3.10%"
"Oct 17, 2019","33.20","33.20","33.20","33.20","0.10K","0.00%"
"Oct 01, 2019","33.20","33.20","33.20","33.20","0.02K","0.00%"
"Sep 24, 2019","33.20","33.20","33.20","33.20","0.01K","0.00%"
"Sep 23, 2019","33.20","33.20","33.20","33.20","0.05K","0.00%"
"Sep 20, 2019","33.20","33.20","33.20","33.20","0.05K","0.00%"
"Sep 19, 2019","33.20","33.20","33.20","33.20","0.03K","0.00%"
"Sep 18, 2019","33.20","33.20","33.20","33.20","0.02K","-0.15%"
"Sep 10, 2019","33.25","33.25","33.25","33.25","0.07K","-2.92%"
