"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 29, 2020","0.45","0.45","0.45","0.45","0.30K","4.65%"
"Apr 28, 2020","0.43","0.43","0.43","0.43","0.02K","-2.27%"
"Apr 27, 2020","0.44","0.44","0.44","0.44","1.03K","-2.22%"
"Apr 24, 2020","0.45","0.45","0.45","0.45","0.68K","-2.17%"
"Apr 23, 2020","0.46","0.46","0.46","0.45","5.60K","0.00%"
"Apr 22, 2020","0.46","0.46","0.46","0.46","3.11K","-2.13%"
"Apr 21, 2020","0.47","0.48","0.48","0.47","6.05K","0.00%"
"Apr 14, 2020","0.47","0.47","0.47","0.47","0.07K","-2.08%"
"Apr 13, 2020","0.48","0.48","0.48","0.48","0.39K","0.00%"
"Apr 07, 2020","0.48","0.48","0.48","0.48","0.56K","-2.04%"
"Apr 06, 2020","0.49","0.49","0.49","0.49","0.05K","0.00%"
"Apr 03, 2020","0.49","0.49","0.49","0.49","0.00K","2.08%"
"Apr 02, 2020","0.48","0.50","0.50","0.48","3.47K","-2.04%"
"Apr 01, 2020","0.49","0.49","0.49","0.49","0.34K","2.08%"
"Mar 30, 2020","0.48","0.50","0.50","0.48","0.89K","-2.04%"
"Mar 27, 2020","0.49","0.50","0.50","0.49","0.51K","-2.00%"
"Mar 26, 2020","0.50","0.50","0.50","0.50","0.01K","-1.96%"
"Mar 25, 2020","0.51","0.51","0.51","0.51","1.17K","-3.77%"
"Mar 19, 2020","0.53","0.53","0.53","0.53","0.71K","-1.85%"
"Mar 18, 2020","0.54","0.54","0.54","0.54","0.10K","-1.82%"
"Mar 17, 2020","0.55","0.55","0.55","0.55","0.51K","-1.79%"
"Mar 16, 2020","0.56","0.57","0.57","0.56","1.05K","-3.45%"
"Mar 13, 2020","0.58","0.58","0.58","0.58","0.12K","0.00%"
"Mar 12, 2020","0.58","0.58","0.58","0.58","0.96K","-4.92%"
"Mar 11, 2020","0.61","0.61","0.61","0.61","0.05K","-1.61%"
"Mar 06, 2020","0.62","0.62","0.62","0.62","0.26K","-1.59%"
"Mar 05, 2020","0.63","0.63","0.63","0.63","0.00K","1.61%"
"Mar 04, 2020","0.62","0.62","0.62","0.62","0.02K","-1.59%"
"Mar 02, 2020","0.63","0.63","0.63","0.63","1.18K","1.61%"
"Feb 27, 2020","0.62","0.62","0.62","0.62","1.84K","-1.59%"
"Feb 25, 2020","0.63","0.63","0.63","0.63","0.02K","1.61%"
"Feb 21, 2020","0.62","0.62","0.62","0.62","0.50K","0.00%"
"Feb 20, 2020","0.62","0.63","0.63","0.62","1.10K","0.00%"
"Feb 19, 2020","0.62","0.63","0.63","0.62","0.10K","0.00%"
"Feb 18, 2020","0.62","0.60","0.62","0.60","2.27K","5.08%"
"Feb 17, 2020","0.59","0.59","0.59","0.59","0.26K","-3.28%"
"Feb 14, 2020","0.61","0.61","0.62","0.61","0.52K","0.00%"
"Feb 13, 2020","0.61","0.63","0.63","0.61","0.62K","-1.61%"
"Feb 12, 2020","0.62","0.62","0.62","0.60","0.90K","1.64%"
"Feb 11, 2020","0.61","0.61","0.62","0.61","0.25K","0.00%"
