"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","4.58","4.58","4.58","4.58","0.21K","0.44%"
"May 04, 2020","4.56","4.56","4.56","4.56","0.50K","-2.98%"
"Apr 30, 2020","4.70","4.56","4.70","4.56","0.37K","0.00%"
"Apr 29, 2020","4.70","4.70","4.70","4.70","0.01K","2.17%"
"Apr 28, 2020","4.60","4.60","4.60","4.60","0.50K","-1.29%"
"Apr 27, 2020","4.66","4.66","4.66","4.57","0.40K","-0.85%"
"Apr 24, 2020","4.70","4.70","4.70","4.70","0.01K","2.17%"
"Apr 23, 2020","4.60","4.73","4.73","4.59","0.95K","-2.75%"
"Apr 22, 2020","4.73","4.75","4.75","4.73","0.20K","-1.25%"
"Apr 21, 2020","4.79","4.73","4.79","4.73","1.83K","-1.64%"
"Apr 17, 2020","4.87","4.87","4.87","4.87","0.10K","0.21%"
"Apr 16, 2020","4.86","4.80","4.86","4.80","2.03K","2.97%"
"Apr 15, 2020","4.72","4.86","4.86","4.72","0.01K","-2.88%"
"Apr 14, 2020","4.86","4.80","4.86","4.74","2.60K","-0.21%"
"Apr 13, 2020","4.87","4.87","4.87","4.87","0.22K","2.31%"
"Apr 08, 2020","4.76","4.76","4.80","4.76","1.27K","1.28%"
"Apr 07, 2020","4.70","4.65","4.70","4.60","0.73K","-0.84%"
"Apr 03, 2020","4.74","4.74","4.74","4.74","0.12K","-1.25%"
"Apr 02, 2020","4.80","4.83","4.83","4.80","0.81K","-2.04%"
"Mar 31, 2020","4.90","4.80","4.90","4.80","0.07K","0.41%"
"Mar 30, 2020","4.88","4.90","4.90","4.74","0.68K","0.00%"
"Mar 27, 2020","4.88","4.78","4.88","4.78","1.20K","-0.41%"
"Mar 26, 2020","4.90","4.90","4.90","4.90","0.05K","0.41%"
"Mar 25, 2020","4.88","4.88","4.88","4.88","0.10K","0.00%"
"Mar 24, 2020","4.88","4.84","4.89","4.70","1.82K","2.74%"
"Mar 23, 2020","4.75","4.60","4.75","4.60","0.10K","1.06%"
"Mar 19, 2020","4.70","4.60","4.73","4.60","0.59K","2.17%"
"Mar 18, 2020","4.60","4.35","4.60","4.35","3.34K","2.68%"
"Mar 17, 2020","4.48","4.48","4.60","4.48","4.93K","-2.82%"
"Mar 16, 2020","4.61","4.84","4.84","4.61","5.00K","-2.95%"
"Mar 13, 2020","4.75","4.83","4.84","4.75","4.15K","-4.04%"
"Mar 12, 2020","4.95","4.95","4.95","4.95","0.96K","0.00%"
"Mar 11, 2020","4.95","4.95","4.95","4.95","0.10K","0.41%"
"Mar 10, 2020","4.93","4.90","4.93","4.80","3.42K","0.61%"
"Mar 09, 2020","4.90","5.02","5.02","4.90","13.71K","-4.48%"
"Mar 06, 2020","5.13","5.13","5.13","5.02","0.65K","2.60%"
"Mar 05, 2020","5.00","5.00","5.00","5.00","0.30K","0.00%"
"Mar 04, 2020","5.00","5.00","5.00","4.96","11.87K","0.00%"
"Mar 03, 2020","5.00","5.00","5.13","5.00","8.88K","0.00%"
"Mar 02, 2020","5.00","5.00","5.10","5.00","10.63K","-2.34%"
"Feb 28, 2020","5.12","5.11","5.15","5.07","1.69K","0.20%"
"Feb 27, 2020","5.11","5.11","5.11","5.07","1.03K","0.79%"
"Feb 26, 2020","5.07","5.00","5.11","5.00","1.41K","-0.59%"
"Feb 25, 2020","5.10","5.12","5.12","4.97","2.49K","2.00%"
