"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","5.74","5.80","5.90","5.64","0.76K","-1.20%"
"May 04, 2020","5.81","5.81","5.81","5.60","0.02K","2.83%"
"Apr 30, 2020","5.65","5.65","5.65","5.65","3.12K","-2.92%"
"Apr 29, 2020","5.82","5.84","5.84","5.55","0.11K","1.75%"
"Apr 28, 2020","5.72","5.72","5.72","5.72","3.31K","-2.89%"
"Apr 27, 2020","5.89","5.99","5.99","5.77","0.06K","1.20%"
"Apr 24, 2020","5.82","6.18","6.18","5.82","0.28K","-3.00%"
"Apr 23, 2020","6.00","5.82","6.00","5.82","0.05K","0.00%"
"Apr 22, 2020","6.00","6.23","6.23","5.87","0.21K","-0.83%"
"Apr 21, 2020","6.05","6.09","6.09","6.05","0.02K","2.20%"
"Apr 20, 2020","5.92","6.09","6.09","5.92","0.05K","0.00%"
"Apr 17, 2020","5.92","5.92","5.92","5.80","0.51K","-0.17%"
"Apr 16, 2020","5.93","6.01","6.01","5.76","1.43K","0.00%"
"Apr 15, 2020","5.93","5.93","5.93","5.93","1.00K","-2.95%"
"Apr 14, 2020","6.11","6.30","6.30","6.11","0.02K","-0.16%"
"Apr 13, 2020","6.12","6.12","6.12","6.12","0.00K","2.86%"
"Apr 08, 2020","5.95","6.00","6.00","5.95","2.17K","-1.65%"
"Apr 07, 2020","6.05","5.71","6.05","5.71","0.66K","2.89%"
"Apr 06, 2020","5.88","6.05","6.05","5.88","0.20K","0.00%"
"Apr 03, 2020","5.88","5.88","6.05","5.71","0.71K","0.00%"
"Apr 02, 2020","5.88","6.23","6.23","5.88","0.17K","-2.97%"
"Apr 01, 2020","6.06","5.90","6.07","5.81","0.26K","2.71%"
"Mar 31, 2020","5.90","5.90","5.90","5.90","0.00K","1.72%"
"Mar 30, 2020","5.80","5.80","5.80","5.80","0.00K","2.84%"
"Mar 27, 2020","5.64","5.74","5.80","5.64","0.29K","0.00%"
"Mar 26, 2020","5.64","5.60","5.64","5.40","3.33K","2.92%"
"Mar 25, 2020","5.48","5.80","5.80","5.48","4.61K","-2.84%"
"Mar 24, 2020","5.64","5.60","5.64","5.48","0.20K","2.92%"
"Mar 23, 2020","5.48","5.18","5.48","5.18","0.18K","2.81%"
"Mar 19, 2020","5.33","5.35","5.65","5.33","7.44K","-2.91%"
"Mar 18, 2020","5.49","5.49","5.65","5.49","8.49K","-2.83%"
"Mar 17, 2020","5.65","5.65","5.65","5.65","2.21K","-4.40%"
"Mar 16, 2020","5.91","6.09","6.09","5.91","13.84K","-4.68%"
"Mar 13, 2020","6.20","6.30","6.30","6.12","12.13K","-4.47%"
"Mar 12, 2020","6.49","6.70","6.70","6.49","3.50K","-2.99%"
"Mar 11, 2020","6.69","6.52","6.70","6.35","14.46K","2.61%"
"Mar 10, 2020","6.52","6.30","6.54","6.30","5.29K","-0.76%"
"Mar 09, 2020","6.57","6.67","6.75","6.55","6.00K","-2.67%"
"Mar 06, 2020","6.75","6.79","6.81","6.75","5.31K","-2.74%"
"Mar 05, 2020","6.94","6.95","6.95","6.79","10.43K","-0.14%"
"Mar 04, 2020","6.95","6.95","6.95","6.81","1.22K","0.00%"
"Mar 03, 2020","6.95","6.99","6.99","6.80","3.94K","0.00%"
"Mar 02, 2020","6.95","6.99","6.99","6.79","3.11K","-0.71%"
"Feb 28, 2020","7.00","7.00","7.00","6.90","2.12K","0.14%"
"Feb 27, 2020","6.99","7.00","7.00","6.85","1.70K","-0.14%"
"Feb 26, 2020","7.00","7.00","7.00","6.91","1.04K","0.72%"
"Feb 25, 2020","6.95","7.00","7.00","6.95","0.06K","0.00%"
"Feb 24, 2020","6.95","7.00","7.05","6.93","2.40K","-1.42%"
"Feb 21, 2020","7.05","7.00","7.05","6.98","2.84K","0.71%"
"Feb 20, 2020","7.00","7.05","7.05","7.00","3.10K","0.00%"
"Feb 19, 2020","7.00","6.93","7.00","6.93","3.69K","0.29%"
"Feb 18, 2020","6.98","7.00","7.00","6.91","0.69K","0.00%"
"Feb 17, 2020","6.98","7.00","7.00","6.91","3.39K","-0.29%"
"Feb 14, 2020","7.00","7.08","7.08","7.00","6.05K","-0.71%"
"Feb 13, 2020","7.05","7.08","7.08","7.00","5.41K","0.57%"
"Feb 12, 2020","7.01","7.08","7.08","7.00","5.41K","-0.99%"
"Feb 11, 2020","7.08","7.07","7.08","7.00","13.74K","0.14%"
"Feb 10, 2020","7.07","7.00","7.07","7.00","5.85K","0.00%"
"Feb 07, 2020","7.07","7.08","7.08","7.01","3.32K","-0.14%"
"Feb 06, 2020","7.08","7.01","7.08","7.01","3.68K","-0.14%"
"Feb 05, 2020","7.09","7.01","7.10","7.01","1.37K","-0.14%"
"Feb 04, 2020","7.10","7.14","7.14","7.01","1.60K","-0.70%"
"Feb 03, 2020","7.15","7.15","7.15","7.07","1.27K","0.14%"
"Jan 31, 2020","7.14","7.14","7.16","7.10","2.41K","0.00%"
"Jan 30, 2020","7.14","7.10","7.14","7.06","19.47K","0.56%"
