"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","47.89","47.89","47.89","47.89","0.01K","2.99%"
"May 04, 2020","46.50","46.50","46.50","46.50","0.01K","1.20%"
"Apr 30, 2020","45.95","45.95","45.95","45.95","0.01K","2.98%"
"Apr 01, 2020","44.62","44.62","44.62","44.62","0.00K","-3.00%"
"Mar 10, 2020","46.00","46.00","46.00","46.00","0.12K","0.00%"
"Mar 09, 2020","46.00","46.00","46.00","46.00","0.18K","0.00%"
"Mar 03, 2020","46.00","46.00","46.00","46.00","0.00K","0.00%"
"Feb 26, 2020","46.00","46.00","46.00","46.00","0.01K","2.22%"
"Feb 21, 2020","45.00","45.00","45.00","45.00","0.40K","0.00%"
"Feb 14, 2020","45.00","45.00","45.00","45.00","0.00K","2.04%"
"Jan 24, 2020","44.10","44.10","44.10","44.10","0.01K","0.00%"
"Jan 17, 2020","44.10","44.10","44.10","44.10","0.02K","0.00%"
"Jan 16, 2020","44.10","44.10","44.10","44.10","0.02K","0.00%"
"Jan 15, 2020","44.10","44.10","44.10","44.10","0.03K","0.00%"
"Jan 13, 2020","44.10","44.10","44.10","44.10","0.01K","0.20%"
"Dec 31, 2019","44.01","44.01","44.01","44.01","1.10K","1.03%"
"Dec 25, 2019","43.56","43.56","43.56","43.56","0.67K","0.00%"
"Oct 25, 2019","43.56","43.56","43.56","43.56","0.03K","2.98%"
"Oct 08, 2019","42.30","42.30","42.30","42.30","0.00K","-2.98%"
"Oct 04, 2019","43.60","43.60","43.60","43.60","0.00K","0.53%"
"Sep 26, 2019","43.37","43.37","43.37","43.37","0.00K","2.99%"
"Sep 04, 2019","42.11","42.11","42.11","42.11","0.23K","1.40%"
"Aug 29, 2019","41.53","41.53","41.53","41.53","0.02K","-17.14%"
"Aug 09, 2019","50.12","50.12","50.12","50.12","0.01K","0.00%"
"Jul 23, 2019","50.12","50.12","50.12","50.12","0.00K","-5.88%"
"Jul 10, 2019","53.25","53.25","53.25","53.25","0.00K","-15.46%"
"Jul 01, 2019","62.99","62.99","62.99","62.99","0.05K","0.00%"
"Jun 28, 2019","62.99","62.99","62.99","62.99","0.19K","69.33%"
"Jun 12, 2019","37.20","37.20","37.20","37.20","0.05K","0.00%"
"May 10, 2019","37.20","37.20","37.20","37.20","1.50K","-4.62%"
"Apr 26, 2019","39.00","39.00","39.00","39.00","0.21K","2.34%"
"Apr 22, 2019","38.11","38.11","38.11","38.11","0.03K","0.00%"
"Mar 11, 2019","38.11","38.11","38.11","38.11","0.00K","-0.03%"
"Mar 08, 2019","38.12","38.12","38.12","38.12","0.50K","0.03%"
"Mar 06, 2019","38.11","38.11","38.11","38.11","0.33K","0.03%"
"Mar 01, 2019","38.10","38.10","38.10","38.10","0.01K","-2.53%"
"Feb 28, 2019","39.09","41.51","41.51","39.09","0.10K","-2.40%"
"Feb 26, 2019","40.05","39.10","40.05","39.10","0.04K","5.26%"
"Feb 21, 2019","38.05","38.05","38.05","38.05","0.07K","-6.10%"
"Feb 19, 2019","40.52","40.52","40.52","40.52","0.02K","0.75%"
"Feb 13, 2019","40.22","40.22","40.22","40.22","0.01K","0.05%"
"Feb 11, 2019","40.20","40.20","40.20","40.20","0.01K","-4.22%"
"Feb 08, 2019","41.97","41.97","41.97","41.97","0.00K","4.48%"
"Feb 07, 2019","40.17","40.17","40.17","40.17","0.02K","3.00%"
"Jan 21, 2019","39.00","39.00","39.00","39.00","0.00K","0.00%"
"Jan 18, 2019","39.00","39.00","39.00","39.00","0.02K","0.00%"
"Jan 17, 2019","39.00","39.00","39.00","39.00","0.02K","0.00%"
"Jan 10, 2019","39.00","39.00","39.00","39.00","0.06K","2.63%"
"Jan 09, 2019","38.00","38.00","38.00","38.00","0.06K","0.00%"
"Jan 03, 2019","38.00","38.00","38.00","38.00","0.02K","0.00%"
"Jan 02, 2019","38.00","38.12","38.12","38.00","0.04K","2.67%"
"Dec 28, 2018","37.01","37.00","37.01","37.00","0.70K","0.00%"
"Dec 27, 2018","37.01","37.01","37.01","37.01","1.00K","0.03%"
"Dec 14, 2018","37.00","37.00","37.00","37.00","0.02K","-1.80%"
