"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","3.69","3.70","3.71","3.69","0.10K","-1.34%"
"May 04, 2020","3.74","3.80","3.80","3.70","18.27K","-1.32%"
"Apr 30, 2020","3.79","3.79","3.79","3.79","0.30K","-0.26%"
"Apr 29, 2020","3.80","3.81","3.81","3.80","0.33K","-1.30%"
"Apr 24, 2020","3.85","3.74","3.85","3.74","0.28K","0.00%"
"Apr 23, 2020","3.85","3.85","3.85","3.85","0.00K","1.32%"
"Apr 22, 2020","3.80","3.89","3.89","3.80","0.00K","-1.30%"
"Apr 21, 2020","3.85","3.85","3.85","3.85","0.01K","0.26%"
"Apr 20, 2020","3.84","3.75","3.85","3.75","0.32K","2.40%"
"Apr 17, 2020","3.75","3.75","3.75","3.75","0.00K","0.00%"
"Apr 14, 2020","3.75","3.75","3.75","3.75","0.03K","0.00%"
"Apr 13, 2020","3.75","3.75","3.75","3.60","1.30K","1.90%"
"Apr 08, 2020","3.68","3.55","3.68","3.55","0.79K","0.82%"
"Apr 07, 2020","3.65","3.50","3.67","3.47","4.25K","2.24%"
"Apr 06, 2020","3.57","3.57","3.57","3.57","0.00K","0.00%"
"Apr 03, 2020","3.57","3.47","3.57","3.47","0.10K","2.59%"
"Apr 02, 2020","3.48","3.50","3.65","3.47","0.56K","-2.52%"
"Apr 01, 2020","3.57","3.49","3.58","3.49","0.43K","2.59%"
"Mar 31, 2020","3.48","3.48","3.48","3.47","0.21K","2.96%"
"Mar 30, 2020","3.38","3.29","3.38","3.29","1.19K","2.74%"
"Mar 19, 2020","3.29","3.49","3.49","3.29","0.59K","-2.95%"
"Mar 18, 2020","3.39","3.29","3.39","3.29","7.17K","0.00%"
"Mar 17, 2020","3.39","3.49","3.49","3.39","0.45K","-7.88%"
"Mar 13, 2020","3.68","3.68","3.68","3.50","3.19K","-2.65%"
"Mar 12, 2020","3.78","3.80","3.80","3.78","1.10K","-2.83%"
"Mar 11, 2020","3.89","3.85","3.89","3.85","2.41K","-0.26%"
"Mar 10, 2020","3.90","3.65","3.93","3.65","0.09K","2.09%"
"Mar 06, 2020","3.82","3.84","3.84","3.82","2.96K","-1.55%"
"Mar 05, 2020","3.88","3.88","3.88","3.88","2.43K","-1.77%"
"Mar 03, 2020","3.95","3.87","3.95","3.87","3.23K","-0.75%"
"Feb 28, 2020","3.98","3.98","3.98","3.86","0.15K","2.84%"
"Feb 27, 2020","3.87","3.87","3.87","3.87","0.89K","1.31%"
"Feb 26, 2020","3.82","3.82","3.82","3.82","0.21K","-1.29%"
"Feb 25, 2020","3.87","3.88","3.88","3.84","14.06K","-0.51%"
"Feb 24, 2020","3.89","3.95","3.95","3.88","9.50K","-1.52%"
"Feb 21, 2020","3.95","3.96","3.96","3.95","4.80K","0.00%"
"Feb 20, 2020","3.95","3.88","3.95","3.88","9.38K","1.54%"
"Feb 19, 2020","3.89","3.89","3.89","3.89","0.13K","-2.51%"
"Feb 18, 2020","3.99","3.86","3.99","3.86","0.34K","0.76%"
"Feb 17, 2020","3.96","3.84","3.96","3.84","3.84K","-0.50%"
"Feb 14, 2020","3.98","3.98","3.99","3.87","13.85K","0.00%"
"Feb 13, 2020","3.98","3.95","3.99","3.85","0.35K","0.76%"
"Feb 12, 2020","3.95","3.93","3.95","3.90","2.34K","0.51%"
"Feb 11, 2020","3.93","3.92","3.93","3.88","0.47K","-1.75%"
"Feb 10, 2020","4.00","3.93","4.00","3.90","7.86K","0.00%"
"Feb 07, 2020","4.00","3.93","4.00","3.93","0.81K","0.25%"
"Feb 05, 2020","3.99","3.93","3.99","3.93","2.62K","0.00%"
"Feb 04, 2020","3.99","4.00","4.00","3.91","21.11K","-0.25%"
"Feb 03, 2020","4.00","3.97","4.00","3.95","294.11K","0.00%"
"Jan 31, 2020","4.00","3.97","4.00","3.97","0.26K","0.00%"
"Jan 30, 2020","4.00","4.02","4.02","4.00","78.96K","0.00%"
"Jan 29, 2020","4.00","4.12","4.12","4.00","40.78K","-2.20%"
"Jan 28, 2020","4.09","4.12","4.12","4.00","41.72K","1.24%"
"Jan 27, 2020","4.04","4.00","4.10","4.00","45.35K","1.00%"
"Jan 24, 2020","4.00","3.95","4.06","3.95","53.80K","1.01%"
"Jan 23, 2020","3.96","4.10","4.18","3.96","116.11K","-2.46%"
"Jan 22, 2020","4.06","4.00","4.11","4.00","91.60K","1.50%"
