"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","1.580","1.540","1.580","1.540","0.14K","2.60%"
"May 04, 2020","1.540","1.540","1.540","1.540","0.00K","-0.65%"
"Apr 30, 2020","1.550","1.540","1.550","1.540","0.07K","0.00%"
"Apr 28, 2020","1.550","1.550","1.550","1.550","0.00K","-2.52%"
"Apr 27, 2020","1.590","1.590","1.590","1.590","0.03K","1.27%"
"Apr 23, 2020","1.570","1.590","1.590","1.570","0.13K","-1.87%"
"Apr 21, 2020","1.600","1.590","1.600","1.590","0.54K","0.63%"
"Apr 20, 2020","1.590","1.590","1.590","1.590","0.15K","0.00%"
"Apr 15, 2020","1.590","1.590","1.590","1.590","4.39K","-0.62%"
"Apr 03, 2020","1.600","1.600","1.600","1.600","12.17K","-0.62%"
"Apr 02, 2020","1.610","1.610","1.610","1.610","12.00K","-2.42%"
"Apr 01, 2020","1.650","1.650","1.650","1.650","0.01K","1.85%"
"Mar 31, 2020","1.620","1.620","1.620","1.620","0.01K","1.89%"
"Mar 30, 2020","1.590","1.540","1.590","1.540","1.34K","1.92%"
"Mar 27, 2020","1.560","1.560","1.560","1.560","0.02K","0.00%"
"Mar 26, 2020","1.560","1.560","1.560","1.560","0.00K","0.00%"
"Mar 25, 2020","1.560","1.500","1.560","1.500","1.10K","1.96%"
"Mar 24, 2020","1.530","1.530","1.530","1.530","3.84K","0.00%"
"Mar 23, 2020","1.530","1.530","1.530","1.530","0.25K","-2.55%"
"Mar 19, 2020","1.570","1.570","1.570","1.570","0.03K","2.61%"
"Mar 18, 2020","1.530","1.540","1.540","1.470","0.60K","1.32%"
"Mar 17, 2020","1.510","1.510","1.510","1.510","0.06K","-2.58%"
"Mar 16, 2020","1.550","1.560","1.560","1.550","1.05K","-1.27%"
"Mar 13, 2020","1.570","1.570","1.570","1.570","1.94K","-2.48%"
"Mar 12, 2020","1.610","1.610","1.610","1.610","1.00K","-2.42%"
"Mar 11, 2020","1.650","1.670","1.670","1.610","5.93K","0.00%"
"Mar 10, 2020","1.650","1.650","1.650","1.620","3.15K","-4.07%"
"Mar 09, 2020","1.720","1.720","1.720","1.720","3.04K","0.00%"
"Mar 06, 2020","1.720","1.720","1.720","1.660","0.49K","4.24%"
"Mar 05, 2020","1.650","1.660","1.660","1.650","2.09K","-2.94%"
"Mar 04, 2020","1.700","1.740","1.740","1.700","5.03K","-2.30%"
"Mar 03, 2020","1.740","1.690","1.740","1.690","6.40K","0.00%"
"Mar 02, 2020","1.740","1.740","1.740","1.740","0.70K","-2.79%"
"Feb 26, 2020","1.790","1.740","1.790","1.740","12.57K","0.00%"
"Feb 25, 2020","1.790","1.790","1.790","1.790","0.06K","0.00%"
"Feb 24, 2020","1.790","1.710","1.800","1.710","2.06K","2.29%"
"Feb 21, 2020","1.750","1.710","1.750","1.710","1.91K","-0.57%"
"Feb 20, 2020","1.760","1.740","1.760","1.740","2.01K","2.92%"
"Feb 19, 2020","1.710","1.700","1.710","1.700","4.04K","0.00%"
"Feb 17, 2020","1.710","1.650","1.710","1.650","13.24K","0.59%"
"Feb 14, 2020","1.700","1.670","1.700","1.670","4.10K","1.80%"
"Feb 13, 2020","1.670","1.690","1.690","1.630","3.83K","-1.76%"
"Feb 12, 2020","1.700","1.780","1.780","1.700","0.23K","-2.86%"
"Feb 11, 2020","1.750","1.790","1.790","1.750","1.03K","0.00%"
"Feb 10, 2020","1.750","1.750","1.770","1.710","18.08K","1.74%"
