"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","8.67","8.66","8.88","8.64","1.10K","0.35%"
"May 04, 2020","8.64","8.80","8.80","8.64","0.60K","-2.92%"
"Apr 30, 2020","8.90","8.90","8.90","8.90","0.05K","-1.00%"
"Apr 29, 2020","8.99","9.09","9.09","8.76","0.39K","-0.11%"
"Apr 28, 2020","9.00","9.12","9.12","9.00","0.25K","-0.99%"
"Apr 27, 2020","9.09","9.09","9.09","9.09","0.00K","1.11%"
"Apr 24, 2020","8.99","8.99","8.99","8.99","0.00K","0.00%"
"Apr 23, 2020","8.99","8.92","9.13","8.67","1.06K","0.78%"
"Apr 22, 2020","8.92","9.00","9.00","8.92","0.70K","-2.41%"
"Apr 21, 2020","9.14","9.15","9.15","8.98","0.68K","-1.19%"
"Apr 20, 2020","9.25","9.27","9.27","8.84","1.11K","2.78%"
"Apr 17, 2020","9.00","8.90","9.00","8.90","2.08K","0.56%"
"Apr 16, 2020","8.95","8.95","9.10","8.95","0.30K","-1.65%"
"Apr 15, 2020","9.10","9.18","9.18","8.95","6.21K","1.68%"
"Apr 14, 2020","8.95","8.95","8.95","8.95","0.80K","0.00%"
"Apr 13, 2020","8.95","8.90","9.09","8.90","0.61K","-2.19%"
"Apr 08, 2020","9.15","9.00","9.15","8.91","2.15K","0.33%"
"Apr 07, 2020","9.12","9.12","9.36","9.12","2.48K","-2.98%"
"Apr 06, 2020","9.40","8.96","9.40","8.96","2.35K","1.62%"
"Apr 03, 2020","9.25","9.25","9.25","9.25","0.31K","-2.73%"
"Apr 02, 2020","9.51","9.51","9.51","9.51","0.10K","-2.96%"
"Apr 01, 2020","9.80","9.99","9.99","9.47","0.45K","0.51%"
"Mar 30, 2020","9.75","9.78","9.78","9.23","0.85K","2.63%"
"Mar 27, 2020","9.50","10.07","10.07","9.50","2.79K","-2.86%"
"Mar 26, 2020","9.78","9.81","9.81","9.40","0.01K","2.52%"
"Mar 25, 2020","9.54","9.59","9.59","9.20","10.68K","1.49%"
"Mar 24, 2020","9.40","9.32","9.59","9.07","2.71K","0.86%"
"Mar 23, 2020","9.32","9.78","9.78","9.32","0.44K","-2.92%"
"Mar 19, 2020","9.60","9.68","9.68","9.12","0.36K","2.13%"
"Mar 18, 2020","9.40","9.12","9.68","9.12","3.51K","0.00%"
"Mar 17, 2020","9.40","9.05","9.40","9.05","0.45K","0.86%"
"Mar 16, 2020","9.32","9.98","9.98","9.32","1.04K","-4.41%"
"Mar 13, 2020","9.75","9.76","9.99","9.75","2.06K","-4.41%"
"Mar 12, 2020","10.20","10.71","10.71","10.10","0.75K","-1.92%"
"Mar 11, 2020","10.40","10.10","10.40","10.10","1.31K","2.97%"
"Mar 10, 2020","10.10","10.30","10.30","10.10","1.14K","-1.27%"
"Mar 09, 2020","10.23","10.35","10.35","10.23","4.03K","-0.68%"
"Mar 06, 2020","10.30","10.66","10.66","10.30","2.65K","-2.28%"
"Mar 05, 2020","10.54","10.75","10.93","10.54","1.66K","-1.86%"
"Mar 04, 2020","10.74","10.85","10.85","10.70","1.55K","-1.47%"
"Mar 03, 2020","10.90","11.00","11.00","10.87","10.28K","-2.68%"
"Mar 02, 2020","11.20","11.19","11.30","11.19","1.98K","1.82%"
"Feb 28, 2020","11.00","11.00","11.13","10.90","43.18K","0.92%"
"Feb 27, 2020","10.90","11.04","11.04","10.86","0.41K","0.55%"
"Feb 26, 2020","10.84","11.03","11.03","10.80","2.10K","-0.55%"
"Feb 25, 2020","10.90","10.80","10.90","10.80","2.45K","-1.80%"
"Feb 24, 2020","11.10","11.13","11.13","10.90","0.44K","1.83%"
"Feb 21, 2020","10.90","11.00","11.00","10.90","0.61K","-0.91%"
"Feb 20, 2020","11.00","11.00","11.00","10.91","0.50K","-1.17%"
"Feb 19, 2020","11.13","10.87","11.13","10.87","1.13K","0.00%"
"Feb 18, 2020","11.13","10.87","11.13","10.87","0.20K","-0.45%"
"Feb 17, 2020","11.18","10.88","11.18","10.86","0.76K","1.64%"
"Feb 14, 2020","11.00","11.14","11.18","11.00","8.64K","-1.26%"
"Feb 13, 2020","11.14","11.00","11.14","10.98","2.98K","1.64%"
"Feb 12, 2020","10.96","11.00","11.00","10.92","5.06K","-2.06%"
"Feb 11, 2020","11.19","10.81","11.19","10.80","1.43K","2.94%"
"Feb 10, 2020","10.87","11.19","11.19","10.87","3.16K","-2.95%"
"Feb 07, 2020","11.20","11.20","11.20","11.20","0.02K","1.82%"
"Feb 06, 2020","11.00","11.00","11.00","11.00","0.72K","-1.79%"
"Feb 05, 2020","11.20","11.24","11.24","11.10","0.73K","0.99%"
"Feb 04, 2020","11.09","10.90","11.09","10.90","0.49K","1.19%"
"Feb 03, 2020","10.96","10.81","10.98","10.81","6.32K","1.39%"
"Jan 31, 2020","10.81","10.80","11.00","10.80","1.95K","0.09%"
"Jan 30, 2020","10.80","10.85","11.00","10.80","0.48K","0.00%"
"Jan 29, 2020","10.80","10.86","10.86","10.80","0.41K","-0.55%"
"Jan 28, 2020","10.86","10.87","10.92","10.86","0.65K","-0.09%"
"Jan 27, 2020","10.87","10.92","10.92","10.82","1.49K","-0.46%"
"Jan 24, 2020","10.92","11.00","11.01","10.92","1.68K","-0.82%"
"Jan 23, 2020","11.01","11.10","11.10","11.00","0.83K","0.09%"
"Jan 22, 2020","11.00","11.30","11.30","11.00","1.08K","-0.90%"
"Jan 21, 2020","11.10","11.10","11.10","11.10","0.30K","0.00%"
"Jan 20, 2020","11.10","11.06","11.29","11.06","0.52K","0.00%"
"Jan 17, 2020","11.10","11.10","11.29","11.10","0.28K","-0.89%"
"Jan 16, 2020","11.20","11.34","11.34","11.05","0.09K","1.73%"
"Jan 15, 2020","11.01","11.30","11.30","11.01","1.19K","-1.70%"
"Jan 13, 2020","11.20","11.22","11.22","11.20","0.33K","-0.18%"
"Jan 10, 2020","11.22","11.35","11.40","11.22","0.59K","-2.18%"
"Jan 09, 2020","11.47","11.35","11.49","11.30","3.42K","-0.26%"
"Jan 08, 2020","11.50","11.36","11.56","11.36","2.90K","1.23%"
"Jan 07, 2020","11.36","11.30","11.60","11.30","23.52K","-1.22%"
"Jan 06, 2020","11.50","11.39","11.50","11.39","0.21K","-0.35%"
"Jan 03, 2020","11.54","11.89","11.89","11.54","3.36K","-1.95%"
"Jan 02, 2020","11.77","12.13","12.13","11.77","2.32K","-1.42%"
"Dec 31, 2019","11.94","11.99","12.00","11.65","6.38K","2.40%"
"Dec 30, 2019","11.66","12.00","12.00","11.65","17.05K","-2.83%"
"Dec 27, 2019","12.00","11.42","12.05","11.42","5.11K","2.56%"
"Dec 26, 2019","11.70","11.83","11.83","11.50","1.47K","-0.85%"
"Dec 25, 2019","11.80","11.80","11.83","11.78","12.90K","0.85%"
"Dec 24, 2019","11.70","11.71","11.71","11.70","2.76K","0.00%"
"Dec 23, 2019","11.70","11.78","11.78","11.41","0.98K","2.54%"
"Dec 20, 2019","11.41","11.76","11.76","11.41","1.18K","-0.17%"
"Dec 19, 2019","11.43","11.78","11.78","11.43","1.04K","-2.31%"
"Dec 18, 2019","11.70","11.72","11.78","11.40","8.82K","0.00%"
"Dec 17, 2019","11.70","11.60","11.70","11.50","6.40K","0.86%"
"Dec 16, 2019","11.60","11.73","11.78","11.60","3.12K","-1.11%"
"Dec 13, 2019","11.73","11.43","11.73","11.30","3.29K","2.62%"
"Dec 12, 2019","11.43","11.43","11.44","11.43","1.20K","-2.31%"
"Dec 11, 2019","11.70","11.63","11.78","11.50","1.03K","0.00%"
"Dec 10, 2019","11.70","11.65","11.85","11.65","1.02K","-1.10%"
"Dec 09, 2019","11.83","12.19","12.19","11.83","3.75K","-1.42%"
"Dec 06, 2019","12.00","11.79","12.33","11.63","4.90K","0.17%"
"Dec 05, 2019","11.98","12.34","12.48","11.98","5.10K","-3.00%"
"Dec 04, 2019","12.35","12.54","12.85","12.28","31.02K","1.40%"
"Dec 03, 2019","12.18","11.56","12.18","11.56","22.54K","6.01%"
"Dec 02, 2019","11.49","11.00","11.49","11.00","11.80K","4.45%"
"Nov 29, 2019","11.00","10.99","11.00","10.77","28.51K","1.29%"
"Nov 28, 2019","10.86","11.00","11.00","10.75","1.57K","-0.37%"
"Nov 27, 2019","10.90","11.00","11.00","10.86","0.66K","0.37%"
"Nov 26, 2019","10.86","10.86","11.00","10.76","137.92K","0.00%"
"Nov 25, 2019","10.86","11.00","11.00","10.71","2.32K","-1.81%"
"Nov 22, 2019","11.06","10.88","11.08","10.88","1.25K","1.28%"
