"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2020","25.79","25.79","25.79","25.79","0.00K","-4.48%"
"Feb 27, 2020","27.00","27.00","27.00","27.00","0.03K","-2.10%"
"Feb 21, 2020","27.58","27.58","27.58","27.58","0.13K","6.08%"
"Feb 07, 2020","26.00","26.00","26.00","26.00","0.00K","2.77%"
"Feb 03, 2020","25.30","26.05","26.05","25.30","0.11K","-2.88%"
"Jan 31, 2020","26.05","26.05","26.05","26.05","0.24K","-4.44%"
"Jan 29, 2020","27.26","27.26","27.26","27.26","0.00K","-2.99%"
"Jan 23, 2020","28.10","28.10","28.10","28.10","0.03K","-0.11%"
"Jan 21, 2020","28.13","29.00","29.00","28.13","0.06K","1.59%"
"Jan 16, 2020","27.69","27.69","27.69","27.69","0.00K","-10.24%"
"Jan 06, 2020","30.85","30.85","30.85","30.85","0.00K","-4.49%"
"Jan 02, 2020","32.30","32.30","32.30","32.30","0.01K","10.65%"
"Dec 27, 2019","29.19","29.19","29.19","29.19","0.00K","-2.96%"
"Dec 26, 2019","30.08","29.21","30.08","29.21","1.59K","2.98%"
"Dec 25, 2019","29.21","29.21","29.21","29.21","0.03K","-8.72%"
"Dec 23, 2019","32.00","32.00","32.00","32.00","0.02K","1.59%"
"Dec 20, 2019","31.50","30.11","31.50","30.11","1.00K","0.00%"
"Dec 19, 2019","31.50","31.50","31.50","31.50","0.43K","0.16%"
"Dec 18, 2019","31.45","31.47","31.47","31.45","0.00K","-5.95%"
"Dec 16, 2019","33.44","32.47","33.44","32.47","0.35K","2.99%"
"Dec 13, 2019","32.47","32.47","32.47","32.47","0.00K","-2.99%"
"Dec 12, 2019","33.47","33.47","33.47","33.47","0.19K","4.50%"
"Dec 11, 2019","32.03","31.10","32.03","31.10","0.12K","0.06%"
"Dec 10, 2019","32.01","33.00","33.00","32.01","0.00K","-5.58%"
"Dec 09, 2019","33.90","33.90","33.90","33.90","0.22K","-0.21%"
"Dec 06, 2019","33.97","33.97","33.97","33.97","0.37K","-0.03%"
"Dec 05, 2019","33.98","34.00","34.00","33.98","0.12K","-0.06%"
"Dec 04, 2019","34.00","34.00","34.00","34.00","0.03K","2.84%"
"Dec 03, 2019","33.06","32.10","33.06","32.10","0.27K","-1.22%"
"Nov 28, 2019","33.47","33.47","33.47","33.47","0.01K","-2.99%"
"Nov 27, 2019","34.50","34.50","34.50","34.50","0.01K","1.62%"
"Nov 26, 2019","33.95","33.00","33.95","33.00","2.60K","2.88%"
"Nov 21, 2019","33.00","33.00","33.00","33.00","0.08K","0.00%"
"Nov 19, 2019","33.00","33.50","33.50","33.00","0.02K","-2.51%"
"Nov 18, 2019","33.85","33.85","33.85","33.85","0.02K","-2.98%"
"Nov 08, 2019","34.89","33.88","34.89","33.88","1.01K","6.05%"
"Nov 07, 2019","32.90","32.90","32.90","32.90","0.01K","0.55%"
"Nov 06, 2019","32.72","32.72","32.72","32.72","0.10K","2.25%"
"Nov 05, 2019","32.00","32.00","32.00","32.00","0.23K","0.00%"
"Nov 04, 2019","32.00","32.00","32.00","32.00","0.50K","0.69%"
"Nov 01, 2019","31.78","31.77","31.78","31.77","0.70K","0.86%"
