"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07, 2020","1.480","1.480","1.480","1.480","0.22K","-2.63%"
"Apr 01, 2020","1.520","1.520","1.520","1.520","0.72K","-0.65%"
"Mar 27, 2020","1.530","1.530","1.530","1.530","0.03K","0.00%"
"Mar 26, 2020","1.530","1.530","1.530","1.530","0.03K","-2.55%"
"Mar 17, 2020","1.570","1.580","1.580","1.570","55.08K","-0.63%"
"Mar 16, 2020","1.580","1.580","1.580","1.580","0.12K","0.00%"
"Mar 13, 2020","1.580","1.580","1.580","1.580","0.13K","2.60%"
"Mar 12, 2020","1.540","1.540","1.540","1.540","0.03K","-2.53%"
"Mar 11, 2020","1.580","1.580","1.580","1.580","0.15K","0.00%"
"Mar 09, 2020","1.580","1.580","1.580","1.580","2.50K","0.00%"
"Mar 06, 2020","1.580","1.580","1.580","1.580","1.57K","0.00%"
"Mar 04, 2020","1.580","1.580","1.580","1.580","1.41K","0.00%"
"Mar 03, 2020","1.580","1.580","1.580","1.580","2.22K","0.00%"
"Mar 02, 2020","1.580","1.580","1.580","1.580","0.01K","-6.51%"
"Feb 21, 2020","1.690","1.780","1.780","1.690","2.14K","-2.31%"
"Feb 20, 2020","1.730","1.730","1.730","1.730","0.37K","2.98%"
"Feb 19, 2020","1.680","1.690","1.690","1.680","0.79K","3.70%"
"Feb 18, 2020","1.620","1.620","1.620","1.620","0.01K","2.53%"
"Feb 12, 2020","1.580","1.580","1.580","1.580","0.01K","-2.47%"
"Feb 05, 2020","1.620","1.620","1.620","1.620","2.00K","0.00%"
"Feb 03, 2020","1.620","1.620","1.620","1.620","1.00K","-2.41%"
"Jan 31, 2020","1.660","1.660","1.660","1.660","0.54K","0.00%"
"Jan 30, 2020","1.660","1.660","1.660","1.660","1.03K","0.00%"
"Jan 29, 2020","1.660","1.660","1.660","1.660","4.41K","5.06%"
"Jan 28, 2020","1.580","1.580","1.580","1.580","0.12K","-3.07%"
"Jan 23, 2020","1.630","1.630","1.630","1.630","0.04K","0.00%"
"Jan 22, 2020","1.630","1.630","1.630","1.630","0.18K","0.00%"
"Jan 21, 2020","1.630","1.630","1.630","1.630","0.10K","4.49%"
"Jan 20, 2020","1.560","1.560","1.560","1.560","0.02K","-4.29%"
"Jan 17, 2020","1.630","1.630","1.630","1.630","1.56K","1.24%"
"Jan 16, 2020","1.610","1.610","1.610","1.610","0.45K","2.55%"
"Jan 13, 2020","1.570","1.570","1.570","1.570","0.03K","-3.68%"
"Jan 10, 2020","1.630","1.630","1.630","1.630","0.22K","-4.12%"
"Jan 07, 2020","1.700","1.700","1.700","1.700","9.87K","-2.86%"
"Jan 03, 2020","1.750","1.750","1.750","1.750","0.02K","0.00%"
"Dec 25, 2019","1.750","1.750","1.750","1.750","1.25K","0.00%"
"Dec 20, 2019","1.750","1.750","1.750","1.750","0.01K","-4.37%"
"Dec 19, 2019","1.830","1.830","1.830","1.830","3.46K","2.81%"
"Dec 16, 2019","1.780","1.780","1.780","1.780","0.01K","-2.73%"
"Dec 13, 2019","1.830","1.830","1.830","1.830","3.29K","-1.08%"
"Dec 12, 2019","1.850","1.850","1.850","1.850","0.05K","0.00%"
