"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","103.80","102.02","103.85","102.00","0.56K","1.76%"
"May 04, 2020","102.00","102.12","102.20","102.00","0.48K","0.49%"
"Apr 30, 2020","101.50","101.21","102.99","101.00","1.05K","0.00%"
"Apr 29, 2020","101.50","104.99","104.99","101.20","1.70K","-0.49%"
"Apr 28, 2020","102.00","102.20","103.50","101.50","1.21K","-1.18%"
"Apr 27, 2020","103.22","103.10","105.00","103.10","1.79K","1.19%"
"Apr 24, 2020","102.01","102.01","102.60","102.01","0.43K","-0.48%"
"Apr 23, 2020","102.50","102.00","104.00","102.00","0.29K","0.49%"
"Apr 22, 2020","102.00","102.00","102.00","101.90","0.75K","-0.49%"
"Apr 21, 2020","102.50","103.00","103.00","102.00","0.87K","-0.97%"
"Apr 20, 2020","103.50","103.75","103.75","103.22","0.22K","1.47%"
"Apr 17, 2020","102.00","102.00","104.50","102.00","1.10K","0.00%"
"Apr 16, 2020","102.00","102.00","105.00","101.60","0.64K","0.00%"
"Apr 15, 2020","102.00","101.60","103.00","101.60","0.58K","0.39%"
"Apr 14, 2020","101.60","102.00","102.20","101.50","5.46K","-0.39%"
"Apr 13, 2020","102.00","102.00","105.00","102.00","0.79K","0.00%"
"Apr 08, 2020","102.00","101.80","103.01","101.00","2.08K","0.00%"
"Apr 07, 2020","102.00","102.00","102.00","99.50","0.17K","1.99%"
"Apr 06, 2020","100.01","102.10","102.10","99.13","3.57K","-2.13%"
"Apr 03, 2020","102.19","105.00","105.00","102.19","3.05K","-3.00%"
"Apr 02, 2020","105.35","108.40","108.40","105.35","0.52K","-2.99%"
"Apr 01, 2020","108.60","110.00","110.00","108.50","1.39K","-1.00%"
"Mar 31, 2020","109.70","113.30","113.30","109.70","0.72K","-0.27%"
"Mar 30, 2020","110.00","112.75","112.75","110.00","0.37K","0.00%"
"Mar 27, 2020","110.00","114.49","114.49","110.00","1.16K","-1.57%"
"Mar 26, 2020","111.75","111.75","111.75","108.20","0.76K","3.00%"
"Mar 25, 2020","108.50","111.45","111.45","108.50","3.57K","0.27%"
"Mar 24, 2020","108.21","108.21","108.21","108.21","2.34K","3.00%"
"Mar 23, 2020","105.06","105.06","105.06","104.00","0.91K","3.00%"
"Mar 19, 2020","102.00","102.70","102.70","100.00","2.44K","2.20%"
"Mar 18, 2020","99.80","95.00","99.80","94.02","1.91K","2.97%"
"Mar 17, 2020","96.92","99.91","99.91","96.92","7.72K","-5.90%"
"Mar 16, 2020","103.00","108.01","108.01","102.37","10.00K","-5.50%"
"Mar 13, 2020","109.00","111.98","111.98","109.00","8.98K","-2.72%"
"Mar 12, 2020","112.05","113.50","113.50","112.05","1.63K","-0.93%"
"Mar 11, 2020","113.10","112.50","113.50","112.11","2.15K","-0.34%"
"Mar 10, 2020","113.49","114.00","114.01","110.58","1.88K","-0.46%"
"Mar 09, 2020","114.01","115.00","116.50","114.01","4.40K","-0.86%"
"Mar 06, 2020","115.00","118.20","118.20","115.00","1.30K","-2.54%"
