"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2020","1.700","1.700","1.700","1.700","0.12K","-2.86%"
"Apr 13, 2020","1.750","1.750","1.750","1.750","0.07K","-2.78%"
"Apr 07, 2020","1.800","1.800","1.800","1.800","5.38K","-2.70%"
"Apr 02, 2020","1.850","1.850","1.850","1.850","0.03K","0.00%"
"Mar 13, 2020","1.850","1.850","1.850","1.850","0.25K","0.00%"
"Mar 04, 2020","1.850","1.850","1.850","1.850","0.50K","1.09%"
"Mar 03, 2020","1.830","1.830","1.830","1.830","20.00K","-1.61%"
"Feb 26, 2020","1.860","1.850","1.860","1.850","1.16K","0.54%"
"Feb 04, 2020","1.850","1.850","1.850","1.850","1.81K","0.00%"
"Jan 24, 2020","1.850","1.850","1.850","1.850","7.39K","0.00%"
"Jan 20, 2020","1.850","1.850","1.850","1.850","38.57K","0.00%"
"Jan 17, 2020","1.850","1.850","1.850","1.850","6.03K","0.00%"
"Jan 07, 2020","1.850","1.850","1.850","1.850","1.92K","0.00%"
"Jan 06, 2020","1.850","1.850","1.850","1.850","5.08K","0.54%"
"Jan 03, 2020","1.840","1.850","1.850","1.840","3.10K","-0.54%"
"Dec 31, 2019","1.850","1.850","1.850","1.850","0.10K","0.00%"
"Dec 27, 2019","1.850","1.850","1.850","1.850","0.10K","0.00%"
"Dec 19, 2019","1.850","1.850","1.850","1.850","46.09K","0.00%"
"Dec 18, 2019","1.850","1.850","1.850","1.850","0.74K","0.00%"
"Dec 16, 2019","1.850","1.850","1.850","1.850","0.21K","0.00%"
"Dec 13, 2019","1.850","1.850","1.850","1.850","0.12K","0.00%"
"Dec 10, 2019","1.850","1.850","1.850","1.850","0.07K","0.00%"
"Oct 31, 2019","1.850","1.850","1.850","1.850","3.64K","-2.63%"
"Oct 22, 2019","1.900","1.900","1.900","1.900","0.05K","0.00%"
"Oct 10, 2019","1.900","1.900","1.900","1.900","0.01K","-1.55%"
"Oct 04, 2019","1.930","1.930","1.930","1.930","0.12K","0.00%"
"Oct 02, 2019","1.930","1.930","1.930","1.930","0.05K","0.00%"
"Oct 01, 2019","1.930","1.930","1.930","1.930","0.50K","0.00%"
"Sep 27, 2019","1.930","1.930","1.930","1.930","0.50K","0.00%"
"Sep 26, 2019","1.930","1.930","1.930","1.930","0.50K","1.58%"
"Sep 19, 2019","1.900","1.900","1.900","1.900","0.23K","4.97%"
"Jul 31, 2019","1.810","1.810","1.810","1.810","0.02K","0.00%"
"Jul 24, 2019","1.810","1.810","1.810","1.810","1.98K","2.26%"
"Jul 17, 2019","1.770","1.770","1.770","1.770","0.40K","-4.32%"
"Jul 05, 2019","1.850","1.850","1.850","1.850","0.05K","0.00%"
"Jun 14, 2019","1.850","1.850","1.850","1.850","6.70K","0.00%"
"Jun 13, 2019","1.850","1.850","1.850","1.850","3.59K","0.00%"
"Jun 12, 2019","1.850","1.850","1.850","1.850","0.25K","0.00%"
"Jun 07, 2019","1.850","1.850","1.850","1.850","1.16K","0.00%"
"May 10, 2019","1.850","1.850","1.850","1.850","0.28K","0.00%"
"May 08, 2019","1.850","1.850","1.850","1.850","2.23K","0.00%"
"May 07, 2019","1.850","1.850","1.850","1.850","5.00K","0.00%"
"Apr 30, 2019","1.850","1.850","1.850","1.850","7.00K","0.00%"
"Apr 25, 2019","1.850","1.850","1.850","1.850","1.73K","0.00%"
"Apr 24, 2019","1.850","1.850","1.850","1.850","0.75K","0.00%"
"Apr 23, 2019","1.850","1.850","1.850","1.850","0.54K","0.00%"
"Apr 16, 2019","1.850","1.850","1.850","1.850","0.05K","0.00%"
"Apr 15, 2019","1.850","1.850","1.850","1.850","0.91K","0.00%"
"Apr 11, 2019","1.850","1.850","1.850","1.850","0.01K","0.00%"
"Apr 10, 2019","1.850","1.850","1.850","1.850","5.05K","-2.12%"
"Mar 25, 2019","1.890","1.890","1.890","1.890","0.10K","2.16%"
"Mar 21, 2019","1.850","1.850","1.850","1.850","1.07K","0.00%"
"Mar 08, 2019","1.850","1.850","1.850","1.850","4.85K","0.00%"
"Mar 07, 2019","1.850","1.850","1.850","1.850","5.00K","0.00%"
"Feb 28, 2019","1.850","1.850","1.850","1.850","0.38K","2.78%"
"Feb 20, 2019","1.800","1.800","1.800","1.800","0.75K","0.00%"
"Feb 12, 2019","1.800","1.800","1.800","1.800","0.20K","0.00%"
"Feb 11, 2019","1.800","1.800","1.800","1.800","9.00K","0.00%"
"Jan 31, 2019","1.800","1.800","1.800","1.800","1.50K","0.00%"
"Jan 29, 2019","1.800","1.800","1.800","1.800","0.50K","0.00%"
"Jan 25, 2019","1.800","1.800","1.800","1.800","0.75K","0.00%"
"Jan 21, 2019","1.800","1.800","1.800","1.800","4.91K","0.00%"
"Jan 18, 2019","1.800","1.800","1.800","1.800","6.23K","0.00%"
"Jan 11, 2019","1.800","1.800","1.800","1.800","0.09K","0.00%"
"Jan 08, 2019","1.800","1.800","1.800","1.800","0.02K","0.00%"
"Jan 04, 2019","1.800","1.800","1.800","1.800","18.28K","0.00%"
"Jan 03, 2019","1.800","1.800","1.800","1.800","0.20K","-2.70%"
"Jan 02, 2019","1.850","1.850","1.850","1.850","0.52K","0.00%"
"Dec 27, 2018","1.850","1.850","1.850","1.850","9.96K","2.78%"
"Dec 24, 2018","1.800","1.800","1.800","1.800","0.08K","0.00%"
