"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","8.93","8.95","8.96","8.70","28.92K","-0.33%"
"May 04, 2020","8.96","8.96","8.96","8.96","0.10K","0.34%"
"Apr 30, 2020","8.93","8.95","8.98","8.70","1.43K","-0.22%"
"Apr 29, 2020","8.95","8.73","8.99","8.73","8.68K","-0.56%"
"Apr 28, 2020","9.00","8.85","9.00","8.83","11.79K","-1.10%"
"Apr 27, 2020","9.10","9.23","9.23","8.73","6.54K","1.34%"
"Apr 24, 2020","8.98","9.24","9.24","8.80","1.62K","0.00%"
"Apr 23, 2020","8.98","9.00","9.00","8.88","0.50K","0.79%"
"Apr 22, 2020","8.91","9.39","9.39","8.91","23.34K","-2.62%"
"Apr 21, 2020","9.15","9.21","9.21","8.92","0.40K","2.23%"
"Apr 20, 2020","8.95","9.30","9.30","8.94","0.75K","-2.72%"
"Apr 17, 2020","9.20","9.09","9.32","8.95","1.33K","1.10%"
"Apr 16, 2020","9.10","9.10","9.10","8.92","0.00K","1.11%"
"Apr 15, 2020","9.00","9.13","9.13","9.00","0.04K","-1.42%"
"Apr 14, 2020","9.13","9.14","9.14","9.12","0.03K","-0.22%"
"Apr 13, 2020","9.15","8.91","9.18","8.91","13.37K","-0.33%"
"Apr 08, 2020","9.18","8.98","9.18","8.93","5.28K","-0.22%"
"Apr 07, 2020","9.20","9.29","9.29","9.20","2.05K","1.10%"
"Apr 06, 2020","9.10","8.69","9.17","8.69","2.01K","1.68%"
"Apr 03, 2020","8.95","9.02","9.02","8.76","4.14K","-0.89%"
"Apr 02, 2020","9.03","9.10","9.10","9.03","15.13K","-2.90%"
"Apr 01, 2020","9.30","9.50","9.50","9.06","0.49K","-0.11%"
"Mar 31, 2020","9.31","9.53","9.53","9.02","21.23K","0.22%"
"Mar 30, 2020","9.29","9.30","9.30","8.95","2.32K","1.64%"
"Mar 27, 2020","9.14","9.65","9.65","9.12","3.91K","-2.77%"
"Mar 26, 2020","9.40","9.52","9.52","9.12","0.25K","0.64%"
"Mar 25, 2020","9.34","9.62","9.62","9.10","6.44K","0.00%"
"Mar 24, 2020","9.34","9.44","9.44","9.00","2.54K","1.85%"
"Mar 23, 2020","9.17","8.82","9.33","8.82","14.14K","0.99%"
"Mar 19, 2020","9.08","9.13","9.38","8.90","31.98K","-0.55%"
"Mar 18, 2020","9.13","9.69","9.69","9.13","32.80K","-2.98%"
"Mar 17, 2020","9.41","9.41","9.55","9.41","13.95K","-6.74%"
"Mar 16, 2020","10.09","10.17","10.17","10.09","1.90K","-3.72%"
"Mar 13, 2020","10.48","10.81","10.81","10.31","8.64K","-4.47%"
