"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","29.30","29.10","29.30","29.10","6.40K","0.00%"
"May 04, 2020","29.30","29.00","29.99","29.00","3.35K","0.34%"
"Apr 30, 2020","29.20","29.70","29.70","29.20","0.32K","0.69%"
"Apr 29, 2020","29.00","29.95","29.95","29.00","0.19K","-1.23%"
"Apr 28, 2020","29.36","29.39","29.40","29.36","0.06K","2.73%"
"Apr 27, 2020","28.58","28.60","28.60","28.58","0.32K","2.07%"
"Apr 24, 2020","28.00","28.29","28.29","27.56","2.08K","1.63%"
"Apr 23, 2020","27.55","28.00","28.00","27.51","1.35K","0.18%"
"Apr 22, 2020","27.50","27.79","27.79","27.45","0.56K","0.70%"
"Apr 21, 2020","27.31","27.50","27.50","27.00","1.23K","0.04%"
"Apr 20, 2020","27.30","27.50","27.50","27.20","3.69K","-0.26%"
"Apr 17, 2020","27.37","27.28","27.40","27.28","0.75K","0.33%"
"Apr 16, 2020","27.28","27.48","27.48","27.00","0.49K","0.00%"
"Apr 15, 2020","27.28","27.40","27.40","27.00","1.45K","1.04%"
"Apr 14, 2020","27.00","27.29","27.29","27.00","0.29K","1.50%"
"Apr 13, 2020","26.60","26.60","27.37","26.40","1.36K","0.00%"
"Apr 08, 2020","26.60","26.99","26.99","26.30","0.82K","-0.04%"
"Apr 07, 2020","26.61","26.51","27.30","26.51","0.67K","-2.17%"
"Apr 06, 2020","27.20","26.10","27.49","26.10","2.67K","1.53%"
"Apr 03, 2020","26.79","27.58","27.58","26.50","3.68K","0.04%"
"Apr 02, 2020","26.78","27.08","27.10","26.78","45.75K","-2.97%"
"Apr 01, 2020","27.60","27.10","27.88","27.10","1.33K","-0.14%"
"Mar 31, 2020","27.64","26.51","27.81","26.51","3.56K","2.37%"
"Mar 30, 2020","27.00","27.00","27.47","26.05","1.78K","0.60%"
"Mar 27, 2020","26.84","26.60","27.00","26.51","9.23K","0.90%"
"Mar 26, 2020","26.60","26.40","27.00","26.40","2.49K","0.76%"
"Mar 25, 2020","26.40","26.10","26.40","26.10","6.43K","1.54%"
"Mar 24, 2020","26.00","26.20","26.20","25.60","5.04K","1.56%"
"Mar 23, 2020","25.60","25.90","25.90","24.61","5.37K","1.59%"
"Mar 19, 2020","25.20","25.33","25.33","24.60","7.69K","2.44%"
"Mar 18, 2020","24.60","23.91","25.37","23.91","11.74K","-0.16%"
"Mar 17, 2020","24.64","25.03","25.80","24.64","11.56K","-4.50%"
"Mar 16, 2020","25.80","26.04","26.90","25.63","18.77K","-5.36%"
"Mar 13, 2020","27.26","28.85","28.85","27.26","2.69K","-6.00%"
"Mar 12, 2020","29.00","29.59","29.59","28.87","1.19K","-1.99%"
"Mar 11, 2020","29.59","29.30","29.70","28.85","1.25K","1.02%"
"Mar 10, 2020","29.29","29.30","29.30","28.44","5.54K","-2.04%"
"Mar 09, 2020","29.90","30.05","30.35","29.30","0.97K","-0.50%"
"Mar 06, 2020","30.05","30.12","30.35","30.05","2.09K","-1.15%"
"Mar 05, 2020","30.40","30.40","30.45","30.05","5.35K","0.00%"
"Mar 04, 2020","30.40","30.50","30.50","30.01","1.80K","0.66%"
"Mar 03, 2020","30.20","30.75","30.78","30.00","3.92K","-1.79%"
"Mar 02, 2020","30.75","30.77","30.95","30.72","1.12K","-0.06%"
"Feb 28, 2020","30.77","31.00","31.00","30.72","0.76K","0.07%"
"Feb 27, 2020","30.75","30.75","30.80","30.70","1.53K","0.16%"
"Feb 26, 2020","30.70","30.70","30.99","30.65","1.24K","0.16%"
"Feb 25, 2020","30.65","30.61","31.00","30.50","2.13K","-0.65%"
"Feb 24, 2020","30.85","30.85","30.99","30.85","2.32K","0.00%"
"Feb 21, 2020","30.85","31.10","31.10","30.80","2.03K","-0.48%"
"Feb 20, 2020","31.00","31.00","31.19","30.90","2.52K","0.00%"
"Feb 19, 2020","31.00","31.10","31.10","31.00","2.13K","-0.32%"
"Feb 18, 2020","31.10","31.18","31.18","31.00","1.38K","0.32%"
"Feb 17, 2020","31.00","31.00","31.19","31.00","1.24K","-0.64%"
"Feb 14, 2020","31.20","31.00","31.20","30.90","1.07K","0.71%"
"Feb 13, 2020","30.98","30.60","30.98","30.60","1.31K","0.00%"
"Feb 12, 2020","30.98","30.98","30.98","30.80","0.58K","0.00%"
"Feb 11, 2020","30.98","30.98","30.98","30.89","0.31K","-0.03%"
"Feb 10, 2020","30.99","30.99","31.60","30.95","1.65K","0.00%"
"Feb 07, 2020","30.99","30.61","31.00","30.61","2.12K","0.62%"
"Feb 06, 2020","30.80","30.99","30.99","30.80","0.40K","-0.16%"
"Feb 05, 2020","30.85","31.00","31.00","30.65","3.58K","-0.48%"
"Feb 04, 2020","31.00","31.00","31.60","31.00","1.35K","-0.64%"
"Feb 03, 2020","31.20","30.80","31.69","30.80","3.64K","1.30%"
"Jan 31, 2020","30.80","30.80","30.97","30.50","1.07K","0.00%"
"Jan 30, 2020","30.80","30.80","30.80","30.80","3.62K","0.00%"
"Jan 29, 2020","30.80","30.80","30.80","30.50","1.78K","0.00%"
"Jan 28, 2020","30.80","30.97","30.97","30.80","1.27K","-0.65%"
"Jan 27, 2020","31.00","31.14","31.14","30.72","6.28K","-0.58%"
"Jan 24, 2020","31.18","30.72","31.18","30.72","0.53K","0.91%"
"Jan 23, 2020","30.90","31.20","31.20","30.80","3.21K","-0.48%"
"Jan 22, 2020","31.05","30.95","31.05","30.70","2.57K","0.16%"
"Jan 21, 2020","31.00","31.20","31.20","30.95","11.02K","-0.64%"
"Jan 20, 2020","31.20","30.95","31.20","30.94","0.69K","0.81%"
"Jan 17, 2020","30.95","31.20","31.20","30.50","2.18K","-0.19%"
"Jan 16, 2020","31.01","31.20","31.20","30.70","2.83K","-0.61%"
"Jan 15, 2020","31.20","31.39","31.39","31.00","3.55K","0.10%"
"Jan 13, 2020","31.17","30.20","31.17","30.19","5.89K","2.97%"
"Jan 10, 2020","30.27","29.95","30.27","29.81","1.66K","0.83%"
"Jan 09, 2020","30.02","30.00","30.40","29.99","8.36K","0.07%"
"Jan 08, 2020","30.00","30.51","30.51","29.90","3.36K","-1.74%"
"Jan 07, 2020","30.53","30.70","30.99","30.52","13.44K","-1.52%"
"Jan 06, 2020","31.00","31.40","31.40","30.50","8.68K","-1.27%"
"Jan 03, 2020","31.40","31.35","31.99","31.10","8.10K","-1.88%"
"Jan 02, 2020","32.00","32.40","32.40","31.71","1.06K","-2.11%"
"Dec 31, 2019","32.69","33.00","33.00","32.69","4.20K","-3.00%"
"Dec 30, 2019","33.70","33.99","34.01","33.70","4.48K","3.53%"
"Dec 27, 2019","32.55","31.60","33.49","31.60","7.21K","0.77%"
"Dec 26, 2019","32.30","32.00","32.78","31.60","3.89K","0.94%"
"Dec 25, 2019","32.00","31.50","32.44","31.50","11.01K","1.59%"
