"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","7.10","7.10","7.10","7.00","34.92K","0.00%"
"May 04, 2020","7.10","7.10","7.10","7.10","10.74K","1.43%"
"Apr 30, 2020","7.00","7.00","7.00","6.90","10.70K","-0.85%"
"Apr 29, 2020","7.06","7.06","7.06","7.00","10.54K","0.00%"
"Apr 28, 2020","7.06","7.06","7.06","7.00","19.03K","0.00%"
"Apr 27, 2020","7.06","7.06","7.06","7.05","11.31K","0.00%"
"Apr 24, 2020","7.06","7.41","7.41","7.06","2.56K","-2.49%"
"Apr 23, 2020","7.24","7.24","7.25","7.10","11.10K","-0.14%"
"Apr 22, 2020","7.25","7.16","7.25","7.09","10.14K","1.26%"
"Apr 21, 2020","7.16","7.25","7.30","7.09","15.11K","-1.92%"
"Apr 20, 2020","7.30","7.25","7.30","7.05","16.13K","0.69%"
"Apr 17, 2020","7.25","7.22","7.25","7.22","4.52K","0.00%"
"Apr 16, 2020","7.25","7.22","7.29","7.04","4.23K","0.42%"
"Apr 15, 2020","7.22","7.23","7.25","7.22","5.42K","-0.41%"
"Apr 14, 2020","7.25","7.25","7.25","7.23","5.90K","0.00%"
"Apr 13, 2020","7.25","7.39","7.39","7.01","9.63K","0.42%"
"Apr 08, 2020","7.22","7.20","7.22","7.01","17.48K","0.28%"
"Apr 07, 2020","7.20","7.27","7.27","6.95","16.97K","1.41%"
"Apr 06, 2020","7.10","6.95","7.10","6.95","8.42K","-0.84%"
"Apr 03, 2020","7.16","7.50","7.50","7.16","2.61K","-2.98%"
"Apr 02, 2020","7.38","7.41","7.41","7.38","2.70K","-2.89%"
"Apr 01, 2020","7.60","7.60","7.63","7.40","14.15K","0.00%"
"Mar 31, 2020","7.60","7.64","7.64","7.38","23.55K","0.00%"
"Mar 30, 2020","7.60","7.60","7.68","7.40","13.30K","0.00%"
"Mar 27, 2020","7.60","7.50","7.60","7.50","17.16K","1.33%"
"Mar 26, 2020","7.50","7.57","7.57","7.49","14.48K","1.35%"
"Mar 25, 2020","7.40","7.35","7.40","7.30","10.95K","2.49%"
"Mar 24, 2020","7.22","7.20","7.22","7.01","13.60K","3.00%"
"Mar 23, 2020","7.01","7.01","7.01","6.83","33.83K","-0.43%"
"Mar 19, 2020","7.04","7.23","7.24","7.04","39.03K","-2.76%"
"Mar 18, 2020","7.24","6.87","7.24","6.87","30.02K","2.26%"
"Mar 17, 2020","7.08","7.29","7.29","7.08","45.27K","-3.54%"
"Mar 16, 2020","7.34","7.56","7.56","7.34","46.53K","-2.91%"
"Mar 13, 2020","7.56","7.60","7.60","7.39","30.54K","-0.53%"
"Mar 12, 2020","7.60","7.60","7.60","7.38","30.38K","0.00%"
"Mar 11, 2020","7.60","7.59","7.60","7.50","31.30K","0.13%"
"Mar 10, 2020","7.59","7.59","7.60","7.40","22.22K","0.00%"
"Mar 09, 2020","7.59","7.68","7.68","7.55","35.85K","-1.17%"
"Mar 06, 2020","7.68","7.75","7.75","7.53","23.31K","-1.03%"
"Mar 05, 2020","7.76","7.80","7.80","7.60","23.58K","-0.13%"
"Mar 04, 2020","7.77","7.77","7.77","7.75","17.95K","0.00%"
"Mar 03, 2020","7.77","7.77","7.80","7.60","18.18K","-0.38%"
"Mar 02, 2020","7.80","7.75","7.80","7.75","24.31K","0.39%"
"Feb 28, 2020","7.77","7.77","7.80","7.75","24.46K","0.00%"
"Feb 27, 2020","7.77","7.75","7.79","7.75","23.79K","0.26%"
"Feb 26, 2020","7.75","7.75","7.77","7.75","22.16K","0.00%"
"Feb 25, 2020","7.75","7.75","7.77","7.75","29.98K","0.00%"
"Feb 24, 2020","7.75","7.75","7.78","7.74","22.56K","0.00%"
"Feb 21, 2020","7.75","7.74","7.75","7.70","33.50K","0.13%"
"Feb 20, 2020","7.74","7.74","7.74","7.74","22.73K","0.00%"
"Feb 19, 2020","7.74","7.70","7.74","7.70","8.10K","0.52%"
"Feb 18, 2020","7.70","7.70","7.70","7.70","29.80K","0.00%"
"Feb 17, 2020","7.70","7.70","7.80","7.70","39.92K","0.00%"
"Feb 14, 2020","7.70","7.70","7.70","7.60","22.56K","0.00%"
"Feb 13, 2020","7.70","7.70","7.74","7.60","30.85K","0.00%"
"Feb 12, 2020","7.70","7.69","7.70","7.60","33.39K","0.13%"
"Feb 11, 2020","7.69","7.70","7.70","7.50","25.76K","-0.13%"
"Feb 10, 2020","7.70","7.65","7.70","7.50","27.66K","0.65%"
"Feb 07, 2020","7.65","7.60","7.65","7.60","15.46K","0.66%"
"Feb 06, 2020","7.60","7.50","7.60","7.41","40.50K","0.00%"
"Feb 05, 2020","7.60","7.64","7.64","7.50","18.37K","0.00%"
"Feb 04, 2020","7.60","7.60","7.60","7.50","21.03K","0.00%"
"Feb 03, 2020","7.60","7.60","7.65","7.50","38.25K","0.00%"
"Jan 31, 2020","7.60","7.57","7.60","7.50","30.97K","0.40%"
"Jan 30, 2020","7.57","7.54","7.57","7.53","23.66K","0.40%"
"Jan 29, 2020","7.54","7.50","7.59","7.45","30.56K","0.53%"
"Jan 28, 2020","7.50","7.50","7.50","7.40","48.28K","0.00%"
"Jan 27, 2020","7.50","7.50","7.50","7.30","26.22K","0.00%"
"Jan 24, 2020","7.50","7.50","7.60","7.39","27.11K","0.00%"
"Jan 23, 2020","7.50","7.50","7.50","7.34","45.03K","0.00%"
"Jan 22, 2020","7.50","7.50","7.60","7.31","53.63K","0.00%"
"Jan 21, 2020","7.50","7.40","7.60","7.40","25.80K","1.35%"
"Jan 20, 2020","7.40","7.25","7.40","7.25","40.24K","1.37%"
"Jan 17, 2020","7.30","7.30","7.40","7.26","46.17K","0.00%"
"Jan 16, 2020","7.30","7.30","7.30","7.30","28.88K","0.00%"
"Jan 15, 2020","7.30","7.25","7.35","7.25","20.22K","0.69%"
"Jan 13, 2020","7.25","7.29","7.29","7.25","26.83K","-0.55%"
"Jan 10, 2020","7.29","7.29","7.30","7.15","11.18K","1.25%"
"Jan 09, 2020","7.20","7.20","7.20","7.14","23.04K","-1.37%"
"Jan 08, 2020","7.30","7.30","7.35","7.20","21.14K","0.00%"
"Jan 07, 2020","7.30","7.30","7.40","7.23","39.55K","0.00%"
"Jan 06, 2020","7.30","7.35","7.57","7.21","38.48K","-0.54%"
"Jan 03, 2020","7.34","7.56","7.56","7.34","51.85K","-3.04%"
"Jan 02, 2020","7.57","7.80","7.80","7.57","5.47K","-2.95%"
"Dec 31, 2019","7.80","7.80","7.80","7.65","55.80K","0.00%"
"Dec 30, 2019","7.80","7.66","7.80","7.50","25.51K","2.63%"
"Dec 27, 2019","7.60","7.55","7.60","7.42","22.42K","1.06%"
"Dec 26, 2019","7.52","7.40","7.52","7.34","16.67K","0.27%"
"Dec 25, 2019","7.50","7.43","7.59","7.42","29.92K","0.94%"
"Dec 24, 2019","7.43","7.42","7.43","7.40","2.98K","0.00%"
"Dec 23, 2019","7.43","7.43","7.43","7.43","6.22K","0.00%"
"Dec 20, 2019","7.43","7.43","7.44","7.35","10.65K","0.00%"
"Dec 19, 2019","7.43","7.43","7.43","7.34","10.97K","0.00%"
"Dec 18, 2019","7.43","7.35","7.43","7.33","14.98K","0.13%"
"Dec 17, 2019","7.42","7.45","7.45","7.40","27.11K","-0.40%"
"Dec 16, 2019","7.45","7.45","7.45","7.44","19.57K","0.00%"
"Dec 13, 2019","7.45","7.46","7.47","7.44","22.86K","-0.13%"
"Dec 12, 2019","7.46","7.50","7.50","7.45","12.00K","0.13%"
"Dec 11, 2019","7.45","7.57","7.65","7.40","6.91K","-1.59%"
"Dec 10, 2019","7.57","7.59","7.65","7.40","11.38K","0.00%"
"Dec 09, 2019","7.57","7.57","7.57","7.51","6.32K","0.00%"
"Dec 06, 2019","7.57","7.50","7.73","7.50","18.13K","2.16%"
"Dec 05, 2019","7.41","7.36","7.51","7.36","7.12K","0.68%"
"Dec 04, 2019","7.36","7.36","7.36","7.36","1.41K","0.00%"
"Dec 03, 2019","7.36","7.57","7.57","7.35","1.85K","0.27%"
"Dec 02, 2019","7.34","7.30","7.40","7.30","7.03K","-0.81%"
"Nov 29, 2019","7.40","7.31","7.40","7.30","17.37K","0.00%"
"Nov 28, 2019","7.40","7.31","7.40","7.30","6.22K","1.23%"
"Nov 27, 2019","7.31","7.32","7.32","7.21","3.09K","-0.27%"
"Nov 26, 2019","7.33","7.37","7.37","7.31","13.34K","-0.54%"
"Nov 25, 2019","7.37","7.36","7.38","7.36","24.78K","0.14%"
"Nov 22, 2019","7.36","7.40","7.40","7.36","11.96K","0.00%"
"Nov 21, 2019","7.36","7.50","7.50","7.36","2.40K","-1.87%"
"Nov 20, 2019","7.50","7.62","7.62","7.50","8.31K","-1.57%"
"Nov 19, 2019","7.62","7.62","7.62","7.62","2.35K","0.00%"
"Nov 18, 2019","7.62","7.62","7.62","7.62","1.75K","0.00%"
"Nov 15, 2019","7.62","7.75","7.82","7.42","6.40K","0.00%"
"Nov 14, 2019","7.62","7.60","7.62","7.60","17.81K","0.13%"
"Nov 13, 2019","7.61","7.60","7.61","7.60","6.22K","0.13%"
"Nov 12, 2019","7.60","7.60","7.61","7.60","6.37K","0.00%"
"Nov 11, 2019","7.60","7.62","7.62","7.60","11.70K","0.00%"
"Nov 08, 2019","7.60","7.42","7.62","7.42","13.21K","2.70%"
"Nov 06, 2019","7.40","7.40","7.40","7.40","1.91K","0.00%"
"Nov 05, 2019","7.40","7.40","7.40","7.40","14.27K","0.00%"
"Nov 04, 2019","7.40","7.40","7.40","7.39","5.79K","0.00%"
"Nov 01, 2019","7.40","7.40","7.40","7.39","9.56K","0.00%"
"Oct 31, 2019","7.40","7.40","7.40","7.36","19.91K","0.00%"
"Oct 30, 2019","7.40","7.40","7.40","7.40","29.91K","0.00%"
"Oct 29, 2019","7.40","7.40","7.41","7.40","13.67K","0.00%"
