"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2020","9.97","9.97","9.97","9.97","0.00K","2.78%"
"Apr 17, 2020","9.70","9.40","9.70","9.40","0.05K","0.10%"
"Apr 16, 2020","9.69","9.69","9.69","9.69","0.00K","2.98%"
"Apr 15, 2020","9.41","9.41","9.41","9.41","0.00K","2.95%"
"Apr 14, 2020","9.14","9.69","9.69","9.14","0.06K","-2.87%"
"Apr 13, 2020","9.41","9.41","9.41","9.41","0.02K","-2.99%"
"Apr 01, 2020","9.70","9.70","9.70","9.70","0.00K","0.41%"
"Mar 18, 2020","9.66","9.66","9.66","9.66","0.02K","2.88%"
"Mar 17, 2020","9.39","9.39","9.39","9.39","0.01K","0.11%"
"Mar 13, 2020","9.38","9.38","9.38","9.38","0.00K","2.96%"
"Mar 12, 2020","9.11","9.11","9.11","9.11","0.00K","-2.98%"
"Mar 03, 2020","9.39","9.39","9.39","9.39","0.50K","-0.32%"
"Feb 28, 2020","9.42","9.69","9.69","9.42","0.09K","-2.89%"
"Feb 26, 2020","9.70","9.70","9.70","9.70","0.00K","0.00%"
"Feb 20, 2020","9.70","9.70","9.70","9.70","0.07K","3.08%"
"Feb 19, 2020","9.41","9.41","9.41","9.41","0.01K","-2.99%"
"Feb 18, 2020","9.70","9.70","9.70","9.70","0.61K","-3.00%"
"Feb 14, 2020","10.00","9.55","10.00","9.55","0.07K","0.00%"
"Feb 10, 2020","10.00","10.00","10.00","10.00","0.02K","3.09%"
"Feb 07, 2020","9.70","9.70","9.70","9.70","0.05K","-3.00%"
"Feb 05, 2020","10.00","10.00","10.00","10.00","0.79K","0.00%"
"Feb 04, 2020","10.00","10.00","10.00","10.00","0.93K","0.00%"
"Jan 29, 2020","10.00","10.00","10.00","10.00","0.20K","0.00%"
"Jan 27, 2020","10.00","10.00","10.00","10.00","0.80K","0.00%"
"Jan 24, 2020","10.00","10.00","10.00","10.00","0.98K","0.00%"
"Jan 23, 2020","10.00","10.00","10.00","10.00","0.12K","0.10%"
"Jan 22, 2020","9.99","9.65","9.99","9.65","1.40K","3.52%"
"Jan 21, 2020","9.65","9.57","9.65","9.57","1.51K","3.76%"
"Jan 20, 2020","9.30","9.50","9.60","9.30","1.68K","-1.59%"
"Jan 17, 2020","9.45","9.50","9.50","9.45","11.24K","-0.53%"
"Jan 16, 2020","9.50","9.47","9.50","9.47","3.71K","0.32%"
"Jan 15, 2020","9.47","9.20","9.47","9.20","0.22K","5.22%"
"Jan 13, 2020","9.00","8.80","9.00","8.80","1.34K","3.81%"
"Jan 10, 2020","8.67","8.67","8.67","8.67","1.30K","4.46%"
"Jan 09, 2020","8.30","8.30","8.30","8.30","5.81K","-2.81%"
"Jan 08, 2020","8.54","8.54","8.54","8.54","0.20K","-2.95%"
"Jan 07, 2020","8.80","8.80","8.81","8.80","0.85K","-2.55%"
"Jan 03, 2020","9.03","9.04","9.31","9.03","5.24K","-4.85%"
"Jan 02, 2020","9.49","9.49","9.49","9.49","0.05K","2.82%"
"Dec 30, 2019","9.23","9.23","9.23","9.23","0.17K","2.10%"
"Dec 27, 2019","9.04","9.23","9.23","9.04","1.22K","-2.06%"
"Dec 26, 2019","9.23","9.05","9.23","9.05","4.21K","1.76%"
"Dec 25, 2019","9.07","9.20","9.20","9.07","4.52K","0.44%"
"Dec 24, 2019","9.03","9.03","9.03","9.03","1.34K","0.00%"
"Dec 23, 2019","9.03","9.03","9.03","9.03","2.60K","-2.90%"
"Dec 20, 2019","9.30","9.28","9.30","9.28","0.83K","2.54%"
"Dec 19, 2019","9.07","9.07","9.07","9.07","5.36K","0.00%"
"Dec 18, 2019","9.07","9.08","9.08","9.07","3.18K","-3.10%"
"Dec 16, 2019","9.36","9.37","9.37","9.36","0.10K","-0.11%"
"Dec 13, 2019","9.37","9.39","9.39","9.37","7.85K","-0.32%"
"Dec 12, 2019","9.40","9.44","9.44","9.40","10.20K","-0.95%"
"Dec 11, 2019","9.49","9.27","9.50","9.27","2.40K","5.44%"
"Dec 10, 2019","9.00","9.00","9.00","9.00","5.55K","0.67%"
"Dec 09, 2019","8.94","8.75","8.94","8.75","0.79K","4.56%"
"Dec 06, 2019","8.55","8.40","8.55","8.40","4.75K","3.64%"
"Dec 05, 2019","8.25","8.25","8.25","8.25","0.62K","-1.79%"
"Dec 04, 2019","8.40","8.40","8.40","8.40","0.14K","-1.75%"
"Dec 02, 2019","8.55","8.55","8.55","8.55","0.00K","3.64%"
"Nov 29, 2019","8.25","8.25","8.25","8.25","0.50K","-1.79%"
"Nov 27, 2019","8.40","8.40","8.40","8.40","0.05K","-1.18%"
"Nov 21, 2019","8.50","8.50","8.50","8.50","0.00K","0.00%"
"Nov 20, 2019","8.50","8.36","8.50","8.36","0.00K","-2.86%"
"Nov 18, 2019","8.75","8.75","8.75","8.75","0.00K","0.81%"
"Nov 15, 2019","8.68","8.70","8.70","8.68","0.20K","-0.80%"
"Nov 14, 2019","8.75","8.75","8.75","8.75","0.00K","5.42%"
"Nov 13, 2019","8.30","8.30","8.30","8.30","0.01K","-0.12%"
"Nov 12, 2019","8.31","8.31","8.31","8.31","0.08K","0.00%"
"Nov 11, 2019","8.31","8.31","8.31","8.31","0.03K","0.00%"
"Nov 08, 2019","8.31","8.31","8.31","8.31","0.10K","-5.25%"
"Nov 06, 2019","8.77","8.77","8.77","8.77","0.00K","4.40%"
"Nov 04, 2019","8.40","8.40","8.40","8.40","2.00K","0.00%"
"Oct 31, 2019","8.40","8.65","8.65","8.40","0.10K","0.00%"
"Oct 30, 2019","8.40","8.81","8.81","8.40","0.01K","-1.87%"
"Oct 29, 2019","8.56","8.56","8.56","8.56","0.50K","-2.84%"
"Oct 28, 2019","8.81","8.81","8.81","8.81","0.02K","-2.97%"
"Oct 24, 2019","9.08","9.08","9.08","9.08","0.00K","0.89%"
"Oct 23, 2019","9.00","9.00","9.00","9.00","0.35K","0.00%"
"Oct 22, 2019","9.00","9.00","9.00","9.00","0.00K","2.97%"
"Oct 17, 2019","8.74","8.74","8.74","8.74","0.10K","-2.89%"
"Oct 16, 2019","9.00","9.00","9.00","9.00","0.07K","3.21%"
"Oct 11, 2019","8.72","9.00","9.00","8.72","0.01K","0.00%"
"Oct 10, 2019","8.72","8.72","8.72","8.72","0.10K","0.11%"
"Oct 09, 2019","8.71","8.72","8.72","8.71","0.37K","-0.11%"
"Oct 08, 2019","8.72","8.73","8.73","8.72","0.12K","-3.11%"
"Oct 04, 2019","9.00","9.00","9.00","9.00","0.02K","2.27%"
"Oct 03, 2019","8.80","8.80","8.80","8.80","0.10K","0.00%"
"Oct 02, 2019","8.80","8.54","8.80","8.54","0.30K","0.00%"
"Oct 01, 2019","8.80","8.80","8.80","8.80","0.82K","0.00%"
"Sep 30, 2019","8.80","8.80","8.80","8.80","0.12K","0.00%"
"Sep 27, 2019","8.80","8.80","8.80","8.80","0.20K","3.04%"
"Sep 26, 2019","8.54","8.54","8.54","8.54","0.03K","0.47%"
"Sep 25, 2019","8.50","8.50","8.50","8.50","0.00K","-3.41%"
"Sep 18, 2019","8.80","8.80","8.80","8.80","0.05K","0.00%"
"Sep 17, 2019","8.80","8.80","8.80","8.80","0.56K","0.00%"
"Sep 16, 2019","8.80","8.80","8.80","8.80","0.00K","3.04%"
"Sep 13, 2019","8.54","8.79","8.79","8.54","0.30K","0.00%"
"Sep 12, 2019","8.54","8.80","8.80","8.54","1.73K","-2.95%"
"Sep 11, 2019","8.80","8.80","8.80","8.80","0.10K","-2.98%"
"Sep 10, 2019","9.07","8.85","9.07","8.65","0.12K","5.47%"
"Sep 09, 2019","8.60","8.86","8.86","8.60","1.00K","-2.82%"
"Sep 06, 2019","8.85","8.83","8.85","8.83","1.40K","0.23%"
"Sep 05, 2019","8.83","8.83","8.83","8.83","0.02K","-2.97%"
"Sep 03, 2019","9.10","9.10","9.10","9.10","1.00K","0.00%"
"Sep 02, 2019","9.10","9.10","9.10","9.10","0.00K","8.08%"
"Aug 29, 2019","8.42","8.42","8.42","8.42","0.20K","-5.50%"
"Aug 27, 2019","8.91","8.91","8.91","8.91","0.05K","-1.00%"
