"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","2.97","2.86","2.97","2.85","2.40K","2.41%"
"May 04, 2020","2.90","2.95","3.01","2.87","3.07K","-1.69%"
"Apr 30, 2020","2.95","2.95","3.12","2.95","0.50K","-2.96%"
"Apr 29, 2020","3.04","2.92","3.10","2.92","1.23K","1.00%"
"Apr 28, 2020","3.01","3.01","3.15","3.01","2.10K","-5.64%"
"Apr 27, 2020","3.19","3.27","3.27","3.10","1.37K","-2.74%"
"Apr 23, 2020","3.28","3.28","3.38","3.28","4.05K","-2.96%"
"Apr 21, 2020","3.38","3.37","3.44","3.28","0.33K","0.00%"
"Apr 20, 2020","3.38","3.33","3.38","3.20","3.90K","0.90%"
"Apr 17, 2020","3.35","3.48","3.48","3.30","0.89K","-1.18%"
"Apr 16, 2020","3.39","3.43","3.43","3.30","0.50K","1.50%"
"Apr 15, 2020","3.34","3.34","3.34","3.24","0.05K","0.00%"
"Apr 14, 2020","3.34","3.34","3.48","3.34","7.75K","-2.91%"
"Apr 13, 2020","3.44","3.53","3.53","3.34","0.33K","-1.43%"
"Apr 08, 2020","3.49","3.60","3.60","3.44","3.02K","-1.41%"
"Apr 07, 2020","3.54","3.50","3.58","3.41","0.30K","1.14%"
"Apr 06, 2020","3.50","3.55","3.55","3.38","4.12K","0.57%"
"Apr 03, 2020","3.48","3.32","3.50","3.31","2.41K","2.05%"
"Apr 02, 2020","3.41","3.61","3.61","3.41","2.82K","-2.85%"
"Apr 01, 2020","3.51","3.51","3.51","3.31","17.02K","2.93%"
"Mar 31, 2020","3.41","3.40","3.41","3.40","2.36K","2.71%"
"Mar 30, 2020","3.32","3.14","3.32","3.14","11.90K","2.79%"
"Mar 27, 2020","3.23","3.32","3.32","3.23","0.01K","-2.71%"
"Mar 26, 2020","3.32","3.32","3.32","3.32","0.55K","-2.92%"
"Mar 25, 2020","3.42","3.52","3.52","3.42","2.65K","-2.84%"
"Mar 24, 2020","3.52","3.52","3.52","3.52","0.78K","-2.76%"
"Mar 23, 2020","3.62","3.78","3.78","3.62","1.45K","-2.95%"
"Mar 19, 2020","3.73","3.56","3.75","3.56","38.68K","1.63%"
"Mar 18, 2020","3.67","3.67","3.67","3.67","0.25K","-8.25%"
"Mar 16, 2020","4.00","4.00","4.00","4.00","0.00K","-1.72%"
"Mar 13, 2020","4.07","4.23","4.23","4.07","0.68K","-4.46%"
"Mar 12, 2020","4.26","4.39","4.39","4.26","8.17K","-0.47%"
"Mar 11, 2020","4.28","4.15","4.28","4.03","32.02K","5.94%"
"Mar 10, 2020","4.04","4.02","4.15","4.02","14.27K","-3.81%"
"Mar 09, 2020","4.20","4.44","4.44","4.20","4.20K","-2.78%"
"Mar 06, 2020","4.32","4.49","4.49","4.32","27.72K","-2.92%"
"Mar 05, 2020","4.45","4.70","4.70","4.37","8.07K","-2.41%"
"Mar 04, 2020","4.56","4.70","4.70","4.56","4.91K","-2.98%"
"Mar 03, 2020","4.70","4.78","4.78","4.70","15.37K","-1.88%"
"Mar 02, 2020","4.79","4.74","4.80","4.74","7.21K","0.21%"
"Feb 28, 2020","4.78","4.80","4.80","4.74","1.62K","-0.21%"
"Feb 27, 2020","4.79","4.74","4.80","4.62","0.87K","1.05%"
"Feb 26, 2020","4.74","4.88","4.94","4.70","3.53K","0.00%"
"Feb 25, 2020","4.74","4.83","4.83","4.69","2.51K","-1.25%"
"Feb 24, 2020","4.80","4.86","4.86","4.72","6.70K","0.00%"
"Feb 21, 2020","4.80","4.88","4.88","4.74","0.58K","0.00%"
"Feb 20, 2020","4.80","4.89","4.89","4.75","8.87K","-1.03%"
"Feb 19, 2020","4.85","4.85","4.85","4.71","28.75K","-0.21%"
"Feb 18, 2020","4.86","4.87","4.90","4.78","10.63K","-0.41%"
"Feb 17, 2020","4.88","4.97","4.97","4.84","3.07K","0.83%"
"Feb 14, 2020","4.84","4.89","5.03","4.75","41.34K","-1.02%"
"Feb 13, 2020","4.89","5.07","5.12","4.87","19.35K","-3.55%"
"Feb 12, 2020","5.07","5.09","5.19","4.80","44.17K","-0.39%"
"Feb 11, 2020","5.09","5.10","5.24","4.88","78.82K","0.00%"
"Feb 10, 2020","5.09","4.95","5.09","4.79","101.40K","6.04%"
"Feb 07, 2020","4.80","4.66","4.80","4.66","40.72K","5.96%"
"Feb 06, 2020","4.53","4.39","4.53","4.27","78.96K","6.09%"
"Feb 05, 2020","4.27","4.13","4.27","4.03","65.08K","5.96%"
"Feb 04, 2020","4.03","3.80","4.04","3.76","102.37K","5.50%"
"Feb 03, 2020","3.82","3.77","3.83","3.66","2.90K","1.33%"
"Jan 31, 2020","3.77","3.87","3.87","3.76","0.46K","-2.58%"
"Jan 30, 2020","3.87","3.85","3.89","3.72","0.12K","1.04%"
"Jan 29, 2020","3.83","3.84","3.84","3.83","0.08K","-0.52%"
"Jan 28, 2020","3.85","3.85","3.85","3.85","0.61K","-1.28%"
"Jan 27, 2020","3.90","3.89","3.90","3.88","1.02K","-0.51%"
"Jan 23, 2020","3.92","3.92","3.92","3.92","0.01K","0.77%"
"Jan 22, 2020","3.89","3.92","3.92","3.81","7.20K","-0.26%"
"Jan 21, 2020","3.90","3.78","3.90","3.78","6.25K","0.26%"
"Jan 20, 2020","3.89","3.89","3.89","3.89","0.20K","0.00%"
"Jan 17, 2020","3.89","3.96","3.96","3.76","4.28K","0.52%"
"Jan 16, 2020","3.87","3.98","3.98","3.87","14.53K","-0.77%"
"Jan 15, 2020","3.90","3.98","3.98","3.79","14.00K","0.00%"
"Jan 13, 2020","3.90","3.98","3.98","3.87","6.55K","-0.76%"
"Jan 10, 2020","3.93","3.93","3.93","3.93","0.00K","0.77%"
"Jan 09, 2020","3.90","3.88","3.93","3.80","2.76K","3.45%"
"Jan 08, 2020","3.77","3.80","3.95","3.77","24.90K","-1.82%"
"Jan 07, 2020","3.84","3.85","3.85","3.69","3.34K","1.05%"
"Jan 06, 2020","3.80","3.85","3.86","3.80","3.79K","-1.55%"
"Jan 03, 2020","3.86","3.89","3.89","3.76","3.81K","-0.26%"
"Jan 02, 2020","3.87","3.71","3.87","3.71","2.87K","4.31%"
"Dec 31, 2019","3.71","3.82","3.82","3.71","2.05K","-1.59%"
"Dec 30, 2019","3.77","3.73","3.82","3.62","7.82K","1.07%"
"Dec 27, 2019","3.73","3.83","3.88","3.73","1.31K","-2.61%"
"Dec 26, 2019","3.83","3.90","3.90","3.79","3.13K","-0.52%"
"Dec 25, 2019","3.85","3.80","3.89","3.74","7.10K","1.32%"
"Dec 24, 2019","3.80","3.88","3.88","3.77","11.17K","-1.04%"
"Dec 23, 2019","3.84","3.63","3.84","3.63","4.07K","2.67%"
"Dec 20, 2019","3.74","3.72","3.88","3.72","12.35K","-1.06%"
"Dec 19, 2019","3.78","3.67","3.78","3.59","31.83K","5.88%"
"Dec 18, 2019","3.57","3.59","3.69","3.50","17.31K","-0.83%"
"Dec 17, 2019","3.60","3.71","3.91","3.60","13.31K","-6.98%"
"Dec 16, 2019","3.87","3.93","3.98","3.82","11.31K","-1.53%"
"Dec 13, 2019","3.93","3.85","3.96","3.76","16.82K","5.08%"
"Dec 12, 2019","3.74","3.85","3.96","3.74","53.70K","0.00%"
"Dec 11, 2019","3.74","3.61","3.74","3.55","43.33K","5.95%"
"Dec 10, 2019","3.53","3.63","3.63","3.53","2.24K","-2.49%"
"Dec 09, 2019","3.62","3.62","3.62","3.51","0.04K","0.28%"
"Dec 06, 2019","3.61","3.59","3.62","3.49","11.33K","2.27%"
"Dec 05, 2019","3.53","3.61","3.61","3.42","10.70K","0.28%"
"Dec 04, 2019","3.52","3.73","3.73","3.52","37.92K","-4.35%"
"Dec 03, 2019","3.68","3.79","3.79","3.68","9.46K","-1.87%"
"Dec 02, 2019","3.75","3.80","3.80","3.69","0.17K","0.27%"
"Nov 29, 2019","3.74","3.85","3.85","3.74","10.13K","-1.58%"
"Nov 28, 2019","3.80","3.75","3.86","3.68","35.06K","4.11%"
"Nov 27, 2019","3.65","3.55","3.65","3.45","34.79K","4.58%"
"Nov 26, 2019","3.49","3.39","3.49","3.29","27.87K","4.18%"
"Nov 25, 2019","3.35","3.45","3.45","3.35","0.65K","-1.47%"
"Nov 22, 2019","3.40","3.47","3.47","3.37","1.71K","-2.02%"
"Nov 21, 2019","3.47","3.57","3.57","3.47","0.57K","-0.29%"
"Nov 20, 2019","3.48","3.45","3.48","3.33","11.05K","2.35%"
"Nov 19, 2019","3.40","3.42","3.45","3.32","14.92K","-0.58%"
"Nov 18, 2019","3.42","3.50","3.50","3.40","2.71K","-2.29%"
"Nov 15, 2019","3.50","3.40","3.50","3.30","5.95K","2.94%"
"Nov 14, 2019","3.40","3.65","3.65","3.40","18.12K","-4.23%"
"Nov 13, 2019","3.55","3.47","3.55","3.38","30.94K","8.23%"
"Nov 12, 2019","3.28","3.19","3.28","3.10","9.10K","3.80%"
"Nov 11, 2019","3.16","3.15","3.19","3.15","6.36K","3.27%"
"Nov 08, 2019","3.06","2.98","3.06","2.98","12.42K","8.13%"
"Nov 07, 2019","2.83","2.71","2.83","2.71","28.88K","3.28%"
"Nov 06, 2019","2.74","2.74","2.74","2.74","0.01K","-2.84%"
"Nov 05, 2019","2.82","2.82","2.82","2.82","0.00K","-2.76%"
"Nov 04, 2019","2.90","2.90","2.90","2.90","0.01K","-2.68%"
"Nov 01, 2019","2.98","2.98","2.98","2.98","1.28K","-4.18%"
"Oct 31, 2019","3.11","3.20","3.20","3.11","8.00K","0.00%"
"Oct 30, 2019","3.11","3.20","3.29","3.11","2.94K","-2.81%"
"Oct 29, 2019","3.20","3.14","3.20","2.92","20.14K","4.92%"
"Oct 28, 2019","3.05","3.28","3.28","3.00","7.64K","-2.87%"
"Oct 25, 2019","3.14","2.96","3.14","2.96","44.64K","10.56%"
"Oct 23, 2019","2.84","2.68","2.84","2.67","26.99K","5.97%"
"Oct 22, 2019","2.68","2.49","2.68","2.46","62.17K","4.28%"
"Oct 21, 2019","2.57","2.57","2.57","2.57","0.00K","1.98%"
"Oct 18, 2019","2.52","2.50","2.52","2.43","2.47K","-0.79%"
"Oct 17, 2019","2.54","2.54","2.54","2.45","0.20K","0.79%"
"Oct 16, 2019","2.52","2.55","2.55","2.48","6.51K","0.00%"
"Oct 14, 2019","2.52","2.50","2.55","2.45","2.68K","0.80%"
"Oct 11, 2019","2.50","2.53","2.53","2.46","0.55K","0.81%"
"Oct 10, 2019","2.48","2.55","2.55","2.48","1.68K","0.00%"
"Oct 09, 2019","2.48","2.55","2.55","2.41","8.93K","0.00%"
"Oct 08, 2019","2.48","2.40","2.48","2.40","9.78K","5.98%"
"Oct 07, 2019","2.34","2.29","2.34","2.22","17.12K","2.63%"
"Oct 04, 2019","2.28","2.16","2.28","2.16","5.81K","2.70%"
"Oct 03, 2019","2.22","2.16","2.22","2.16","0.52K","0.00%"
"Oct 02, 2019","2.22","2.22","2.22","2.22","1.00K","-2.63%"
"Sep 30, 2019","2.28","2.24","2.28","2.24","0.50K","-0.87%"
"Sep 26, 2019","2.30","2.29","2.32","2.20","10.00K","1.77%"
"Sep 25, 2019","2.26","2.26","2.29","2.26","4.40K","-2.59%"
"Sep 23, 2019","2.32","2.27","2.33","2.27","0.32K","2.20%"
"Sep 20, 2019","2.27","2.21","2.27","2.21","5.80K","2.71%"
"Sep 16, 2019","2.21","2.21","2.21","2.21","1.50K","-0.90%"
"Sep 13, 2019","2.23","2.23","2.23","2.23","2.20K","2.76%"
"Sep 12, 2019","2.17","2.11","2.17","2.11","2.30K","2.84%"
"Sep 11, 2019","2.11","2.06","2.11","2.06","6.75K","0.96%"
"Sep 10, 2019","2.09","2.10","2.12","2.08","1.30K","0.48%"
"Sep 09, 2019","2.08","2.08","2.10","2.08","2.34K","-2.80%"
"Sep 04, 2019","2.14","2.09","2.14","2.09","0.00K","-0.47%"
"Sep 03, 2019","2.15","2.14","2.15","2.14","1.00K","0.00%"
"Sep 02, 2019","2.15","2.15","2.15","2.15","0.02K","0.00%"
"Aug 30, 2019","2.15","2.14","2.15","2.14","0.65K","-0.92%"
"Aug 28, 2019","2.17","2.16","2.17","2.16","1.10K","0.00%"
"Aug 27, 2019","2.17","2.15","2.17","2.14","5.27K","0.00%"
"Aug 15, 2019","2.17","2.17","2.17","2.05","1.17K","-0.46%"
"Aug 02, 2019","2.18","2.15","2.18","2.15","2.30K","0.00%"
"Aug 01, 2019","2.18","2.19","2.19","2.18","2.01K","-0.91%"
"Jul 30, 2019","2.20","2.19","2.20","2.19","1.01K","0.00%"
"Jul 29, 2019","2.20","2.18","2.20","2.18","1.27K","0.46%"
"Jul 22, 2019","2.19","2.20","2.24","2.18","12.45K","0.46%"
"Jul 19, 2019","2.18","2.07","2.19","2.07","1.98K","2.35%"
"Jul 18, 2019","2.13","2.19","2.22","2.13","3.40K","-4.91%"
"Jul 17, 2019","2.24","2.16","2.25","2.16","2.79K","-3.03%"
"Jul 16, 2019","2.31","2.31","2.31","2.31","0.50K","-0.43%"
"Jul 15, 2019","2.32","2.32","2.32","2.32","0.01K","2.20%"
"Jul 12, 2019","2.27","2.27","2.27","2.27","0.02K","2.71%"
"Jul 11, 2019","2.21","2.15","2.33","2.15","5.78K","-1.78%"
"Jul 10, 2019","2.25","2.20","2.26","2.14","3.00K","0.00%"
"Jul 09, 2019","2.25","2.31","2.31","2.25","1.40K","-3.02%"
"Jul 08, 2019","2.32","2.33","2.33","2.27","3.27K","-1.28%"
"Jul 05, 2019","2.35","2.34","2.40","2.27","4.88K","3.07%"
"Jul 04, 2019","2.28","2.39","2.39","2.28","2.83K","-2.98%"
"Jul 03, 2019","2.35","2.35","2.35","2.28","3.73K","-2.89%"
"Jul 02, 2019","2.42","2.42","2.42","2.35","0.30K","2.54%"
"Jul 01, 2019","2.36","2.45","2.49","2.36","1.39K","-2.88%"
"Jun 28, 2019","2.43","2.38","2.45","2.31","11.87K","2.10%"
"Jun 27, 2019","2.38","2.35","2.38","2.34","4.28K","5.78%"
"Jun 26, 2019","2.25","2.26","2.27","2.21","19.86K","-0.88%"
"Jun 25, 2019","2.27","2.32","2.32","2.25","10.25K","-2.58%"
"Jun 24, 2019","2.33","2.33","2.33","2.27","0.55K","1.75%"
"Jun 21, 2019","2.29","2.23","2.29","2.17","23.62K","2.69%"
"Jun 20, 2019","2.23","2.19","2.25","2.19","11.82K","4.21%"
"Jun 19, 2019","2.14","2.08","2.14","2.05","16.90K","2.39%"
"Jun 18, 2019","2.09","2.06","2.10","2.05","15.74K","1.95%"
"Jun 17, 2019","2.05","2.00","2.05","1.99","3.74K","3.02%"
"Jun 14, 2019","1.99","2.00","2.00","1.94","6.74K","0.51%"
"Jun 13, 2019","1.98","1.92","1.98","1.92","11.53K","2.59%"
"Jun 12, 2019","1.93","1.88","1.93","1.83","3.81K","2.66%"
"Jun 11, 2019","1.88","1.82","1.88","1.79","11.57K","2.17%"
"Jun 07, 2019","1.84","1.79","1.84","1.79","2.56K","3.95%"
