"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","15.40","15.40","15.40","15.40","0.84K","0.13%"
"Apr 23, 2020","15.38","14.50","15.38","14.50","0.40K","2.95%"
"Apr 17, 2020","14.94","14.94","14.94","14.94","0.27K","-2.99%"
"Apr 16, 2020","15.40","15.33","15.40","15.33","0.10K","-2.53%"
"Apr 01, 2020","15.80","15.40","15.80","15.40","0.00K","2.60%"
"Mar 31, 2020","15.40","15.00","15.40","15.00","0.01K","-1.28%"
"Mar 26, 2020","15.60","15.86","15.86","15.00","2.72K","1.30%"
"Mar 25, 2020","15.40","15.00","15.40","15.00","1.07K","2.67%"
"Mar 24, 2020","15.00","15.00","15.00","15.00","0.30K","0.00%"
"Mar 23, 2020","15.00","15.00","15.00","15.00","0.25K","-2.91%"
"Mar 19, 2020","15.45","15.45","15.45","15.45","0.00K","3.00%"
"Mar 18, 2020","15.00","14.55","15.00","14.55","0.15K","0.00%"
"Mar 11, 2020","15.00","15.00","15.00","15.00","0.15K","0.00%"
"Mar 10, 2020","15.00","15.00","15.00","15.00","0.20K","0.00%"
"Mar 06, 2020","15.00","15.00","15.00","15.00","0.14K","0.00%"
"Mar 02, 2020","15.00","15.00","15.43","15.00","0.04K","0.00%"
"Feb 28, 2020","15.00","15.00","15.00","15.00","0.19K","0.00%"
"Feb 27, 2020","15.00","15.00","15.00","15.00","0.14K","0.00%"
"Feb 25, 2020","15.00","15.00","15.00","15.00","0.37K","0.00%"
"Feb 24, 2020","15.00","15.00","15.00","15.00","4.29K","-2.91%"
"Feb 21, 2020","15.45","15.00","15.45","15.00","3.91K","3.00%"
"Feb 20, 2020","15.00","15.00","15.65","15.00","1.04K","-1.32%"
"Feb 14, 2020","15.20","15.00","15.20","15.00","4.25K","1.33%"
"Feb 13, 2020","15.00","15.00","15.00","15.00","0.40K","0.00%"
"Feb 12, 2020","15.00","15.00","15.39","15.00","20.11K","0.00%"
"Feb 11, 2020","15.00","15.00","15.00","15.00","2.86K","0.00%"
"Feb 10, 2020","15.00","15.00","15.00","15.00","1.77K","0.00%"
"Feb 07, 2020","15.00","15.00","15.00","15.00","0.74K","0.00%"
"Feb 05, 2020","15.00","15.00","15.00","15.00","1.25K","0.00%"
"Feb 04, 2020","15.00","15.00","15.00","15.00","1.00K","0.00%"
"Feb 03, 2020","15.00","15.00","15.00","15.00","0.04K","0.00%"
"Jan 31, 2020","15.00","15.00","15.00","15.00","1.33K","0.00%"
"Jan 30, 2020","15.00","15.00","15.00","15.00","2.73K","0.00%"
"Jan 29, 2020","15.00","15.00","15.00","15.00","2.29K","0.00%"
"Jan 28, 2020","15.00","15.00","15.00","15.00","8.05K","0.00%"
"Jan 27, 2020","15.00","15.00","15.00","15.00","0.59K","0.00%"
"Jan 24, 2020","15.00","15.00","15.00","15.00","0.31K","0.00%"
"Jan 23, 2020","15.00","15.00","15.00","15.00","9.83K","0.00%"
"Jan 22, 2020","15.00","15.00","15.00","15.00","5.85K","0.00%"
"Jan 21, 2020","15.00","15.00","15.00","15.00","2.28K","0.00%"
"Jan 20, 2020","15.00","15.00","15.00","15.00","3.99K","0.00%"
"Jan 17, 2020","15.00","15.00","15.00","15.00","1.77K","0.00%"
"Jan 16, 2020","15.00","15.00","15.00","15.00","3.48K","-0.07%"
"Jan 15, 2020","15.01","15.00","15.01","15.00","1.37K","0.07%"
"Jan 13, 2020","15.00","14.55","15.20","14.55","3.41K","0.00%"
"Jan 10, 2020","15.00","15.00","15.00","15.00","2.98K","0.00%"
"Jan 09, 2020","15.00","15.00","15.00","15.00","0.22K","0.00%"
"Jan 08, 2020","15.00","15.10","15.10","15.00","1.67K","-1.32%"
"Jan 06, 2020","15.20","15.20","15.20","15.20","0.06K","1.67%"
"Dec 31, 2019","14.95","14.95","14.95","14.95","0.00K","0.00%"
"Dec 27, 2019","14.95","14.95","14.95","14.95","0.50K","0.34%"
"Dec 26, 2019","14.90","14.95","14.95","14.90","5.57K","-0.33%"
"Dec 25, 2019","14.95","15.05","15.05","14.95","1.00K","-2.92%"
"Dec 23, 2019","15.40","15.43","15.43","15.40","3.23K","-0.19%"
"Dec 20, 2019","15.43","15.43","15.43","15.43","0.00K","0.00%"
"Dec 19, 2019","15.43","15.00","15.43","14.97","7.05K","0.00%"
"Dec 18, 2019","15.43","15.43","15.43","15.43","0.05K","0.00%"
"Dec 17, 2019","15.43","15.43","15.43","15.43","2.20K","-2.96%"
"Dec 13, 2019","15.90","15.90","15.90","15.90","0.06K","2.98%"
"Dec 12, 2019","15.44","15.91","15.91","15.44","0.68K","-2.95%"
"Dec 11, 2019","15.91","16.20","16.25","15.91","0.05K","-1.79%"
"Dec 10, 2019","16.20","16.18","16.20","16.18","1.02K","-0.31%"
"Dec 06, 2019","16.25","16.25","16.25","15.91","0.35K","0.00%"
"Dec 05, 2019","16.25","16.30","16.30","16.25","0.05K","-0.91%"
"Dec 03, 2019","16.40","16.30","16.40","16.30","0.05K","0.00%"
"Dec 02, 2019","16.40","16.40","16.40","16.40","0.06K","0.00%"
"Nov 29, 2019","16.40","16.35","16.40","16.35","0.06K","-0.61%"
"Nov 25, 2019","16.50","16.50","16.50","16.50","0.00K","0.00%"
"Nov 22, 2019","16.50","16.50","16.50","16.50","0.00K","0.00%"
"Nov 21, 2019","16.50","16.50","16.50","16.50","0.04K","0.00%"
"Nov 20, 2019","16.50","16.50","16.50","16.50","0.04K","0.00%"
"Nov 19, 2019","16.50","16.50","16.50","16.50","0.02K","0.30%"
"Nov 18, 2019","16.45","16.45","16.45","16.45","0.00K","0.30%"
"Nov 15, 2019","16.40","16.40","16.40","16.40","0.08K","0.00%"
"Nov 14, 2019","16.40","16.40","16.40","16.40","3.03K","0.61%"
"Nov 12, 2019","16.30","16.30","16.30","16.30","0.07K","-1.21%"
"Nov 07, 2019","16.50","16.11","16.50","16.11","0.00K","-0.60%"
"Nov 06, 2019","16.60","16.68","16.68","16.60","0.05K","-0.48%"
"Nov 01, 2019","16.68","16.68","16.68","16.68","0.05K","2.96%"
"Oct 31, 2019","16.20","16.20","16.20","16.20","0.00K","0.00%"
"Oct 30, 2019","16.20","16.29","16.29","16.20","0.01K","2.27%"
