"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","5.53","5.80","5.80","5.53","1.69K","-2.98%"
"May 04, 2020","5.70","5.70","5.70","5.70","0.20K","-2.90%"
"Apr 30, 2020","5.87","5.87","5.87","5.87","0.00K","-2.98%"
"Apr 29, 2020","6.05","6.10","6.12","5.80","0.07K","1.68%"
"Apr 28, 2020","5.95","6.28","6.28","5.95","0.04K","-2.94%"
"Apr 27, 2020","6.13","6.13","6.13","6.13","0.00K","2.85%"
"Apr 24, 2020","5.96","5.96","5.96","5.80","0.20K","2.94%"
"Apr 23, 2020","5.79","5.78","5.79","5.78","0.20K","0.00%"
"Apr 22, 2020","5.79","5.78","5.79","5.78","0.20K","0.00%"
"Apr 21, 2020","5.79","5.79","5.79","5.63","0.02K","-2.69%"
"Apr 20, 2020","5.95","5.97","5.97","5.63","0.23K","2.59%"
"Apr 17, 2020","5.80","5.80","5.80","5.80","0.20K","0.00%"
"Apr 16, 2020","5.80","5.95","5.95","5.70","0.40K","0.00%"
"Apr 15, 2020","5.80","5.96","5.96","5.80","0.20K","0.00%"
"Apr 14, 2020","5.80","5.97","5.97","5.80","0.20K","0.00%"
"Apr 13, 2020","5.80","5.97","5.97","5.80","0.20K","0.00%"
"Apr 08, 2020","5.80","5.80","5.80","5.80","0.20K","-0.51%"
"Apr 07, 2020","5.83","5.70","5.83","5.70","0.70K","-0.17%"
"Apr 06, 2020","5.84","5.87","5.87","5.63","0.25K","2.46%"
"Apr 03, 2020","5.70","5.90","5.90","5.69","0.90K","-1.21%"
"Apr 02, 2020","5.77","5.80","5.80","5.77","0.25K","-2.86%"
"Apr 01, 2020","5.94","6.00","6.00","5.90","0.35K","0.00%"
"Mar 31, 2020","5.94","5.96","5.96","5.80","0.20K","2.41%"
"Mar 30, 2020","5.80","6.05","6.05","5.80","1.66K","-2.85%"
"Mar 27, 2020","5.97","6.01","6.01","5.97","1.41K","2.23%"
"Mar 26, 2020","5.84","5.84","5.84","5.84","0.00K","3.00%"
"Mar 25, 2020","5.67","5.67","5.67","5.67","0.41K","2.90%"
"Mar 24, 2020","5.51","5.51","5.51","5.51","0.00K","2.99%"
"Mar 23, 2020","5.35","5.55","5.55","5.35","0.20K","-0.74%"
"Mar 19, 2020","5.39","5.39","5.39","5.39","0.00K","2.86%"
"Mar 18, 2020","5.24","5.24","5.24","5.24","0.20K","-2.96%"
"Mar 17, 2020","5.40","5.40","5.40","5.40","0.05K","-8.47%"
"Mar 13, 2020","5.90","5.90","5.90","5.90","0.10K","-2.96%"
"Mar 11, 2020","6.08","6.08","6.08","6.08","0.00K","2.88%"
"Mar 10, 2020","5.91","5.91","5.91","5.91","0.22K","-2.96%"
"Mar 06, 2020","6.09","6.09","6.10","6.09","10.26K","-0.98%"
"Mar 04, 2020","6.15","6.15","6.15","6.15","0.05K","2.50%"
"Mar 03, 2020","6.00","6.00","6.00","5.85","1.52K","0.00%"
"Mar 02, 2020","6.00","6.16","6.16","5.98","2.30K","0.00%"
"Feb 28, 2020","6.00","6.00","6.00","5.83","5.24K","0.00%"
"Feb 27, 2020","6.00","6.00","6.00","6.00","1.26K","0.00%"
"Feb 26, 2020","6.00","6.06","6.06","6.00","0.70K","-0.99%"
"Feb 25, 2020","6.06","6.19","6.19","6.06","0.08K","-2.10%"
"Feb 24, 2020","6.19","6.06","6.19","6.06","0.01K","0.00%"
"Feb 21, 2020","6.19","6.19","6.19","6.06","0.21K","0.00%"
"Feb 20, 2020","6.19","6.05","6.19","6.04","3.73K","-0.32%"
"Feb 18, 2020","6.21","6.02","6.21","6.02","1.10K","0.16%"
"Feb 14, 2020","6.20","6.10","6.21","6.06","1.38K","0.00%"
"Feb 13, 2020","6.20","6.20","6.20","6.20","3.68K","0.00%"
"Feb 12, 2020","6.20","6.03","6.21","6.03","6.05K","2.82%"
"Feb 11, 2020","6.03","6.20","6.21","6.03","8.37K","-2.74%"
"Feb 07, 2020","6.20","6.20","6.20","6.19","8.20K","0.00%"
"Feb 06, 2020","6.20","6.07","6.25","6.07","3.42K","-0.80%"
"Feb 05, 2020","6.25","6.10","6.25","6.10","5.93K","-1.11%"
"Feb 04, 2020","6.32","6.14","6.32","6.14","5.05K","0.00%"
"Feb 03, 2020","6.32","6.25","6.32","6.25","0.00K","1.12%"
"Jan 31, 2020","6.25","6.25","6.25","6.25","0.00K","0.16%"
"Jan 30, 2020","6.24","6.25","6.30","6.07","2.75K","-0.16%"
"Jan 28, 2020","6.25","6.25","6.25","6.24","0.84K","-1.42%"
"Jan 20, 2020","6.34","6.34","6.34","6.32","2.35K","0.63%"
"Jan 17, 2020","6.30","6.30","6.30","6.20","2.25K","0.00%"
"Jan 16, 2020","6.30","6.30","6.30","6.30","0.00K","0.32%"
"Jan 15, 2020","6.28","6.28","6.28","6.28","0.01K","0.32%"
"Jan 13, 2020","6.26","6.29","6.29","6.12","0.37K","-0.63%"
"Jan 10, 2020","6.30","6.26","6.30","6.26","0.01K","0.80%"
"Jan 09, 2020","6.25","6.02","6.25","6.02","0.55K","0.81%"
"Jan 08, 2020","6.20","6.26","6.27","6.11","0.12K","-1.43%"
"Jan 07, 2020","6.29","6.17","6.34","6.16","1.91K","-0.94%"
"Jan 06, 2020","6.35","6.35","6.35","6.35","0.00K","1.76%"
"Jan 03, 2020","6.24","6.44","6.44","6.24","0.01K","-2.95%"
"Jan 02, 2020","6.43","6.24","6.43","6.24","14.36K","0.94%"
"Dec 31, 2019","6.37","6.25","6.40","6.07","10.33K","2.74%"
"Dec 30, 2019","6.20","6.35","6.35","6.20","2.49K","-1.59%"
"Dec 27, 2019","6.30","6.39","6.39","6.25","2.45K","-2.17%"
"Dec 26, 2019","6.44","6.45","6.45","6.30","5.24K","2.22%"
"Dec 25, 2019","6.30","6.49","6.49","6.30","7.41K","-0.16%"
"Dec 24, 2019","6.31","6.40","6.45","6.31","5.29K","-2.92%"
"Dec 23, 2019","6.50","6.52","6.52","6.33","10.01K","-0.61%"
"Dec 20, 2019","6.54","6.50","6.56","6.31","10.04K","0.62%"
"Dec 19, 2019","6.50","6.50","6.50","6.49","1.62K","0.00%"
"Dec 18, 2019","6.50","6.58","6.58","6.45","14.10K","0.00%"
"Dec 17, 2019","6.50","6.50","6.50","6.50","0.50K","0.00%"
"Dec 16, 2019","6.50","6.48","6.50","6.40","12.51K","0.93%"
"Dec 13, 2019","6.44","6.35","6.44","6.35","13.71K","1.58%"
"Dec 12, 2019","6.34","6.20","6.34","6.20","1.71K","-0.78%"
"Dec 11, 2019","6.39","6.30","6.40","6.28","4.01K","1.43%"
"Dec 10, 2019","6.30","6.30","6.30","6.30","0.00K","0.00%"
"Dec 09, 2019","6.30","6.30","6.30","6.20","2.00K","0.00%"
"Dec 06, 2019","6.30","6.20","6.30","6.20","4.07K","0.00%"
"Dec 05, 2019","6.30","6.30","6.30","6.30","0.00K","2.61%"
"Dec 04, 2019","6.14","6.20","6.30","6.14","2.08K","-2.69%"
"Dec 03, 2019","6.31","6.60","6.60","6.31","20.01K","-2.77%"
"Dec 02, 2019","6.49","6.36","6.54","6.30","4.00K","2.04%"
"Nov 29, 2019","6.36","6.36","6.45","6.36","6.43K","-2.90%"
"Nov 28, 2019","6.55","6.40","6.56","6.21","22.60K","4.80%"
"Nov 27, 2019","6.25","6.07","6.35","6.07","21.84K","2.97%"
"Nov 26, 2019","6.07","6.20","6.20","6.02","13.07K","-2.88%"
"Nov 25, 2019","6.25","6.29","6.30","6.18","1.56K","-1.88%"
"Nov 22, 2019","6.37","6.40","6.40","6.35","0.36K","1.27%"
"Nov 21, 2019","6.29","6.29","6.46","6.25","1.30K","0.00%"
"Nov 20, 2019","6.29","6.11","6.29","6.11","46.09K","2.95%"
"Nov 19, 2019","6.11","5.97","6.23","5.96","43.51K","2.35%"
"Nov 18, 2019","5.97","5.80","5.97","5.80","6.78K","2.93%"
"Nov 15, 2019","5.80","5.92","5.92","5.67","10.76K","-2.03%"
"Nov 14, 2019","5.92","5.97","6.14","5.80","56.58K","0.34%"
"Nov 13, 2019","5.90","5.84","5.97","5.71","49.08K","4.06%"
"Nov 12, 2019","5.67","5.50","5.67","5.33","87.97K","5.98%"
"Nov 11, 2019","5.35","5.00","5.35","5.00","56.10K","7.43%"
"Nov 08, 2019","4.98","4.84","4.98","4.84","38.20K","2.89%"
"Nov 06, 2019","4.84","4.60","4.84","4.60","0.15K","2.98%"
"Nov 05, 2019","4.70","4.70","4.70","4.70","5.00K","0.00%"
"Nov 01, 2019","4.70","4.70","4.70","4.70","0.21K","-1.26%"
"Oct 31, 2019","4.76","4.76","4.76","4.76","1.00K","0.00%"
"Oct 29, 2019","4.76","4.76","4.76","4.76","0.52K","-2.86%"
"Oct 25, 2019","4.90","4.75","4.90","4.75","0.23K","0.20%"
"Oct 24, 2019","4.89","4.89","4.89","4.89","0.10K","-0.61%"
