"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","10.78","10.54","10.80","10.54","0.88K","2.28%"
"May 04, 2020","10.54","10.80","11.00","10.42","13.86K","-1.86%"
"Apr 30, 2020","10.74","10.50","10.74","10.35","667.71K","2.29%"
"Apr 29, 2020","10.50","10.88","10.88","10.41","126.11K","-1.59%"
"Apr 28, 2020","10.67","11.26","11.26","10.67","151.08K","-3.00%"
"Apr 27, 2020","11.00","11.38","11.38","11.00","35.81K","-0.90%"
"Apr 24, 2020","11.10","11.21","11.38","11.10","51.71K","0.45%"
"Apr 23, 2020","11.05","11.35","11.35","11.05","5.41K","0.00%"
"Apr 22, 2020","11.05","11.00","11.18","10.67","2.57K","0.45%"
"Apr 21, 2020","11.00","11.30","11.33","10.80","10.54K","0.00%"
"Apr 20, 2020","11.00","11.30","11.30","10.80","5.26K","-0.09%"
"Apr 17, 2020","11.01","11.13","11.45","11.00","4.60K","-0.99%"
"Apr 16, 2020","11.12","11.10","11.12","11.10","0.41K","1.09%"
"Apr 15, 2020","11.00","11.11","11.11","11.00","2.78K","0.27%"
"Apr 14, 2020","10.97","11.10","11.10","10.97","0.23K","1.57%"
"Apr 13, 2020","10.80","10.80","11.17","10.76","118.09K","-1.55%"
"Apr 08, 2020","10.97","11.30","11.30","10.97","67.28K","-2.92%"
"Apr 07, 2020","11.30","11.30","11.75","11.30","1.80K","-2.92%"
"Apr 06, 2020","11.64","11.64","11.64","11.64","2.30K","-3.00%"
"Apr 03, 2020","12.00","12.48","12.49","12.00","0.51K","-1.15%"
"Apr 02, 2020","12.14","12.14","12.14","11.45","2.76K","2.97%"
"Apr 01, 2020","11.79","11.50","11.79","11.40","1.16K","2.97%"
"Mar 31, 2020","11.45","11.50","11.50","11.45","0.03K","2.05%"
"Mar 30, 2020","11.22","11.55","11.55","11.20","22.15K","0.00%"
"Mar 27, 2020","11.22","11.22","11.22","11.22","51.36K","2.94%"
"Mar 26, 2020","10.90","11.22","11.22","10.90","0.65K","0.00%"
"Mar 25, 2020","10.90","11.00","11.00","10.90","0.74K","-0.91%"
"Mar 24, 2020","11.00","10.70","11.00","10.70","1.12K","0.92%"
"Mar 23, 2020","10.90","11.00","11.00","10.90","1.21K","-0.91%"
"Mar 19, 2020","11.00","11.01","11.33","11.00","1.58K","0.00%"
"Mar 18, 2020","11.00","10.97","11.63","10.97","2.55K","-2.65%"
"Mar 17, 2020","11.30","11.40","11.40","11.30","0.38K","-0.18%"
"Mar 16, 2020","11.32","11.42","11.42","11.32","1.58K","-4.47%"
"Mar 12, 2020","11.85","12.24","12.55","11.85","0.80K","-2.79%"
"Mar 11, 2020","12.19","11.85","12.20","11.85","2.86K","2.87%"
"Mar 10, 2020","11.85","11.95","11.95","11.85","0.19K","-3.19%"
"Mar 09, 2020","12.24","12.70","12.70","12.24","1.79K","-1.61%"
