"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","0.44","0.43","0.44","0.43","0.14K","0.00%"
"May 04, 2020","0.44","0.44","0.44","0.44","0.55K","0.00%"
"Apr 30, 2020","0.44","0.42","0.44","0.42","2.63K","2.33%"
"Apr 29, 2020","0.43","0.44","0.44","0.43","0.14K","-2.27%"
"Apr 28, 2020","0.44","0.45","0.45","0.44","0.47K","-2.22%"
"Apr 27, 2020","0.45","0.45","0.45","0.45","0.00K","2.27%"
"Apr 24, 2020","0.44","0.45","0.45","0.44","1.03K","-4.35%"
"Apr 23, 2020","0.46","0.46","0.46","0.45","3.48K","0.00%"
"Apr 22, 2020","0.46","0.47","0.47","0.46","0.54K","0.00%"
"Apr 21, 2020","0.46","0.47","0.47","0.46","2.67K","-2.13%"
"Apr 20, 2020","0.47","0.45","0.47","0.45","8.30K","2.17%"
"Apr 17, 2020","0.46","0.47","0.47","0.45","0.55K","0.00%"
"Apr 16, 2020","0.46","0.45","0.46","0.45","1.80K","0.00%"
"Apr 14, 2020","0.46","0.46","0.46","0.46","0.16K","-2.13%"
"Apr 13, 2020","0.47","0.47","0.47","0.47","0.02K","2.17%"
"Apr 08, 2020","0.46","0.46","0.46","0.46","4.37K","-2.13%"
"Apr 03, 2020","0.47","0.47","0.47","0.47","0.00K","2.17%"
"Apr 02, 2020","0.46","0.46","0.46","0.46","4.01K","-2.13%"
"Apr 01, 2020","0.47","0.46","0.47","0.46","6.80K","0.00%"
"Mar 31, 2020","0.47","0.46","0.47","0.46","6.54K","0.00%"
"Mar 30, 2020","0.47","0.47","0.47","0.47","2.25K","-2.08%"
"Mar 27, 2020","0.48","0.48","0.48","0.48","0.09K","2.13%"
"Mar 26, 2020","0.47","0.47","0.47","0.47","0.01K","2.17%"
"Mar 25, 2020","0.46","0.46","0.46","0.46","8.06K","2.22%"
"Mar 24, 2020","0.45","0.45","0.47","0.45","8.62K","-4.26%"
"Mar 23, 2020","0.47","0.47","0.47","0.47","0.03K","0.00%"
"Mar 19, 2020","0.47","0.47","0.48","0.47","24.69K","-2.08%"
"Mar 18, 2020","0.48","0.49","0.49","0.48","4.72K","-2.04%"
"Mar 17, 2020","0.49","0.50","0.50","0.49","0.78K","-2.00%"
"Mar 16, 2020","0.50","0.51","0.52","0.50","1.24K","-5.66%"
"Mar 13, 2020","0.53","0.52","0.53","0.51","14.33K","0.00%"
"Mar 12, 2020","0.53","0.54","0.54","0.53","5.91K","-1.85%"
"Mar 11, 2020","0.54","0.53","0.54","0.53","4.73K","0.00%"
"Mar 10, 2020","0.54","0.54","0.54","0.54","3.00K","-3.57%"
"Mar 09, 2020","0.56","0.56","0.56","0.55","2.06K","0.00%"
"Mar 06, 2020","0.56","0.56","0.56","0.56","3.01K","-1.75%"
"Mar 05, 2020","0.57","0.57","0.57","0.57","0.00K","1.79%"
"Mar 04, 2020","0.56","0.55","0.56","0.54","6.49K","1.82%"
"Mar 03, 2020","0.55","0.55","0.55","0.55","0.30K","-1.79%"
"Mar 02, 2020","0.56","0.56","0.56","0.56","0.01K","0.00%"
"Feb 28, 2020","0.56","0.55","0.56","0.55","14.73K","0.00%"
"Feb 27, 2020","0.56","0.56","0.56","0.56","4.37K","-1.75%"
"Feb 26, 2020","0.57","0.57","0.57","0.57","2.99K","-3.39%"
"Feb 25, 2020","0.59","0.59","0.59","0.59","0.02K","0.00%"
"Feb 24, 2020","0.59","0.59","0.59","0.58","5.27K","0.00%"
"Feb 20, 2020","0.59","0.59","0.59","0.58","3.19K","0.00%"
"Feb 19, 2020","0.59","0.58","0.59","0.57","16.37K","1.72%"
"Feb 18, 2020","0.58","0.59","0.59","0.55","17.03K","1.75%"
"Feb 17, 2020","0.57","0.56","0.57","0.56","28.85K","0.00%"
"Feb 14, 2020","0.57","0.58","0.58","0.57","3.43K","-1.72%"
"Feb 13, 2020","0.58","0.61","0.61","0.58","11.06K","-4.92%"
"Feb 12, 2020","0.61","0.63","0.63","0.61","6.59K","-1.61%"
"Feb 11, 2020","0.62","0.61","0.62","0.61","60.61K","5.08%"
"Feb 10, 2020","0.59","0.57","0.59","0.57","51.60K","5.36%"
"Feb 07, 2020","0.56","0.55","0.56","0.55","9.54K","0.00%"
"Feb 06, 2020","0.56","0.56","0.57","0.56","0.36K","0.00%"
"Feb 05, 2020","0.56","0.56","0.56","0.54","20.08K","3.70%"
"Feb 04, 2020","0.54","0.52","0.54","0.52","36.85K","1.89%"
"Feb 03, 2020","0.53","0.53","0.54","0.52","44.25K","0.00%"
"Jan 31, 2020","0.53","0.53","0.53","0.52","38.13K","0.00%"
"Jan 30, 2020","0.53","0.53","0.53","0.53","14.57K","1.92%"
"Jan 29, 2020","0.52","0.51","0.52","0.51","6.90K","0.00%"
"Jan 28, 2020","0.52","0.52","0.52","0.52","7.72K","-1.89%"
"Jan 27, 2020","0.53","0.53","0.53","0.53","4.01K","-1.85%"
"Jan 24, 2020","0.54","0.53","0.54","0.52","19.77K","0.00%"
"Jan 23, 2020","0.54","0.55","0.55","0.54","0.30K","0.00%"
"Jan 22, 2020","0.54","0.55","0.55","0.54","5.61K","-1.82%"
"Jan 21, 2020","0.55","0.56","0.56","0.54","5.27K","0.00%"
"Jan 20, 2020","0.55","0.55","0.55","0.55","2.65K","0.00%"
"Jan 17, 2020","0.55","0.53","0.55","0.53","35.39K","1.85%"
"Jan 16, 2020","0.54","0.55","0.55","0.54","18.02K","-3.57%"
"Jan 15, 2020","0.56","0.56","0.56","0.56","10.50K","-1.75%"
"Jan 13, 2020","0.57","0.57","0.57","0.55","6.02K","0.00%"
"Jan 10, 2020","0.57","0.58","0.59","0.57","5.81K","-1.72%"
"Jan 09, 2020","0.58","0.58","0.58","0.58","1.69K","-1.69%"
"Jan 08, 2020","0.59","0.59","0.59","0.59","1.97K","-1.67%"
"Jan 07, 2020","0.60","0.60","0.60","0.60","0.05K","-1.64%"
"Jan 06, 2020","0.61","0.62","0.62","0.60","8.30K","1.67%"
"Jan 03, 2020","0.60","0.60","0.61","0.60","17.75K","-1.64%"
"Jan 02, 2020","0.61","0.61","0.61","0.60","2.52K","0.00%"
"Dec 31, 2019","0.61","0.62","0.62","0.61","0.78K","-1.61%"
"Dec 27, 2019","0.62","0.61","0.62","0.60","9.81K","0.00%"
"Dec 26, 2019","0.62","0.62","0.62","0.62","4.76K","-1.59%"
"Dec 25, 2019","0.63","0.62","0.63","0.62","2.42K","0.00%"
"Dec 24, 2019","0.63","0.63","0.63","0.63","0.10K","-1.56%"
"Dec 23, 2019","0.64","0.64","0.64","0.64","0.14K","0.00%"
"Dec 18, 2019","0.64","0.64","0.64","0.64","1.60K","0.00%"
"Dec 17, 2019","0.64","0.62","0.64","0.62","12.30K","0.00%"
"Dec 16, 2019","0.64","0.63","0.64","0.63","1.11K","0.00%"
"Dec 13, 2019","0.64","0.64","0.64","0.64","2.16K","-1.54%"
