"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","5.99","5.99","5.99","5.99","0.00K","2.92%"
"Apr 28, 2020","5.82","5.82","5.82","5.82","0.00K","-2.84%"
"Apr 16, 2020","5.99","5.99","5.99","5.99","0.00K","0.84%"
"Apr 15, 2020","5.94","5.94","5.94","5.94","0.00K","2.41%"
"Apr 14, 2020","5.80","5.80","5.80","5.80","0.00K","2.47%"
"Apr 13, 2020","5.66","5.66","5.66","5.66","0.00K","2.91%"
"Apr 03, 2020","5.50","5.50","5.50","5.50","0.00K","0.92%"
"Apr 02, 2020","5.45","5.45","5.45","5.45","0.00K","1.87%"
"Apr 01, 2020","5.35","5.35","5.35","5.35","0.00K","1.90%"
"Mar 31, 2020","5.25","5.25","5.25","5.25","0.00K","1.94%"
"Mar 30, 2020","5.15","5.15","5.15","5.15","0.00K","3.00%"
"Mar 27, 2020","5.00","5.00","5.00","5.00","0.00K","1.01%"
"Mar 26, 2020","4.95","4.95","4.95","4.95","0.00K","2.48%"
"Mar 25, 2020","4.83","4.85","4.85","4.83","0.00K","1.68%"
"Mar 19, 2020","4.75","4.75","4.75","4.75","0.00K","2.59%"
"Mar 18, 2020","4.63","4.63","4.63","4.63","0.00K","2.89%"
"Mar 13, 2020","4.50","4.27","4.50","4.27","0.06K","2.27%"
"Mar 12, 2020","4.40","4.40","4.40","4.40","0.04K","-5.78%"
"Feb 24, 2020","4.67","4.67","4.67","4.67","0.00K","2.86%"
"Feb 21, 2020","4.54","4.54","4.54","4.54","0.02K","-2.78%"
"Feb 20, 2020","4.67","4.53","4.67","4.53","0.05K","0.21%"
"Feb 14, 2020","4.66","4.66","4.66","4.66","0.00K","2.87%"
"Feb 13, 2020","4.53","4.53","4.53","4.53","0.08K","-3.00%"
"Feb 12, 2020","4.67","4.67","4.88","4.67","1.80K","-4.30%"
"Feb 11, 2020","4.88","4.88","4.88","4.88","0.50K","-1.81%"
