"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","54.00","52.80","54.20","52.80","4.40K","2.27%"
"May 04, 2020","52.80","50.93","54.00","50.93","5.25K","0.57%"
"Apr 30, 2020","52.50","52.50","52.50","52.50","4.09K","-2.99%"
"Apr 29, 2020","54.12","54.12","54.12","54.12","0.75K","-2.99%"
"Apr 28, 2020","55.79","55.79","55.79","55.79","1.45K","-5.89%"
"Apr 24, 2020","59.28","61.00","61.00","59.28","0.85K","-2.99%"
"Apr 23, 2020","61.11","61.20","61.20","61.11","2.52K","-3.00%"
"Apr 22, 2020","63.00","64.50","64.50","62.10","2.56K","-1.59%"
"Apr 21, 2020","64.02","65.92","65.92","64.02","4.80K","-2.88%"
"Apr 20, 2020","65.92","65.92","65.92","65.90","5.78K","3.00%"
"Apr 17, 2020","64.00","66.77","66.77","63.00","10.33K","-1.33%"
"Apr 16, 2020","64.86","64.87","64.87","63.51","1.74K","2.97%"
"Apr 15, 2020","62.99","59.33","62.99","59.33","2.43K","2.99%"
"Apr 14, 2020","61.16","61.16","61.16","61.16","0.05K","-3.00%"
"Apr 13, 2020","63.05","63.99","64.90","63.05","0.13K","-2.99%"
"Apr 08, 2020","64.99","66.00","66.00","64.99","0.39K","-3.00%"
"Apr 07, 2020","67.00","68.95","70.00","67.00","1.68K","-2.90%"
"Apr 06, 2020","69.00","68.00","69.00","67.90","0.58K","-1.43%"
"Apr 03, 2020","70.00","67.99","70.00","65.96","0.23K","2.94%"
"Apr 02, 2020","68.00","70.00","70.00","68.00","0.46K","-2.86%"
"Apr 01, 2020","70.00","70.00","70.00","69.00","0.28K","0.00%"
"Mar 31, 2020","70.00","69.00","70.00","69.00","0.87K","1.45%"
"Mar 30, 2020","69.00","69.00","69.00","66.81","0.62K","0.19%"
"Mar 27, 2020","68.87","70.00","70.00","68.87","0.91K","-3.00%"
"Mar 26, 2020","71.00","71.00","71.00","69.84","0.30K","-1.38%"
"Mar 25, 2020","71.99","74.00","74.00","71.32","0.22K","-0.01%"
"Mar 24, 2020","72.00","72.00","73.33","71.20","1.79K","1.12%"
"Mar 23, 2020","71.20","72.80","72.80","71.20","0.47K","-3.00%"
"Mar 19, 2020","73.40","73.42","73.42","72.50","0.23K","1.24%"
"Mar 18, 2020","72.50","71.22","72.50","71.22","1.39K","-1.25%"
"Mar 17, 2020","73.42","74.55","74.55","73.42","0.35K","-4.49%"
"Mar 16, 2020","76.87","80.49","80.49","76.87","0.15K","-4.72%"
"Mar 13, 2020","80.68","87.30","87.30","80.66","1.03K","-5.97%"
"Mar 12, 2020","85.80","87.44","89.00","85.80","0.29K","-1.83%"
"Mar 11, 2020","87.40","84.85","87.44","84.85","0.55K","2.94%"
"Mar 10, 2020","84.90","85.50","85.80","82.94","2.12K","-1.22%"
"Mar 09, 2020","85.95","87.30","87.30","85.95","3.55K","-4.50%"
"Mar 06, 2020","90.00","90.00","90.00","87.30","1.70K","0.00%"
"Mar 05, 2020","90.00","90.69","90.69","88.10","0.95K","-0.76%"
"Mar 04, 2020","90.69","91.00","92.00","90.69","0.21K","-2.99%"
"Mar 03, 2020","93.49","94.49","94.49","92.03","0.36K","-1.45%"
"Mar 02, 2020","94.87","94.50","95.00","92.70","0.14K","0.39%"
"Feb 28, 2020","94.50","92.48","95.00","92.10","1.02K","2.16%"
"Feb 27, 2020","92.50","89.89","92.50","88.76","0.34K","2.89%"
"Feb 26, 2020","89.90","91.00","92.75","89.00","0.55K","-1.75%"
"Feb 25, 2020","91.50","93.00","93.90","91.00","0.37K","-2.66%"
"Feb 24, 2020","94.00","94.99","94.99","92.15","0.25K","0.00%"
"Feb 21, 2020","94.00","96.00","96.00","91.20","1.21K","-1.56%"
"Feb 20, 2020","95.49","95.50","96.50","95.00","0.06K","-0.01%"
"Feb 19, 2020","95.50","98.40","98.40","94.09","0.20K","-1.55%"
"Feb 18, 2020","97.00","99.01","99.01","96.55","0.65K","-2.51%"
"Feb 17, 2020","99.50","98.10","99.50","98.10","0.39K","0.05%"
"Feb 14, 2020","99.45","100.00","100.00","98.10","0.90K","0.45%"
"Feb 13, 2020","99.00","99.00","100.90","97.00","4.24K","1.02%"
