"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","6.18","5.90","6.18","5.90","0.04K","3.00%"
"May 04, 2020","6.00","6.00","6.00","6.00","0.65K","2.21%"
"Apr 30, 2020","5.87","5.84","5.87","5.66","0.04K","2.98%"
"Apr 29, 2020","5.70","5.70","5.70","5.70","0.61K","-2.06%"
"Apr 27, 2020","5.82","6.18","6.18","5.82","0.30K","-3.00%"
"Apr 24, 2020","6.00","6.00","6.00","6.00","0.05K","0.67%"
"Apr 23, 2020","5.96","5.96","5.96","5.96","0.47K","0.00%"
"Apr 21, 2020","5.96","6.14","6.20","5.96","0.31K","-2.93%"
"Apr 20, 2020","6.14","6.14","6.14","6.14","0.23K","0.33%"
"Apr 17, 2020","6.12","6.12","6.12","6.12","0.02K","2.00%"
"Apr 16, 2020","6.00","6.00","6.00","6.00","0.74K","-2.28%"
"Apr 15, 2020","6.14","6.14","6.14","6.14","0.01K","0.49%"
"Apr 14, 2020","6.11","5.81","6.11","5.81","0.02K","2.17%"
"Apr 13, 2020","5.98","6.14","6.14","5.98","0.32K","0.00%"
"Apr 08, 2020","5.98","5.98","5.98","5.98","0.10K","2.75%"
"Apr 07, 2020","5.82","6.18","6.18","5.82","1.41K","-3.00%"
"Apr 06, 2020","6.00","6.00","6.00","5.93","0.30K","-7.26%"
"Apr 03, 2020","6.47","6.47","6.47","6.47","0.05K","2.86%"
"Apr 02, 2020","6.29","6.19","6.39","6.06","0.84K","0.80%"
"Apr 01, 2020","6.24","6.00","6.24","5.88","5.47K","2.97%"
"Mar 31, 2020","6.06","6.06","6.06","6.06","1.89K","-2.88%"
"Mar 30, 2020","6.24","6.22","6.41","6.06","1.31K","0.00%"
"Mar 27, 2020","6.24","6.20","6.25","5.89","1.31K","2.80%"
"Mar 26, 2020","6.07","6.07","6.07","5.73","0.35K","2.88%"
"Mar 25, 2020","5.90","6.05","6.05","5.83","1.58K","0.00%"
"Mar 24, 2020","5.90","5.56","5.90","5.56","1.44K","2.97%"
"Mar 23, 2020","5.73","5.90","6.00","5.73","0.52K","-2.88%"
"Mar 19, 2020","5.90","5.77","5.90","5.60","1.96K","2.25%"
"Mar 18, 2020","5.77","5.77","5.77","5.77","0.07K","-2.86%"
"Mar 17, 2020","5.94","5.94","5.94","5.94","0.00K","-7.19%"
"Mar 13, 2020","6.40","6.32","6.40","6.32","0.80K","-0.16%"
"Mar 12, 2020","6.41","6.69","6.69","6.41","1.71K","-2.88%"
"Mar 11, 2020","6.60","6.49","6.62","6.49","0.10K","1.54%"
"Mar 10, 2020","6.50","6.50","6.50","6.31","0.48K","-1.96%"
"Mar 09, 2020","6.63","6.63","6.83","6.63","0.63K","-2.93%"
"Mar 06, 2020","6.83","6.83","6.83","6.63","0.56K","2.09%"
"Mar 05, 2020","6.69","6.69","6.69","6.69","0.05K","-2.76%"
"Mar 04, 2020","6.88","6.70","6.88","6.65","0.57K","2.23%"
"Mar 03, 2020","6.73","6.73","6.89","6.72","0.14K","-2.32%"
"Mar 02, 2020","6.89","6.89","6.89","6.89","0.70K","-0.58%"
"Feb 28, 2020","6.93","6.73","6.93","6.73","0.56K","2.97%"
"Feb 27, 2020","6.73","6.72","6.78","6.72","0.21K","-0.74%"
"Feb 26, 2020","6.78","6.99","6.99","6.78","0.46K","-0.44%"
"Feb 25, 2020","6.81","7.00","7.00","6.81","0.84K","-1.30%"
"Feb 24, 2020","6.90","6.92","6.92","6.90","0.51K","-1.29%"
"Feb 21, 2020","6.99","6.98","6.99","6.98","1.63K","-0.14%"
"Feb 20, 2020","7.00","7.09","7.09","6.92","1.28K","1.16%"
"Feb 19, 2020","6.92","7.00","7.03","6.92","1.45K","-1.00%"
"Feb 18, 2020","6.99","6.99","6.99","6.99","1.50K","0.00%"
"Feb 17, 2020","6.99","6.99","6.99","6.99","2.27K","0.00%"
"Feb 14, 2020","6.99","6.98","6.99","6.81","3.65K","2.79%"
"Feb 13, 2020","6.80","6.80","6.98","6.80","0.21K","-2.58%"
"Feb 12, 2020","6.98","6.81","6.98","6.81","0.54K","1.16%"
"Feb 11, 2020","6.90","7.00","7.00","6.90","0.55K","-1.43%"
"Feb 10, 2020","7.00","7.00","7.00","7.00","0.83K","0.00%"
"Feb 07, 2020","7.00","7.00","7.00","7.00","0.35K","1.60%"
"Feb 06, 2020","6.89","7.04","7.04","6.83","3.24K","0.00%"
"Feb 05, 2020","6.89","7.09","7.09","6.88","0.64K","-2.82%"
"Feb 04, 2020","7.09","7.04","7.09","6.83","0.88K","0.71%"
"Feb 03, 2020","7.04","7.05","7.05","6.90","0.51K","-0.85%"
"Jan 31, 2020","7.10","7.30","7.30","7.10","1.00K","-2.07%"
"Jan 30, 2020","7.25","7.11","7.30","7.10","1.15K","2.26%"
"Jan 29, 2020","7.09","7.20","7.30","7.09","0.23K","-2.88%"
"Jan 28, 2020","7.30","7.35","7.35","7.09","1.00K","0.00%"
"Jan 27, 2020","7.30","7.10","7.30","7.10","2.61K","0.41%"
"Jan 23, 2020","7.27","7.49","7.49","7.27","18.35K","-0.14%"
"Jan 22, 2020","7.28","7.50","7.50","7.28","0.47K","-0.27%"
"Jan 21, 2020","7.30","7.22","7.40","7.04","0.52K","-1.88%"
"Jan 17, 2020","7.44","7.49","7.49","7.44","2.00K","-0.13%"
"Jan 16, 2020","7.45","7.45","7.45","7.45","1.62K","-1.97%"
"Jan 15, 2020","7.60","7.58","7.60","7.58","0.06K","2.70%"
"Jan 13, 2020","7.40","7.60","7.60","7.40","0.26K","-1.33%"
"Jan 09, 2020","7.50","7.38","7.50","7.38","0.12K","-1.32%"
"Jan 08, 2020","7.60","7.69","7.69","7.47","11.95K","-1.30%"
"Jan 07, 2020","7.70","7.75","7.75","7.47","0.43K","0.00%"
"Jan 03, 2020","7.70","7.70","7.70","7.50","0.62K","0.00%"
"Jan 02, 2020","7.70","7.70","7.70","7.69","0.22K","-2.53%"
"Dec 30, 2019","7.90","7.70","7.92","7.70","0.65K","2.07%"
"Dec 27, 2019","7.74","7.75","7.75","7.74","0.95K","0.78%"
"Dec 26, 2019","7.68","7.45","7.68","7.25","2.97K","2.81%"
"Dec 25, 2019","7.47","7.70","7.75","7.47","0.26K","-2.35%"
"Dec 24, 2019","7.65","7.50","7.65","7.50","0.56K","0.00%"
"Dec 23, 2019","7.65","7.67","7.67","7.44","1.65K","2.00%"
"Dec 20, 2019","7.50","7.67","7.67","7.50","0.18K","-1.96%"
"Dec 19, 2019","7.65","7.50","7.65","7.50","0.34K","-0.13%"
"Dec 18, 2019","7.66","7.67","7.67","7.66","14.10K","-0.13%"
"Dec 17, 2019","7.67","7.69","7.69","7.47","1.30K","-0.26%"
"Dec 13, 2019","7.69","7.68","7.69","7.68","5.50K","-0.13%"
"Dec 12, 2019","7.70","7.49","7.70","7.40","0.09K","2.67%"
"Dec 11, 2019","7.50","7.50","7.50","7.50","0.00K","-2.47%"
"Dec 10, 2019","7.69","7.69","7.69","7.69","0.80K","-0.13%"
"Dec 06, 2019","7.70","7.65","7.75","7.65","0.35K","1.45%"
"Dec 05, 2019","7.59","7.59","7.59","7.59","0.00K","-1.43%"
"Dec 04, 2019","7.70","7.70","7.70","7.70","0.01K","0.13%"
"Dec 03, 2019","7.69","7.68","7.69","7.68","0.33K","2.95%"
"Dec 02, 2019","7.47","7.80","7.90","7.47","2.02K","-2.86%"
"Nov 29, 2019","7.69","7.69","7.69","7.69","0.20K","0.00%"
"Nov 28, 2019","7.69","7.55","7.69","7.55","0.69K","0.00%"
"Nov 27, 2019","7.69","7.70","7.70","7.69","0.02K","-1.41%"
"Nov 26, 2019","7.80","7.83","7.83","7.79","4.00K","-0.51%"
"Nov 25, 2019","7.84","7.84","7.84","7.83","0.63K","1.82%"
"Nov 22, 2019","7.70","7.94","7.94","7.50","10.63K","0.00%"
"Nov 21, 2019","7.70","7.50","7.72","7.50","6.48K","2.67%"
"Nov 20, 2019","7.50","7.49","7.50","7.49","0.01K","0.00%"
"Nov 19, 2019","7.50","7.50","7.50","7.30","0.82K","0.00%"
"Nov 18, 2019","7.50","7.50","7.50","7.30","0.35K","0.00%"
"Nov 15, 2019","7.50","7.49","7.50","7.35","0.39K","0.00%"
"Nov 14, 2019","7.50","7.39","7.55","7.33","0.29K","-0.66%"
"Nov 13, 2019","7.55","7.51","7.68","7.47","1.01K","-1.69%"
"Nov 12, 2019","7.68","7.68","7.68","7.68","0.00K","0.00%"
"Nov 11, 2019","7.68","7.68","7.68","7.68","0.05K","0.00%"
"Nov 08, 2019","7.68","7.69","7.69","7.46","0.81K","-0.13%"
"Nov 07, 2019","7.69","7.68","7.69","7.43","0.47K","0.52%"
"Nov 06, 2019","7.65","7.79","7.79","7.46","0.70K","-0.65%"
"Nov 05, 2019","7.70","7.70","7.70","7.50","1.61K","0.00%"
"Nov 04, 2019","7.70","7.80","7.80","7.57","2.28K","-1.28%"
"Nov 01, 2019","7.80","7.80","7.80","7.80","0.10K","0.00%"
"Oct 31, 2019","7.80","7.79","7.80","7.65","0.11K","-0.64%"
"Oct 29, 2019","7.85","7.85","7.85","7.85","0.30K","0.00%"
"Oct 28, 2019","7.85","7.61","7.85","7.60","0.28K","1.95%"
"Oct 25, 2019","7.70","7.90","7.90","7.69","5.19K","0.00%"
"Oct 24, 2019","7.70","7.85","7.85","7.70","1.40K","0.00%"
"Oct 23, 2019","7.70","7.85","7.85","7.70","6.22K","0.00%"
"Oct 22, 2019","7.70","7.70","7.85","7.70","10.22K","0.00%"
"Oct 21, 2019","7.70","7.59","7.70","7.50","7.94K","1.45%"
"Oct 18, 2019","7.59","7.60","7.60","7.39","5.29K","2.57%"
"Oct 17, 2019","7.40","7.62","7.70","7.40","2.03K","-2.89%"
"Oct 16, 2019","7.62","7.62","7.62","7.61","2.00K","0.00%"
"Oct 14, 2019","7.62","7.85","7.85","7.62","2.14K","-2.93%"
"Oct 10, 2019","7.85","7.85","7.85","7.85","0.81K","0.00%"
"Oct 09, 2019","7.85","7.56","7.85","7.54","6.67K","-0.51%"
"Oct 07, 2019","7.89","7.72","7.90","7.72","0.12K","-0.75%"
"Oct 02, 2019","7.95","7.94","7.95","7.94","1.05K","0.00%"
"Oct 01, 2019","7.95","7.95","7.95","7.95","0.10K","-0.50%"
"Sep 26, 2019","7.99","7.99","7.99","7.98","0.04K","0.00%"
"Sep 25, 2019","7.99","8.09","8.09","7.99","0.28K","-0.13%"
"Sep 23, 2019","8.00","8.00","8.00","7.91","6.17K","0.00%"
"Sep 20, 2019","8.00","7.85","8.00","7.85","0.11K","-1.72%"
"Sep 16, 2019","8.14","7.85","8.18","7.85","0.07K","2.39%"
"Sep 13, 2019","7.95","8.19","8.19","7.95","1.39K","-2.93%"
"Sep 12, 2019","8.19","8.19","8.19","8.19","0.10K","0.24%"
"Sep 11, 2019","8.17","8.19","8.19","8.17","0.21K","-0.12%"
"Sep 10, 2019","8.18","8.03","8.19","8.03","1.04K","1.87%"
"Sep 09, 2019","8.03","8.03","8.03","8.03","0.11K","-2.67%"
"Sep 06, 2019","8.25","8.24","8.25","8.24","1.43K","0.00%"
"Sep 05, 2019","8.25","8.25","8.25","8.25","0.00K","-1.79%"
"Sep 04, 2019","8.40","8.40","8.40","8.40","0.01K","-1.18%"
"Sep 03, 2019","8.50","8.50","8.50","8.50","0.01K","1.19%"
"Sep 02, 2019","8.40","8.49","8.50","8.40","0.51K","-1.06%"
"Aug 29, 2019","8.49","8.49","8.49","8.49","0.00K","1.07%"
"Aug 28, 2019","8.40","8.30","8.40","8.22","2.06K","-0.83%"
"Aug 27, 2019","8.47","8.50","8.50","8.47","0.02K","0.00%"
"Aug 26, 2019","8.47","8.50","8.50","8.47","0.05K","0.00%"
"Aug 23, 2019","8.47","8.23","8.47","8.10","1.01K","5.88%"
"Aug 22, 2019","8.00","7.99","8.22","7.99","3.63K","1.01%"
"Aug 21, 2019","7.92","7.92","7.92","7.92","0.00K","0.25%"
"Aug 20, 2019","7.90","7.63","7.90","7.63","0.25K","0.64%"
"Aug 16, 2019","7.85","7.82","7.85","7.82","0.03K","0.64%"
"Aug 15, 2019","7.80","7.80","7.80","7.80","0.18K","0.65%"
"Aug 14, 2019","7.75","7.75","7.75","7.60","1.31K","0.65%"
"Aug 09, 2019","7.70","7.70","7.70","7.70","0.10K","-1.16%"
"Aug 08, 2019","7.79","7.56","7.79","7.55","0.75K","2.64%"
"Aug 07, 2019","7.59","7.78","7.78","7.59","2.11K","-2.44%"
"Aug 06, 2019","7.78","7.80","7.80","7.57","3.02K","-0.26%"
"Aug 05, 2019","7.80","7.80","7.80","7.79","5.54K","0.00%"
"Jul 31, 2019","7.80","7.80","7.80","7.80","0.05K","0.13%"
"Jul 30, 2019","7.79","7.80","7.80","7.79","4.20K","0.13%"
"Jul 29, 2019","7.78","7.78","7.78","7.57","6.56K","0.00%"
