"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","0.800","0.800","0.800","0.800","0.02K","-4.76%"
"May 04, 2020","0.840","0.840","0.840","0.840","0.00K","0.00%"
"Apr 30, 2020","0.840","0.830","0.840","0.830","0.94K","-3.45%"
"Apr 28, 2020","0.870","0.880","0.880","0.870","1.06K","-2.25%"
"Apr 27, 2020","0.890","0.890","0.890","0.890","0.00K","-2.20%"
"Apr 24, 2020","0.910","0.910","0.910","0.910","0.17K","-1.09%"
"Apr 22, 2020","0.920","0.900","0.920","0.900","0.00K","2.22%"
"Apr 20, 2020","0.900","0.900","0.900","0.900","0.00K","0.00%"
"Apr 17, 2020","0.900","0.900","0.900","0.900","0.06K","1.12%"
"Apr 16, 2020","0.890","0.880","0.890","0.880","0.60K","-1.11%"
"Apr 15, 2020","0.900","0.890","0.900","0.890","0.36K","-1.10%"
"Apr 14, 2020","0.910","0.920","0.920","0.910","1.48K","-5.21%"
"Apr 13, 2020","0.960","0.940","0.960","0.930","0.77K","1.05%"
"Apr 08, 2020","0.950","0.950","0.950","0.930","0.21K","0.00%"
"Apr 07, 2020","0.950","0.930","0.950","0.930","0.75K","0.00%"
"Apr 02, 2020","0.950","0.950","0.950","0.950","0.10K","0.00%"
"Apr 01, 2020","0.950","0.950","0.950","0.950","1.01K","1.06%"
"Mar 31, 2020","0.940","0.940","0.940","0.940","0.04K","2.17%"
"Mar 30, 2020","0.920","0.920","0.920","0.920","1.03K","-2.13%"
"Mar 27, 2020","0.940","0.940","0.940","0.940","1.20K","-2.08%"
"Mar 26, 2020","0.960","0.960","0.980","0.960","2.62K","-2.04%"
"Mar 25, 2020","0.980","0.980","0.980","0.980","2.20K","-2.97%"
"Mar 24, 2020","1.010","1.010","1.010","1.010","1.00K","-2.88%"
"Mar 23, 2020","1.040","1.040","1.040","1.040","2.80K","-2.80%"
"Mar 19, 2020","1.070","1.070","1.070","1.070","1.10K","-2.73%"
"Mar 18, 2020","1.100","1.100","1.100","1.100","0.35K","-9.09%"
"Mar 13, 2020","1.210","1.230","1.230","1.210","1.40K","-9.02%"
"Mar 11, 2020","1.330","1.300","1.330","1.300","0.20K","2.31%"
"Mar 10, 2020","1.300","1.280","1.330","1.280","1.88K","-2.99%"
"Mar 09, 2020","1.340","1.340","1.340","1.340","0.01K","0.75%"
"Mar 06, 2020","1.330","1.320","1.340","1.290","4.86K","0.76%"
"Mar 05, 2020","1.320","1.340","1.360","1.320","2.01K","-2.94%"
"Mar 04, 2020","1.360","1.420","1.420","1.360","2.22K","-1.45%"
"Mar 03, 2020","1.380","1.380","1.400","1.380","0.22K","1.47%"
"Mar 02, 2020","1.360","1.330","1.360","1.330","4.13K","4.62%"
"Feb 28, 2020","1.300","1.230","1.300","1.230","8.24K","0.78%"
"Feb 27, 2020","1.290","1.300","1.300","1.270","0.30K","-0.77%"
"Feb 26, 2020","1.300","1.300","1.300","1.280","0.32K","-2.99%"
"Feb 25, 2020","1.340","1.380","1.380","1.320","2.04K","-2.90%"
"Feb 24, 2020","1.380","1.370","1.380","1.370","0.24K","-3.50%"
"Feb 21, 2020","1.430","1.420","1.430","1.420","0.00K","3.62%"
"Feb 20, 2020","1.380","1.420","1.420","1.380","0.91K","-2.82%"
"Feb 19, 2020","1.420","1.360","1.420","1.360","0.12K","0.00%"
"Feb 18, 2020","1.420","1.420","1.420","1.350","0.40K","2.16%"
"Feb 17, 2020","1.390","1.430","1.430","1.390","0.50K","-2.80%"
"Feb 14, 2020","1.430","1.390","1.430","1.350","6.69K","0.00%"
"Feb 13, 2020","1.430","1.470","1.470","1.430","1.12K","-2.72%"
"Feb 12, 2020","1.470","1.470","1.470","1.470","0.22K","-1.34%"
"Feb 11, 2020","1.490","1.460","1.490","1.400","3.72K","2.05%"
"Feb 10, 2020","1.460","1.460","1.460","1.460","2.50K","-2.67%"
"Feb 07, 2020","1.500","1.460","1.500","1.460","0.00K","0.00%"
"Feb 06, 2020","1.500","1.500","1.500","1.490","2.58K","0.00%"
"Feb 05, 2020","1.500","1.480","1.500","1.480","3.50K","0.00%"
"Feb 04, 2020","1.500","1.490","1.500","1.460","7.23K","0.00%"
"Feb 03, 2020","1.500","1.470","1.500","1.410","4.06K","2.04%"
"Jan 31, 2020","1.470","1.470","1.470","1.470","0.00K","0.00%"
"Jan 30, 2020","1.470","1.460","1.470","1.460","0.30K","-2.00%"
"Jan 27, 2020","1.500","1.500","1.500","1.500","0.30K","-1.32%"
"Jan 24, 2020","1.520","1.530","1.530","1.520","0.95K","-0.65%"
"Jan 23, 2020","1.530","1.500","1.530","1.500","1.61K","2.00%"
"Jan 22, 2020","1.500","1.500","1.500","1.500","1.05K","0.00%"
"Jan 21, 2020","1.500","1.500","1.540","1.500","13.30K","2.74%"
"Jan 20, 2020","1.460","1.420","1.460","1.420","2.99K","3.55%"
"Jan 17, 2020","1.410","1.360","1.410","1.360","5.50K","5.22%"
"Jan 16, 2020","1.340","1.310","1.340","1.310","5.01K","4.69%"
"Jan 15, 2020","1.280","1.230","1.280","1.230","1.56K","4.07%"
"Jan 13, 2020","1.230","1.140","1.230","1.140","4.65K","3.36%"
"Jan 10, 2020","1.190","1.220","1.250","1.190","13.97K","-2.46%"
"Jan 09, 2020","1.220","1.250","1.250","1.220","0.39K","-2.40%"
"Jan 08, 2020","1.250","1.350","1.350","1.250","0.91K","-3.85%"
"Jan 07, 2020","1.300","1.300","1.300","1.300","0.15K","-2.99%"
"Jan 06, 2020","1.340","1.320","1.340","1.320","0.04K","5.51%"
"Jan 03, 2020","1.270","1.300","1.300","1.270","0.56K","-2.31%"
"Jan 02, 2020","1.300","1.360","1.360","1.300","0.45K","-2.99%"
"Dec 31, 2019","1.340","1.400","1.430","1.340","16.98K","-4.96%"
"Dec 30, 2019","1.410","1.410","1.420","1.410","1.21K","-2.76%"
"Dec 27, 2019","1.450","1.490","1.490","1.450","0.23K","-1.36%"
"Dec 26, 2019","1.470","1.470","1.480","1.450","2.43K","-1.34%"
"Dec 25, 2019","1.490","1.500","1.500","1.480","2.08K","2.05%"
"Dec 24, 2019","1.460","1.470","1.470","1.460","0.14K","-2.67%"
"Dec 19, 2019","1.500","1.500","1.500","1.500","0.00K","0.67%"
"Dec 18, 2019","1.490","1.500","1.500","1.460","2.02K","-0.67%"
"Dec 17, 2019","1.500","1.500","1.500","1.500","0.09K","0.00%"
"Dec 16, 2019","1.500","1.490","1.500","1.450","5.83K","0.67%"
"Dec 13, 2019","1.490","1.490","1.490","1.490","0.18K","0.00%"
"Dec 12, 2019","1.490","1.450","1.490","1.450","5.47K","2.76%"
"Dec 11, 2019","1.450","1.410","1.450","1.410","1.92K","5.07%"
"Dec 10, 2019","1.380","1.340","1.380","1.340","2.39K","0.00%"
"Dec 09, 2019","1.380","1.380","1.380","1.340","0.74K","0.00%"
"Dec 06, 2019","1.380","1.380","1.400","1.370","6.57K","-2.13%"
"Dec 05, 2019","1.410","1.420","1.420","1.380","0.90K","0.71%"
"Dec 04, 2019","1.400","1.430","1.430","1.400","3.87K","-2.78%"
"Dec 03, 2019","1.440","1.450","1.450","1.440","3.11K","-3.36%"
"Dec 02, 2019","1.490","1.450","1.490","1.450","3.37K","0.00%"
"Nov 29, 2019","1.490","1.500","1.500","1.460","3.24K","-0.67%"
"Nov 28, 2019","1.500","1.500","1.500","1.480","0.02K","-1.32%"
"Nov 27, 2019","1.520","1.480","1.520","1.480","2.40K","0.00%"
"Nov 26, 2019","1.520","1.520","1.520","1.520","0.07K","0.00%"
"Nov 25, 2019","1.520","1.480","1.520","1.460","0.23K","4.11%"
"Nov 22, 2019","1.460","1.500","1.500","1.460","11.48K","-3.95%"
"Nov 21, 2019","1.520","1.520","1.520","1.520","1.88K","-2.56%"
"Nov 20, 2019","1.560","1.630","1.630","1.560","3.96K","-4.88%"
"Nov 18, 2019","1.640","1.640","1.640","1.640","0.00K","1.86%"
"Nov 15, 2019","1.610","1.630","1.680","1.610","0.16K","-4.17%"
"Nov 14, 2019","1.680","1.680","1.680","1.680","0.00K","1.82%"
"Nov 13, 2019","1.650","1.640","1.650","1.600","1.17K","1.85%"
"Nov 12, 2019","1.620","1.680","1.680","1.620","1.06K","-2.99%"
"Nov 11, 2019","1.670","1.670","1.670","1.670","0.04K","2.45%"
"Nov 08, 2019","1.630","1.620","1.630","1.550","1.58K","4.49%"
"Nov 07, 2019","1.560","1.670","1.670","1.560","5.28K","-3.70%"
"Nov 06, 2019","1.620","1.700","1.700","1.620","5.08K","-2.99%"
"Nov 05, 2019","1.670","1.720","1.720","1.670","3.61K","-2.91%"
"Nov 04, 2019","1.720","1.730","1.730","1.690","6.63K","-1.15%"
"Nov 01, 2019","1.740","1.700","1.750","1.660","14.39K","4.82%"
"Oct 31, 2019","1.660","1.550","1.660","1.530","8.03K","5.73%"
"Oct 30, 2019","1.570","1.620","1.690","1.570","11.40K","-5.99%"
"Oct 29, 2019","1.670","1.720","1.720","1.670","0.25K","-1.18%"
"Oct 28, 2019","1.690","1.720","1.720","1.690","0.22K","-2.87%"
"Oct 25, 2019","1.740","1.790","1.790","1.740","1.37K","-1.14%"
"Oct 24, 2019","1.760","1.690","1.780","1.690","28.19K","4.14%"
"Oct 23, 2019","1.690","1.650","1.690","1.650","26.06K","11.18%"
"Oct 21, 2019","1.520","1.400","1.520","1.400","28.08K","0.00%"
"Oct 17, 2019","1.520","1.560","1.560","1.520","10.75K","-8.43%"
"Oct 16, 2019","1.660","1.710","1.710","1.660","1.22K","-2.92%"
"Oct 14, 2019","1.710","1.760","1.760","1.710","4.92K","-1.16%"
"Oct 11, 2019","1.730","1.730","1.780","1.730","14.99K","-2.81%"
"Oct 10, 2019","1.780","1.830","1.880","1.780","38.30K","-2.73%"
"Oct 09, 2019","1.830","1.730","1.830","1.680","62.44K","28.87%"
"Oct 02, 2019","1.420","1.380","1.420","1.380","17.01K","5.97%"
"Sep 30, 2019","1.340","1.320","1.340","1.320","12.29K","7.20%"
"Sep 27, 2019","1.250","1.250","1.250","1.250","20.32K","12.61%"
"Sep 24, 2019","1.110","1.060","1.110","1.060","9.65K","5.71%"
"Sep 23, 2019","1.050","1.050","1.050","1.050","10.92K","5.00%"
"Sep 20, 2019","1.000","0.960","1.000","0.960","6.94K","4.17%"
"Sep 19, 2019","0.960","0.960","0.960","0.960","22.23K","4.35%"
"Sep 18, 2019","0.920","0.880","0.920","0.880","1.04K","5.75%"
"Sep 17, 2019","0.870","0.830","0.870","0.830","2.49K","2.35%"
"Sep 16, 2019","0.850","0.850","0.850","0.850","1.26K","2.41%"
"Sep 13, 2019","0.830","0.790","0.830","0.790","3.30K","2.47%"
"Sep 12, 2019","0.810","0.830","0.830","0.810","0.90K","-2.41%"
"Sep 11, 2019","0.830","0.830","0.830","0.830","0.95K","-3.49%"
"Sep 10, 2019","0.860","0.860","0.860","0.860","0.02K","-1.15%"
"Sep 04, 2019","0.870","0.830","0.870","0.830","0.26K","2.35%"
"Sep 03, 2019","0.850","0.850","0.850","0.850","0.20K","1.19%"
"Sep 02, 2019","0.840","0.840","0.840","0.840","0.79K","-2.33%"
"Aug 30, 2019","0.860","0.860","0.860","0.860","0.64K","-2.27%"
"Aug 29, 2019","0.880","0.880","0.880","0.880","0.00K","3.53%"
"Aug 28, 2019","0.850","0.850","0.850","0.850","0.06K","-4.49%"
"Aug 27, 2019","0.890","0.890","0.890","0.890","0.03K","-2.20%"
"Aug 22, 2019","0.910","0.870","0.910","0.870","0.32K","2.25%"
"Aug 21, 2019","0.890","0.890","0.890","0.890","0.00K","-2.20%"
"Aug 19, 2019","0.910","0.900","0.920","0.900","0.02K","-1.09%"
"Aug 14, 2019","0.920","0.920","0.920","0.870","1.21K","0.00%"
"Aug 09, 2019","0.920","0.880","0.920","0.880","0.02K","0.00%"
"Aug 08, 2019","0.920","0.910","0.920","0.870","2.18K","0.00%"
"Aug 07, 2019","0.920","0.920","0.960","0.920","0.77K","-4.17%"
"Aug 05, 2019","0.960","0.960","0.960","0.960","0.00K","2.13%"
"Aug 02, 2019","0.940","0.940","0.940","0.940","1.65K","-2.08%"
"Aug 01, 2019","0.960","0.930","0.960","0.900","2.85K","2.13%"
"Jul 31, 2019","0.940","0.910","0.940","0.910","0.25K","1.08%"
"Jul 30, 2019","0.930","0.910","0.940","0.910","0.97K","0.00%"
"Jul 29, 2019","0.930","0.890","0.930","0.890","2.04K","2.20%"
