"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","3.320","3.300","3.340","3.270","15.46K","-1.48%"
"May 04, 2020","3.370","3.340","3.420","3.340","18.78K","0.90%"
"Apr 30, 2020","3.340","3.270","3.350","3.270","12.61K","-0.89%"
"Apr 29, 2020","3.370","3.420","3.440","3.300","18.74K","-0.88%"
"Apr 28, 2020","3.400","3.420","3.470","3.330","29.69K","-0.87%"
"Apr 27, 2020","3.430","3.400","3.440","3.350","18.44K","2.39%"
"Apr 24, 2020","3.350","3.450","3.500","3.350","19.56K","-2.90%"
"Apr 23, 2020","3.450","3.400","3.550","3.350","18.12K","0.00%"
"Apr 22, 2020","3.450","3.450","3.450","3.450","0.00K","1.77%"
"Apr 21, 2020","3.390","3.320","3.390","3.230","4.85K","2.42%"
"Apr 20, 2020","3.310","3.310","3.310","3.310","0.10K","0.30%"
"Apr 17, 2020","3.300","3.320","3.320","3.250","3.50K","0.00%"
"Apr 16, 2020","3.300","3.300","3.330","3.230","17.17K","1.85%"
"Apr 15, 2020","3.240","3.300","3.350","3.240","5.24K","-1.82%"
"Apr 14, 2020","3.300","3.230","3.320","3.230","9.79K","-0.60%"
"Apr 13, 2020","3.320","3.280","3.320","3.200","6.75K","1.84%"
"Apr 08, 2020","3.260","3.300","3.300","3.160","8.49K","0.31%"
"Apr 07, 2020","3.250","3.300","3.300","3.140","25.02K","0.62%"
"Apr 06, 2020","3.230","3.360","3.390","3.230","0.78K","-2.71%"
"Apr 03, 2020","3.320","3.390","3.390","3.240","0.77K","0.00%"
"Apr 02, 2020","3.320","3.390","3.430","3.320","0.67K","-2.92%"
"Apr 01, 2020","3.420","3.470","3.470","3.290","1.03K","0.88%"
"Mar 31, 2020","3.390","3.300","3.480","3.300","1.42K","-0.29%"
"Mar 30, 2020","3.400","3.400","3.400","3.390","0.50K","2.41%"
"Mar 27, 2020","3.320","3.320","3.320","3.320","0.05K","2.47%"
"Mar 26, 2020","3.240","3.240","3.240","3.240","0.00K","2.86%"
"Mar 25, 2020","3.150","3.100","3.150","3.100","0.46K","1.61%"
"Mar 24, 2020","3.100","3.050","3.100","3.050","0.40K","1.97%"
"Mar 23, 2020","3.040","2.970","3.100","2.970","2.02K","-0.65%"
"Mar 19, 2020","3.060","3.060","3.060","3.060","0.34K","-2.86%"
"Mar 18, 2020","3.150","2.980","3.150","2.980","1.62K","2.61%"
"Mar 17, 2020","3.070","3.160","3.160","3.070","6.02K","-2.54%"
"Mar 16, 2020","3.150","3.150","3.160","3.060","19.07K","0.00%"
"Mar 13, 2020","3.150","3.200","3.200","3.110","27.63K","0.00%"
"Mar 12, 2020","3.150","3.190","3.200","3.100","3.42K","-3.37%"
"Mar 11, 2020","3.260","3.190","3.260","3.130","4.17K","2.19%"
"Mar 10, 2020","3.190","3.150","3.220","3.060","15.34K","-1.54%"
"Mar 09, 2020","3.240","3.240","3.240","3.240","0.05K","0.00%"
"Mar 06, 2020","3.240","3.240","3.260","3.150","5.43K","0.00%"
"Mar 05, 2020","3.240","3.280","3.280","3.190","42.13K","-1.22%"
"Mar 04, 2020","3.280","3.300","3.300","3.210","66.70K","-0.61%"
"Mar 03, 2020","3.300","3.250","3.300","3.160","59.53K","1.54%"
"Mar 02, 2020","3.250","3.270","3.270","3.180","20.83K","1.56%"
"Feb 28, 2020","3.200","3.200","3.290","3.110","26.14K","0.00%"
"Feb 27, 2020","3.200","2.980","3.200","2.980","18.47K","4.23%"
"Feb 26, 2020","3.070","3.060","3.070","3.060","0.22K","0.00%"
"Feb 25, 2020","3.070","3.050","3.070","3.050","2.05K","3.37%"
"Feb 24, 2020","2.970","3.060","3.060","2.970","0.64K","-1.00%"
"Feb 21, 2020","3.000","3.080","3.080","2.990","2.41K","-2.60%"
"Feb 20, 2020","3.080","3.070","3.100","3.060","1.10K","3.01%"
"Feb 19, 2020","2.990","3.050","3.090","2.990","4.14K","-2.92%"
"Feb 18, 2020","3.080","3.100","3.100","3.010","6.98K","1.65%"
"Feb 17, 2020","3.030","2.950","3.030","2.910","11.16K","2.36%"
"Feb 14, 2020","2.960","2.930","2.960","2.890","14.28K","-0.34%"
"Feb 13, 2020","2.970","2.850","2.970","2.850","5.18K","2.41%"
"Feb 12, 2020","2.900","2.850","2.900","2.800","16.47K","2.84%"
"Feb 11, 2020","2.820","2.820","2.820","2.800","4.13K","0.00%"
"Feb 10, 2020","2.820","2.820","2.820","2.800","3.22K","0.71%"
"Feb 07, 2020","2.800","2.700","2.800","2.680","18.48K","1.82%"
"Feb 06, 2020","2.750","2.720","2.770","2.690","30.04K","-0.72%"
"Feb 05, 2020","2.770","2.700","2.770","2.700","15.68K","2.21%"
"Feb 04, 2020","2.710","2.720","2.790","2.640","62.51K","2.26%"
"Feb 03, 2020","2.650","2.540","2.650","2.540","65.23K","5.58%"
"Jan 31, 2020","2.510","2.490","2.520","2.470","32.93K","0.80%"
