"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18, 2020","0.22","0.22","0.22","0.22","1.50K","0.00%"
"Feb 17, 2020","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Feb 14, 2020","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Feb 12, 2020","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Jan 24, 2020","0.22","0.22","0.22","0.22","3.50K","0.00%"
"Jan 21, 2020","0.22","0.22","0.22","0.22","0.83K","0.00%"
"Jan 20, 2020","0.22","0.22","0.22","0.22","0.50K","0.00%"
"Jan 17, 2020","0.22","0.22","0.22","0.22","0.50K","0.00%"
"Jan 13, 2020","0.22","0.22","0.22","0.22","0.67K","0.00%"
"Jan 10, 2020","0.22","0.22","0.22","0.22","3.00K","0.00%"
"Jan 09, 2020","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Jan 07, 2020","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Jan 06, 2020","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Dec 31, 2019","0.22","0.22","0.22","0.22","0.53K","0.00%"
"Dec 26, 2019","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Dec 25, 2019","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Dec 10, 2019","0.22","0.22","0.22","0.22","7.00K","0.00%"
"Dec 05, 2019","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Nov 29, 2019","0.22","0.22","0.22","0.22","1.13K","0.00%"
"Nov 26, 2019","0.22","0.22","0.22","0.22","1.87K","0.00%"
"Nov 25, 2019","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Nov 22, 2019","0.22","0.22","0.22","0.22","2.13K","0.00%"
"Nov 21, 2019","0.22","0.22","0.22","0.22","5.00K","0.00%"
"Nov 20, 2019","0.22","0.22","0.22","0.22","0.77K","0.00%"
"Nov 19, 2019","0.22","0.22","0.22","0.22","0.50K","0.00%"
"Nov 18, 2019","0.22","0.22","0.22","0.22","0.33K","0.00%"
"Nov 15, 2019","0.22","0.22","0.22","0.22","0.50K","0.00%"
"Nov 11, 2019","0.22","0.22","0.22","0.22","0.00K","0.00%"
"Nov 01, 2019","0.22","0.22","0.22","0.22","2.00K","0.00%"
"Oct 04, 2019","0.22","0.22","0.22","0.22","0.40K","0.00%"
"Jun 25, 2019","0.22","0.22","0.22","0.22","0.02K","-35.29%"
"May 16, 2019","0.34","0.34","0.34","0.34","0.80K","0.00%"
"May 07, 2019","0.34","0.34","0.34","0.34","0.10K","-2.86%"
"Mar 19, 2019","0.35","0.35","0.35","0.35","0.00K","0.00%"
"Feb 26, 2019","0.35","0.35","0.35","0.35","0.25K","6.06%"
"Feb 21, 2019","0.33","0.33","0.33","0.33","0.25K","0.00%"
"Feb 20, 2019","0.33","0.34","0.34","0.33","1.14K","-5.71%"
"Feb 19, 2019","0.35","0.35","0.35","0.35","0.50K","-2.78%"
"Feb 18, 2019","0.36","0.36","0.36","0.36","0.47K","-2.70%"
"Feb 12, 2019","0.37","0.37","0.37","0.37","1.40K","-2.63%"
"Feb 08, 2019","0.38","0.38","0.38","0.38","0.10K","-2.56%"
"Feb 07, 2019","0.39","0.39","0.39","0.39","1.40K","-2.50%"
"Feb 06, 2019","0.40","0.40","0.40","0.40","2.80K","-2.44%"
"Feb 05, 2019","0.41","0.41","0.41","0.41","1.20K","-4.65%"
"Feb 01, 2019","0.43","0.43","0.43","0.43","0.80K","-23.21%"
"Jan 23, 2019","0.56","0.56","0.56","0.56","0.01K","-6.67%"
"Dec 24, 2018","0.60","0.60","0.60","0.60","0.10K","5.26%"
"Dec 13, 2018","0.57","0.57","0.57","0.57","0.00K","-6.56%"
"Dec 11, 2018","0.61","0.61","0.61","0.61","0.10K","0.00%"
"Oct 31, 2018","0.61","0.61","0.61","0.61","0.05K","-1.61%"
"Oct 30, 2018","0.62","0.62","0.62","0.62","0.05K","0.00%"
"Oct 29, 2018","0.62","0.62","0.62","0.62","2.09K","-3.12%"
"Oct 24, 2018","0.64","0.64","0.64","0.64","1.00K","-7.25%"
"Oct 11, 2018","0.69","0.69","0.69","0.69","0.00K","-6.76%"
"Oct 05, 2018","0.74","0.74","0.74","0.74","0.00K","-17.78%"
"Jun 29, 2018","0.90","0.90","0.90","0.90","0.10K","1.12%"
"Jun 22, 2018","0.89","0.89","0.89","0.89","0.01K","-3.26%"
"Jun 11, 2018","0.92","0.92","0.92","0.92","2.33K","0.00%"
"Jun 06, 2018","0.92","0.92","0.92","0.92","0.00K","0.00%"
"Jun 05, 2018","0.92","0.92","0.92","0.92","0.40K","-2.13%"
"Mar 05, 2018","0.94","0.94","0.94","0.94","0.01K","0.00%"
"Jan 09, 2018","0.94","0.94","0.94","0.94","0.01K","-6.00%"
"Dec 05, 2017","1.00","1.00","1.00","1.00","2.99K","-12.28%"
"Nov 02, 2017","1.14","1.14","1.14","1.14","0.00K","-6.56%"
"Apr 05, 2017","1.22","1.22","1.22","1.22","1.80K","-2.40%"
"Jan 13, 2017","1.25","1.25","1.25","1.25","0.85K","0.00%"
"Dec 21, 2016","1.25","1.25","1.25","1.25","499.32K","0.00%"
"Nov 29, 2016","1.25","1.25","1.25","1.25","0.50K","0.81%"
"Nov 21, 2016","1.24","1.24","1.24","1.24","5.51K","0.81%"
"Nov 18, 2016","1.23","1.23","1.23","1.23","1.27K","0.82%"
"Nov 17, 2016","1.22","1.22","1.22","1.22","0.26K","0.00%"
"Nov 16, 2016","1.22","1.22","1.22","1.22","0.74K","-2.40%"
"Nov 09, 2016","1.25","1.25","1.25","1.25","8.00K","1.63%"
"Nov 07, 2016","1.23","1.23","1.23","1.23","3.52K","0.00%"
"Nov 03, 2016","1.23","1.23","1.23","1.23","8.88K","-0.81%"
"Nov 02, 2016","1.24","1.24","1.24","1.24","0.50K","4.20%"
"Oct 31, 2016","1.19","1.19","1.19","1.19","2.13K","-2.46%"
"Oct 25, 2016","1.22","1.22","1.22","1.22","0.60K","20.79%"
"Oct 18, 2016","1.01","1.01","1.01","1.01","3.02K","2.02%"
"Oct 13, 2016","0.99","0.99","0.99","0.99","1.72K","0.00%"
"Oct 12, 2016","0.99","0.99","0.99","0.99","0.08K","0.00%"
"Oct 11, 2016","0.99","0.99","0.99","0.99","0.32K","4.21%"
