"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","6.95","6.60","7.00","6.60","0.88K","2.21%"
"May 04, 2020","6.80","7.20","7.20","6.79","0.16K","-2.86%"
"Apr 30, 2020","7.00","7.20","7.20","7.00","0.75K","-2.78%"
"Apr 27, 2020","7.20","7.20","7.20","6.99","0.01K","0.00%"
"Apr 24, 2020","7.20","6.79","7.21","6.79","0.05K","2.86%"
"Apr 23, 2020","7.00","7.21","7.21","6.80","1.50K","0.00%"
"Apr 22, 2020","7.00","7.42","7.42","7.00","1.52K","-2.91%"
"Apr 21, 2020","7.21","7.21","7.21","6.79","0.34K","3.00%"
"Apr 20, 2020","7.00","7.25","7.25","7.00","0.25K","-0.57%"
"Apr 17, 2020","7.04","7.10","7.10","7.04","0.20K","-2.90%"
"Apr 16, 2020","7.25","7.50","7.50","7.25","0.26K","-2.95%"
"Apr 15, 2020","7.47","7.47","7.47","7.47","0.00K","2.89%"
"Apr 14, 2020","7.26","7.26","7.26","7.26","0.03K","-1.22%"
"Apr 13, 2020","7.35","7.47","7.47","7.05","0.30K","1.24%"
"Apr 08, 2020","7.26","7.06","7.30","7.06","0.72K","0.00%"
"Apr 07, 2020","7.26","7.65","7.65","7.26","0.98K","-2.94%"
"Apr 06, 2020","7.48","7.48","7.48","7.48","0.00K","2.89%"
"Apr 03, 2020","7.27","7.49","7.49","7.27","0.05K","-2.94%"
"Apr 02, 2020","7.49","7.49","7.49","7.49","0.57K","-0.13%"
"Apr 01, 2020","7.50","7.27","7.50","7.27","0.10K","0.13%"
"Mar 31, 2020","7.49","7.49","7.49","7.49","0.10K","-0.13%"
"Mar 30, 2020","7.50","7.70","7.70","7.30","2.01K","-0.13%"
"Mar 27, 2020","7.51","7.90","7.92","7.50","0.78K","-2.47%"
"Mar 26, 2020","7.70","7.50","7.70","7.50","0.12K","2.67%"
"Mar 25, 2020","7.50","7.50","7.50","7.50","0.13K","2.60%"
"Mar 24, 2020","7.31","7.30","7.31","6.89","4.96K","2.96%"
"Mar 23, 2020","7.10","7.27","7.28","7.10","0.35K","0.42%"
"Mar 19, 2020","7.07","7.07","7.08","7.06","3.46K","2.76%"
"Mar 18, 2020","6.88","6.89","6.89","6.49","1.09K","2.84%"
"Mar 17, 2020","6.69","6.89","6.89","6.69","1.96K","-3.18%"
"Mar 16, 2020","6.91","6.91","6.91","6.91","0.61K","-2.95%"
"Mar 13, 2020","7.12","7.34","7.34","7.12","0.73K","-3.13%"
"Mar 12, 2020","7.35","7.45","7.45","7.35","2.90K","0.00%"
"Mar 11, 2020","7.35","7.34","7.36","7.30","1.94K","0.68%"
"Mar 10, 2020","7.30","7.12","7.30","7.10","1.41K","2.53%"
"Mar 09, 2020","7.12","7.47","7.50","7.12","2.92K","-3.00%"
"Mar 06, 2020","7.34","7.50","7.50","7.23","0.20K","-0.81%"
"Mar 05, 2020","7.40","7.40","7.40","7.40","0.25K","-0.94%"
"Mar 04, 2020","7.47","7.47","7.47","7.31","3.03K","-0.13%"
"Mar 03, 2020","7.48","7.40","7.48","7.40","0.40K","-0.27%"
"Mar 02, 2020","7.50","7.50","7.65","7.50","1.44K","0.00%"
"Feb 28, 2020","7.50","7.39","7.50","7.39","2.02K","1.49%"
"Feb 27, 2020","7.39","7.39","7.39","7.39","0.11K","-0.54%"
"Feb 26, 2020","7.43","7.47","7.50","7.43","2.55K","0.00%"
"Feb 25, 2020","7.43","7.43","7.50","7.43","4.00K","0.00%"
"Feb 24, 2020","7.43","7.65","7.65","7.43","2.10K","-2.88%"
"Feb 21, 2020","7.65","7.80","7.80","7.65","2.08K","-1.92%"
"Feb 20, 2020","7.80","7.65","7.80","7.65","3.03K","1.83%"
"Feb 19, 2020","7.66","7.80","7.80","7.66","0.97K","0.00%"
"Feb 18, 2020","7.66","7.66","7.66","7.66","0.50K","-1.79%"
"Feb 17, 2020","7.80","7.80","7.80","7.80","0.10K","0.00%"
"Feb 14, 2020","7.80","7.70","7.80","7.70","0.59K","1.30%"
"Feb 13, 2020","7.70","7.70","7.71","7.70","0.79K","0.00%"
"Feb 12, 2020","7.70","7.70","7.70","7.66","4.20K","0.65%"
"Feb 11, 2020","7.65","7.60","7.80","7.60","6.77K","-1.80%"
"Feb 10, 2020","7.79","7.80","7.80","7.79","1.62K","-0.13%"
"Feb 07, 2020","7.80","7.80","7.80","7.80","2.26K","-1.14%"
"Feb 06, 2020","7.89","7.89","7.89","7.75","0.83K","1.15%"
"Feb 05, 2020","7.80","7.70","7.80","7.70","4.06K","0.00%"
"Feb 04, 2020","7.80","7.80","7.80","7.80","1.16K","0.00%"
"Feb 03, 2020","7.80","7.60","7.80","7.60","2.84K","0.52%"
"Jan 31, 2020","7.76","7.80","7.80","7.76","1.04K","-0.51%"
"Jan 30, 2020","7.80","7.95","7.95","7.80","3.96K","0.00%"
"Jan 29, 2020","7.80","7.80","7.80","7.80","0.68K","0.00%"
"Jan 28, 2020","7.80","7.97","7.97","7.80","1.10K","-0.64%"
"Jan 27, 2020","7.85","7.98","7.98","7.80","2.30K","-1.63%"
"Jan 24, 2020","7.98","7.98","7.98","7.98","0.06K","-0.25%"
"Jan 23, 2020","8.00","8.00","8.00","7.60","0.10K","2.56%"
"Jan 22, 2020","7.80","7.80","7.80","7.71","2.06K","-2.50%"
"Jan 21, 2020","8.00","7.80","8.00","7.80","6.49K","0.00%"
"Jan 20, 2020","8.00","8.02","8.04","7.80","0.31K","-0.25%"
"Jan 17, 2020","8.02","7.90","8.02","7.90","2.50K","0.25%"
"Jan 16, 2020","8.00","8.04","8.04","7.81","0.49K","-0.62%"
"Jan 15, 2020","8.05","8.09","8.09","8.05","0.35K","-0.62%"
"Jan 13, 2020","8.10","7.72","8.10","7.72","0.71K","2.02%"
"Jan 10, 2020","7.94","7.94","7.94","7.71","0.90K","0.00%"
"Jan 09, 2020","7.94","7.54","7.95","7.54","3.88K","5.31%"
"Jan 08, 2020","7.54","7.63","7.63","7.54","0.90K","-1.44%"
"Jan 07, 2020","7.65","7.85","7.85","7.63","14.20K","-2.55%"
