"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2020","3.93","3.93","3.93","3.93","0.01K","-0.25%"
"Apr 30, 2020","3.94","3.98","4.15","3.94","0.67K","-2.96%"
"Apr 29, 2020","4.06","4.29","4.30","4.06","0.07K","-10.96%"
"Apr 24, 2020","4.56","4.56","4.56","4.56","0.03K","-2.98%"
"Apr 22, 2020","4.70","4.70","4.70","4.70","0.01K","2.17%"
"Apr 21, 2020","4.60","4.60","4.60","4.60","0.02K","1.77%"
"Apr 20, 2020","4.52","4.52","4.52","4.52","0.01K","-0.88%"
"Apr 17, 2020","4.56","4.56","4.56","4.56","0.00K","2.01%"
"Apr 16, 2020","4.47","4.47","4.47","4.47","0.01K","0.45%"
"Apr 15, 2020","4.45","4.45","4.45","4.45","0.02K","2.30%"
"Apr 14, 2020","4.35","4.35","4.35","4.35","0.01K","-2.90%"
"Apr 13, 2020","4.48","4.48","4.48","4.48","0.00K","2.75%"
"Apr 08, 2020","4.36","4.14","4.36","4.14","0.66K","-3.11%"
"Apr 03, 2020","4.50","4.39","4.50","4.39","0.08K","2.51%"
"Apr 02, 2020","4.39","4.54","4.54","4.39","0.01K","-1.13%"
"Apr 01, 2020","4.44","4.22","4.44","4.22","1.83K","2.07%"
"Mar 31, 2020","4.35","4.47","4.47","4.25","0.72K","0.00%"
"Mar 30, 2020","4.35","4.35","4.35","4.35","0.01K","2.84%"
"Mar 27, 2020","4.23","4.35","4.35","4.23","0.01K","0.00%"
"Mar 26, 2020","4.23","4.48","4.48","4.23","0.26K","-2.98%"
"Mar 25, 2020","4.36","4.36","4.36","4.36","0.01K","2.83%"
"Mar 24, 2020","4.24","4.24","4.24","4.00","0.82K","2.91%"
"Mar 23, 2020","4.12","4.00","4.12","4.00","0.27K","-2.83%"
"Mar 19, 2020","4.24","4.24","4.24","4.24","0.00K","2.91%"
"Mar 18, 2020","4.12","3.88","4.12","3.88","2.76K","3.00%"
"Mar 17, 2020","4.00","4.12","4.12","4.00","1.29K","-5.66%"
"Mar 16, 2020","4.24","4.41","4.41","4.24","0.13K","-4.29%"
"Mar 13, 2020","4.43","4.56","4.56","4.43","0.38K","-0.45%"
"Mar 12, 2020","4.45","4.58","4.58","4.45","0.14K","-2.84%"
"Mar 11, 2020","4.58","4.49","4.58","4.36","0.79K","2.00%"
"Mar 10, 2020","4.49","4.50","4.50","4.47","0.17K","-1.97%"
"Mar 09, 2020","4.58","4.72","4.72","4.58","0.88K","-2.55%"
"Mar 06, 2020","4.70","4.72","4.72","4.62","1.55K","-1.05%"
"Mar 05, 2020","4.75","4.76","4.76","4.75","2.08K","-2.86%"
"Mar 04, 2020","4.89","4.89","4.95","4.75","5.23K","0.20%"
"Mar 03, 2020","4.88","4.87","4.90","4.75","14.90K","0.21%"
"Mar 02, 2020","4.87","4.95","4.95","4.85","7.45K","0.41%"
"Feb 28, 2020","4.85","4.89","4.90","4.85","8.59K","0.00%"
