"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","11.42","11.42","11.42","10.87","0.71K","1.96%"
"Apr 29, 2020","11.20","11.54","11.79","11.20","1.61K","-5.80%"
"Apr 27, 2020","11.89","11.89","11.89","11.89","0.70K","-0.08%"
"Apr 24, 2020","11.90","11.90","11.90","11.90","0.10K","-0.83%"
"Apr 23, 2020","12.00","12.00","12.00","12.00","0.10K","0.00%"
"Apr 22, 2020","12.00","12.00","12.00","12.00","0.10K","0.00%"
"Apr 21, 2020","12.00","12.00","12.00","12.00","0.05K","0.00%"
"Apr 20, 2020","12.00","12.00","12.00","12.00","0.10K","0.50%"
"Apr 17, 2020","11.94","11.59","11.94","11.26","1.25K","2.93%"
"Apr 16, 2020","11.60","11.60","11.60","11.60","0.01K","2.84%"
"Apr 15, 2020","11.28","11.28","11.28","11.28","0.01K","-2.76%"
"Apr 14, 2020","11.60","11.63","11.63","11.60","0.20K","-3.17%"
"Apr 13, 2020","11.98","11.98","11.98","11.98","0.20K","-0.17%"
"Apr 08, 2020","12.00","12.00","12.00","12.00","0.08K","0.00%"
"Apr 07, 2020","12.00","12.36","12.36","12.00","0.15K","0.00%"
"Apr 06, 2020","12.00","12.00","12.00","12.00","0.10K","1.69%"
"Apr 03, 2020","11.80","11.80","11.80","11.80","0.60K","0.08%"
"Apr 02, 2020","11.79","11.79","11.79","11.55","0.28K","0.77%"
"Apr 01, 2020","11.70","11.55","11.70","11.55","0.55K","-1.68%"
"Mar 27, 2020","11.90","11.90","11.90","11.90","0.01K","0.00%"
"Mar 26, 2020","11.90","11.90","11.90","11.90","0.11K","0.51%"
"Mar 25, 2020","11.84","11.84","11.84","11.84","0.00K","2.96%"
"Mar 24, 2020","11.50","11.50","11.50","11.50","0.02K","1.68%"
"Mar 23, 2020","11.31","11.31","11.31","11.31","0.01K","2.91%"
"Mar 19, 2020","10.99","10.99","10.99","10.99","0.02K","3.00%"
"Mar 18, 2020","10.67","11.33","11.33","10.67","0.41K","-3.00%"
"Mar 16, 2020","11.00","11.15","11.40","11.00","1.63K","-3.00%"
"Mar 13, 2020","11.34","11.70","11.80","11.34","2.22K","-4.71%"
"Mar 12, 2020","11.90","11.72","11.90","11.72","0.80K","0.00%"
"Mar 11, 2020","11.90","11.90","11.90","11.90","0.30K","0.00%"
"Mar 06, 2020","11.90","11.90","11.90","11.90","0.03K","0.00%"
"Mar 05, 2020","11.90","11.50","11.90","11.45","0.40K","0.85%"
"Mar 04, 2020","11.80","11.35","11.90","11.35","1.58K","0.85%"
"Mar 03, 2020","11.70","11.70","11.70","11.35","1.50K","1.30%"
"Mar 02, 2020","11.55","11.55","11.55","11.55","1.40K","-2.94%"
"Feb 25, 2020","11.90","11.90","11.90","11.90","0.05K","2.59%"
"Feb 24, 2020","11.60","11.95","11.95","11.60","0.35K","-0.09%"
"Feb 21, 2020","11.61","11.69","11.69","11.40","0.07K","-1.61%"
"Feb 19, 2020","11.80","11.80","11.80","11.80","0.45K","-0.84%"
