"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","10.43","10.43","10.43","10.40","0.54K","0.00%"
"May 04, 2020","10.43","10.43","10.43","10.40","1.59K","0.00%"
"Apr 30, 2020","10.43","10.75","10.75","10.43","4.90K","-2.98%"
"Apr 29, 2020","10.75","10.90","10.90","10.37","7.89K","0.56%"
"Apr 28, 2020","10.69","10.97","10.97","10.67","3.93K","-2.82%"
"Apr 27, 2020","11.00","11.00","11.20","10.87","1.79K","-1.79%"
"Apr 24, 2020","11.20","11.19","11.20","10.92","2.31K","-0.44%"
"Apr 23, 2020","11.25","11.35","11.35","10.92","2.26K","0.00%"
"Apr 22, 2020","11.25","11.00","11.38","10.96","1.20K","0.45%"
"Apr 21, 2020","11.20","11.39","11.39","11.10","6.07K","0.90%"
"Apr 20, 2020","11.10","11.50","11.50","10.96","9.00K","-1.60%"
"Apr 17, 2020","11.28","11.36","11.36","11.06","2.74K","-0.18%"
"Apr 16, 2020","11.30","11.48","11.48","11.05","2.37K","0.09%"
"Apr 15, 2020","11.29","11.30","11.38","11.05","2.08K","1.71%"
"Apr 14, 2020","11.10","11.50","11.50","11.10","10.52K","-2.63%"
"Apr 13, 2020","11.40","11.00","11.40","11.00","0.55K","2.61%"
"Apr 08, 2020","11.11","11.40","11.40","11.11","7.19K","-2.97%"
"Apr 07, 2020","11.45","10.91","11.50","10.90","4.90K","2.14%"
"Apr 06, 2020","11.21","11.21","11.25","11.21","4.57K","-2.94%"
"Apr 03, 2020","11.55","11.55","11.55","11.55","0.85K","-2.94%"
"Apr 02, 2020","11.90","11.63","11.98","11.62","1.08K","-0.58%"
"Apr 01, 2020","11.97","11.63","12.00","11.63","2.20K","-0.08%"
"Mar 31, 2020","11.98","11.80","12.00","11.80","2.66K","1.53%"
"Mar 30, 2020","11.80","11.80","12.15","11.45","3.03K","0.00%"
"Mar 27, 2020","11.80","11.95","11.95","11.55","6.86K","-0.84%"
"Mar 26, 2020","11.90","12.03","12.04","11.90","0.67K","1.80%"
"Mar 25, 2020","11.69","11.35","11.69","11.30","9.37K","3.00%"
"Mar 24, 2020","11.35","11.60","11.60","11.30","7.12K","0.44%"
"Mar 23, 2020","11.30","11.33","11.68","11.02","7.61K","-0.35%"
"Mar 19, 2020","11.34","12.04","12.04","11.34","22.82K","-2.99%"
"Mar 18, 2020","11.69","11.69","12.00","11.69","5.90K","-2.99%"
"Mar 17, 2020","12.05","12.05","12.05","12.05","2.51K","-2.98%"
"Mar 16, 2020","12.42","12.80","12.80","12.42","5.98K","-5.19%"
"Mar 13, 2020","13.10","13.47","13.47","13.10","1.86K","-3.61%"
"Mar 12, 2020","13.59","13.80","14.30","13.50","5.53K","-2.23%"
"Mar 11, 2020","13.90","14.10","14.10","13.90","2.83K","-1.35%"
"Mar 10, 2020","14.09","13.85","14.20","13.44","5.76K","0.50%"
"Mar 09, 2020","14.02","14.28","14.28","14.02","12.04K","-2.98%"
"Mar 06, 2020","14.45","14.48","14.48","14.26","6.87K","-0.34%"
"Mar 05, 2020","14.50","14.60","14.60","14.50","1.31K","-0.68%"
"Mar 04, 2020","14.60","14.60","14.60","14.55","7.31K","0.34%"
"Mar 03, 2020","14.55","14.20","14.60","14.20","4.90K","-0.34%"
"Mar 02, 2020","14.60","15.00","15.00","14.60","11.61K","-0.68%"
"Feb 28, 2020","14.70","14.63","14.75","14.50","11.61K","1.10%"
"Feb 27, 2020","14.54","14.64","14.64","14.30","4.48K","-0.68%"
"Feb 26, 2020","14.64","14.80","14.80","14.31","4.07K","-0.68%"
"Feb 25, 2020","14.74","14.80","14.80","14.35","1.30K","0.27%"
"Feb 24, 2020","14.70","14.70","14.90","14.70","0.92K","-0.07%"
"Feb 21, 2020","14.71","14.80","14.88","14.70","7.02K","-0.47%"
"Feb 20, 2020","14.78","14.35","14.78","14.35","3.12K","0.54%"
"Feb 19, 2020","14.70","14.27","14.70","14.27","4.39K","-0.07%"
"Feb 18, 2020","14.71","14.71","14.94","14.60","5.06K","-1.54%"
"Feb 17, 2020","14.94","14.97","14.97","14.94","2.97K","-0.13%"
"Feb 14, 2020","14.96","15.00","15.00","14.60","5.07K","0.40%"
"Feb 13, 2020","14.90","14.94","15.15","14.85","30.98K","4.20%"
"Feb 12, 2020","14.30","13.90","14.30","13.89","8.88K","2.95%"
"Feb 11, 2020","13.89","13.89","13.89","13.80","1.27K","0.65%"
"Feb 10, 2020","13.80","13.80","13.90","13.80","7.06K","-0.72%"
"Feb 07, 2020","13.90","13.90","14.08","13.90","2.17K","0.00%"
"Feb 06, 2020","13.90","13.95","14.00","13.90","7.94K","-0.36%"
"Feb 05, 2020","13.95","14.00","14.00","13.95","3.61K","1.09%"
"Feb 04, 2020","13.80","14.00","14.01","13.80","17.67K","-1.43%"
"Feb 03, 2020","14.00","13.75","14.00","13.75","14.14K","1.82%"
"Jan 31, 2020","13.75","13.85","13.90","13.75","2.05K","-0.72%"
"Jan 30, 2020","13.85","13.85","13.90","13.85","3.32K","0.00%"
"Jan 29, 2020","13.85","13.70","13.85","13.70","1.45K","-0.29%"
"Jan 28, 2020","13.89","13.70","13.90","13.60","3.59K","0.65%"
"Jan 27, 2020","13.80","13.88","13.90","13.70","5.74K","-0.72%"
"Jan 24, 2020","13.90","13.90","13.90","13.90","0.05K","0.00%"
"Jan 23, 2020","13.90","14.00","14.00","13.58","4.95K","-0.36%"
"Jan 22, 2020","13.95","13.70","13.95","13.70","1.69K","1.82%"
"Jan 21, 2020","13.70","13.85","14.00","13.70","5.32K","-1.37%"
"Jan 20, 2020","13.89","13.67","13.98","13.67","2.70K","1.76%"
"Jan 17, 2020","13.65","13.48","13.65","13.40","2.70K","1.56%"
"Jan 16, 2020","13.44","13.47","13.47","13.30","2.78K","-0.22%"
"Jan 15, 2020","13.47","13.49","13.49","13.30","2.61K","-0.07%"
"Jan 13, 2020","13.48","13.16","13.55","13.16","2.83K","2.51%"
"Jan 10, 2020","13.15","13.30","13.38","13.15","3.09K","-1.79%"
"Jan 09, 2020","13.39","13.00","13.39","12.80","6.03K","3.00%"
"Jan 08, 2020","13.00","13.25","13.30","12.61","2.94K","0.00%"
"Jan 07, 2020","13.00","13.20","13.20","13.00","21.24K","-1.52%"
