"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2.280","2.340","2.340","2.280","1.01K","-0.44%"
"Apr 29, 2020","2.290","2.290","2.290","2.290","0.01K","2.69%"
"Apr 28, 2020","2.230","2.350","2.350","2.230","0.01K","-2.62%"
"Apr 27, 2020","2.290","2.320","2.320","2.290","0.10K","-0.43%"
"Apr 24, 2020","2.300","2.300","2.300","2.300","0.01K","0.88%"
"Apr 23, 2020","2.280","2.280","2.280","2.280","0.01K","1.33%"
"Apr 21, 2020","2.250","2.250","2.250","2.250","0.20K","-2.17%"
"Apr 17, 2020","2.300","2.300","2.300","2.300","0.20K","-0.86%"
"Apr 14, 2020","2.320","2.320","2.320","2.320","0.01K","0.00%"
"Apr 08, 2020","2.320","2.320","2.320","2.320","0.25K","0.00%"
"Apr 07, 2020","2.320","2.320","2.320","2.320","0.29K","0.00%"
"Apr 06, 2020","2.320","2.320","2.320","2.320","0.06K","-1.69%"
"Apr 03, 2020","2.360","2.360","2.360","2.360","0.54K","-2.88%"
"Apr 02, 2020","2.430","2.430","2.430","2.430","0.01K","2.53%"
"Apr 01, 2020","2.370","2.370","2.370","2.370","0.06K","-2.47%"
"Mar 27, 2020","2.430","2.430","2.430","2.430","0.05K","0.00%"
"Mar 23, 2020","2.430","2.430","2.430","2.430","0.02K","2.53%"
"Mar 18, 2020","2.370","2.370","2.370","2.370","0.01K","-0.42%"
"Mar 17, 2020","2.380","2.380","2.380","2.380","0.01K","-0.42%"
"Mar 16, 2020","2.390","2.390","2.390","2.390","0.13K","2.58%"
"Mar 12, 2020","2.330","2.330","2.330","2.330","0.01K","-2.92%"
"Mar 11, 2020","2.400","2.470","2.470","2.400","0.15K","-2.83%"
"Mar 10, 2020","2.470","2.470","2.470","2.400","0.06K","0.00%"
"Mar 09, 2020","2.470","2.490","2.490","2.470","0.50K","0.00%"
"Mar 06, 2020","2.470","2.440","2.470","2.440","0.05K","1.23%"
"Mar 05, 2020","2.440","2.440","2.440","2.440","0.12K","0.00%"
"Mar 04, 2020","2.440","2.370","2.440","2.310","0.54K","5.63%"
"Mar 03, 2020","2.310","2.310","2.310","2.310","6.83K","0.00%"
"Mar 02, 2020","2.310","2.310","2.310","2.310","0.80K","-2.94%"
"Feb 26, 2020","2.380","2.380","2.380","2.380","1.03K","-2.46%"
"Feb 21, 2020","2.440","2.450","2.450","2.440","0.34K","1.67%"
"Feb 20, 2020","2.400","2.400","2.400","2.400","0.29K","0.84%"
"Feb 19, 2020","2.380","2.380","2.380","2.380","2.77K","-2.86%"
