"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2020","46.50","46.50","46.50","46.50","0.40K","0.00%"
"Jan 28, 2020","46.50","46.50","46.50","46.50","0.00K","0.00%"
"Jan 22, 2020","46.50","46.50","46.50","46.50","0.01K","0.00%"
"Jan 15, 2020","46.50","46.50","46.50","46.50","0.30K","0.00%"
"Nov 21, 2019","46.50","46.50","46.50","46.50","0.00K","6.90%"
"Oct 29, 2019","43.50","43.50","43.50","43.50","0.10K","0.00%"
"Oct 23, 2019","43.50","43.50","43.50","43.50","0.01K","3.57%"
"May 10, 2019","42.00","42.00","42.00","42.00","1.20K","0.00%"
"Apr 05, 2019","42.00","42.00","42.00","42.00","0.15K","0.00%"
"Apr 01, 2019","42.00","42.00","42.00","42.00","0.22K","-6.10%"
"Mar 08, 2019","44.73","44.73","44.73","44.73","0.50K","0.00%"
"Mar 06, 2019","44.73","44.73","44.73","44.73","0.20K","0.00%"
"Jan 21, 2019","44.73","44.73","44.73","44.73","0.02K","-2.99%"
"Dec 24, 2018","46.11","46.11","46.11","46.11","0.00K","12.46%"
"Dec 10, 2018","41.00","41.00","41.00","41.00","0.00K","0.00%"
"May 21, 2018","41.00","41.00","41.00","41.00","0.90K","0.00%"
"May 09, 2018","41.00","41.00","41.00","41.00","1.00K","-3.12%"
"Apr 11, 2018","42.32","42.32","42.32","42.32","0.05K","2.99%"
"Mar 27, 2018","41.09","41.03","41.09","41.03","0.13K","0.15%"
"Jan 31, 2018","41.03","41.03","41.03","41.03","0.02K","0.54%"
"Jan 22, 2018","40.81","40.81","40.81","40.81","0.08K","0.12%"
"Jan 16, 2018","40.76","40.71","40.76","40.71","0.15K","0.12%"
"Jan 05, 2018","40.71","40.71","40.71","40.71","0.01K","0.00%"
"Dec 28, 2017","40.71","40.71","40.71","40.71","0.33K","14.03%"
"Oct 12, 2017","35.70","35.70","35.70","35.70","0.10K","-3.51%"
"Sep 12, 2017","37.00","37.00","37.00","37.00","0.10K","2.75%"
"Jun 19, 2017","36.01","36.01","36.01","36.01","0.01K","0.87%"
"Apr 11, 2017","35.70","35.70","35.70","35.70","0.30K","-3.51%"
"Apr 10, 2017","37.00","37.00","37.00","37.00","0.01K","-5.13%"
"Feb 15, 2017","39.00","39.00","39.00","39.00","0.07K","0.00%"
"Feb 09, 2017","39.00","39.00","39.00","39.00","0.03K","0.00%"
"Jan 20, 2017","39.00","39.00","39.00","39.00","0.14K","0.00%"
"Jan 05, 2017","39.00","39.00","39.00","39.00","0.00K","0.00%"
"Jan 03, 2017","39.00","39.00","39.00","39.00","0.00K","0.00%"
"Dec 13, 2016","39.00","39.00","39.00","39.00","0.01K","0.00%"
"Nov 07, 2016","39.00","39.00","39.00","39.00","0.00K","-0.08%"
"Aug 04, 2016","39.03","39.03","39.03","39.03","0.00K","0.00%"
"May 20, 2016","39.03","39.03","39.03","39.03","1.36K","0.00%"
"May 17, 2016","39.03","39.03","39.03","39.03","0.01K","-4.87%"
"Feb 11, 2016","41.03","41.03","41.03","41.03","0.16K","0.00%"
"Feb 09, 2016","41.03","41.03","41.03","41.03","0.01K","-2.98%"
"Feb 08, 2016","42.29","42.29","42.29","42.29","0.01K","-2.98%"
"Feb 03, 2016","43.59","43.59","43.59","43.59","0.00K","1.37%"
"Jan 06, 2016","43.00","43.00","43.00","43.00","0.03K","0.00%"
"Nov 03, 2015","43.00","43.00","43.00","43.00","0.15K","0.00%"
"Jul 22, 2015","43.00","43.00","43.00","43.00","0.10K","-2.93%"
"Jun 09, 2015","44.30","44.30","44.30","44.30","0.01K","0.00%"
"Jun 08, 2015","44.30","44.30","44.30","44.30","0.01K","-4.73%"
"Apr 24, 2015","46.50","46.50","46.50","46.50","0.05K","-2.98%"
"Apr 21, 2015","47.93","47.93","47.93","47.93","0.14K","0.00%"
"Mar 30, 2015","47.93","47.93","47.93","47.93","0.00K","-3.00%"
"Mar 27, 2015","49.41","49.41","49.41","49.41","0.00K","-2.93%"
"Mar 26, 2015","50.90","50.90","50.90","50.90","0.01K","0.00%"
"Mar 19, 2015","50.90","50.90","50.90","50.90","0.00K","1.39%"
"Feb 11, 2015","50.20","50.20","50.20","50.20","0.00K","9.18%"
