"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","12.23","12.53","12.53","12.23","63.25K","-2.94%"
"May 04, 2020","12.60","12.19","12.60","12.19","0.78K","0.32%"
"Apr 30, 2020","12.56","12.55","12.56","11.90","0.30K","2.95%"
"Apr 29, 2020","12.20","12.80","12.80","12.20","5.20K","-2.94%"
"Apr 28, 2020","12.57","12.58","12.58","12.21","4.67K","-0.08%"
"Apr 27, 2020","12.58","13.34","13.34","12.58","0.42K","-2.93%"
"Apr 24, 2020","12.96","12.80","13.22","12.46","0.41K","0.93%"
"Apr 23, 2020","12.84","12.90","13.08","12.32","0.26K","1.10%"
"Apr 22, 2020","12.70","12.99","12.99","12.70","0.60K","-2.31%"
"Apr 21, 2020","13.00","12.79","13.00","12.32","0.85K","2.36%"
"Apr 20, 2020","12.70","12.80","12.80","12.13","0.05K","1.60%"
"Apr 17, 2020","12.50","12.70","12.70","12.01","0.03K","1.30%"
"Apr 16, 2020","12.34","11.99","12.34","11.65","0.84K","2.92%"
"Apr 15, 2020","11.99","11.99","11.99","11.99","0.01K","2.92%"
"Apr 14, 2020","11.65","12.00","12.00","11.64","1.31K","-2.92%"
"Apr 13, 2020","12.00","12.00","12.00","12.00","0.10K","0.00%"
"Apr 08, 2020","12.00","12.65","12.65","12.00","2.41K","-2.44%"
"Apr 07, 2020","12.30","12.49","12.49","12.00","0.86K","0.00%"
"Apr 06, 2020","12.30","12.65","12.65","12.00","0.66K","0.00%"
"Apr 03, 2020","12.30","12.79","12.79","12.30","0.56K","-1.60%"
"Apr 02, 2020","12.50","12.90","12.90","12.34","1.86K","-1.73%"
"Apr 01, 2020","12.72","12.60","12.72","12.51","1.50K","-1.32%"
"Mar 31, 2020","12.89","12.61","12.89","12.61","0.95K","-0.77%"
"Mar 30, 2020","12.99","13.00","13.05","12.71","3.68K","-0.84%"
"Mar 27, 2020","13.10","13.10","13.10","13.10","0.01K","0.46%"
"Mar 26, 2020","13.04","13.04","13.04","13.04","0.01K","0.00%"
"Mar 25, 2020","13.04","13.04","13.07","12.68","0.37K","-0.23%"
"Mar 24, 2020","13.07","13.08","13.08","13.02","0.18K","2.91%"
"Mar 23, 2020","12.70","12.50","12.80","12.50","0.60K","1.60%"
"Mar 19, 2020","12.50","12.50","12.51","12.00","2.19K","2.88%"
"Mar 18, 2020","12.15","11.65","12.15","11.45","2.30K","2.97%"
"Mar 17, 2020","11.80","11.80","11.80","11.80","0.30K","0.00%"
"Mar 16, 2020","11.80","11.80","12.50","11.80","100.97K","-4.45%"
"Mar 13, 2020","12.35","12.31","12.66","12.31","1.41K","-2.68%"
"Mar 12, 2020","12.69","12.80","12.80","12.69","0.50K","-0.39%"
"Mar 11, 2020","12.74","12.38","12.75","12.03","3.10K","2.91%"
"Mar 10, 2020","12.38","12.50","12.80","11.94","7.91K","-2.37%"
"Mar 09, 2020","12.68","12.68","12.70","12.68","2.69K","0.00%"
"Mar 06, 2020","12.68","12.52","12.97","12.52","3.36K","-1.71%"
"Mar 04, 2020","12.90","12.90","12.90","12.90","0.10K","0.00%"
"Mar 03, 2020","12.90","12.60","12.90","12.60","1.48K","0.00%"
"Mar 02, 2020","12.90","13.10","13.10","12.71","0.77K","0.00%"
"Feb 28, 2020","12.90","12.89","12.90","12.60","2.67K","0.00%"
"Feb 27, 2020","12.90","12.70","12.90","12.67","1.77K","1.57%"
"Feb 26, 2020","12.70","12.90","12.90","12.52","0.22K","-1.55%"
"Feb 25, 2020","12.90","12.59","12.90","12.59","0.11K","-0.54%"
"Feb 24, 2020","12.97","12.97","12.97","12.97","0.74K","0.54%"
"Feb 21, 2020","12.90","12.89","12.90","12.60","2.25K","0.00%"
"Feb 20, 2020","12.90","12.90","12.90","12.67","0.16K","1.74%"
"Feb 19, 2020","12.68","12.90","12.90","12.67","2.23K","-1.71%"
"Feb 18, 2020","12.90","12.66","12.90","12.66","1.75K","-0.62%"
"Feb 14, 2020","12.98","12.98","12.98","12.67","1.20K","0.00%"
"Feb 13, 2020","12.98","12.98","12.98","12.98","0.09K","-0.08%"
"Feb 12, 2020","12.99","12.97","12.99","12.59","0.86K","0.15%"
"Feb 11, 2020","12.97","12.97","12.97","12.97","0.17K","0.00%"
"Feb 10, 2020","12.97","12.80","12.97","12.80","3.50K","0.54%"
"Feb 07, 2020","12.90","12.65","12.99","12.65","1.19K","-0.69%"
"Feb 06, 2020","12.99","12.99","12.99","12.99","0.01K","-0.08%"
"Feb 05, 2020","13.00","12.99","13.00","12.61","0.50K","0.00%"
"Feb 04, 2020","13.00","13.15","13.15","13.00","1.40K","-1.14%"
"Feb 03, 2020","13.15","13.11","13.15","12.75","2.22K","1.15%"
"Jan 31, 2020","13.00","12.61","13.12","12.61","1.35K","0.00%"
"Jan 30, 2020","13.00","13.12","13.12","12.73","0.52K","0.08%"
"Jan 29, 2020","12.99","12.99","12.99","12.70","2.20K","-0.08%"
"Jan 28, 2020","13.00","12.80","13.00","12.80","1.99K","0.39%"
"Jan 27, 2020","12.95","12.74","12.95","12.40","1.70K","1.41%"
"Jan 24, 2020","12.77","12.40","12.77","12.40","1.97K","2.98%"
"Jan 23, 2020","12.40","12.45","12.45","12.11","2.44K","-0.40%"
"Jan 22, 2020","12.45","12.45","12.45","12.45","0.50K","-0.16%"
"Jan 21, 2020","12.47","12.48","12.48","12.40","1.28K","-0.08%"
"Jan 20, 2020","12.48","12.47","12.48","12.25","2.86K","0.08%"
"Jan 17, 2020","12.47","12.48","12.48","12.47","0.36K","0.56%"
"Jan 16, 2020","12.40","12.42","12.42","12.40","0.61K","-0.80%"
"Jan 15, 2020","12.50","12.50","12.50","12.50","0.10K","0.00%"
"Jan 13, 2020","12.50","12.42","12.50","12.42","0.23K","-0.79%"
"Jan 10, 2020","12.60","12.60","12.61","12.42","1.63K","-0.08%"
"Jan 09, 2020","12.61","12.71","12.71","12.61","0.76K","-0.79%"
"Jan 08, 2020","12.71","12.80","12.80","12.71","0.37K","-0.70%"
"Jan 07, 2020","12.80","12.72","12.80","12.72","1.00K","0.00%"
"Jan 06, 2020","12.80","12.81","12.98","12.80","2.54K","-1.39%"
"Jan 03, 2020","12.98","12.99","12.99","12.98","0.91K","-0.15%"
"Jan 02, 2020","13.00","12.81","13.00","12.81","2.10K","-0.76%"
"Dec 31, 2019","13.10","13.13","13.13","13.10","6.97K","-0.23%"
"Dec 30, 2019","13.13","13.13","13.13","13.13","3.00K","0.31%"
"Dec 27, 2019","13.09","13.13","13.13","13.09","2.75K","-0.08%"
"Dec 26, 2019","13.10","13.10","13.10","13.10","1.05K","-0.38%"
"Dec 25, 2019","13.15","13.15","13.15","13.15","0.75K","-0.08%"
"Dec 24, 2019","13.16","12.97","13.16","12.80","1.25K","0.08%"
"Dec 23, 2019","13.15","13.17","13.17","12.96","0.11K","-0.15%"
"Dec 20, 2019","13.17","13.19","13.19","13.17","0.87K","-0.15%"
"Dec 19, 2019","13.19","13.19","13.20","13.00","22.41K","0.00%"
"Dec 18, 2019","13.19","13.19","13.20","12.98","2.08K","-0.08%"
"Dec 17, 2019","13.20","13.19","13.28","12.97","4.67K","0.08%"
"Dec 16, 2019","13.19","12.91","13.20","12.90","3.55K","2.17%"
"Dec 13, 2019","12.91","13.30","13.30","12.91","1.36K","-2.86%"
"Dec 12, 2019","13.29","13.30","13.30","12.75","0.18K","1.76%"
"Dec 11, 2019","13.06","13.34","13.34","13.06","0.56K","-2.46%"
"Dec 10, 2019","13.39","13.39","13.40","13.06","19.94K","0.00%"
