"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","3.65","3.65","3.65","3.45","0.04K","2.82%"
"May 04, 2020","3.55","3.48","3.55","3.48","0.08K","1.72%"
"Apr 30, 2020","3.49","3.35","3.52","3.35","6.54K","1.16%"
"Apr 29, 2020","3.45","3.50","3.50","3.45","0.63K","-5.22%"
"Apr 28, 2020","3.64","3.55","3.70","3.55","1.17K","-0.27%"
"Apr 27, 2020","3.65","3.56","3.65","3.56","0.02K","-0.54%"
"Apr 24, 2020","3.67","3.60","3.67","3.60","0.03K","-1.08%"
"Apr 23, 2020","3.71","3.78","3.78","3.61","0.13K","-0.27%"
"Apr 22, 2020","3.72","3.72","3.72","3.72","0.07K","2.20%"
"Apr 21, 2020","3.64","3.63","3.64","3.63","0.00K","1.68%"
"Apr 20, 2020","3.58","3.58","3.58","3.58","0.00K","2.29%"
"Apr 17, 2020","3.50","3.60","3.63","3.50","1.45K","-1.41%"
"Apr 16, 2020","3.55","3.64","3.68","3.55","7.04K","-2.74%"
"Apr 15, 2020","3.65","3.76","3.76","3.65","0.72K","-2.93%"
"Apr 14, 2020","3.76","3.77","3.77","3.60","2.11K","2.45%"
"Apr 13, 2020","3.67","3.67","3.67","3.48","0.15K","2.51%"
"Apr 08, 2020","3.58","3.60","3.62","3.44","2.50K","1.42%"
"Apr 07, 2020","3.53","3.63","3.63","3.53","9.67K","-2.75%"
"Apr 06, 2020","3.63","3.85","3.85","3.63","9.30K","-2.94%"
"Apr 03, 2020","3.74","3.74","3.74","3.74","0.02K","-2.86%"
"Apr 02, 2020","3.85","3.80","3.90","3.80","0.15K","-2.28%"
"Apr 01, 2020","3.94","3.94","3.94","3.94","0.01K","-5.06%"
"Mar 30, 2020","4.15","4.15","4.15","4.15","0.05K","1.22%"
"Mar 26, 2020","4.10","4.10","4.10","4.10","0.00K","0.00%"
"Mar 25, 2020","4.10","4.10","4.10","4.10","0.07K","2.50%"
"Mar 24, 2020","4.00","4.00","4.00","4.00","0.05K","2.83%"
"Mar 23, 2020","3.89","3.91","3.91","3.69","1.11K","2.37%"
"Mar 19, 2020","3.80","3.80","3.80","3.80","0.00K","2.98%"
"Mar 18, 2020","3.69","3.69","3.69","3.49","0.26K","2.79%"
"Mar 17, 2020","3.59","3.59","3.70","3.59","3.52K","-4.27%"
"Mar 16, 2020","3.75","3.74","3.87","3.65","4.61K","-0.27%"
"Mar 13, 2020","3.76","3.89","3.89","3.70","3.29K","-1.05%"
"Mar 12, 2020","3.80","3.91","3.91","3.80","1.39K","-3.06%"
"Mar 11, 2020","3.92","3.97","3.97","3.74","7.52K","1.82%"
"Mar 10, 2020","3.85","3.80","3.97","3.80","2.40K","-1.28%"
"Mar 09, 2020","3.90","3.85","3.90","3.85","1.85K","-1.52%"
"Mar 06, 2020","3.96","3.96","3.97","3.86","1.20K","-0.25%"
"Mar 05, 2020","3.97","3.97","3.97","3.86","3.00K","2.32%"
"Mar 04, 2020","3.88","3.88","3.97","3.88","1.68K","-2.76%"
"Mar 02, 2020","3.99","3.99","3.99","3.99","0.75K","0.25%"
"Feb 28, 2020","3.98","3.98","3.98","3.87","1.11K","0.00%"
"Feb 27, 2020","3.98","3.98","3.98","3.98","0.00K","0.25%"
"Feb 26, 2020","3.97","3.97","3.97","3.96","0.04K","2.58%"
"Feb 25, 2020","3.87","3.97","3.98","3.87","0.35K","-2.76%"
"Feb 24, 2020","3.98","3.88","3.98","3.88","2.24K","0.00%"
"Feb 21, 2020","3.98","3.98","3.98","3.91","23.75K","0.00%"
"Feb 20, 2020","3.98","3.98","3.98","3.90","0.51K","0.00%"
"Feb 19, 2020","3.98","3.98","3.98","3.97","0.52K","0.00%"
"Feb 18, 2020","3.98","3.99","3.99","3.88","5.81K","-0.25%"
"Feb 17, 2020","3.99","3.99","3.99","3.99","0.00K","0.00%"
"Feb 14, 2020","3.99","3.92","3.99","3.92","1.37K","2.57%"
"Feb 13, 2020","3.89","3.92","3.92","3.83","6.83K","-0.77%"
"Feb 12, 2020","3.92","3.92","3.92","3.83","5.46K","0.51%"
"Feb 11, 2020","3.90","3.92","3.92","3.83","2.96K","0.00%"
"Feb 10, 2020","3.90","3.82","3.92","3.82","0.22K","-0.51%"
"Feb 07, 2020","3.92","3.92","3.92","3.92","0.00K","0.00%"
"Feb 06, 2020","3.92","3.92","3.92","3.83","0.15K","0.26%"
"Feb 05, 2020","3.91","3.83","3.91","3.83","0.00K","-0.76%"
"Feb 04, 2020","3.94","4.00","4.00","3.82","0.41K","-1.50%"
"Feb 03, 2020","4.00","3.91","4.00","3.91","0.00K","5.26%"
"Jan 31, 2020","3.80","3.85","3.85","3.75","18.02K","-1.30%"
"Jan 30, 2020","3.85","3.80","3.85","3.75","1.47K","1.32%"
"Jan 29, 2020","3.80","3.84","3.84","3.80","1.55K","-0.26%"
"Jan 28, 2020","3.81","3.92","3.92","3.81","0.45K","-0.78%"
"Jan 27, 2020","3.84","3.95","3.95","3.84","3.11K","-2.78%"
"Jan 24, 2020","3.95","3.99","3.99","3.88","0.76K","-0.75%"
"Jan 23, 2020","3.98","4.00","4.00","3.90","0.03K","-0.50%"
"Jan 21, 2020","4.00","4.00","4.00","4.00","0.00K","2.56%"
"Jan 20, 2020","3.90","3.99","4.00","3.90","1.06K","-2.26%"
"Jan 17, 2020","3.99","3.99","3.99","3.88","2.85K","0.00%"
"Jan 16, 2020","3.99","3.99","3.99","3.99","0.00K","0.00%"
"Jan 15, 2020","3.99","3.99","3.99","3.95","0.68K","1.01%"
