"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","1.510","1.550","1.550","1.510","0.62K","0.00%"
"May 04, 2020","1.510","1.510","1.510","1.510","0.12K","2.03%"
"Apr 30, 2020","1.480","1.480","1.480","1.480","0.20K","2.78%"
"Apr 28, 2020","1.440","1.440","1.440","1.440","0.15K","2.86%"
"Apr 23, 2020","1.400","1.400","1.400","1.400","0.00K","0.72%"
"Apr 22, 2020","1.390","1.390","1.390","1.390","0.24K","0.00%"
"Apr 21, 2020","1.390","1.390","1.390","1.390","0.00K","2.96%"
"Apr 20, 2020","1.350","1.350","1.350","1.350","0.06K","0.00%"
"Apr 08, 2020","1.350","1.350","1.350","1.350","0.00K","1.50%"
"Apr 07, 2020","1.330","1.330","1.330","1.330","0.00K","2.31%"
"Apr 03, 2020","1.300","1.300","1.300","1.300","0.00K","2.36%"
"Apr 01, 2020","1.270","1.270","1.270","1.270","0.00K","2.42%"
"Mar 19, 2020","1.240","1.240","1.240","1.240","0.01K","0.00%"
"Mar 17, 2020","1.240","1.240","1.240","1.240","0.00K","0.00%"
"Mar 16, 2020","1.240","1.240","1.240","1.240","0.05K","0.00%"
"Mar 13, 2020","1.240","1.240","1.240","1.240","0.00K","2.48%"
"Mar 12, 2020","1.210","1.210","1.210","1.210","0.10K","-2.42%"
"Mar 09, 2020","1.240","1.270","1.270","1.240","0.05K","-4.62%"
"Mar 05, 2020","1.300","1.300","1.300","1.300","0.11K","-4.41%"
"Mar 04, 2020","1.360","1.360","1.360","1.360","0.01K","-2.86%"
"Feb 20, 2020","1.400","1.380","1.400","1.380","0.00K","4.48%"
"Feb 19, 2020","1.340","1.340","1.340","1.340","0.75K","-2.90%"
"Feb 14, 2020","1.380","1.380","1.380","1.380","0.27K","-1.43%"
"Feb 13, 2020","1.400","1.400","1.400","1.400","0.83K","-4.11%"
"Feb 12, 2020","1.460","1.460","1.460","1.460","0.10K","-2.67%"
"Feb 04, 2020","1.500","1.500","1.500","1.500","0.00K","1.35%"
"Feb 03, 2020","1.480","1.480","1.480","1.480","0.38K","0.00%"
"Jan 31, 2020","1.480","1.480","1.480","1.480","0.63K","0.00%"
"Jan 29, 2020","1.480","1.480","1.480","1.480","0.00K","-0.67%"
"Jan 28, 2020","1.490","1.490","1.490","1.490","0.00K","0.00%"
"Jan 27, 2020","1.490","1.490","1.490","1.490","0.00K","-0.67%"
"Jan 24, 2020","1.500","1.470","1.500","1.470","0.06K","-3.23%"
"Jan 21, 2020","1.550","1.550","1.550","1.550","0.00K","0.00%"
"Jan 20, 2020","1.550","1.550","1.550","1.550","0.36K","-0.64%"
"Jan 15, 2020","1.560","1.560","1.560","1.560","0.00K","-3.11%"
"Jan 13, 2020","1.610","1.610","1.610","1.610","0.00K","0.62%"
"Jan 10, 2020","1.600","1.600","1.600","1.600","0.01K","-0.62%"
"Jan 09, 2020","1.610","1.610","1.610","1.610","0.00K","-5.29%"
"Jan 07, 2020","1.700","1.700","1.700","1.700","0.01K","-4.49%"
"Jan 03, 2020","1.780","1.790","1.790","1.780","0.30K","-1.66%"
"Jan 02, 2020","1.810","1.810","1.810","1.810","0.01K","-1.63%"
"Dec 30, 2019","1.840","1.840","1.840","1.840","0.14K","2.22%"
"Dec 27, 2019","1.800","1.800","1.800","1.770","8.38K","-0.55%"
"Dec 26, 2019","1.810","1.810","1.810","1.810","4.21K","0.56%"
"Dec 25, 2019","1.800","1.790","1.800","1.790","4.50K","5.88%"
"Dec 23, 2019","1.700","1.680","1.700","1.680","1.59K","4.29%"
"Dec 20, 2019","1.630","1.600","1.630","1.590","5.57K","1.87%"
"Dec 19, 2019","1.600","1.590","1.600","1.590","2.82K","0.63%"
"Dec 18, 2019","1.590","1.560","1.590","1.560","4.85K","3.25%"
"Dec 17, 2019","1.540","1.530","1.540","1.530","1.39K","1.99%"
"Dec 16, 2019","1.510","1.450","1.510","1.450","2.75K","4.14%"
"Dec 13, 2019","1.450","1.420","1.450","1.420","5.82K","4.32%"
"Dec 12, 2019","1.390","1.350","1.390","1.350","7.42K","4.51%"
"Dec 11, 2019","1.330","1.300","1.330","1.300","1.75K","4.72%"
"Dec 10, 2019","1.270","1.290","1.290","1.260","1.56K","4.10%"
"Dec 06, 2019","1.220","1.190","1.220","1.190","0.99K","5.17%"
"Dec 05, 2019","1.160","1.130","1.160","1.130","1.20K","6.42%"
"Dec 04, 2019","1.090","1.090","1.090","1.090","0.18K","0.00%"
"Dec 03, 2019","1.090","1.090","1.090","1.090","0.56K","3.81%"
"Dec 02, 2019","1.050","1.050","1.050","1.050","0.18K","2.94%"
"Nov 27, 2019","1.020","1.020","1.020","1.020","0.94K","0.00%"
"Nov 26, 2019","1.020","1.020","1.020","1.020","3.09K","-3.77%"
"Nov 22, 2019","1.060","1.030","1.060","1.030","4.14K","3.92%"
"Nov 21, 2019","1.020","1.020","1.020","1.020","0.25K","0.00%"
"Nov 19, 2019","1.020","1.020","1.020","1.020","0.05K","0.00%"
"Nov 15, 2019","1.020","1.020","1.020","1.020","0.51K","0.00%"
"Nov 13, 2019","1.020","1.020","1.020","1.020","0.04K","2.00%"
"Nov 07, 2019","1.000","1.000","1.000","1.000","1.00K","0.00%"
"Nov 06, 2019","1.000","1.000","1.000","1.000","1.00K","0.00%"
"Nov 05, 2019","1.000","1.000","1.000","1.000","2.80K","-0.99%"
"Nov 01, 2019","1.010","1.020","1.020","1.010","9.82K","-0.98%"
"Oct 31, 2019","1.020","1.020","1.020","1.020","1.64K","0.00%"
"Oct 30, 2019","1.020","1.020","1.020","1.020","2.00K","0.00%"
"Oct 29, 2019","1.020","1.020","1.020","1.020","3.95K","0.99%"
"Oct 28, 2019","1.010","1.010","1.010","1.010","1.50K","0.00%"
"Oct 25, 2019","1.010","1.010","1.010","1.010","0.10K","-0.98%"
"Oct 23, 2019","1.020","1.020","1.020","1.020","0.50K","0.00%"
"Oct 16, 2019","1.020","1.020","1.020","1.020","0.03K","0.00%"
"Oct 11, 2019","1.020","1.020","1.020","1.020","0.30K","2.00%"
"Oct 09, 2019","1.000","1.000","1.000","1.000","0.85K","-1.96%"
"Oct 02, 2019","1.020","1.020","1.020","1.020","0.45K","0.00%"
"Oct 01, 2019","1.020","1.020","1.020","1.020","0.05K","2.00%"
"Sep 30, 2019","1.000","1.000","1.000","1.000","4.40K","-1.96%"
"Sep 27, 2019","1.020","1.020","1.020","1.020","2.38K","0.00%"
"Sep 26, 2019","1.020","1.020","1.020","1.020","1.12K","-2.86%"
"Sep 18, 2019","1.050","1.050","1.050","1.050","0.10K","1.94%"
"Sep 10, 2019","1.030","1.030","1.030","1.030","0.11K","-1.90%"
"Sep 03, 2019","1.050","1.050","1.050","1.050","0.30K","0.00%"
"Aug 29, 2019","1.050","1.050","1.050","1.050","0.22K","0.00%"
"Aug 28, 2019","1.050","1.050","1.050","1.050","0.81K","0.00%"
"Aug 27, 2019","1.050","1.050","1.050","1.050","0.73K","-1.87%"
"Aug 26, 2019","1.070","1.070","1.070","1.070","0.23K","-1.83%"
"Aug 23, 2019","1.090","1.120","1.120","1.090","0.20K","-2.68%"
"Aug 22, 2019","1.120","1.120","1.120","1.120","0.00K","-2.61%"
"Aug 21, 2019","1.150","1.150","1.150","1.150","0.01K","3.60%"
"Aug 20, 2019","1.110","1.110","1.110","1.110","0.41K","2.78%"
"Aug 19, 2019","1.080","1.080","1.080","1.080","0.12K","0.00%"
"Aug 14, 2019","1.080","1.080","1.080","1.080","0.01K","0.93%"
"Aug 07, 2019","1.070","1.070","1.070","1.070","0.07K","1.90%"
"Jul 31, 2019","1.050","1.050","1.050","1.050","0.15K","-4.55%"
"Jul 18, 2019","1.100","1.100","1.100","1.100","0.38K","0.00%"
"Jul 15, 2019","1.100","1.100","1.100","1.100","0.50K","0.00%"
"Jul 11, 2019","1.100","1.100","1.100","1.100","0.38K","1.85%"
"Jul 03, 2019","1.080","1.080","1.080","1.080","1.12K","-2.70%"
"Jul 02, 2019","1.110","1.110","1.110","1.110","0.03K","0.00%"
"Jun 26, 2019","1.110","1.110","1.110","1.110","0.33K","-2.63%"
"Jun 21, 2019","1.140","1.140","1.140","1.140","0.02K","0.00%"
"Jun 20, 2019","1.140","1.120","1.140","1.120","0.13K","2.70%"
"Jun 19, 2019","1.110","1.110","1.110","1.110","0.02K","-2.63%"
"Jun 14, 2019","1.140","1.140","1.140","1.140","0.92K","0.00%"
"Jun 13, 2019","1.140","1.100","1.140","1.100","1.17K","-1.72%"
"Jun 11, 2019","1.160","1.160","1.160","1.160","1.50K","-2.52%"
"May 31, 2019","1.190","1.190","1.190","1.190","0.01K","2.59%"
"May 29, 2019","1.160","1.160","1.160","1.160","1.02K","2.65%"
