"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2020","0.51","0.51","0.51","0.51","0.02K","0.00%"
"Apr 30, 2020","0.51","0.50","0.51","0.50","13.92K","0.00%"
"Apr 29, 2020","0.51","0.51","0.51","0.51","3.00K","-1.92%"
"Apr 28, 2020","0.52","0.52","0.52","0.52","2.20K","-1.89%"
"Apr 27, 2020","0.53","0.53","0.53","0.53","0.01K","0.00%"
"Apr 24, 2020","0.53","0.53","0.53","0.52","4.36K","0.00%"
"Apr 23, 2020","0.53","0.55","0.55","0.53","0.47K","-1.85%"
"Apr 22, 2020","0.54","0.54","0.54","0.54","0.00K","-1.82%"
"Apr 20, 2020","0.55","0.54","0.55","0.53","14.18K","1.85%"
"Apr 17, 2020","0.54","0.54","0.54","0.54","1.90K","-1.82%"
"Apr 14, 2020","0.55","0.55","0.55","0.55","0.21K","-1.79%"
"Apr 13, 2020","0.56","0.56","0.56","0.56","0.96K","-1.75%"
"Apr 08, 2020","0.57","0.56","0.57","0.56","1.00K","0.00%"
"Apr 07, 2020","0.57","0.57","0.58","0.57","6.31K","-1.72%"
"Apr 06, 2020","0.58","0.58","0.58","0.58","0.19K","0.00%"
"Apr 01, 2020","0.58","0.59","0.59","0.57","2.00K","0.00%"
"Mar 31, 2020","0.58","0.59","0.59","0.57","3.01K","0.00%"
"Mar 30, 2020","0.58","0.60","0.60","0.58","7.31K","-1.69%"
"Mar 25, 2020","0.59","0.58","0.59","0.57","3.02K","1.72%"
"Mar 24, 2020","0.58","0.56","0.58","0.56","6.64K","1.75%"
"Mar 23, 2020","0.57","0.57","0.57","0.57","0.01K","-1.72%"
"Mar 19, 2020","0.58","0.58","0.58","0.58","0.06K","-4.92%"
"Mar 17, 2020","0.61","0.61","0.61","0.61","0.01K","0.00%"
"Mar 16, 2020","0.61","0.61","0.61","0.61","0.02K","-3.17%"
"Mar 12, 2020","0.63","0.63","0.63","0.63","0.00K","0.00%"
"Mar 11, 2020","0.63","0.61","0.63","0.61","22.69K","1.61%"
"Mar 10, 2020","0.62","0.60","0.62","0.60","26.43K","1.64%"
"Mar 09, 2020","0.61","0.62","0.62","0.61","0.01K","-1.61%"
"Mar 06, 2020","0.62","0.62","0.63","0.61","69.16K","0.00%"
"Mar 05, 2020","0.62","0.63","0.63","0.62","1.25K","-1.59%"
"Mar 04, 2020","0.63","0.62","0.63","0.61","20.63K","3.28%"
"Mar 03, 2020","0.61","0.60","0.62","0.58","29.94K","1.67%"
"Mar 02, 2020","0.60","0.59","0.60","0.58","56.45K","3.45%"
"Feb 28, 2020","0.58","0.57","0.58","0.56","47.82K","0.00%"
"Feb 27, 2020","0.58","0.57","0.58","0.56","10.18K","0.00%"
"Feb 26, 2020","0.58","0.56","0.58","0.56","3.61K","1.75%"
"Feb 25, 2020","0.57","0.59","0.59","0.57","2.39K","-1.72%"
"Feb 24, 2020","0.58","0.58","0.58","0.58","0.31K","-1.69%"
"Feb 21, 2020","0.59","0.58","0.59","0.57","7.96K","1.72%"
"Feb 20, 2020","0.58","0.57","0.58","0.57","1.58K","0.00%"
"Feb 19, 2020","0.58","0.58","0.59","0.58","2.81K","-1.69%"
"Feb 18, 2020","0.59","0.59","0.59","0.58","12.32K","1.72%"
"Feb 17, 2020","0.58","0.56","0.58","0.56","32.56K","1.75%"
"Feb 14, 2020","0.57","0.57","0.57","0.55","20.91K","1.79%"
"Feb 13, 2020","0.56","0.56","0.57","0.55","29.09K","-1.75%"
"Feb 12, 2020","0.57","0.58","0.59","0.57","2.97K","0.00%"
"Feb 11, 2020","0.57","0.57","0.58","0.56","29.54K","0.00%"
"Feb 10, 2020","0.57","0.58","0.58","0.57","2.57K","0.00%"
"Feb 07, 2020","0.57","0.58","0.58","0.57","1.87K","0.00%"
"Feb 06, 2020","0.57","0.58","0.58","0.57","11.78K","-1.72%"
