"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","3.12","3.21","3.21","3.12","3.88K","-2.80%"
"May 04, 2020","3.21","3.21","3.21","3.20","0.30K","0.63%"
"Apr 30, 2020","3.19","3.10","3.20","3.10","1.05K","0.00%"
"Apr 29, 2020","3.19","3.10","3.19","3.10","0.60K","0.00%"
"Apr 27, 2020","3.19","3.11","3.19","3.11","0.25K","-0.31%"
"Apr 24, 2020","3.20","3.12","3.21","3.12","2.33K","-0.31%"
"Apr 22, 2020","3.21","3.10","3.21","3.10","20.62K","2.88%"
"Apr 21, 2020","3.12","3.12","3.28","3.12","6.50K","-2.80%"
"Apr 20, 2020","3.21","3.21","3.21","3.21","0.08K","-2.73%"
"Apr 17, 2020","3.30","3.29","3.30","3.29","0.01K","-0.30%"
"Apr 15, 2020","3.31","3.31","3.31","3.31","0.18K","-0.30%"
"Apr 14, 2020","3.32","3.19","3.32","3.19","0.07K","2.15%"
"Apr 13, 2020","3.25","3.20","3.25","3.20","5.19K","-1.22%"
"Apr 08, 2020","3.29","3.35","3.35","3.20","0.61K","0.00%"
"Apr 07, 2020","3.29","3.35","3.35","3.21","2.21K","-0.30%"
"Apr 06, 2020","3.30","3.30","3.30","3.30","0.00K","0.00%"
"Apr 03, 2020","3.30","3.22","3.31","3.22","2.65K","-0.30%"
"Apr 02, 2020","3.31","3.51","3.51","3.31","2.03K","-2.93%"
"Apr 01, 2020","3.41","3.50","3.50","3.40","3.21K","-1.16%"
"Mar 31, 2020","3.45","3.52","3.52","3.35","4.68K","0.88%"
"Mar 30, 2020","3.42","3.45","3.45","3.30","3.41K","1.18%"
"Mar 27, 2020","3.38","3.35","3.38","3.25","0.30K","2.11%"
"Mar 26, 2020","3.31","3.31","3.32","3.25","1.05K","1.85%"
"Mar 25, 2020","3.25","3.20","3.25","3.20","10.28K","2.85%"
"Mar 24, 2020","3.16","3.14","3.16","3.14","12.10K","2.93%"
"Mar 23, 2020","3.07","3.15","3.15","3.06","4.92K","-2.54%"
"Mar 19, 2020","3.15","3.15","3.31","3.15","34.47K","-2.78%"
"Mar 18, 2020","3.24","3.06","3.24","3.06","29.43K","2.86%"
"Mar 17, 2020","3.15","3.15","3.15","3.15","0.17K","-7.08%"
"Mar 16, 2020","3.39","3.39","3.39","3.39","1.60K","-5.04%"
"Mar 13, 2020","3.57","3.57","3.57","3.57","0.03K","-1.38%"
"Mar 12, 2020","3.62","3.73","3.73","3.62","3.00K","-0.28%"
"Mar 11, 2020","3.63","3.49","3.63","3.43","20.22K","5.83%"
"Mar 10, 2020","3.43","3.57","3.57","3.43","19.08K","-5.51%"
"Mar 09, 2020","3.63","3.63","3.65","3.63","8.56K","-2.94%"
"Mar 06, 2020","3.74","3.70","3.75","3.64","17.46K","-0.27%"
"Mar 05, 2020","3.75","3.76","3.76","3.67","9.92K","-0.27%"
"Mar 04, 2020","3.76","3.83","3.83","3.72","7.51K","-1.31%"
"Mar 03, 2020","3.81","3.75","3.81","3.73","0.25K","-0.78%"
"Mar 02, 2020","3.84","3.73","3.84","3.73","0.49K","0.00%"
"Feb 28, 2020","3.84","3.80","3.84","3.80","3.18K","1.05%"
"Feb 27, 2020","3.80","3.75","3.80","3.74","5.33K","1.33%"
"Feb 26, 2020","3.75","3.72","3.75","3.69","10.05K","-1.06%"
"Feb 25, 2020","3.79","3.72","3.80","3.69","9.32K","-0.26%"
"Feb 24, 2020","3.80","3.72","3.80","3.72","6.04K","0.00%"
"Feb 21, 2020","3.80","3.84","3.85","3.75","4.77K","-1.30%"
"Feb 20, 2020","3.85","3.79","3.87","3.71","5.31K","4.05%"
"Feb 19, 2020","3.70","3.77","3.80","3.66","9.99K","-1.86%"
"Feb 18, 2020","3.77","3.71","3.82","3.65","41.39K","0.27%"
"Feb 17, 2020","3.76","3.87","3.87","3.76","2.49K","-1.05%"
"Feb 14, 2020","3.80","3.90","3.90","3.77","37.39K","-2.06%"
"Feb 13, 2020","3.88","3.90","3.93","3.84","21.72K","-1.77%"
"Feb 12, 2020","3.95","3.99","3.99","3.90","10.94K","-0.25%"
"Feb 11, 2020","3.96","3.87","4.00","3.87","14.51K","0.25%"
"Feb 10, 2020","3.95","4.00","4.00","3.90","3.45K","0.51%"
"Feb 07, 2020","3.93","3.81","3.97","3.81","20.82K","0.77%"
"Feb 06, 2020","3.90","3.91","3.94","3.90","23.78K","-1.02%"
"Feb 05, 2020","3.94","3.92","3.98","3.92","18.02K","-1.99%"
"Feb 04, 2020","4.02","3.95","4.02","3.92","6.46K","-0.25%"
"Feb 03, 2020","4.03","4.00","4.03","3.95","9.80K","0.00%"
"Jan 31, 2020","4.03","4.00","4.03","4.00","10.62K","-0.49%"
"Jan 30, 2020","4.05","4.04","4.10","4.00","12.82K","-1.22%"
"Jan 29, 2020","4.10","4.10","4.10","4.01","4.50K","0.00%"
"Jan 28, 2020","4.10","4.10","4.15","4.03","24.38K","0.24%"
"Jan 27, 2020","4.09","4.02","4.09","3.96","89.54K","3.54%"
"Jan 24, 2020","3.95","3.99","4.02","3.91","25.02K","1.02%"
"Jan 23, 2020","3.91","3.91","3.94","3.91","3.40K","-1.01%"
"Jan 22, 2020","3.95","3.90","3.95","3.90","6.47K","1.02%"
"Jan 21, 2020","3.91","3.99","4.00","3.90","47.27K","-2.25%"
"Jan 20, 2020","4.00","4.10","4.10","4.00","6.33K","-0.25%"
"Jan 17, 2020","4.01","4.03","4.03","4.01","4.04K","-0.50%"
"Jan 16, 2020","4.03","3.96","4.04","3.90","34.17K","2.03%"
"Jan 15, 2020","3.95","3.97","3.97","3.86","7.47K","0.25%"
"Jan 13, 2020","3.94","3.90","4.00","3.85","11.19K","1.03%"
"Jan 10, 2020","3.90","3.99","3.99","3.88","2.96K","-1.76%"
"Jan 09, 2020","3.97","3.99","3.99","3.88","2.34K","-0.50%"
