"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2020","40.00","40.00","40.00","40.00","0.03K","0.00%"
"Mar 11, 2020","40.00","40.00","40.00","40.00","0.25K","0.00%"
"Mar 06, 2020","40.00","40.00","40.00","40.00","1.22K","0.00%"
"Feb 20, 2020","40.00","40.00","40.00","40.00","0.01K","0.53%"
"Feb 18, 2020","39.79","39.79","39.79","39.79","0.05K","0.00%"
"Feb 14, 2020","39.79","39.79","39.79","39.79","0.01K","2.03%"
"Feb 12, 2020","39.00","39.00","39.00","39.00","0.03K","-1.27%"
"Feb 07, 2020","39.50","39.49","39.50","39.49","0.15K","1.28%"
"Feb 05, 2020","39.00","39.00","39.00","39.00","0.10K","0.00%"
"Jan 30, 2020","39.00","39.00","39.00","39.00","0.00K","-1.27%"
"Jan 22, 2020","39.50","39.50","39.50","39.50","0.10K","0.00%"
"Jan 21, 2020","39.50","38.32","39.50","38.32","0.81K","0.00%"
"Jan 13, 2020","39.50","39.49","39.50","39.49","1.20K","0.25%"
"Jan 10, 2020","39.40","39.30","39.50","38.50","9.85K","2.87%"
"Jan 09, 2020","38.30","38.30","38.30","37.17","0.10K","-0.05%"
"Jan 08, 2020","38.32","38.32","38.32","38.32","0.00K","-2.99%"
"Jan 07, 2020","39.50","39.61","39.61","39.50","0.01K","-0.75%"
"Jan 03, 2020","39.80","39.80","39.80","39.80","0.20K","-0.20%"
"Jan 02, 2020","39.88","39.88","39.88","39.88","0.00K","-0.03%"
"Dec 31, 2019","39.89","39.89","39.89","39.89","3.14K","0.00%"
"Dec 30, 2019","39.89","39.89","39.89","39.89","2.50K","0.00%"
"Dec 27, 2019","39.89","39.89","40.90","39.89","1.26K","0.00%"
"Dec 26, 2019","39.89","39.89","39.89","39.89","0.40K","0.00%"
"Dec 25, 2019","39.89","38.90","39.89","38.90","8.51K","2.54%"
"Dec 23, 2019","38.90","38.78","38.90","38.78","0.04K","0.34%"
"Dec 20, 2019","38.77","38.77","38.78","38.77","2.46K","0.00%"
"Dec 19, 2019","38.77","38.77","38.77","38.77","0.29K","2.97%"
"Dec 18, 2019","37.65","37.60","37.65","37.60","0.66K","2.98%"
"Dec 17, 2019","36.56","35.60","36.56","35.60","0.25K","2.99%"
"Dec 16, 2019","35.50","36.50","36.50","35.50","0.05K","0.00%"
"Dec 12, 2019","35.50","34.50","35.50","34.50","0.70K","2.90%"
"Dec 11, 2019","34.50","34.10","34.50","34.10","0.41K","1.38%"
"Dec 10, 2019","34.03","34.50","34.50","34.01","5.20K","-1.36%"
"Dec 09, 2019","34.50","34.01","34.50","34.01","2.75K","1.47%"
"Dec 05, 2019","34.00","34.00","34.00","34.00","0.02K","0.00%"
"Nov 22, 2019","34.00","34.00","34.00","34.00","0.01K","0.00%"
"Nov 20, 2019","34.00","34.00","34.00","34.00","0.03K","0.00%"
"Nov 18, 2019","34.00","34.00","34.00","34.00","0.01K","0.00%"
"Nov 15, 2019","34.00","34.00","34.00","34.00","0.01K","0.00%"
"Nov 14, 2019","34.00","34.00","34.00","34.00","0.02K","0.00%"
"Nov 13, 2019","34.00","34.01","34.01","34.00","0.14K","-1.45%"
"Nov 12, 2019","34.50","34.00","34.50","34.00","0.39K","0.29%"
"Nov 06, 2019","34.40","34.40","34.40","34.40","0.04K","0.00%"
"Nov 05, 2019","34.40","33.99","34.40","33.99","0.24K","1.21%"
"Nov 04, 2019","33.99","33.99","33.99","33.99","0.15K","0.00%"
"Nov 01, 2019","33.99","33.99","33.99","33.99","0.34K","1.46%"
"Oct 29, 2019","33.50","33.49","33.50","33.49","0.10K","0.03%"
"Oct 28, 2019","33.49","33.49","33.49","33.49","0.01K","-0.03%"
"Oct 23, 2019","33.50","31.52","33.50","31.52","22.23K","1.52%"
"Oct 17, 2019","33.00","33.00","33.00","33.00","0.04K","0.00%"
"Oct 14, 2019","33.00","32.50","33.00","32.50","0.27K","1.54%"
"Oct 11, 2019","32.50","32.50","32.50","32.50","1.00K","-1.37%"
"Oct 03, 2019","32.95","32.20","32.95","32.20","0.18K","2.94%"
"Oct 02, 2019","32.01","32.01","32.01","32.01","0.01K","0.00%"
"Oct 01, 2019","32.01","32.00","32.01","32.00","0.85K","1.59%"
"Sep 26, 2019","31.51","31.50","31.51","31.50","0.24K","-1.53%"
"Sep 23, 2019","32.00","32.00","32.00","32.00","0.05K","0.00%"
"Sep 20, 2019","32.00","32.00","32.00","32.00","0.65K","-2.91%"
"Aug 30, 2019","32.96","32.00","32.96","32.00","0.12K","0.00%"
"Aug 21, 2019","32.96","32.90","32.96","32.90","0.10K","0.18%"
"Jul 24, 2019","32.90","32.90","32.90","32.90","0.01K","-0.18%"
"Jul 16, 2019","32.96","32.96","32.96","32.96","0.01K","3.00%"
"Jul 05, 2019","32.00","31.40","32.00","31.40","0.18K","0.00%"
"Jul 02, 2019","32.00","32.00","32.00","32.00","0.02K","-1.08%"
"Jun 25, 2019","32.35","32.35","32.35","32.35","0.04K","0.09%"
"Jun 21, 2019","32.32","32.32","32.32","32.32","0.26K","0.06%"
"Jun 19, 2019","32.30","32.30","32.30","32.30","2.50K","-0.06%"
"Jun 13, 2019","32.32","33.00","33.00","32.32","0.05K","1.28%"
"May 09, 2019","31.91","31.91","31.91","31.91","0.02K","0.31%"
"May 08, 2019","31.81","31.81","31.81","31.81","0.50K","0.00%"
"May 07, 2019","31.81","31.81","31.81","31.81","0.75K","-2.09%"
"May 06, 2019","32.49","31.81","32.49","31.81","0.25K","2.40%"
"Apr 30, 2019","31.73","31.73","31.73","31.73","0.25K","0.00%"
"Apr 29, 2019","31.73","31.73","31.73","31.73","0.25K","-2.97%"
"Apr 26, 2019","32.70","32.71","32.71","32.70","0.05K","0.00%"
"Apr 25, 2019","32.70","32.70","32.70","32.70","0.60K","0.00%"
"Apr 24, 2019","32.70","32.69","32.70","32.69","0.39K","-6.03%"
"Apr 04, 2019","34.80","34.80","34.80","34.80","0.01K","3.88%"
"Apr 03, 2019","33.50","32.86","33.50","32.86","34.96K","4.92%"
"Mar 28, 2019","31.93","31.00","31.93","31.00","0.25K","9.24%"
"Mar 06, 2019","29.23","29.22","31.02","29.22","0.26K","-2.95%"
"Mar 05, 2019","30.12","30.11","30.12","30.11","0.48K","-2.96%"
"Mar 04, 2019","31.04","32.00","32.00","31.04","0.51K","-3.00%"
"Feb 28, 2019","32.00","32.00","32.00","32.00","0.40K","0.00%"
"Feb 27, 2019","32.00","31.04","32.00","31.04","4.69K","0.00%"
"Feb 25, 2019","32.00","32.00","32.00","32.00","0.25K","0.00%"
"Feb 22, 2019","32.00","32.00","32.00","32.00","1.32K","0.00%"
"Feb 21, 2019","32.00","32.00","32.00","32.00","0.56K","0.00%"
"Feb 20, 2019","32.00","32.00","32.00","32.00","0.30K","0.00%"
"Feb 18, 2019","32.00","32.00","32.00","32.00","0.30K","0.00%"
"Feb 15, 2019","32.00","32.00","32.00","32.00","0.76K","0.00%"
"Feb 14, 2019","32.00","32.00","32.00","32.00","0.68K","0.00%"
"Feb 13, 2019","32.00","32.00","32.00","32.00","1.00K","0.00%"
"Feb 12, 2019","32.00","32.00","32.00","32.00","0.07K","0.00%"
"Feb 11, 2019","32.00","32.00","32.00","32.00","0.21K","0.00%"
"Feb 08, 2019","32.00","32.00","32.00","32.00","0.45K","0.00%"
"Feb 07, 2019","32.00","32.00","32.00","32.00","0.12K","0.00%"
"Jan 30, 2019","32.00","32.00","32.00","32.00","0.18K","0.00%"
"Jan 29, 2019","32.00","32.00","32.00","32.00","0.07K","0.00%"
"Jan 28, 2019","32.00","30.39","32.00","30.39","0.48K","6.67%"
"Jan 18, 2019","30.00","30.60","30.60","30.00","0.02K","-1.96%"
"Jan 10, 2019","30.60","30.02","30.60","30.02","0.20K","1.73%"
"Jan 09, 2019","30.08","30.08","30.08","30.08","0.05K","-2.97%"
"Jan 07, 2019","31.00","31.00","31.00","31.00","0.07K","-0.13%"
"Jan 02, 2019","31.04","31.04","31.04","31.04","0.22K","-7.26%"
"Dec 31, 2018","33.47","32.45","33.47","32.45","4.90K","2.98%"
"Dec 27, 2018","32.50","32.50","32.50","32.50","0.25K","-2.40%"
"Dec 26, 2018","33.30","32.50","33.30","32.50","2.07K","2.46%"
"Dec 24, 2018","32.50","32.40","32.50","32.40","5.34K","0.00%"
"Dec 21, 2018","32.50","33.00","33.00","32.50","3.10K","-1.52%"
"Dec 20, 2018","33.00","33.00","33.00","33.00","2.00K","0.00%"
"Dec 19, 2018","33.00","33.00","33.00","33.00","1.07K","-2.94%"
"Dec 17, 2018","34.00","32.47","34.00","32.20","11.73K","4.71%"
"Dec 14, 2018","32.47","32.90","32.90","32.47","0.11K","-4.50%"
"Dec 13, 2018","34.00","33.18","34.00","33.18","0.08K","5.52%"
"Dec 12, 2018","32.22","30.40","32.22","30.40","0.27K","5.99%"
"Dec 11, 2018","30.40","30.30","30.59","30.29","0.26K","2.36%"
"Dec 10, 2018","29.70","29.00","29.70","29.00","0.62K","2.98%"
"Dec 07, 2018","28.84","28.84","28.84","28.84","0.05K","0.03%"
"Dec 06, 2018","28.83","28.30","28.83","28.30","0.75K","2.96%"
"Dec 05, 2018","28.00","28.50","28.50","28.00","0.09K","0.72%"
"Dec 04, 2018","27.80","28.30","28.30","27.80","0.45K","0.98%"
"Dec 03, 2018","27.53","27.52","27.53","27.52","0.11K","-1.78%"
"Nov 30, 2018","28.03","28.03","28.03","28.03","0.02K","2.98%"
"Nov 29, 2018","27.22","27.23","27.23","27.22","0.14K","0.07%"
"Nov 27, 2018","27.20","27.25","27.25","27.20","0.05K","0.00%"
"Nov 26, 2018","27.20","27.20","27.20","27.20","0.14K","0.00%"
"Nov 23, 2018","27.20","27.20","27.20","27.20","0.81K","0.00%"
"Nov 22, 2018","27.20","27.20","27.20","27.20","2.62K","0.37%"
"Nov 21, 2018","27.10","27.11","27.11","27.10","2.65K","0.00%"
"Nov 19, 2018","27.10","27.10","27.10","27.10","1.50K","0.00%"
"Nov 16, 2018","27.10","27.10","27.10","27.10","1.00K","-2.55%"
"Nov 15, 2018","27.81","27.81","27.81","27.81","0.00K","3.00%"
"Nov 14, 2018","27.00","27.00","27.00","27.00","0.30K","0.00%"
"Nov 13, 2018","27.00","27.00","27.00","27.00","1.72K","-1.28%"
"Nov 08, 2018","27.35","27.35","27.35","27.35","1.25K","0.77%"
"Nov 07, 2018","27.14","27.14","27.50","27.14","0.51K","0.52%"
"Nov 06, 2018","27.00","27.00","27.01","27.00","1.40K","-0.59%"
"Nov 05, 2018","27.16","27.99","27.99","27.16","0.27K","-0.33%"
"Nov 02, 2018","27.25","26.50","27.25","26.50","1.85K","2.83%"
"Nov 01, 2018","26.50","26.31","26.50","26.31","0.40K","0.76%"
"Oct 31, 2018","26.30","26.19","26.30","26.19","4.47K","0.42%"
