"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 29, 2020","5.48","5.48","5.48","5.48","0.12K","0.00%"
"Apr 23, 2020","5.48","5.48","5.48","5.48","0.00K","2.81%"
"Apr 20, 2020","5.33","5.33","5.33","5.33","0.00K","2.90%"
"Apr 17, 2020","5.18","5.18","5.18","5.18","0.01K","-8.48%"
"Apr 13, 2020","5.66","5.66","5.66","5.66","0.03K","2.91%"
"Mar 31, 2020","5.50","5.50","5.50","5.50","0.03K","0.00%"
"Mar 30, 2020","5.50","5.50","5.50","5.50","0.20K","0.36%"
"Mar 27, 2020","5.48","5.48","5.48","5.48","0.05K","8.95%"
"Mar 24, 2020","5.03","5.03","5.03","5.03","0.05K","2.86%"
"Mar 19, 2020","4.89","4.89","4.89","4.89","0.03K","-2.98%"
"Mar 16, 2020","5.04","4.82","5.04","4.82","0.04K","-2.89%"
"Mar 12, 2020","5.19","5.19","5.19","5.19","0.02K","0.00%"
"Mar 11, 2020","5.19","5.19","5.19","5.19","0.00K","-11.28%"
"Mar 06, 2020","5.85","6.01","6.01","5.85","0.06K","-5.49%"
"Mar 05, 2020","6.19","6.19","6.19","6.19","0.00K","2.82%"
"Mar 04, 2020","6.02","6.20","6.20","6.02","0.08K","-2.90%"
"Mar 03, 2020","6.20","5.99","6.20","5.99","0.09K","4.73%"
"Mar 02, 2020","5.92","5.75","5.92","5.75","0.31K","5.90%"
"Feb 28, 2020","5.59","5.59","5.59","5.59","0.22K","0.00%"
"Feb 27, 2020","5.59","5.59","5.59","5.59","0.08K","0.90%"
"Feb 26, 2020","5.54","5.54","5.54","5.54","0.16K","2.78%"
"Feb 25, 2020","5.39","5.24","5.39","5.24","1.42K","4.66%"
"Feb 24, 2020","5.15","5.00","5.15","5.00","0.92K","3.00%"
"Feb 21, 2020","5.00","5.00","5.00","5.00","0.08K","0.20%"
"Feb 20, 2020","4.99","4.99","4.99","4.99","0.22K","0.00%"
"Feb 19, 2020","4.99","4.98","4.99","4.98","0.13K","0.60%"
"Feb 18, 2020","4.96","4.96","4.96","4.96","0.46K","-0.40%"
"Feb 17, 2020","4.98","4.98","4.98","4.98","0.13K","0.00%"
"Feb 14, 2020","4.98","4.97","4.98","4.97","0.03K","0.00%"
"Feb 11, 2020","4.98","4.98","4.98","4.98","0.01K","8.50%"
"Feb 07, 2020","4.59","4.59","4.59","4.59","0.02K","0.00%"
"Feb 06, 2020","4.59","4.59","4.59","4.59","0.29K","15.62%"
"Jan 23, 2020","3.97","3.97","3.97","3.97","0.12K","0.00%"
"Jan 22, 2020","3.97","3.96","3.97","3.96","0.51K","-2.70%"
"Jan 21, 2020","4.08","4.08","4.08","4.08","0.11K","2.00%"
"Jan 17, 2020","4.00","3.89","4.00","3.89","0.02K","-14.16%"
"Jan 08, 2020","4.66","4.66","4.66","4.66","0.01K","-16.19%"
"Jan 03, 2020","5.56","5.40","5.56","5.40","0.00K","5.90%"
"Jan 02, 2020","5.25","5.25","5.25","5.25","0.57K","4.37%"
"Dec 31, 2019","5.03","4.99","5.03","4.99","1.78K","4.36%"
"Dec 30, 2019","4.82","4.82","4.82","4.82","0.36K","0.00%"
"Dec 27, 2019","4.82","4.70","4.82","4.70","0.40K","3.66%"
"Dec 26, 2019","4.65","4.65","4.65","4.65","0.14K","3.10%"
"Dec 25, 2019","4.51","4.51","4.51","4.51","0.35K","-2.80%"
"Dec 24, 2019","4.64","4.63","4.64","4.63","0.14K","0.22%"
"Dec 23, 2019","4.63","4.63","4.63","4.63","0.15K","0.65%"
"Dec 20, 2019","4.60","4.60","4.60","4.60","0.55K","2.22%"
"Dec 19, 2019","4.50","4.50","4.50","4.50","0.25K","0.00%"
"Dec 18, 2019","4.50","4.50","4.50","4.50","0.13K","0.00%"
"Dec 17, 2019","4.50","4.50","4.50","4.50","0.09K","0.00%"
"Dec 16, 2019","4.50","4.50","4.50","4.50","1.08K","2.27%"
"Dec 13, 2019","4.40","4.40","4.40","4.40","0.53K","0.92%"
"Dec 12, 2019","4.36","4.24","4.36","4.24","0.21K","-0.23%"
"Dec 11, 2019","4.37","4.37","4.37","4.37","0.10K","2.82%"
"Dec 04, 2019","4.25","4.25","4.25","4.25","0.02K","-2.75%"
"Dec 03, 2019","4.37","4.37","4.37","4.37","0.01K","-1.58%"
"Dec 02, 2019","4.44","4.44","4.44","4.44","0.81K","-4.31%"
"Nov 29, 2019","4.64","4.64","4.64","4.64","0.81K","-0.22%"
"Nov 28, 2019","4.65","4.65","4.65","4.65","0.00K","1.09%"
"Nov 27, 2019","4.60","4.45","4.60","4.45","0.12K","-1.08%"
"Nov 26, 2019","4.65","4.60","4.65","4.47","1.18K","1.09%"
"Nov 25, 2019","4.60","4.55","4.60","4.55","0.03K","4.07%"
"Nov 22, 2019","4.42","4.30","4.42","4.30","1.39K","5.24%"
"Nov 21, 2019","4.20","4.20","4.20","4.20","0.71K","-2.33%"
"Nov 19, 2019","4.30","4.21","4.30","4.21","0.51K","2.14%"
"Nov 18, 2019","4.21","4.21","4.21","4.21","0.28K","0.00%"
"Nov 15, 2019","4.21","4.21","4.21","4.21","0.60K","-5.82%"
"Nov 05, 2019","4.47","4.60","4.60","4.47","0.06K","0.00%"
"Nov 04, 2019","4.47","4.47","4.47","4.47","0.13K","0.68%"
"Nov 01, 2019","4.44","4.44","4.44","4.44","0.05K","-0.67%"
"Oct 31, 2019","4.47","4.36","4.47","4.36","0.11K","4.44%"
"Oct 30, 2019","4.28","4.16","4.28","4.16","0.15K","3.38%"
"Oct 29, 2019","4.14","3.97","4.14","3.97","0.22K","-0.24%"
"Oct 24, 2019","4.15","4.15","4.15","4.15","0.00K","2.98%"
"Oct 23, 2019","4.03","4.03","4.03","4.03","0.08K","-4.28%"
"Oct 22, 2019","4.21","4.09","4.21","4.09","0.50K","2.93%"
"Oct 18, 2019","4.09","4.09","4.09","4.09","1.80K","17.87%"
"Oct 11, 2019","3.47","3.47","3.47","3.47","0.04K","7.43%"
"Oct 10, 2019","3.23","3.23","3.23","3.23","0.03K","0.00%"
"Oct 09, 2019","3.23","3.23","3.23","3.23","0.05K","0.94%"
"Oct 08, 2019","3.20","3.14","3.20","3.14","0.16K","3.23%"
"Oct 07, 2019","3.10","3.05","3.10","3.05","0.10K","10.71%"
"Sep 30, 2019","2.80","2.80","2.80","2.80","0.12K","0.36%"
"Sep 27, 2019","2.79","2.80","2.80","2.79","0.16K","0.00%"
