"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","2.030","2.030","2.030","2.030","0.50K","0.00%"
"May 04, 2020","2.030","2.030","2.030","2.030","0.47K","0.00%"
"Apr 30, 2020","2.030","2.030","2.030","2.030","0.03K","0.00%"
"Apr 29, 2020","2.030","2.030","2.030","2.030","0.36K","0.00%"
"Apr 28, 2020","2.030","2.030","2.030","2.030","0.10K","-2.87%"
"Apr 22, 2020","2.090","2.090","2.090","2.090","7.89K","2.96%"
"Apr 21, 2020","2.030","2.030","2.030","2.030","1.03K","0.00%"
"Apr 20, 2020","2.030","2.030","2.030","2.030","0.03K","0.00%"
"Apr 17, 2020","2.030","2.090","2.090","2.030","0.40K","-2.40%"
"Apr 16, 2020","2.080","2.080","2.080","2.080","0.00K","2.97%"
"Apr 15, 2020","2.020","2.020","2.020","2.020","0.80K","2.02%"
"Apr 06, 2020","1.980","1.980","1.980","1.980","0.03K","0.00%"
"Apr 02, 2020","1.980","1.980","1.980","1.980","0.39K","-2.94%"
"Mar 25, 2020","2.040","2.040","2.040","2.040","2.54K","-2.39%"
"Mar 17, 2020","2.090","2.090","2.090","2.090","7.95K","0.00%"
"Mar 16, 2020","2.090","2.090","2.090","2.090","7.00K","0.00%"
"Mar 13, 2020","2.090","2.090","2.090","2.090","2.00K","0.00%"
"Mar 11, 2020","2.090","2.090","2.090","2.090","0.03K","0.00%"
"Mar 10, 2020","2.090","2.090","2.090","2.090","6.00K","0.00%"
"Mar 06, 2020","2.090","2.090","2.090","2.090","0.02K","0.00%"
"Mar 04, 2020","2.090","2.090","2.090","2.090","0.02K","0.00%"
"Mar 03, 2020","2.090","2.090","2.090","2.090","7.35K","-2.79%"
"Feb 27, 2020","2.150","2.150","2.150","2.150","0.01K","0.00%"
"Feb 25, 2020","2.150","2.150","2.150","2.150","0.00K","2.87%"
"Feb 24, 2020","2.090","2.090","2.090","2.090","0.43K","0.00%"
"Feb 21, 2020","2.090","2.090","2.090","2.090","10.00K","-2.34%"
"Feb 20, 2020","2.140","2.140","2.140","2.140","1.45K","-0.47%"
"Feb 14, 2020","2.150","2.140","2.150","2.090","0.29K","0.00%"
"Feb 13, 2020","2.150","2.090","2.150","2.090","0.63K","2.87%"
"Feb 12, 2020","2.090","2.090","2.090","2.090","12.42K","0.00%"
"Feb 11, 2020","2.090","2.090","2.090","2.090","7.78K","0.00%"
"Feb 10, 2020","2.090","2.090","2.090","2.090","3.00K","-2.79%"
"Feb 06, 2020","2.150","2.150","2.150","2.150","1.06K","0.00%"
"Feb 05, 2020","2.150","2.100","2.150","2.100","1.43K","2.38%"
"Feb 04, 2020","2.100","2.100","2.100","2.100","0.43K","0.48%"
"Jan 31, 2020","2.090","2.090","2.090","2.090","4.12K","0.00%"
"Jan 29, 2020","2.090","2.090","2.090","2.090","0.03K","-2.79%"
"Jan 27, 2020","2.150","2.150","2.150","2.150","0.00K","2.87%"
"Jan 24, 2020","2.090","2.090","2.090","2.090","0.20K","0.00%"
"Jan 22, 2020","2.090","2.150","2.150","2.090","0.25K","0.00%"
"Jan 21, 2020","2.090","2.150","2.150","2.090","1.67K","0.00%"
"Jan 17, 2020","2.090","2.090","2.090","2.090","0.15K","0.00%"
"Jan 16, 2020","2.090","2.090","2.090","2.090","1.15K","0.00%"
"Jan 15, 2020","2.090","2.090","2.090","2.090","0.62K","0.00%"
"Jan 13, 2020","2.090","2.090","2.090","2.090","0.61K","0.00%"
"Jan 10, 2020","2.090","2.090","2.090","2.090","0.03K","0.00%"
"Jan 09, 2020","2.090","2.090","2.090","2.090","6.18K","-2.34%"
"Jan 08, 2020","2.140","2.140","2.140","2.140","1.05K","-2.73%"
"Jan 07, 2020","2.200","2.200","2.200","2.200","0.07K","0.00%"
"Jan 06, 2020","2.200","2.200","2.200","2.200","0.00K","0.00%"
"Jan 03, 2020","2.200","2.200","2.200","2.200","0.00K","2.33%"
"Jan 02, 2020","2.150","2.090","2.150","2.090","0.56K","0.00%"
"Dec 31, 2019","2.150","2.160","2.160","2.150","0.83K","1.42%"
"Dec 30, 2019","2.120","2.100","2.120","2.100","12.19K","2.91%"
"Dec 27, 2019","2.060","2.060","2.060","2.060","2.06K","0.00%"
"Dec 26, 2019","2.060","2.060","2.060","2.060","3.25K","-2.83%"
"Dec 25, 2019","2.120","2.130","2.130","2.120","1.45K","3.92%"
"Dec 24, 2019","2.040","1.990","2.040","1.990","10.39K","4.08%"
"Dec 23, 2019","1.960","1.910","1.960","1.910","1.41K","4.26%"
"Dec 20, 2019","1.880","1.860","1.880","1.860","21.31K","1.08%"
"Dec 19, 2019","1.860","1.820","1.860","1.820","10.08K","2.76%"
"Dec 18, 2019","1.810","1.810","1.810","1.810","1.00K","0.00%"
"Dec 17, 2019","1.810","1.810","1.810","1.810","0.38K","0.00%"
"Dec 16, 2019","1.810","1.810","1.810","1.810","1.00K","0.00%"
"Dec 13, 2019","1.810","1.810","1.810","1.810","2.00K","-2.16%"
"Dec 12, 2019","1.850","1.810","1.850","1.810","0.47K","2.21%"
"Dec 11, 2019","1.810","1.810","1.810","1.810","3.22K","0.00%"
"Dec 10, 2019","1.810","1.810","1.810","1.810","0.90K","0.00%"
"Dec 09, 2019","1.810","1.810","1.810","1.810","0.29K","0.00%"
"Dec 06, 2019","1.810","1.810","1.810","1.810","0.73K","0.00%"
"Dec 04, 2019","1.810","1.810","1.810","1.810","1.30K","-2.69%"
"Dec 03, 2019","1.860","1.810","1.860","1.810","0.10K","2.76%"
"Dec 02, 2019","1.810","1.810","1.810","1.810","1.00K","0.00%"
"Nov 28, 2019","1.810","1.810","1.810","1.810","12.50K","0.00%"
"Nov 27, 2019","1.810","1.760","1.810","1.760","10.15K","2.84%"
"Nov 26, 2019","1.760","1.760","1.760","1.760","2.05K","0.00%"
"Nov 25, 2019","1.760","1.760","1.760","1.760","0.52K","0.57%"
"Nov 21, 2019","1.750","1.750","1.750","1.750","0.00K","2.94%"
"Nov 20, 2019","1.700","1.700","1.700","1.700","0.50K","0.00%"
"Nov 19, 2019","1.700","1.700","1.700","1.700","0.50K","0.00%"
"Nov 14, 2019","1.700","1.700","1.700","1.700","0.00K","-2.86%"
"Nov 11, 2019","1.750","1.750","1.750","1.750","2.00K","0.57%"
"Nov 08, 2019","1.740","1.740","1.740","1.740","1.09K","-0.57%"
"Nov 07, 2019","1.750","1.700","1.750","1.700","4.65K","2.94%"
"Nov 06, 2019","1.700","1.660","1.700","1.660","0.11K","4.94%"
"Nov 05, 2019","1.620","1.620","1.620","1.620","1.20K","-5.81%"
"Nov 04, 2019","1.720","1.720","1.720","1.720","0.07K","-7.03%"
"Nov 01, 2019","1.850","1.850","1.850","1.850","0.01K","2.78%"
"Oct 31, 2019","1.800","1.750","1.800","1.750","0.00K","1.69%"
"Oct 30, 2019","1.770","1.770","1.770","1.770","0.00K","2.91%"
