"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","25.46","25.46","25.46","25.46","0.00K","2.99%"
"May 04, 2020","24.72","24.72","24.72","24.72","0.01K","-2.98%"
"Apr 30, 2020","25.48","25.48","25.48","25.48","0.03K","-2.97%"
"Apr 29, 2020","26.26","27.88","27.88","26.26","0.01K","-2.99%"
"Apr 28, 2020","27.07","27.07","27.07","27.07","0.01K","-2.97%"
"Apr 27, 2020","27.90","27.90","27.90","27.90","0.01K","2.12%"
"Apr 24, 2020","27.32","27.32","27.32","27.32","0.01K","-2.98%"
"Apr 23, 2020","28.16","28.16","28.16","28.16","0.01K","-3.00%"
"Apr 22, 2020","29.03","29.03","29.03","29.03","1.15K","2.98%"
"Apr 21, 2020","28.19","29.06","29.06","28.19","0.01K","-2.99%"
"Apr 20, 2020","29.06","29.06","29.06","29.06","0.01K","2.98%"
"Apr 17, 2020","28.22","28.22","28.22","28.22","0.01K","-2.99%"
"Apr 14, 2020","29.09","29.09","29.09","29.09","0.01K","0.00%"
"Apr 13, 2020","29.09","29.09","29.09","29.09","0.01K","0.00%"
"Apr 08, 2020","29.09","29.09","29.09","29.09","0.02K","-2.64%"
"Apr 07, 2020","29.88","29.88","29.88","29.88","0.01K","-2.99%"
"Apr 03, 2020","30.80","30.80","30.80","30.80","0.01K","2.77%"
"Apr 02, 2020","29.97","29.97","29.97","29.97","0.01K","2.99%"
"Mar 24, 2020","29.10","29.10","29.10","29.10","0.03K","2.14%"
"Mar 19, 2020","28.49","28.49","28.49","28.49","0.15K","-1.76%"
"Mar 18, 2020","29.00","29.00","29.00","29.00","0.01K","-3.30%"
"Mar 10, 2020","29.99","29.99","29.99","29.99","1.00K","-0.03%"
"Feb 26, 2020","30.00","30.00","30.00","30.00","0.30K","1.01%"
"Feb 25, 2020","29.70","29.70","29.70","29.70","0.05K","-7.16%"
"Feb 03, 2020","31.99","31.99","31.99","31.99","1.00K","0.00%"
"Jan 30, 2020","31.99","31.99","31.99","31.99","1.60K","-0.03%"
"Jan 29, 2020","32.00","32.00","32.00","32.00","2.50K","0.00%"
"Jan 28, 2020","32.00","32.00","32.00","32.00","11.25K","0.00%"
"Jan 27, 2020","32.00","31.50","32.00","31.50","14.25K","2.20%"
"Jan 24, 2020","31.31","31.31","31.31","31.31","5.65K","4.37%"
"Jan 23, 2020","30.00","30.00","30.00","30.00","3.50K","3.09%"
"Jan 22, 2020","29.10","30.00","30.00","29.10","4.33K","-3.00%"
"Jan 21, 2020","30.00","30.00","30.00","30.00","3.00K","0.00%"
"Jan 20, 2020","30.00","30.00","30.00","30.00","0.50K","0.20%"
"Jan 17, 2020","29.94","29.07","29.94","29.07","0.03K","6.06%"
"Jan 16, 2020","28.23","29.10","29.10","28.23","0.79K","-5.90%"
"Jan 15, 2020","30.00","30.00","30.00","30.00","0.77K","0.00%"
"Jan 13, 2020","30.00","30.00","30.00","30.00","0.10K","0.00%"
"Jan 10, 2020","30.00","29.90","30.00","29.90","0.44K","0.00%"
"Jan 09, 2020","30.00","29.80","30.00","29.80","0.59K","0.33%"
"Jan 08, 2020","29.90","29.90","29.90","29.90","0.60K","2.89%"
"Jan 07, 2020","29.06","29.95","29.95","29.06","4.81K","-2.97%"
"Jan 06, 2020","29.95","29.95","29.95","29.95","0.10K","0.00%"
"Jan 03, 2020","29.95","30.00","30.00","29.95","1.23K","1.87%"
"Jan 02, 2020","29.40","28.14","29.40","28.14","1.76K","1.38%"
"Dec 31, 2019","29.00","29.00","29.00","29.00","0.17K","-0.03%"
"Dec 30, 2019","29.01","29.00","29.01","28.13","3.06K","0.00%"
"Dec 27, 2019","29.01","29.05","29.05","29.01","0.01K","-2.98%"
"Dec 26, 2019","29.90","29.90","29.90","29.90","1.00K","-0.33%"
"Dec 25, 2019","30.00","29.00","30.00","28.76","0.48K","-0.33%"
"Dec 24, 2019","30.10","29.31","30.10","29.10","0.04K","-1.92%"
"Dec 19, 2019","30.69","30.69","30.69","30.69","0.15K","-0.03%"
"Dec 18, 2019","30.70","30.70","30.70","30.70","0.00K","2.10%"
"Dec 17, 2019","30.07","30.10","31.00","30.07","0.10K","-3.00%"
"Dec 16, 2019","31.00","32.90","32.90","31.00","0.91K","-3.09%"
"Dec 13, 2019","31.99","32.00","32.00","31.10","0.39K","-1.69%"
"Dec 12, 2019","32.54","32.50","32.75","31.53","0.93K","0.12%"
"Dec 11, 2019","32.50","32.75","32.75","31.52","0.23K","-1.52%"
"Dec 10, 2019","33.00","33.00","33.00","32.31","0.35K","-0.90%"
"Dec 09, 2019","33.30","33.30","33.30","33.30","0.25K","-0.24%"
"Dec 06, 2019","33.38","33.39","33.39","31.81","0.69K","1.80%"
"Dec 05, 2019","32.79","32.00","32.80","32.00","1.13K","-0.03%"
"Dec 04, 2019","32.80","32.80","33.20","32.50","0.60K","-0.61%"
"Dec 03, 2019","33.00","34.00","34.00","33.00","1.80K","-1.52%"
"Dec 02, 2019","33.51","33.51","33.51","32.00","11.94K","2.98%"
"Nov 29, 2019","32.54","31.61","32.54","30.70","14.42K","5.99%"
"Nov 28, 2019","30.70","30.27","30.70","30.26","17.14K","5.97%"
"Nov 27, 2019","28.97","28.13","28.97","28.13","0.52K","6.94%"
"Nov 26, 2019","27.09","26.31","27.09","26.31","7.13K","5.20%"
"Nov 25, 2019","25.75","25.75","25.75","25.75","0.36K","3.00%"
"Nov 22, 2019","25.00","25.00","25.00","23.60","0.30K","2.80%"
"Nov 21, 2019","24.32","24.30","24.32","22.93","0.04K","4.47%"
"Nov 20, 2019","23.28","24.00","24.72","23.28","0.03K","-3.00%"
"Nov 19, 2019","24.00","24.00","24.72","22.92","0.12K","0.04%"
"Nov 18, 2019","23.99","26.28","26.28","23.99","0.02K","-6.00%"
"Nov 15, 2019","25.52","26.30","27.08","25.52","0.01K","-5.83%"
"Nov 14, 2019","27.10","27.93","27.93","27.10","0.04K","-3.01%"
"Nov 13, 2019","27.94","26.35","27.97","26.35","0.03K","2.87%"
"Nov 12, 2019","27.16","27.97","27.97","27.16","0.00K","-3.00%"
"Nov 05, 2019","28.00","28.00","28.00","28.00","0.01K","-1.69%"
"Nov 01, 2019","28.48","28.48","28.48","28.48","0.05K","-0.52%"
"Oct 30, 2019","28.63","27.80","28.63","27.80","0.01K","2.99%"
"Oct 29, 2019","27.80","27.45","27.90","27.45","0.89K","4.28%"
"Oct 28, 2019","26.66","26.66","26.66","26.66","0.02K","2.97%"
"Oct 25, 2019","25.89","25.89","25.89","25.89","0.00K","1.53%"
"Oct 24, 2019","25.50","25.50","25.50","25.50","0.04K","-1.51%"
"Oct 23, 2019","25.89","25.89","25.89","25.89","0.00K","2.98%"
"Oct 21, 2019","25.14","25.14","25.14","25.14","0.01K","2.99%"
