"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","2.360","2.360","2.360","2.360","0.01K","-0.42%"
"May 04, 2020","2.370","2.370","2.370","2.370","0.00K","0.00%"
"Apr 30, 2020","2.370","2.370","2.370","2.370","0.01K","2.16%"
"Apr 29, 2020","2.320","2.390","2.390","2.320","0.02K","-2.93%"
"Apr 28, 2020","2.390","2.390","2.390","2.390","0.00K","-0.42%"
"Apr 24, 2020","2.400","2.400","2.400","2.390","0.53K","0.00%"
"Apr 22, 2020","2.400","2.400","2.400","2.400","0.05K","0.84%"
"Apr 21, 2020","2.380","2.380","2.380","2.380","0.00K","2.59%"
"Apr 20, 2020","2.320","2.400","2.400","2.320","0.05K","-2.93%"
"Apr 17, 2020","2.390","2.390","2.390","2.380","0.02K","-0.42%"
"Apr 16, 2020","2.400","2.400","2.400","2.400","0.00K","1.69%"
"Apr 15, 2020","2.360","2.360","2.360","2.300","0.18K","2.16%"
"Apr 14, 2020","2.310","2.310","2.310","2.250","0.04K","1.32%"
"Apr 13, 2020","2.280","2.280","2.280","2.280","0.09K","2.70%"
"Apr 08, 2020","2.220","2.220","2.220","2.220","0.00K","0.00%"
"Apr 07, 2020","2.220","2.220","2.220","2.220","0.00K","0.00%"
"Apr 06, 2020","2.220","2.220","2.220","2.220","0.01K","0.00%"
"Apr 03, 2020","2.220","2.220","2.220","2.160","0.17K","0.00%"
"Apr 02, 2020","2.220","2.220","2.220","2.220","0.01K","2.78%"
"Apr 01, 2020","2.160","2.160","2.160","2.160","0.01K","2.86%"
"Mar 31, 2020","2.100","2.100","2.100","2.100","0.00K","0.00%"
"Mar 30, 2020","2.100","2.100","2.100","2.040","0.02K","0.00%"
"Mar 27, 2020","2.100","2.090","2.100","2.090","0.13K","2.94%"
"Mar 26, 2020","2.040","2.100","2.100","2.040","0.05K","-2.86%"
"Mar 25, 2020","2.100","2.040","2.100","2.040","0.02K","0.00%"
"Mar 24, 2020","2.100","2.060","2.120","2.000","1.57K","1.94%"
"Mar 23, 2020","2.060","2.120","2.120","2.060","0.22K","-5.50%"
"Mar 18, 2020","2.180","2.180","2.180","2.180","0.06K","-2.68%"
"Mar 17, 2020","2.240","2.300","2.300","2.240","0.02K","-6.67%"
"Mar 13, 2020","2.400","2.570","2.600","2.400","0.21K","-4.00%"
"Mar 12, 2020","2.500","2.510","2.550","2.440","0.20K","1.21%"
"Mar 11, 2020","2.470","2.500","2.500","2.300","1.33K","2.92%"
"Mar 10, 2020","2.400","2.470","2.510","2.400","1.34K","-4.38%"
"Mar 09, 2020","2.510","2.580","2.580","2.510","1.18K","-3.46%"
"Mar 06, 2020","2.600","2.630","2.630","2.560","0.15K","-1.14%"
"Mar 05, 2020","2.630","2.630","2.630","2.630","0.01K","0.00%"
"Mar 04, 2020","2.630","2.630","2.630","2.630","0.10K","0.00%"
"Mar 03, 2020","2.630","2.630","2.630","2.560","0.62K","0.00%"
"Mar 02, 2020","2.630","2.620","2.690","2.600","0.16K","3.14%"
"Feb 28, 2020","2.550","2.500","2.550","2.500","0.12K","-0.39%"
"Feb 27, 2020","2.560","2.490","2.560","2.420","3.16K","3.23%"
"Feb 26, 2020","2.480","2.480","2.480","2.470","1.29K","0.00%"
"Feb 25, 2020","2.480","2.480","2.480","2.480","0.30K","0.00%"
"Feb 24, 2020","2.480","2.410","2.480","2.380","5.42K","2.90%"
"Feb 21, 2020","2.410","2.410","2.410","2.360","6.72K","0.00%"
"Feb 20, 2020","2.410","2.400","2.410","2.340","3.58K","2.55%"
"Feb 19, 2020","2.350","2.390","2.390","2.320","4.55K","0.86%"
"Feb 18, 2020","2.330","2.330","2.330","2.330","0.02K","2.19%"
"Feb 17, 2020","2.280","2.280","2.320","2.270","12.06K","0.00%"
"Feb 14, 2020","2.280","2.370","2.390","2.270","11.99K","-4.20%"
"Feb 13, 2020","2.380","2.380","2.380","2.380","0.21K","-0.83%"
"Feb 12, 2020","2.400","2.380","2.450","2.320","0.38K","3.45%"
"Feb 11, 2020","2.320","2.420","2.480","2.320","0.95K","-2.93%"
"Feb 10, 2020","2.390","2.360","2.410","2.280","0.89K","2.14%"
"Feb 07, 2020","2.340","2.280","2.350","2.280","0.46K","-1.68%"
"Feb 06, 2020","2.380","2.350","2.410","2.280","8.46K","-1.65%"
"Feb 05, 2020","2.420","2.560","2.560","2.420","0.07K","-2.81%"
"Feb 04, 2020","2.490","2.560","2.560","2.490","0.17K","0.00%"
"Feb 03, 2020","2.490","2.500","2.500","2.390","1.19K","-0.40%"
"Jan 31, 2020","2.500","2.500","2.510","2.430","3.64K","-0.40%"
"Jan 30, 2020","2.510","2.580","2.620","2.510","1.70K","-3.83%"
"Jan 29, 2020","2.610","2.670","2.670","2.520","5.55K","-0.38%"
"Jan 28, 2020","2.620","2.680","2.680","2.610","0.00K","-2.60%"
"Jan 27, 2020","2.690","2.660","2.730","2.590","2.80K","3.86%"
"Jan 24, 2020","2.590","2.590","2.690","2.590","4.89K","-6.50%"
"Jan 23, 2020","2.770","2.750","2.770","2.750","0.80K","1.84%"
"Jan 22, 2020","2.720","2.700","2.720","2.690","1.88K","2.26%"
"Jan 21, 2020","2.660","2.600","2.670","2.600","4.10K","3.50%"
"Jan 20, 2020","2.570","2.500","2.570","2.440","8.33K","4.05%"
"Jan 17, 2020","2.470","2.400","2.470","2.330","2.23K","0.82%"
"Jan 16, 2020","2.450","2.400","2.450","2.400","1.09K","1.24%"
"Jan 15, 2020","2.420","2.350","2.420","2.280","0.44K","3.86%"
"Jan 13, 2020","2.330","2.380","2.390","2.330","0.06K","0.00%"
"Jan 10, 2020","2.330","2.290","2.350","2.290","2.07K","2.19%"
"Jan 09, 2020","2.280","2.220","2.280","2.220","0.79K","5.56%"
"Jan 08, 2020","2.160","2.160","2.220","2.160","4.15K","2.37%"
"Jan 07, 2020","2.110","2.050","2.110","2.050","2.27K","2.93%"
"Jan 06, 2020","2.050","2.100","2.160","2.050","1.12K","-5.96%"
"Jan 03, 2020","2.180","2.100","2.180","2.100","2.10K","0.93%"
"Jan 02, 2020","2.160","2.180","2.180","2.120","1.20K","0.00%"
"Dec 31, 2019","2.160","2.180","2.180","2.120","1.29K","-0.92%"
"Dec 30, 2019","2.180","2.190","2.190","2.130","2.77K","2.35%"
"Dec 27, 2019","2.130","2.080","2.130","2.020","0.08K","-0.47%"
"Dec 26, 2019","2.140","2.080","2.140","2.080","0.31K","2.39%"
"Dec 25, 2019","2.090","2.090","2.090","2.040","0.91K","-0.48%"
"Dec 24, 2019","2.100","2.070","2.100","2.070","0.86K","1.45%"
"Dec 23, 2019","2.070","2.070","2.070","2.070","0.00K","0.00%"
"Dec 20, 2019","2.070","2.070","2.070","2.070","0.18K","2.99%"
"Dec 19, 2019","2.010","2.030","2.070","1.990","3.19K","-0.99%"
"Dec 18, 2019","2.030","2.040","2.050","1.980","3.03K","-0.49%"
"Dec 17, 2019","2.040","2.070","2.070","2.010","0.49K","-1.45%"
"Dec 16, 2019","2.070","2.070","2.070","2.010","1.01K","0.00%"
"Dec 13, 2019","2.070","1.990","2.070","1.960","0.64K","2.99%"
"Dec 12, 2019","2.010","2.070","2.070","2.010","0.23K","-1.95%"
"Dec 11, 2019","2.050","2.050","2.050","2.050","0.09K","-2.84%"
"Dec 10, 2019","2.110","2.110","2.110","2.110","0.11K","4.46%"
"Dec 09, 2019","2.020","2.010","2.020","1.970","0.71K","0.50%"
"Dec 06, 2019","2.010","2.020","2.020","1.960","11.74K","-3.37%"
"Dec 05, 2019","2.080","2.020","2.080","2.000","2.13K","2.97%"
"Dec 04, 2019","2.020","2.020","2.020","2.020","0.13K","-2.88%"
"Dec 03, 2019","2.080","2.140","2.140","2.080","0.37K","0.00%"
"Dec 02, 2019","2.080","2.140","2.140","2.080","0.01K","-0.48%"
"Nov 29, 2019","2.090","2.140","2.140","2.080","0.24K","0.00%"
"Nov 28, 2019","2.090","2.030","2.090","2.010","6.15K","0.48%"
"Nov 27, 2019","2.080","2.130","2.190","2.070","9.99K","-5.02%"
"Nov 26, 2019","2.190","2.150","2.190","2.090","2.78K","0.00%"
"Nov 25, 2019","2.190","2.190","2.190","2.190","1.22K","-2.67%"
"Nov 22, 2019","2.250","2.210","2.250","2.210","2.04K","-0.88%"
"Nov 21, 2019","2.270","2.250","2.270","2.210","3.28K","0.00%"
"Nov 20, 2019","2.270","2.270","2.270","2.270","5.00K","-4.22%"
"Nov 18, 2019","2.370","2.370","2.370","2.370","0.00K","0.00%"
"Nov 15, 2019","2.370","2.370","2.370","2.370","0.00K","0.85%"
"Nov 14, 2019","2.350","2.210","2.350","2.210","0.70K","-4.08%"
"Nov 04, 2019","2.450","2.450","2.450","2.450","0.00K","1.24%"
"Nov 01, 2019","2.420","2.420","2.420","2.420","0.07K","2.98%"
"Oct 31, 2019","2.350","2.400","2.400","2.350","0.09K","-1.26%"
"Oct 30, 2019","2.380","2.300","2.380","2.260","0.30K","0.85%"
"Oct 29, 2019","2.360","2.400","2.400","2.330","0.01K","-1.67%"
"Oct 28, 2019","2.400","2.400","2.400","2.400","0.10K","1.27%"
"Oct 25, 2019","2.370","2.380","2.380","2.350","0.27K","1.28%"
"Oct 24, 2019","2.340","2.250","2.380","2.220","5.07K","4.00%"
"Oct 23, 2019","2.250","2.220","2.280","2.220","0.86K","4.17%"
"Oct 22, 2019","2.160","2.040","2.160","2.040","12.09K","5.88%"
"Oct 21, 2019","2.040","2.040","2.040","2.040","0.00K","0.00%"
"Oct 18, 2019","2.040","2.040","2.040","2.040","1.45K","0.00%"
"Oct 17, 2019","2.040","2.040","2.040","2.040","0.00K","0.00%"
"Oct 16, 2019","2.040","2.040","2.040","1.980","1.10K","0.00%"
"Oct 14, 2019","2.040","2.030","2.040","1.980","1.23K","0.49%"
"Oct 11, 2019","2.030","2.030","2.030","2.020","1.00K","0.00%"
"Oct 10, 2019","2.030","2.000","2.030","2.000","0.51K","0.00%"
"Oct 09, 2019","2.030","1.930","2.030","1.930","4.95K","2.53%"
"Oct 08, 2019","1.980","1.980","1.980","1.980","0.00K","0.00%"
"Oct 07, 2019","1.980","2.040","2.040","1.980","0.05K","-2.94%"
"Oct 04, 2019","2.040","2.000","2.040","1.940","5.91K","2.00%"
"Oct 03, 2019","2.000","2.000","2.000","1.940","3.44K","0.50%"
"Oct 02, 2019","1.990","1.940","1.990","1.940","8.63K","-2.45%"
"Sep 25, 2019","2.040","2.040","2.040","2.040","0.00K","0.00%"
"Sep 24, 2019","2.040","2.040","2.040","1.980","0.28K","2.51%"
"Sep 23, 2019","1.990","2.040","2.050","1.990","0.21K","2.58%"
"Sep 20, 2019","1.940","1.940","1.940","1.940","1.25K","0.00%"
"Sep 19, 2019","1.940","1.940","1.940","1.940","0.05K","-3.00%"
"Sep 17, 2019","2.000","2.000","2.000","2.000","0.00K","0.00%"
"Sep 16, 2019","2.000","2.000","2.000","2.000","0.00K","0.00%"
"Sep 13, 2019","2.000","2.000","2.000","2.000","0.00K","0.00%"
"Sep 12, 2019","2.000","2.000","2.000","2.000","0.00K","0.00%"
"Sep 11, 2019","2.000","2.000","2.000","2.000","0.00K","0.00%"
"Sep 10, 2019","2.000","1.940","2.000","1.940","0.69K","0.00%"
"Sep 06, 2019","2.000","2.000","2.000","2.000","0.22K","-1.48%"
"Sep 04, 2019","2.030","2.030","2.030","2.030","0.00K","2.01%"
"Sep 03, 2019","1.990","2.050","2.050","1.990","0.05K","-2.93%"
"Sep 02, 2019","2.050","1.930","2.050","1.900","0.40K","3.54%"
"Aug 28, 2019","1.980","1.980","1.980","1.980","0.59K","0.00%"
"Aug 27, 2019","1.980","1.980","1.980","1.930","1.04K","0.00%"
"Aug 23, 2019","1.980","1.930","1.980","1.930","0.50K","0.00%"
"Aug 21, 2019","1.980","1.990","1.990","1.980","2.52K","-2.94%"
"Aug 20, 2019","2.040","2.040","2.040","2.040","0.20K","-0.97%"
"Aug 19, 2019","2.060","2.120","2.120","2.060","0.60K","-3.29%"
"Aug 16, 2019","2.130","2.190","2.190","2.130","0.55K","-8.19%"
"Aug 08, 2019","2.320","2.320","2.320","2.270","0.20K","1.31%"
"Aug 07, 2019","2.290","2.290","2.290","2.290","0.31K","-2.97%"
"Jul 26, 2019","2.360","2.360","2.360","2.360","0.00K","1.72%"
"Jul 24, 2019","2.320","2.310","2.320","2.310","1.77K","-1.69%"
"Jul 23, 2019","2.360","2.360","2.360","2.360","0.02K","0.00%"
"Jul 22, 2019","2.360","2.360","2.360","2.360","0.00K","0.00%"
"Jul 19, 2019","2.360","2.360","2.360","2.360","0.00K","1.29%"
"Jul 18, 2019","2.330","2.290","2.330","2.230","0.81K","1.75%"
"Jul 17, 2019","2.290","2.290","2.290","2.290","0.10K","-2.97%"
"Jul 16, 2019","2.360","2.360","2.360","2.360","0.00K","0.00%"
"Jul 15, 2019","2.360","2.360","2.360","2.360","0.00K","2.61%"
"Jul 12, 2019","2.300","2.300","2.300","2.300","0.40K","-2.54%"
"Jul 11, 2019","2.360","2.360","2.360","2.360","0.05K","-2.88%"
"Jul 10, 2019","2.430","2.430","2.490","2.420","1.67K","0.00%"
"Jul 09, 2019","2.430","2.370","2.430","2.370","0.27K","0.00%"
"Jul 08, 2019","2.430","2.380","2.430","2.320","0.83K","4.74%"
"Jul 05, 2019","2.320","2.280","2.320","2.280","0.92K","1.75%"
"Jul 04, 2019","2.280","2.250","2.300","2.250","0.39K","1.33%"
"Jul 03, 2019","2.250","2.250","2.250","2.210","0.90K","0.00%"
"Jul 02, 2019","2.250","2.190","2.250","2.190","2.66K","2.74%"
"Jul 01, 2019","2.190","2.190","2.190","2.180","0.92K","0.00%"
"Jun 28, 2019","2.190","2.170","2.230","2.120","5.09K","3.79%"
"Jun 27, 2019","2.110","2.050","2.110","2.050","0.68K","4.46%"
"Jun 26, 2019","2.020","1.970","2.020","1.970","3.31K","2.54%"
"Jun 25, 2019","1.970","1.940","1.970","1.940","0.53K","1.55%"
"Jun 24, 2019","1.940","1.930","1.970","1.930","1.67K","3.19%"
"Jun 21, 2019","1.880","1.900","1.950","1.870","0.64K","1.62%"
"Jun 20, 2019","1.850","1.850","1.850","1.850","0.10K","-1.07%"
"Jun 19, 2019","1.870","1.870","1.990","1.870","0.42K","-3.61%"
