"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","0.77","0.76","0.78","0.74","83.86K","1.32%"
"May 04, 2020","0.76","0.75","0.76","0.75","20.65K","2.70%"
"Apr 30, 2020","0.74","0.76","0.77","0.74","18.38K","-1.33%"
"Apr 29, 2020","0.75","0.75","0.75","0.73","6.07K","1.35%"
"Apr 28, 2020","0.74","0.75","0.75","0.73","29.28K","-1.33%"
"Apr 27, 2020","0.75","0.74","0.75","0.74","11.44K","0.00%"
"Apr 24, 2020","0.75","0.76","0.76","0.74","10.28K","-1.32%"
"Apr 23, 2020","0.76","0.75","0.77","0.75","7.94K","-1.30%"
"Apr 22, 2020","0.77","0.75","0.77","0.74","21.51K","1.32%"
"Apr 21, 2020","0.76","0.79","0.79","0.76","26.52K","-2.56%"
"Apr 20, 2020","0.78","0.78","0.79","0.78","20.55K","-2.50%"
"Apr 17, 2020","0.80","0.79","0.80","0.78","11.82K","0.00%"
"Apr 16, 2020","0.80","0.78","0.80","0.78","11.58K","0.00%"
"Apr 15, 2020","0.80","0.79","0.80","0.78","31.98K","0.00%"
"Apr 14, 2020","0.80","0.81","0.81","0.78","6.76K","0.00%"
"Apr 13, 2020","0.80","0.81","0.81","0.79","14.43K","0.00%"
"Apr 08, 2020","0.80","0.79","0.81","0.79","65.60K","1.27%"
"Apr 07, 2020","0.79","0.79","0.80","0.77","20.93K","1.28%"
"Apr 06, 2020","0.78","0.78","0.78","0.77","7.46K","0.00%"
"Apr 03, 2020","0.78","0.78","0.78","0.75","9.65K","1.30%"
"Apr 02, 2020","0.77","0.77","0.77","0.74","50.97K","2.67%"
"Apr 01, 2020","0.75","0.75","0.77","0.75","37.05K","0.00%"
"Mar 31, 2020","0.75","0.73","0.75","0.73","13.89K","0.00%"
"Mar 30, 2020","0.75","0.75","0.75","0.73","37.40K","1.35%"
"Mar 27, 2020","0.74","0.75","0.75","0.72","109.10K","0.00%"
"Mar 26, 2020","0.74","0.74","0.76","0.74","134.68K","-2.63%"
"Mar 25, 2020","0.76","0.79","0.79","0.76","6.18K","-2.56%"
"Mar 24, 2020","0.78","0.82","0.82","0.78","52.24K","-2.50%"
"Mar 23, 2020","0.80","0.80","0.80","0.80","8.00K","-2.44%"
"Mar 19, 2020","0.82","0.84","0.86","0.82","40.04K","-2.38%"
"Mar 18, 2020","0.84","0.86","0.86","0.84","3.56K","-2.33%"
"Mar 17, 2020","0.86","0.86","0.86","0.86","2.00K","-2.27%"
"Mar 16, 2020","0.88","0.90","0.90","0.88","12.40K","-4.35%"
"Mar 13, 2020","0.92","0.94","0.94","0.92","7.83K","-3.16%"
"Mar 12, 2020","0.95","0.96","0.96","0.94","0.57K","1.06%"
"Mar 11, 2020","0.94","0.96","0.96","0.94","18.20K","0.00%"
"Mar 10, 2020","0.94","0.94","0.94","0.94","11.49K","-2.08%"
"Mar 09, 2020","0.96","0.95","0.97","0.95","14.17K","-1.03%"
"Mar 06, 2020","0.97","0.95","0.97","0.95","8.43K","0.00%"
"Mar 05, 2020","0.97","0.98","0.98","0.96","0.23K","-1.02%"
"Mar 04, 2020","0.98","0.96","0.98","0.96","10.09K","0.00%"
"Mar 03, 2020","0.98","0.96","0.98","0.96","6.47K","1.03%"
"Mar 02, 2020","0.97","0.97","0.98","0.95","29.39K","-1.02%"
"Feb 28, 2020","0.98","0.97","0.98","0.95","47.01K","2.08%"
"Feb 27, 2020","0.96","0.95","0.96","0.94","7.77K","0.00%"
"Feb 26, 2020","0.96","0.94","0.96","0.94","9.83K","-2.04%"
"Feb 25, 2020","0.98","0.96","0.98","0.96","5.41K","0.00%"
"Feb 24, 2020","0.98","0.98","0.98","0.96","44.06K","0.00%"
"Feb 21, 2020","0.98","0.96","0.98","0.95","14.91K","1.03%"
"Feb 20, 2020","0.97","0.97","0.97","0.95","11.51K","0.00%"
"Feb 19, 2020","0.97","0.96","0.97","0.95","8.23K","-1.02%"
"Feb 18, 2020","0.98","0.98","0.98","0.98","0.01K","1.03%"
"Feb 17, 2020","0.97","0.96","0.98","0.95","20.75K","-1.02%"
"Feb 14, 2020","0.98","0.98","0.98","0.96","18.09K","1.03%"
"Feb 13, 2020","0.97","0.98","0.98","0.96","12.23K","-1.02%"
"Feb 12, 2020","0.98","0.98","0.99","0.96","8.20K","2.08%"
"Feb 11, 2020","0.96","0.97","0.97","0.95","17.59K","0.00%"
"Feb 10, 2020","0.96","0.97","0.97","0.95","9.82K","0.00%"
