"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","1.420","1.420","1.420","1.420","0.00K","-1.39%"
"May 04, 2020","1.440","1.450","1.450","1.440","2.51K","-0.69%"
"Apr 29, 2020","1.450","1.450","1.450","1.450","5.00K","0.00%"
"Apr 28, 2020","1.450","1.450","1.450","1.450","0.20K","0.00%"
"Apr 27, 2020","1.450","1.460","1.460","1.450","2.50K","2.11%"
"Apr 24, 2020","1.420","1.420","1.440","1.420","0.94K","-2.74%"
"Apr 23, 2020","1.460","1.480","1.480","1.440","5.72K","-1.35%"
"Apr 22, 2020","1.480","1.490","1.490","1.470","2.50K","0.68%"
"Apr 21, 2020","1.470","1.470","1.470","1.410","9.46K","1.38%"
"Apr 20, 2020","1.450","1.410","1.450","1.410","1.22K","0.00%"
"Apr 17, 2020","1.450","1.440","1.480","1.440","10.01K","0.00%"
"Apr 16, 2020","1.450","1.430","1.450","1.400","0.52K","0.69%"
"Apr 15, 2020","1.440","1.380","1.440","1.380","2.02K","1.41%"
"Apr 14, 2020","1.420","1.430","1.430","1.380","1.14K","0.00%"
"Apr 13, 2020","1.420","1.430","1.450","1.420","3.06K","0.71%"
"Apr 08, 2020","1.410","1.410","1.430","1.370","9.17K","0.00%"
"Apr 07, 2020","1.410","1.410","1.410","1.410","0.00K","0.71%"
"Apr 06, 2020","1.400","1.400","1.400","1.340","5.26K","2.19%"
"Apr 03, 2020","1.370","1.360","1.370","1.330","2.63K","1.48%"
"Apr 02, 2020","1.350","1.360","1.360","1.300","12.48K","1.50%"
"Apr 01, 2020","1.330","1.330","1.330","1.300","8.02K","2.31%"
"Mar 31, 2020","1.300","1.250","1.310","1.250","19.83K","1.56%"
"Mar 30, 2020","1.280","1.250","1.280","1.250","13.85K","2.40%"
"Mar 27, 2020","1.250","1.290","1.290","1.240","13.60K","-0.79%"
"Mar 26, 2020","1.260","1.210","1.260","1.210","3.89K","1.61%"
"Mar 25, 2020","1.240","1.220","1.250","1.210","8.03K","0.81%"
"Mar 24, 2020","1.230","1.220","1.230","1.220","3.55K","2.50%"
"Mar 23, 2020","1.200","1.220","1.220","1.170","16.19K","0.00%"
"Mar 19, 2020","1.200","1.200","1.260","1.200","13.70K","-4.76%"
"Mar 17, 2020","1.260","1.260","1.260","1.260","0.04K","-2.33%"
"Mar 16, 2020","1.290","1.290","1.290","1.290","18.09K","-4.44%"
"Mar 13, 2020","1.350","1.390","1.400","1.350","10.32K","-4.26%"
"Mar 12, 2020","1.410","1.430","1.430","1.390","2.33K","-1.40%"
"Mar 11, 2020","1.430","1.350","1.450","1.350","6.89K","4.38%"
"Mar 10, 2020","1.370","1.370","1.380","1.330","26.94K","-2.14%"
"Mar 09, 2020","1.400","1.440","1.440","1.400","8.49K","-2.78%"
"Mar 06, 2020","1.440","1.420","1.440","1.420","2.80K","-1.37%"
"Mar 05, 2020","1.460","1.460","1.480","1.420","9.77K","0.00%"
"Mar 04, 2020","1.460","1.490","1.490","1.450","3.71K","0.00%"
"Mar 03, 2020","1.460","1.420","1.460","1.400","8.31K","0.00%"
"Mar 02, 2020","1.460","1.430","1.480","1.420","19.46K","0.00%"
"Feb 28, 2020","1.460","1.470","1.470","1.420","13.64K","0.00%"
"Feb 27, 2020","1.460","1.480","1.500","1.440","3.92K","-1.35%"
"Feb 26, 2020","1.480","1.500","1.500","1.460","4.69K","1.37%"
"Feb 25, 2020","1.460","1.510","1.520","1.460","19.47K","-3.95%"
"Feb 24, 2020","1.520","1.550","1.550","1.520","5.23K","-2.56%"
"Feb 21, 2020","1.560","1.600","1.600","1.560","4.39K","0.00%"
"Feb 20, 2020","1.560","1.560","1.600","1.560","6.51K","-2.50%"
"Feb 19, 2020","1.600","1.560","1.600","1.560","6.35K","0.00%"
"Feb 18, 2020","1.600","1.590","1.630","1.550","4.96K","0.63%"
"Feb 17, 2020","1.590","1.560","1.600","1.540","4.59K","0.63%"
"Feb 14, 2020","1.580","1.630","1.630","1.580","15.62K","-2.47%"
"Feb 13, 2020","1.620","1.660","1.680","1.620","26.14K","-2.41%"
"Feb 12, 2020","1.660","1.660","1.700","1.620","29.03K","1.84%"
"Feb 11, 2020","1.630","1.680","1.730","1.630","73.42K","-1.81%"
"Feb 10, 2020","1.660","1.570","1.660","1.570","85.48K","7.10%"
"Feb 07, 2020","1.550","1.510","1.550","1.500","107.24K","4.73%"
"Feb 06, 2020","1.480","1.410","1.480","1.400","119.00K","5.71%"
"Feb 05, 2020","1.400","1.420","1.420","1.380","38.89K","1.45%"
"Feb 04, 2020","1.380","1.370","1.380","1.350","77.89K","0.00%"
"Feb 03, 2020","1.380","1.410","1.410","1.370","121.79K","-2.82%"
"Jan 31, 2020","1.420","1.490","1.490","1.420","31.12K","-2.74%"
"Jan 30, 2020","1.460","1.500","1.530","1.460","9.75K","-2.67%"
"Jan 29, 2020","1.500","1.500","1.500","1.500","11.48K","-2.60%"
"Jan 28, 2020","1.540","1.580","1.580","1.540","7.75K","-2.53%"
"Jan 27, 2020","1.580","1.620","1.620","1.580","19.04K","-1.86%"
"Jan 24, 2020","1.610","1.610","1.610","1.570","22.01K","3.87%"
"Jan 23, 2020","1.550","1.500","1.550","1.500","10.07K","5.44%"
"Jan 22, 2020","1.470","1.350","1.470","1.350","15.04K","5.76%"
"Jan 21, 2020","1.390","1.390","1.420","1.350","4.09K","-1.42%"
"Jan 20, 2020","1.410","1.400","1.410","1.390","0.97K","-1.40%"
"Jan 17, 2020","1.430","1.400","1.430","1.400","3.30K","-0.69%"
"Jan 16, 2020","1.440","1.450","1.450","1.410","1.95K","-0.69%"
"Jan 15, 2020","1.450","1.490","1.490","1.450","7.29K","-0.68%"
"Jan 13, 2020","1.460","1.540","1.540","1.460","7.35K","-2.67%"
"Jan 10, 2020","1.500","1.460","1.500","1.420","11.00K","2.74%"
"Jan 09, 2020","1.460","1.540","1.540","1.460","2.22K","-2.67%"
"Jan 08, 2020","1.500","1.500","1.530","1.500","2.95K","0.00%"
"Jan 07, 2020","1.500","1.540","1.580","1.500","28.44K","-4.46%"
