"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","4.37","4.60","4.62","4.37","1.68K","-2.89%"
"May 04, 2020","4.50","4.49","4.50","4.49","1.00K","0.90%"
"Apr 30, 2020","4.46","4.26","4.46","4.23","1.09K","2.29%"
"Apr 29, 2020","4.36","4.62","4.62","4.36","4.60K","-2.90%"
"Apr 28, 2020","4.49","4.37","4.49","4.37","0.79K","-0.22%"
"Apr 27, 2020","4.50","4.50","4.50","4.50","0.88K","-2.81%"
"Apr 24, 2020","4.63","4.66","4.66","4.51","1.36K","-0.22%"
"Apr 23, 2020","4.64","4.63","4.64","4.63","0.10K","0.00%"
"Apr 22, 2020","4.64","4.65","4.65","4.50","2.38K","2.43%"
"Apr 21, 2020","4.53","4.49","4.53","4.49","7.43K","2.95%"
"Apr 20, 2020","4.40","4.28","4.40","4.28","5.25K","-0.23%"
"Apr 17, 2020","4.41","4.42","4.42","4.41","1.79K","-2.86%"
"Apr 16, 2020","4.54","4.58","4.58","4.40","4.09K","1.34%"
"Apr 15, 2020","4.48","4.40","4.48","4.40","4.71K","2.99%"
"Apr 14, 2020","4.35","4.17","4.35","4.17","0.05K","1.40%"
"Apr 13, 2020","4.29","4.30","4.30","4.29","0.01K","0.23%"
"Apr 08, 2020","4.28","4.39","4.39","4.17","0.78K","-0.23%"
"Apr 07, 2020","4.29","4.30","4.30","4.29","0.10K","0.70%"
"Apr 06, 2020","4.26","4.26","4.26","4.26","0.05K","-2.96%"
"Apr 03, 2020","4.39","4.40","4.40","4.31","4.76K","-1.13%"
"Apr 02, 2020","4.44","4.45","4.45","4.44","0.95K","-2.84%"
"Apr 01, 2020","4.57","4.41","4.57","4.40","2.26K","-1.72%"
"Mar 31, 2020","4.65","4.72","4.72","4.47","1.61K","1.09%"
"Mar 30, 2020","4.60","4.70","4.70","4.60","0.10K","0.00%"
"Mar 27, 2020","4.60","4.48","4.60","4.48","0.64K","-0.22%"
"Mar 26, 2020","4.61","4.60","4.61","4.60","0.40K","2.90%"
"Mar 25, 2020","4.48","4.72","4.72","4.47","4.27K","-2.61%"
"Mar 24, 2020","4.60","4.60","4.60","4.38","3.65K","2.00%"
"Mar 23, 2020","4.51","4.55","4.55","4.38","0.24K","0.00%"
"Mar 19, 2020","4.51","4.70","4.77","4.51","6.72K","-2.80%"
"Mar 18, 2020","4.64","4.50","4.65","4.39","5.02K","2.65%"
"Mar 17, 2020","4.52","4.52","4.52","4.52","4.98K","-4.44%"
"Mar 16, 2020","4.73","5.10","5.10","4.73","5.70K","-5.96%"
"Mar 13, 2020","5.03","5.03","5.03","5.03","0.21K","-2.90%"
"Mar 12, 2020","5.18","5.26","5.26","5.11","1.50K","0.58%"
"Mar 11, 2020","5.15","5.18","5.18","5.15","6.70K","-2.83%"
"Mar 10, 2020","5.30","5.10","5.30","5.02","3.96K","-0.56%"
"Mar 09, 2020","5.33","5.33","5.33","5.33","2.28K","-2.91%"
"Mar 06, 2020","5.49","5.27","5.49","5.26","0.94K","1.29%"
"Mar 05, 2020","5.42","5.42","5.42","5.42","0.26K","-2.87%"
"Mar 04, 2020","5.58","5.49","5.58","5.33","1.09K","4.49%"
"Mar 03, 2020","5.34","5.24","5.34","5.24","0.48K","-1.11%"
"Mar 02, 2020","5.40","5.35","5.40","5.22","1.27K","0.00%"
"Feb 28, 2020","5.40","5.39","5.40","5.33","1.81K","-0.74%"
"Feb 27, 2020","5.44","5.32","5.49","5.32","0.43K","-0.73%"
"Feb 26, 2020","5.48","5.57","5.57","5.41","2.36K","-1.62%"
"Feb 25, 2020","5.57","5.74","5.74","5.57","1.78K","-0.71%"
"Feb 24, 2020","5.61","5.45","5.61","5.45","0.20K","0.00%"
"Feb 21, 2020","5.61","5.74","5.74","5.59","0.86K","-1.41%"
"Feb 20, 2020","5.69","5.68","5.85","5.51","5.21K","0.00%"
"Feb 19, 2020","5.69","5.53","5.69","5.52","3.64K","3.08%"
"Feb 18, 2020","5.52","5.38","5.53","5.37","1.48K","-0.18%"
"Feb 17, 2020","5.53","5.45","5.59","5.33","3.36K","-1.25%"
"Feb 14, 2020","5.60","5.49","5.60","5.49","4.33K","-0.71%"
"Feb 13, 2020","5.64","5.68","5.69","5.55","1.72K","-0.88%"
"Feb 12, 2020","5.69","5.50","5.72","5.50","5.45K","-1.04%"
"Feb 11, 2020","5.75","5.85","5.85","5.68","5.59K","-0.35%"
"Feb 10, 2020","5.77","6.02","6.02","5.63","12.35K","0.00%"
"Feb 07, 2020","5.77","5.49","5.77","5.44","6.04K","6.07%"
"Feb 06, 2020","5.44","5.44","5.59","5.40","6.88K","-0.18%"
"Feb 05, 2020","5.45","5.23","5.46","5.23","8.18K","3.81%"
"Feb 04, 2020","5.25","5.22","5.34","5.22","2.11K","0.96%"
"Feb 03, 2020","5.20","5.27","5.37","5.12","2.00K","1.56%"
"Jan 31, 2020","5.12","5.27","5.33","5.12","11.41K","-4.48%"
"Jan 30, 2020","5.36","5.27","5.36","5.27","1.72K","-1.29%"
"Jan 29, 2020","5.43","5.50","5.50","5.34","3.09K","1.31%"
"Jan 28, 2020","5.36","5.65","5.65","5.32","1.51K","-2.90%"
"Jan 27, 2020","5.52","5.40","5.52","5.40","1.39K","5.95%"
"Jan 24, 2020","5.21","5.29","5.31","5.21","1.42K","-1.33%"
"Jan 23, 2020","5.28","5.18","5.28","5.06","1.23K","2.33%"
"Jan 22, 2020","5.16","5.15","5.20","5.05","6.42K","-0.77%"
"Jan 21, 2020","5.20","5.13","5.20","5.10","3.79K","-0.76%"
"Jan 20, 2020","5.24","5.25","5.29","5.10","0.99K","1.16%"
"Jan 17, 2020","5.18","5.35","5.35","5.11","16.22K","-3.18%"
"Jan 16, 2020","5.35","5.13","5.44","5.13","18.79K","4.29%"
"Jan 15, 2020","5.13","4.98","5.13","4.95","45.05K","5.99%"
"Jan 13, 2020","4.84","4.98","4.98","4.84","0.02K","-1.22%"
"Jan 10, 2020","4.90","4.98","4.98","4.90","0.87K","-1.61%"
"Jan 09, 2020","4.98","4.97","4.98","4.97","0.02K","-0.40%"
"Jan 07, 2020","5.00","5.00","5.00","4.95","4.27K","-1.96%"
"Jan 06, 2020","5.10","5.00","5.10","5.00","9.56K","-0.97%"
"Jan 03, 2020","5.15","5.00","5.15","5.00","0.07K","0.00%"
"Jan 02, 2020","5.15","5.00","5.15","5.00","0.18K","0.00%"
"Dec 31, 2019","5.15","5.10","5.15","4.95","0.92K","0.98%"
"Dec 30, 2019","5.10","5.12","5.15","5.00","6.33K","-0.39%"
"Dec 27, 2019","5.12","5.10","5.12","5.01","1.91K","-0.39%"
"Dec 26, 2019","5.14","5.14","5.14","5.14","0.23K","-0.19%"
"Dec 25, 2019","5.15","5.00","5.15","5.00","2.41K","0.98%"
"Dec 24, 2019","5.10","5.05","5.10","5.00","1.37K","0.00%"
"Dec 23, 2019","5.10","5.05","5.10","5.00","1.53K","-0.97%"
"Dec 20, 2019","5.15","5.08","5.15","5.08","0.34K","1.38%"
"Dec 19, 2019","5.08","4.95","5.08","4.95","1.97K","0.00%"
"Dec 18, 2019","5.08","5.08","5.08","5.01","0.47K","0.00%"
"Dec 17, 2019","5.08","5.09","5.09","5.08","0.31K","-3.05%"
"Dec 16, 2019","5.24","5.19","5.24","5.19","0.13K","2.95%"
"Dec 13, 2019","5.09","5.22","5.22","5.09","0.14K","0.20%"
"Dec 12, 2019","5.08","5.08","5.08","5.08","3.86K","-2.87%"
"Dec 11, 2019","5.23","5.26","5.26","5.11","0.49K","-0.57%"
"Dec 10, 2019","5.26","5.26","5.26","5.02","1.44K","1.74%"
"Dec 09, 2019","5.17","5.27","5.27","5.12","0.31K","0.00%"
"Dec 06, 2019","5.17","5.05","5.17","5.05","0.53K","2.38%"
"Dec 05, 2019","5.05","5.20","5.20","5.05","10.46K","-2.88%"
"Dec 04, 2019","5.20","5.20","5.38","5.10","10.37K","-0.95%"
"Dec 03, 2019","5.25","5.29","5.29","5.15","5.76K","-0.94%"
"Dec 02, 2019","5.30","5.38","5.38","5.20","8.12K","0.00%"
"Nov 29, 2019","5.30","5.38","5.38","5.30","1.77K","-1.49%"
"Nov 28, 2019","5.38","5.35","5.38","5.35","4.42K","0.56%"
"Nov 27, 2019","5.35","5.25","5.35","5.20","5.02K","0.00%"
"Nov 26, 2019","5.35","5.37","5.37","5.35","0.37K","-0.56%"
"Nov 25, 2019","5.38","5.40","5.40","5.38","0.50K","-2.89%"
"Nov 22, 2019","5.54","5.55","5.64","5.50","0.44K","0.73%"
"Nov 21, 2019","5.50","5.45","5.59","5.45","12.40K","-1.26%"
"Nov 20, 2019","5.57","5.64","5.68","5.41","17.35K","2.39%"
"Nov 19, 2019","5.44","5.25","5.44","5.25","14.75K","6.04%"
"Nov 18, 2019","5.13","4.99","5.13","4.99","43.19K","2.81%"
"Nov 15, 2019","4.99","5.10","5.10","4.90","5.02K","-0.20%"
"Nov 14, 2019","5.00","5.05","5.05","4.95","6.43K","0.00%"
"Nov 13, 2019","5.00","5.00","5.10","4.90","3.86K","0.00%"
"Nov 12, 2019","5.00","5.15","5.15","5.00","1.36K","0.00%"
"Nov 11, 2019","5.00","5.15","5.20","5.00","2.60K","0.00%"
"Nov 08, 2019","5.00","4.97","5.11","4.83","7.03K","3.52%"
"Nov 07, 2019","4.83","4.69","4.83","4.55","12.36K","3.65%"
"Nov 06, 2019","4.66","4.87","4.87","4.66","2.66K","-1.48%"
"Nov 05, 2019","4.73","4.81","4.95","4.68","5.00K","-4.44%"
