"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2020","3.000","3.000","3.000","3.000","1.20K","0.00%"
"Apr 27, 2020","3.000","3.000","3.000","3.000","0.50K","-2.28%"
"Apr 06, 2020","3.070","3.070","3.070","3.070","0.05K","0.99%"
"Apr 01, 2020","3.040","3.040","3.040","3.040","0.56K","0.00%"
"Mar 31, 2020","3.040","3.040","3.040","3.040","0.30K","2.70%"
"Mar 25, 2020","2.960","2.960","2.960","2.960","1.00K","2.78%"
"Mar 12, 2020","2.880","2.880","2.880","2.880","0.02K","0.00%"
"Mar 05, 2020","2.880","2.880","2.880","2.880","1.08K","-0.35%"
"Feb 28, 2020","2.890","2.890","2.890","2.890","3.70K","0.00%"
"Feb 26, 2020","2.890","2.890","2.890","2.890","0.50K","0.00%"
"Feb 24, 2020","2.890","2.890","2.890","2.890","0.50K","0.00%"
"Feb 21, 2020","2.890","2.880","2.890","2.880","1.40K","0.00%"
"Jan 30, 2020","2.890","2.890","2.890","2.890","0.50K","0.00%"
"Jan 29, 2020","2.890","2.890","2.890","2.890","1.50K","-0.34%"
"Jan 27, 2020","2.900","2.900","2.900","2.900","1.10K","0.35%"
"Jan 23, 2020","2.890","2.890","2.890","2.890","0.50K","0.00%"
"Jan 22, 2020","2.890","2.890","2.890","2.890","1.00K","-0.34%"
"Jan 21, 2020","2.900","2.890","2.900","2.890","0.55K","0.35%"
"Jan 20, 2020","2.890","2.900","2.900","2.890","1.70K","0.00%"
"Jan 16, 2020","2.890","2.890","2.890","2.890","0.50K","-0.34%"
"Jan 15, 2020","2.900","2.900","2.900","2.900","1.30K","2.84%"
"Jan 10, 2020","2.820","2.820","2.820","2.820","1.00K","-2.76%"
"Jan 09, 2020","2.900","2.890","2.900","2.870","1.52K","0.35%"
"Jan 06, 2020","2.890","2.890","2.890","2.890","1.00K","-0.34%"
"Jan 02, 2020","2.900","2.900","2.900","2.900","0.40K","0.00%"
"Dec 31, 2019","2.900","2.900","2.900","2.900","1.00K","1.40%"
"Dec 30, 2019","2.860","2.800","2.860","2.800","6.68K","2.88%"
"Dec 27, 2019","2.780","2.780","2.780","2.780","7.09K","0.00%"
"Dec 26, 2019","2.780","2.780","2.780","2.780","2.20K","2.96%"
"Dec 25, 2019","2.700","2.630","2.700","2.630","3.23K","4.25%"
"Dec 24, 2019","2.590","2.590","2.590","2.590","2.60K","3.60%"
"Dec 19, 2019","2.500","2.500","2.500","2.500","1.12K","0.00%"
"Dec 18, 2019","2.500","2.500","2.500","2.500","1.00K","0.00%"
"Dec 17, 2019","2.500","2.500","2.500","2.500","1.40K","0.00%"
"Dec 13, 2019","2.500","2.500","2.500","2.500","0.40K","0.00%"
"Dec 12, 2019","2.500","2.500","2.500","2.500","0.55K","0.00%"
"Dec 11, 2019","2.500","2.500","2.500","2.500","0.20K","0.00%"
"Dec 06, 2019","2.500","2.500","2.500","2.500","0.50K","0.00%"
"Dec 04, 2019","2.500","2.500","2.500","2.500","1.35K","-1.19%"
"Nov 28, 2019","2.530","2.530","2.530","2.530","1.96K","0.00%"
"Nov 27, 2019","2.530","2.530","2.530","2.530","0.10K","0.00%"
"Nov 21, 2019","2.530","2.530","2.530","2.530","0.88K","2.85%"
"Nov 20, 2019","2.460","2.460","2.460","2.460","0.06K","2.93%"
"Nov 06, 2019","2.390","2.390","2.390","2.390","0.13K","2.14%"
"Oct 23, 2019","2.340","2.340","2.340","2.340","1.00K","1.74%"
"Oct 21, 2019","2.300","2.300","2.300","2.300","11.00K","-2.13%"
"Aug 29, 2019","2.350","2.350","2.350","2.350","0.07K","2.17%"
"Aug 22, 2019","2.300","2.300","2.300","2.300","5.62K","0.00%"
"Aug 07, 2019","2.300","2.300","2.300","2.300","1.00K","0.44%"
"Aug 02, 2019","2.290","2.290","2.290","2.290","1.46K","0.00%"
"Aug 01, 2019","2.290","2.290","2.290","2.290","2.50K","0.00%"
"Jul 29, 2019","2.290","2.290","2.290","2.290","4.60K","-0.43%"
"Jul 19, 2019","2.300","2.300","2.300","2.300","5.06K","0.44%"
"Jul 18, 2019","2.290","2.290","2.290","2.290","0.72K","0.00%"
"Jul 15, 2019","2.290","2.290","2.290","2.290","0.50K","1.78%"
