"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","7.48","7.48","7.48","7.48","0.01K","2.89%"
"May 04, 2020","7.27","7.27","7.27","7.27","0.11K","0.28%"
"Apr 30, 2020","7.25","7.25","7.25","7.25","1.00K","-2.03%"
"Apr 29, 2020","7.40","7.40","7.40","7.40","1.27K","-4.27%"
"Apr 27, 2020","7.73","7.73","7.73","7.73","0.12K","-2.89%"
"Apr 22, 2020","7.96","7.96","7.96","7.96","1.00K","-2.93%"
"Apr 21, 2020","8.20","8.20","8.20","8.20","0.50K","1.23%"
"Apr 17, 2020","8.10","8.10","8.10","8.10","1.00K","0.00%"
"Apr 16, 2020","8.10","8.10","8.10","8.10","0.50K","0.00%"
"Apr 15, 2020","8.10","8.10","8.10","8.10","1.20K","-2.88%"
"Apr 14, 2020","8.34","8.34","8.34","8.34","1.05K","-2.80%"
"Apr 07, 2020","8.58","8.58","8.58","8.58","1.20K","-2.94%"
"Mar 30, 2020","8.84","8.84","8.84","8.84","0.01K","0.00%"
"Mar 26, 2020","8.84","8.84","8.84","8.84","1.17K","0.00%"
"Mar 25, 2020","8.84","8.84","8.84","8.84","0.31K","0.11%"
"Mar 10, 2020","8.83","8.83","8.83","8.83","0.02K","2.91%"
"Mar 06, 2020","8.58","8.83","8.83","8.58","0.10K","-2.94%"
"Mar 04, 2020","8.84","8.84","8.84","8.84","0.05K","0.00%"
"Feb 27, 2020","8.84","8.84","8.84","8.84","0.01K","0.00%"
"Feb 26, 2020","8.84","8.84","8.84","8.84","0.03K","2.79%"
"Feb 24, 2020","8.60","8.60","8.60","8.60","0.15K","-2.82%"
"Feb 21, 2020","8.85","8.66","8.85","8.66","0.07K","2.91%"
"Feb 20, 2020","8.60","8.60","8.60","8.60","0.05K","2.50%"
"Feb 18, 2020","8.39","8.39","8.39","8.39","0.00K","2.82%"
"Feb 17, 2020","8.16","8.16","8.16","8.16","0.11K","0.00%"
"Feb 13, 2020","8.16","8.16","8.16","8.16","0.13K","0.00%"
