"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 27, 2020","129.89","129.89","129.89","129.89","0.01K","-1.60%"
"Apr 24, 2020","132.00","132.00","132.00","132.00","0.06K","1.55%"
"Apr 23, 2020","129.99","129.99","129.99","129.99","0.20K","-1.52%"
"Apr 14, 2020","132.00","132.00","132.00","132.00","0.02K","2.33%"
"Apr 08, 2020","129.00","129.00","129.00","129.00","0.02K","2.19%"
"Apr 06, 2020","126.24","126.24","126.24","126.24","0.01K","2.99%"
"Apr 03, 2020","122.57","122.57","122.57","122.57","0.01K","3.00%"
"Apr 02, 2020","119.00","119.00","119.00","119.00","0.01K","0.94%"
"Apr 01, 2020","117.89","117.89","117.89","117.89","0.01K","3.00%"
"Mar 31, 2020","114.46","114.46","114.46","114.46","0.05K","0.00%"
"Mar 30, 2020","114.46","114.46","114.46","114.46","0.12K","-3.00%"
"Mar 23, 2020","118.00","118.00","118.00","118.00","0.01K","0.94%"
"Mar 19, 2020","116.90","116.90","116.90","116.90","0.00K","3.00%"
"Mar 17, 2020","113.50","113.50","113.50","113.50","0.02K","-2.99%"
"Mar 13, 2020","117.00","117.00","117.00","117.00","0.01K","0.00%"
"Mar 12, 2020","117.00","117.00","117.00","117.00","0.00K","-1.68%"
"Mar 11, 2020","119.00","119.00","119.00","119.00","0.02K","1.71%"
"Mar 10, 2020","117.00","117.00","117.00","117.00","0.00K","-2.49%"
"Mar 09, 2020","119.99","119.99","119.99","119.99","0.01K","3.00%"
"Mar 05, 2020","116.50","116.50","116.50","116.50","0.09K","-2.92%"
"Mar 04, 2020","120.00","120.20","120.20","120.00","0.31K","-0.17%"
"Feb 28, 2020","120.20","120.20","120.20","120.20","0.06K","0.00%"
"Feb 27, 2020","120.20","120.21","120.21","120.20","0.05K","-2.99%"
"Feb 21, 2020","123.90","123.90","123.90","123.90","0.01K","2.40%"
"Feb 19, 2020","121.00","121.00","121.00","121.00","0.88K","-2.42%"
"Feb 18, 2020","124.00","124.00","124.00","124.00","0.26K","0.32%"
"Feb 17, 2020","123.60","120.00","123.60","120.00","0.26K","3.09%"
"Feb 14, 2020","119.89","116.40","119.89","116.40","0.27K","4.24%"
"Feb 13, 2020","115.01","114.00","115.01","114.00","0.31K","0.01%"
"Feb 12, 2020","115.00","112.86","115.00","112.86","0.10K","2.33%"
"Feb 11, 2020","112.38","112.37","112.38","112.37","0.13K","0.02%"
"Feb 10, 2020","112.36","112.86","112.86","112.36","0.17K","-3.43%"
"Feb 07, 2020","116.35","116.35","116.35","116.35","0.00K","-2.96%"
"Feb 06, 2020","119.90","119.90","119.90","119.90","0.00K","-0.33%"
"Feb 05, 2020","120.30","120.30","120.30","120.30","0.15K","-2.98%"
"Feb 03, 2020","124.00","123.30","124.00","123.30","0.32K","-2.44%"
"Jan 30, 2020","127.10","126.10","127.10","126.10","0.72K","0.06%"
