"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","3.90","3.80","3.90","3.80","1.37K","-0.26%"
"May 04, 2020","3.91","3.83","3.91","3.83","0.48K","-0.51%"
"Apr 30, 2020","3.93","3.99","3.99","3.83","0.69K","-0.25%"
"Apr 29, 2020","3.94","3.78","3.95","3.78","0.54K","1.29%"
"Apr 28, 2020","3.89","3.80","3.89","3.80","9.20K","-0.26%"
"Apr 27, 2020","3.90","3.80","3.95","3.79","8.82K","0.00%"
"Apr 24, 2020","3.90","3.93","3.93","3.83","2.16K","-0.76%"
"Apr 23, 2020","3.93","3.83","3.93","3.83","2.83K","-0.25%"
"Apr 22, 2020","3.94","3.86","3.95","3.86","6.27K","-0.76%"
"Apr 21, 2020","3.97","3.87","3.98","3.87","2.79K","-0.25%"
"Apr 20, 2020","3.98","3.84","4.04","3.84","6.85K","0.76%"
"Apr 17, 2020","3.95","3.84","4.05","3.84","0.47K","0.00%"
"Apr 16, 2020","3.95","3.86","3.98","3.86","7.94K","2.07%"
"Apr 15, 2020","3.87","3.80","3.87","3.78","3.39K","-0.51%"
"Apr 14, 2020","3.89","3.80","3.89","3.74","1.67K","1.04%"
"Apr 13, 2020","3.85","3.79","3.85","3.72","4.56K","1.32%"
"Apr 08, 2020","3.80","3.91","3.99","3.80","12.83K","-2.56%"
"Apr 07, 2020","3.90","3.99","3.99","3.77","1.50K","0.52%"
"Apr 06, 2020","3.88","3.88","3.98","3.88","1.87K","-2.76%"
"Apr 03, 2020","3.99","4.10","4.10","3.89","0.78K","-0.50%"
"Apr 02, 2020","4.01","4.13","4.13","4.01","1.51K","-2.91%"
"Apr 01, 2020","4.13","3.99","4.13","3.99","10.88K","0.49%"
"Mar 31, 2020","4.11","4.18","4.18","4.11","0.07K","0.00%"
"Mar 30, 2020","4.11","4.19","4.19","4.00","9.99K","-0.24%"
"Mar 27, 2020","4.12","4.29","4.29","4.12","0.48K","-2.83%"
"Mar 26, 2020","4.24","4.25","4.25","4.24","0.20K","1.19%"
"Mar 25, 2020","4.19","4.20","4.20","4.18","1.13K","-0.24%"
"Mar 24, 2020","4.20","4.19","4.20","4.08","2.00K","2.94%"
"Mar 23, 2020","4.08","4.12","4.12","4.07","5.35K","2.00%"
"Mar 19, 2020","4.00","3.89","4.00","3.89","1.00K","0.00%"
"Mar 18, 2020","4.00","4.00","4.00","3.86","66.41K","0.76%"
"Mar 17, 2020","3.97","4.03","4.03","3.97","20.07K","-7.03%"
"Mar 13, 2020","4.27","4.30","4.38","4.20","6.53K","-3.39%"
"Mar 12, 2020","4.42","4.55","4.55","4.42","8.46K","-2.86%"
"Mar 11, 2020","4.55","4.30","4.55","4.30","8.97K","5.81%"
"Mar 10, 2020","4.30","4.35","4.35","4.22","7.38K","-1.60%"
"Mar 09, 2020","4.37","4.50","4.50","4.37","17.42K","-2.89%"
"Mar 06, 2020","4.50","4.60","4.60","4.47","12.82K","-1.10%"
"Mar 05, 2020","4.55","4.60","4.60","4.48","11.31K","-0.66%"
"Mar 04, 2020","4.58","4.59","4.60","4.50","16.39K","-0.22%"
"Mar 03, 2020","4.59","4.60","4.60","4.55","5.82K","-0.22%"
