"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","4.90","4.90","4.90","4.90","0.06K","18.07%"
"Mar 13, 2020","4.15","4.15","4.15","4.15","0.04K","-18.95%"
"Feb 28, 2020","5.12","5.12","5.12","5.12","0.10K","0.00%"
"Feb 26, 2020","5.12","5.12","5.12","5.12","0.50K","0.00%"
"Feb 19, 2020","5.12","5.12","5.12","5.12","0.00K","4.49%"
"Feb 14, 2020","4.90","4.90","4.90","4.90","0.02K","0.00%"
"Feb 13, 2020","4.90","4.90","4.90","4.90","0.59K","-0.20%"
"Feb 12, 2020","4.91","4.91","4.91","4.91","0.06K","-8.40%"
"Feb 07, 2020","5.36","5.36","5.36","5.36","0.00K","14.04%"
"Jan 27, 2020","4.70","4.70","4.70","4.70","18.16K","0.00%"
"Jan 23, 2020","4.70","4.70","4.70","4.70","0.10K","0.00%"
"Jan 21, 2020","4.70","4.70","4.70","4.70","0.18K","1.29%"
"Jan 15, 2020","4.64","4.64","4.64","4.64","0.00K","0.00%"
"Jan 06, 2020","4.64","4.64","4.64","4.64","0.01K","-38.13%"
"Dec 02, 2019","7.50","7.50","7.50","7.50","0.00K","0.00%"
"Nov 29, 2019","7.50","7.50","7.50","7.50","0.01K","-2.85%"
"Nov 28, 2019","7.72","7.72","7.72","7.72","0.01K","4.47%"
"Nov 26, 2019","7.39","7.39","7.39","7.39","0.02K","49.29%"
"Oct 29, 2019","4.95","4.95","4.95","4.95","0.02K","-1.59%"
"Oct 25, 2019","5.03","5.03","5.03","5.03","0.02K","-8.38%"
"Oct 22, 2019","5.49","5.49","5.49","5.49","0.02K","0.00%"
"Oct 18, 2019","5.49","5.49","5.49","5.49","0.02K","-6.95%"
"Oct 04, 2019","5.90","5.90","5.90","5.90","0.02K","-1.99%"
"Sep 19, 2019","6.02","6.02","6.02","6.02","0.01K","-1.95%"
"Sep 18, 2019","6.14","6.14","6.14","6.14","0.01K","47.24%"
"Sep 04, 2019","4.17","4.15","4.17","4.15","0.14K","-10.90%"
"Aug 27, 2019","4.68","4.68","4.68","4.68","0.16K","-2.90%"
"Aug 26, 2019","4.82","4.82","4.82","4.82","0.07K","-20.20%"
"Aug 14, 2019","6.04","6.04","6.04","6.04","0.32K","29.34%"
"Jul 12, 2019","4.67","4.67","4.67","4.67","0.00K","7.60%"
"Jul 10, 2019","4.34","4.34","4.34","4.34","0.05K","-9.96%"
"Jul 03, 2019","4.82","4.82","4.82","4.82","0.15K","-5.68%"
"Jun 27, 2019","5.11","5.11","5.11","5.11","0.11K","0.00%"
"Jun 24, 2019","5.11","5.11","5.11","5.11","0.01K","-36.52%"
"May 28, 2019","8.05","8.05","8.05","8.05","0.00K","-16.84%"
"May 16, 2019","9.68","9.68","9.68","9.68","0.00K","83.33%"
"Apr 25, 2019","5.28","5.28","5.28","5.28","0.00K","8.87%"
"Apr 22, 2019","4.85","4.85","4.85","4.85","0.03K","4.30%"
"Apr 19, 2019","4.65","4.65","4.65","4.65","0.02K","-20.10%"
"Apr 05, 2019","5.82","5.82","5.82","5.82","0.00K","-27.16%"
"Feb 14, 2019","7.99","7.99","7.99","7.99","0.03K","13.82%"
"Feb 04, 2019","7.02","7.02","7.02","7.02","0.00K","-8.71%"
"Jan 31, 2019","7.69","7.69","7.69","7.69","128.00K","-0.13%"
"Jan 30, 2019","7.70","7.70","7.70","7.70","22.00K","-0.13%"
"Jan 28, 2019","7.71","7.71","7.71","7.71","82.00K","0.00%"
"Jan 10, 2019","7.71","7.71","7.71","7.71","0.23K","60.62%"
"Dec 24, 2018","4.80","4.80","4.80","4.80","0.22K","-46.84%"
"Nov 29, 2018","9.03","9.03","9.03","9.03","0.01K","-0.44%"
"Nov 01, 2018","9.07","9.07","9.07","9.07","0.00K","0.00%"
"Oct 23, 2018","9.07","9.07","9.07","9.07","0.00K","2.95%"
"Oct 22, 2018","8.81","8.81","8.81","8.81","0.00K","60.77%"
"Sep 13, 2018","5.48","5.48","5.48","5.48","0.00K","7.45%"
"Sep 06, 2018","5.10","5.10","5.10","5.10","0.01K","0.00%"
"Sep 03, 2018","5.10","5.10","5.10","5.10","0.06K","2.00%"
"Aug 23, 2018","5.00","5.00","5.00","5.00","0.10K","0.81%"
"Aug 20, 2018","4.96","4.96","4.96","4.96","0.03K","0.20%"
"Aug 03, 2018","4.95","4.95","4.95","4.95","0.09K","0.00%"
"Jul 09, 2018","4.95","4.95","4.95","4.95","0.01K","-22.41%"
"May 30, 2018","6.38","6.38","6.38","6.38","0.01K","-12.72%"
"Apr 06, 2018","7.31","7.31","7.31","7.31","0.00K","27.80%"
"Mar 27, 2018","5.72","5.72","5.72","5.72","18.06K","0.00%"
"Mar 26, 2018","5.72","5.72","5.72","5.72","0.20K","0.00%"
"Mar 23, 2018","5.72","5.72","5.72","5.72","0.20K","11.94%"
"Mar 06, 2018","5.11","5.11","5.11","5.11","0.06K","-16.64%"
"Feb 12, 2018","6.13","6.13","6.13","6.13","0.02K","-19.02%"
"Jan 29, 2018","7.57","7.57","7.57","7.57","0.01K","-4.42%"
"Jan 22, 2018","7.92","7.92","7.92","7.92","0.01K","-12.68%"
"Jan 12, 2018","9.07","9.07","9.07","9.07","0.00K","0.78%"
"Nov 28, 2017","9.00","9.00","9.00","9.00","0.09K","-4.05%"
"Nov 24, 2017","9.38","9.38","9.38","9.38","0.02K","1.85%"
"Nov 22, 2017","9.21","9.21","9.21","9.21","0.01K","22.31%"
"Nov 10, 2017","7.53","7.53","7.53","7.53","0.01K","-5.87%"
"Nov 09, 2017","8.00","8.00","8.00","8.00","0.03K","-12.66%"
"Oct 26, 2017","9.16","9.16","9.16","9.16","0.00K","-7.38%"
"Oct 24, 2017","9.89","9.89","9.89","9.89","0.20K","2.49%"
"Oct 23, 2017","9.65","9.65","9.65","9.65","0.00K","38.25%"
"Sep 26, 2017","6.98","6.98","6.98","6.98","0.05K","16.92%"
"Aug 14, 2017","5.97","5.97","5.97","5.97","0.00K","-1.81%"
"Jul 21, 2017","6.08","6.08","6.08","6.08","0.00K","2.88%"
"Jul 17, 2017","5.91","5.91","5.91","5.91","0.00K","0.00%"
"Jul 11, 2017","5.91","5.91","5.91","5.91","0.01K","0.17%"
"Jun 30, 2017","5.90","5.90","5.90","5.90","0.09K","0.17%"
"Apr 07, 2017","5.89","5.89","5.89","5.89","0.01K","5.94%"
"Mar 24, 2017","5.56","5.56","5.56","5.56","0.00K","0.00%"
"Mar 21, 2017","5.56","5.56","5.56","5.56","0.00K","2.96%"
"Mar 16, 2017","5.40","5.40","5.40","5.40","0.00K","-5.26%"
"Mar 09, 2017","5.70","5.57","5.70","5.57","0.50K","-0.70%"
"Mar 08, 2017","5.74","5.74","5.74","5.74","0.13K","0.00%"
"Mar 06, 2017","5.74","5.74","5.74","5.74","0.02K","1.77%"
"Mar 02, 2017","5.64","5.64","5.64","5.64","0.01K","1.08%"
"Feb 22, 2017","5.58","5.58","5.58","5.58","0.00K","-20.29%"
