"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","11.45","11.45","11.45","11.11","0.15K","0.00%"
"Apr 30, 2020","11.45","11.45","11.45","11.45","0.08K","0.00%"
"Apr 29, 2020","11.45","11.50","11.50","11.14","0.07K","-0.26%"
"Apr 28, 2020","11.48","11.14","11.50","11.14","0.11K","0.00%"
"Apr 27, 2020","11.48","11.70","11.70","11.48","0.02K","0.00%"
"Apr 24, 2020","11.48","11.48","11.48","11.48","0.01K","0.00%"
"Apr 23, 2020","11.48","11.15","11.48","11.15","0.16K","-0.09%"
"Apr 22, 2020","11.49","11.16","11.49","11.16","0.12K","-0.09%"
"Apr 21, 2020","11.50","11.20","11.50","11.20","0.40K","0.00%"
"Apr 20, 2020","11.50","11.50","11.50","11.50","0.00K","0.17%"
"Apr 17, 2020","11.48","11.48","11.48","11.48","0.01K","-0.09%"
"Apr 16, 2020","11.49","11.49","11.49","11.49","0.01K","-0.09%"
"Apr 15, 2020","11.50","11.12","11.50","11.12","0.13K","0.44%"
"Apr 14, 2020","11.45","11.45","11.45","11.45","0.01K","-0.43%"
"Apr 13, 2020","11.50","11.30","11.50","11.30","0.10K","2.04%"
"Apr 08, 2020","11.27","11.27","11.27","11.27","0.01K","2.45%"
"Apr 07, 2020","11.00","11.00","11.00","10.62","0.16K","1.38%"
"Apr 06, 2020","10.85","10.60","10.85","10.60","0.02K","2.17%"
"Apr 03, 2020","10.62","10.60","11.18","10.60","0.24K","-2.57%"
"Apr 02, 2020","10.90","10.58","10.99","10.58","0.53K","0.00%"
"Apr 01, 2020","10.90","10.60","10.90","10.58","1.21K","0.00%"
"Mar 31, 2020","10.90","10.79","10.90","10.50","0.57K","0.93%"
"Mar 30, 2020","10.80","10.80","10.80","10.80","0.05K","1.03%"
"Mar 27, 2020","10.69","10.40","10.70","10.40","0.25K","2.79%"
"Mar 26, 2020","10.40","10.40","10.40","10.40","0.01K","0.00%"
"Mar 25, 2020","10.40","10.40","10.40","10.40","0.01K","0.00%"
"Mar 24, 2020","10.40","10.40","10.40","10.40","0.01K","0.00%"
"Mar 23, 2020","10.40","10.40","10.40","9.91","0.41K","2.06%"
"Mar 19, 2020","10.19","10.70","10.70","10.18","0.78K","-2.86%"
"Mar 18, 2020","10.49","10.14","10.75","10.14","1.02K","0.38%"
"Mar 17, 2020","10.45","10.45","10.45","10.45","0.01K","-2.79%"
"Mar 16, 2020","10.75","10.60","10.99","10.51","0.53K","-2.27%"
"Mar 13, 2020","11.00","11.30","11.30","11.00","0.28K","-0.90%"
"Mar 12, 2020","11.10","10.80","11.30","10.74","1.54K","-1.25%"
"Mar 11, 2020","11.24","11.25","11.25","11.10","0.16K","2.27%"
"Mar 10, 2020","10.99","10.67","10.99","10.40","0.82K","-0.09%"
"Mar 09, 2020","11.00","11.02","11.35","11.00","2.66K","-3.00%"
"Mar 06, 2020","11.34","11.35","11.35","11.34","0.20K","1.25%"
"Mar 05, 2020","11.20","11.35","11.35","11.05","2.99K","-1.32%"
"Mar 04, 2020","11.35","11.35","11.35","11.35","0.01K","0.00%"
"Mar 02, 2020","11.35","11.35","11.35","11.35","0.22K","0.00%"
"Feb 28, 2020","11.35","11.40","11.40","11.30","0.45K","1.70%"
"Feb 27, 2020","11.16","11.40","11.40","11.16","4.52K","-1.59%"
"Feb 26, 2020","11.34","11.35","11.35","11.34","0.13K","-0.53%"
"Feb 25, 2020","11.40","11.40","11.40","11.40","0.01K","0.00%"
"Feb 24, 2020","11.40","11.40","11.40","11.40","0.08K","0.00%"
"Feb 21, 2020","11.40","11.38","11.40","11.11","1.10K","1.69%"
"Feb 20, 2020","11.21","11.45","11.45","11.21","1.20K","-1.49%"
"Feb 19, 2020","11.38","11.22","11.38","11.21","0.72K","-0.18%"
"Feb 18, 2020","11.40","11.45","11.45","11.40","0.21K","-0.44%"
"Feb 14, 2020","11.45","11.44","11.45","11.11","0.45K","0.00%"
"Feb 13, 2020","11.45","11.45","11.45","11.40","0.40K","0.17%"
"Feb 12, 2020","11.43","11.38","11.43","11.03","0.23K","0.53%"
"Feb 11, 2020","11.37","11.37","11.37","11.23","0.46K","1.25%"
"Feb 10, 2020","11.23","11.24","11.39","10.91","10.73K","-0.09%"
"Feb 07, 2020","11.24","11.59","11.59","11.24","1.95K","-2.94%"
"Feb 06, 2020","11.58","11.30","11.59","11.30","0.79K","0.35%"
"Feb 05, 2020","11.54","11.30","11.54","11.30","0.11K","-0.52%"
"Feb 04, 2020","11.60","11.60","11.60","11.60","0.12K","0.43%"
"Feb 03, 2020","11.55","11.22","11.55","11.20","0.29K","0.52%"
"Jan 31, 2020","11.49","11.55","11.55","11.49","0.02K","-0.52%"
"Jan 30, 2020","11.55","11.50","11.55","11.20","4.31K","3.13%"
"Jan 29, 2020","11.20","11.48","11.48","11.19","1.21K","-2.52%"
"Jan 28, 2020","11.49","11.40","11.58","11.18","0.67K","0.79%"
"Jan 27, 2020","11.40","11.45","11.45","11.16","0.76K","2.15%"
"Jan 24, 2020","11.16","11.49","11.49","11.16","0.07K","-2.96%"
"Jan 23, 2020","11.50","11.39","11.50","11.39","0.01K","0.97%"
"Jan 22, 2020","11.39","11.08","11.39","11.07","0.32K","-0.09%"
"Jan 21, 2020","11.40","11.58","11.58","11.01","0.25K","0.44%"
"Jan 20, 2020","11.35","11.35","11.35","11.35","0.02K","0.00%"
"Jan 17, 2020","11.35","11.35","11.35","11.35","0.01K","0.00%"
"Jan 16, 2020","11.35","11.18","11.35","11.18","1.25K","1.70%"
"Jan 15, 2020","11.16","11.18","11.18","11.16","0.03K","-0.18%"
"Jan 13, 2020","11.18","11.35","11.35","11.18","2.04K","-2.78%"
"Jan 09, 2020","11.50","11.58","11.58","11.50","0.91K","-0.86%"
"Jan 08, 2020","11.60","11.60","11.60","11.60","0.01K","0.00%"
"Jan 07, 2020","11.60","11.55","11.60","11.48","0.45K","0.00%"
"Jan 06, 2020","11.60","11.70","11.70","11.60","0.74K","-2.52%"
"Jan 03, 2020","11.90","11.90","11.90","11.90","0.98K","0.00%"
"Jan 02, 2020","11.90","11.98","11.98","11.90","1.35K","0.68%"
"Dec 31, 2019","11.82","11.48","11.82","11.48","9.85K","2.96%"
