"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","5.71","5.80","5.80","5.71","0.86K","-1.38%"
"May 04, 2020","5.79","5.80","5.91","5.79","1.69K","0.70%"
"Apr 30, 2020","5.75","6.00","6.00","5.75","1.45K","-2.87%"
"Apr 29, 2020","5.92","6.18","6.18","5.92","1.55K","-2.95%"
"Apr 28, 2020","6.10","6.14","6.14","5.80","2.18K","2.18%"
"Apr 27, 2020","5.97","6.18","6.18","5.97","0.01K","-1.81%"
"Apr 24, 2020","6.08","6.14","6.14","5.95","2.63K","-0.82%"
"Apr 23, 2020","6.13","6.18","6.18","5.82","1.08K","2.17%"
"Apr 22, 2020","6.00","6.18","6.18","5.82","0.23K","0.00%"
"Apr 21, 2020","6.00","6.00","6.00","5.83","1.57K","2.39%"
"Apr 20, 2020","5.86","5.61","5.95","5.61","16.11K","1.38%"
"Apr 17, 2020","5.78","5.78","5.78","5.78","0.53K","0.00%"
"Apr 16, 2020","5.78","5.74","5.80","5.58","5.20K","0.70%"
"Apr 15, 2020","5.74","5.70","5.74","5.70","0.26K","-0.17%"
"Apr 14, 2020","5.75","5.70","5.75","5.70","0.53K","0.88%"
"Apr 13, 2020","5.70","5.70","5.70","5.70","0.15K","0.00%"
"Apr 08, 2020","5.70","5.85","5.85","5.70","2.84K","-2.56%"
"Apr 07, 2020","5.85","5.80","5.96","5.62","3.17K","1.04%"
"Apr 06, 2020","5.79","5.80","5.80","5.79","4.90K","-2.85%"
"Apr 03, 2020","5.96","5.91","6.18","5.91","4.05K","-2.13%"
"Apr 02, 2020","6.09","6.19","6.27","6.09","4.31K","-2.87%"
"Apr 01, 2020","6.27","6.37","6.37","6.02","1.69K","1.13%"
"Mar 31, 2020","6.20","6.29","6.34","6.04","2.40K","0.00%"
"Mar 30, 2020","6.20","6.35","6.35","6.02","0.41K","0.00%"
"Mar 27, 2020","6.20","6.35","6.35","6.03","11.09K","0.16%"
"Mar 26, 2020","6.19","6.25","6.25","5.96","1.19K","1.81%"
"Mar 25, 2020","6.08","5.95","6.14","5.91","2.20K","-0.16%"
"Mar 24, 2020","6.09","6.14","6.15","5.90","14.27K","1.84%"
"Mar 23, 2020","5.98","5.81","5.98","5.81","5.18K","0.00%"
