"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","0.54","0.52","0.54","0.52","33.71K","1.89%"
"May 04, 2020","0.53","0.55","0.55","0.53","3.11K","-1.85%"
"Apr 30, 2020","0.54","0.54","0.54","0.53","0.37K","0.00%"
"Apr 29, 2020","0.54","0.55","0.55","0.54","2.77K","-1.82%"
"Apr 28, 2020","0.55","0.55","0.56","0.55","1.27K","-1.79%"
"Apr 27, 2020","0.56","0.56","0.56","0.56","0.01K","1.82%"
"Apr 24, 2020","0.55","0.56","0.56","0.54","4.14K","0.00%"
"Apr 23, 2020","0.55","0.56","0.56","0.55","0.68K","0.00%"
"Apr 22, 2020","0.55","0.54","0.55","0.54","1.18K","1.85%"
"Apr 21, 2020","0.54","0.53","0.54","0.53","15.73K","1.89%"
"Apr 20, 2020","0.53","0.53","0.53","0.53","0.62K","1.92%"
"Apr 17, 2020","0.52","0.52","0.54","0.52","32.34K","-1.89%"
"Apr 16, 2020","0.53","0.53","0.53","0.53","1.00K","-1.85%"
"Apr 15, 2020","0.54","0.54","0.54","0.54","5.75K","-1.82%"
"Apr 14, 2020","0.55","0.55","0.55","0.54","20.30K","0.00%"
"Apr 13, 2020","0.55","0.54","0.55","0.53","15.60K","1.85%"
"Apr 08, 2020","0.54","0.55","0.55","0.54","1.96K","-1.82%"
"Apr 07, 2020","0.55","0.55","0.55","0.55","9.27K","-1.79%"
"Apr 06, 2020","0.56","0.56","0.56","0.56","14.30K","-1.75%"
"Apr 03, 2020","0.57","0.58","0.58","0.57","19.98K","-1.72%"
"Apr 02, 2020","0.58","0.59","0.60","0.58","13.11K","-1.69%"
"Apr 01, 2020","0.59","0.58","0.59","0.58","2.02K","1.72%"
"Mar 31, 2020","0.58","0.59","0.59","0.57","4.81K","0.00%"
"Mar 30, 2020","0.58","0.58","0.58","0.57","5.83K","0.00%"
"Mar 27, 2020","0.58","0.59","0.59","0.58","3.34K","-1.69%"
"Mar 26, 2020","0.59","0.61","0.61","0.59","1.28K","-1.67%"
"Mar 25, 2020","0.60","0.59","0.60","0.59","8.20K","1.69%"
"Mar 24, 2020","0.59","0.58","0.59","0.58","4.16K","0.00%"
"Mar 23, 2020","0.59","0.58","0.59","0.58","1.65K","0.00%"
"Mar 19, 2020","0.59","0.59","0.60","0.59","12.05K","-1.67%"
"Mar 18, 2020","0.60","0.60","0.60","0.60","0.12K","-1.64%"
"Mar 17, 2020","0.61","0.61","0.61","0.61","0.05K","-1.61%"
"Mar 16, 2020","0.62","0.62","0.62","0.62","13.05K","-3.12%"
"Mar 13, 2020","0.64","0.63","0.64","0.62","67.68K","1.59%"
"Mar 12, 2020","0.63","0.63","0.64","0.62","32.51K","0.00%"
"Mar 11, 2020","0.63","0.63","0.65","0.63","43.44K","-3.08%"
"Mar 10, 2020","0.65","0.64","0.65","0.64","14.08K","-2.99%"
"Mar 09, 2020","0.67","0.67","0.69","0.65","68.59K","-1.47%"
"Mar 06, 2020","0.68","0.68","0.70","0.66","116.79K","-2.86%"
"Mar 05, 2020","0.70","0.71","0.71","0.69","19.27K","0.00%"
"Mar 04, 2020","0.70","0.71","0.71","0.70","16.62K","-1.41%"
"Mar 03, 2020","0.71","0.71","0.72","0.70","76.57K","0.00%"
"Mar 02, 2020","0.71","0.72","0.72","0.71","22.10K","0.00%"
"Feb 28, 2020","0.71","0.68","0.71","0.68","117.49K","1.43%"
"Feb 27, 2020","0.70","0.70","0.70","0.68","17.20K","0.00%"
"Feb 26, 2020","0.70","0.70","0.70","0.70","2.77K","1.45%"
"Feb 25, 2020","0.69","0.70","0.71","0.68","31.19K","-1.43%"
"Feb 24, 2020","0.70","0.72","0.72","0.70","13.21K","-2.78%"
"Feb 21, 2020","0.72","0.72","0.72","0.70","6.93K","0.00%"
"Feb 20, 2020","0.72","0.71","0.73","0.71","31.74K","1.41%"
"Feb 19, 2020","0.71","0.69","0.71","0.68","87.46K","1.43%"
"Feb 18, 2020","0.70","0.72","0.74","0.70","171.71K","-1.41%"
"Feb 17, 2020","0.71","0.71","0.73","0.69","101.09K","-1.39%"
"Feb 14, 2020","0.72","0.70","0.72","0.69","207.94K","5.88%"
"Feb 13, 2020","0.68","0.66","0.68","0.65","60.80K","4.62%"
"Feb 12, 2020","0.65","0.64","0.65","0.64","86.31K","3.17%"
"Feb 11, 2020","0.63","0.63","0.64","0.63","34.38K","-1.56%"
"Feb 10, 2020","0.64","0.64","0.65","0.62","66.47K","1.59%"
"Feb 07, 2020","0.63","0.61","0.63","0.61","81.76K","5.00%"
