"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 30, 2020","0.22","0.22","0.22","0.22","1.11K","0.00%"
"Apr 29, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 28, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 23, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 22, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 21, 2020","0.22","0.22","0.22","0.22","7.73K","0.00%"
"Apr 17, 2020","0.22","0.22","0.22","0.22","0.92K","0.00%"
"Apr 16, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 15, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 14, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 13, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 08, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 07, 2020","0.22","0.22","0.22","0.22","1.01K","0.00%"
"Apr 06, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Apr 03, 2020","0.22","0.22","0.22","0.22","1.02K","0.00%"
"Apr 02, 2020","0.22","0.22","0.22","0.22","4.90K","0.00%"
"Apr 01, 2020","0.22","0.22","0.22","0.22","0.41K","0.00%"
"Mar 31, 2020","0.22","0.22","0.22","0.22","0.01K","0.00%"
"Mar 30, 2020","0.22","0.22","0.22","0.22","0.15K","0.00%"
"Mar 27, 2020","0.22","0.22","0.22","0.22","0.50K","0.00%"
"Mar 26, 2020","0.22","0.22","0.22","0.22","0.70K","0.00%"
"Mar 25, 2020","0.22","0.22","0.22","0.22","3.62K","0.00%"
"Mar 24, 2020","0.22","0.22","0.22","0.22","46.46K","0.00%"
"Mar 23, 2020","0.22","0.22","0.22","0.22","1.00K","0.00%"
"Mar 19, 2020","0.22","0.22","0.22","0.22","13.54K","-4.35%"
"Mar 13, 2020","0.23","0.24","0.24","0.23","0.01K","-4.17%"
"Mar 12, 2020","0.24","0.24","0.24","0.24","0.01K","0.00%"
"Mar 11, 2020","0.24","0.23","0.24","0.23","5.19K","0.00%"
"Mar 10, 2020","0.24","0.23","0.24","0.23","16.00K","0.00%"
"Mar 09, 2020","0.24","0.26","0.26","0.24","10.23K","-4.00%"
"Mar 06, 2020","0.25","0.25","0.25","0.25","1.50K","-3.85%"
"Mar 05, 2020","0.26","0.26","0.26","0.25","8.82K","0.00%"
"Mar 04, 2020","0.26","0.25","0.26","0.25","61.80K","4.00%"
"Mar 02, 2020","0.25","0.24","0.25","0.24","19.51K","4.17%"
"Feb 28, 2020","0.24","0.23","0.24","0.23","5.00K","0.00%"
"Feb 27, 2020","0.24","0.23","0.24","0.23","19.37K","0.00%"
"Feb 26, 2020","0.24","0.24","0.24","0.24","1.13K","0.00%"
"Feb 24, 2020","0.24","0.23","0.24","0.23","4.75K","0.00%"
"Feb 21, 2020","0.24","0.24","0.24","0.23","75.31K","0.00%"
"Feb 20, 2020","0.24","0.23","0.24","0.23","0.15K","0.00%"
"Feb 19, 2020","0.24","0.24","0.24","0.23","12.53K","0.00%"
"Feb 18, 2020","0.24","0.23","0.24","0.23","2.63K","0.00%"
"Feb 17, 2020","0.24","0.24","0.24","0.23","10.54K","0.00%"
"Feb 14, 2020","0.24","0.24","0.24","0.24","0.02K","0.00%"
"Feb 13, 2020","0.24","0.24","0.24","0.23","14.05K","0.00%"
"Feb 12, 2020","0.24","0.23","0.24","0.23","15.68K","0.00%"
"Feb 11, 2020","0.24","0.24","0.24","0.24","1.00K","0.00%"
"Feb 10, 2020","0.24","0.24","0.25","0.24","12.90K","-4.00%"
"Feb 07, 2020","0.25","0.25","0.25","0.24","12.03K","0.00%"
"Feb 06, 2020","0.25","0.25","0.25","0.25","0.00K","0.00%"
"Feb 05, 2020","0.25","0.25","0.25","0.25","0.00K","4.17%"
"Feb 04, 2020","0.24","0.25","0.25","0.24","2.21K","0.00%"
"Feb 03, 2020","0.24","0.25","0.25","0.24","22.72K","-4.00%"
"Jan 31, 2020","0.25","0.25","0.25","0.25","3.77K","0.00%"
"Jan 30, 2020","0.25","0.25","0.25","0.24","44.02K","0.00%"
"Jan 29, 2020","0.25","0.25","0.25","0.24","32.75K","0.00%"
"Jan 28, 2020","0.25","0.26","0.26","0.24","111.36K","0.00%"
"Jan 27, 2020","0.25","0.25","0.25","0.25","120.94K","4.17%"
"Jan 24, 2020","0.24","0.23","0.24","0.23","41.10K","0.00%"
"Jan 23, 2020","0.24","0.22","0.24","0.22","2.82K","4.35%"
"Jan 22, 2020","0.23","0.23","0.23","0.23","11.83K","0.00%"
"Jan 21, 2020","0.23","0.23","0.23","0.23","0.63K","0.00%"
"Jan 20, 2020","0.23","0.23","0.23","0.23","16.77K","0.00%"
"Jan 17, 2020","0.23","0.23","0.23","0.22","10.36K","0.00%"
"Jan 16, 2020","0.23","0.24","0.24","0.23","9.94K","-4.17%"
"Jan 15, 2020","0.24","0.24","0.24","0.24","0.07K","0.00%"
"Jan 13, 2020","0.24","0.25","0.25","0.23","2.01K","0.00%"
"Jan 10, 2020","0.24","0.24","0.24","0.24","0.11K","4.35%"
"Jan 09, 2020","0.23","0.23","0.25","0.23","8.15K","-4.17%"
"Jan 08, 2020","0.24","0.25","0.25","0.23","17.50K","0.00%"
"Jan 07, 2020","0.24","0.24","0.24","0.23","11.18K","0.00%"
"Jan 06, 2020","0.24","0.24","0.25","0.23","11.47K","0.00%"
"Jan 03, 2020","0.24","0.24","0.24","0.24","2.38K","0.00%"
"Jan 02, 2020","0.24","0.24","0.25","0.24","4.93K","-4.00%"
"Dec 31, 2019","0.25","0.25","0.25","0.25","0.01K","0.00%"
"Dec 30, 2019","0.25","0.25","0.25","0.25","1.05K","0.00%"
"Dec 27, 2019","0.25","0.25","0.26","0.25","0.80K","-3.85%"
"Dec 26, 2019","0.26","0.26","0.26","0.26","3.76K","0.00%"
"Dec 25, 2019","0.26","0.26","0.26","0.26","4.01K","0.00%"
"Dec 24, 2019","0.26","0.26","0.26","0.26","0.01K","0.00%"
"Dec 23, 2019","0.26","0.26","0.26","0.26","0.10K","0.00%"
"Dec 20, 2019","0.26","0.25","0.26","0.25","2.37K","4.00%"
"Dec 19, 2019","0.25","0.24","0.25","0.24","16.55K","4.17%"
"Dec 18, 2019","0.24","0.24","0.24","0.23","18.24K","0.00%"
"Dec 17, 2019","0.24","0.24","0.24","0.24","0.73K","0.00%"
"Dec 16, 2019","0.24","0.24","0.24","0.24","0.27K","0.00%"
"Dec 13, 2019","0.24","0.24","0.25","0.23","31.33K","0.00%"
"Dec 12, 2019","0.24","0.24","0.25","0.24","81.72K","-4.00%"
"Dec 11, 2019","0.25","0.25","0.25","0.25","0.30K","-3.85%"
"Dec 06, 2019","0.26","0.25","0.26","0.25","2.00K","0.00%"
"Dec 05, 2019","0.26","0.27","0.27","0.25","28.06K","0.00%"
"Dec 04, 2019","0.26","0.26","0.26","0.26","299.44K","-3.70%"
"Dec 02, 2019","0.27","0.27","0.27","0.27","0.00K","3.85%"
"Nov 29, 2019","0.26","0.26","0.26","0.26","10.23K","0.00%"
"Nov 28, 2019","0.26","0.26","0.26","0.26","13.94K","0.00%"
"Nov 27, 2019","0.26","0.26","0.26","0.26","0.03K","0.00%"
"Nov 26, 2019","0.26","0.26","0.26","0.26","0.00K","4.00%"
"Nov 25, 2019","0.25","0.26","0.26","0.25","25.50K","0.00%"
