"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2020","5.20","5.20","5.20","5.20","0.21K","4.42%"
"Mar 04, 2020","4.98","4.84","4.98","4.84","0.05K","5.96%"
"Mar 03, 2020","4.70","4.61","4.70","4.61","0.06K","4.91%"
"Mar 02, 2020","4.48","4.48","4.48","4.48","0.00K","5.91%"
"Feb 28, 2020","4.23","4.23","4.23","4.23","0.03K","0.24%"
"Feb 27, 2020","4.22","4.22","4.22","4.22","0.02K","2.93%"
"Feb 24, 2020","4.10","4.10","4.10","4.10","0.46K","-0.97%"
"Feb 19, 2020","4.14","4.14","4.14","4.14","0.20K","0.00%"
"Feb 14, 2020","4.14","4.14","4.14","4.14","0.55K","2.99%"
"Feb 13, 2020","4.02","4.05","4.05","4.02","3.92K","0.00%"
"Feb 10, 2020","4.02","4.02","4.02","4.02","0.01K","0.00%"
"Feb 07, 2020","4.02","4.10","4.10","4.02","0.38K","-1.95%"
"Feb 05, 2020","4.10","4.10","4.10","4.10","0.40K","-0.24%"
"Feb 04, 2020","4.11","4.11","4.11","4.11","0.33K","0.24%"
"Jan 31, 2020","4.10","4.09","4.10","4.09","0.87K","-0.24%"
"Jan 28, 2020","4.11","4.11","4.11","4.11","0.04K","-2.84%"
"Jan 23, 2020","4.23","4.36","4.36","4.23","1.04K","-2.98%"
"Jan 22, 2020","4.36","4.36","4.36","4.36","0.05K","-4.39%"
"Jan 21, 2020","4.56","4.56","4.56","4.56","0.05K","-2.98%"
"Jan 20, 2020","4.70","4.70","4.70","4.70","0.04K","-2.08%"
"Jan 17, 2020","4.80","4.80","4.80","4.80","0.05K","-2.04%"
"Jan 16, 2020","4.90","4.90","4.90","4.90","0.10K","0.00%"
"Jan 15, 2020","4.90","4.90","4.90","4.90","0.15K","-2.00%"
"Jan 06, 2020","5.00","5.00","5.00","5.00","0.13K","-0.60%"
"Dec 30, 2019","5.03","5.03","5.03","5.03","0.07K","0.00%"
"Dec 25, 2019","5.03","4.91","5.03","4.91","0.31K","2.65%"
"Dec 23, 2019","4.90","4.90","4.90","4.90","0.01K","-2.58%"
"Nov 13, 2019","5.03","5.03","5.03","5.03","0.32K","-2.90%"
"Nov 05, 2019","5.18","5.18","5.18","5.18","0.01K","-3.00%"
"Oct 29, 2019","5.34","5.34","5.34","5.34","0.00K","0.00%"
"Oct 28, 2019","5.34","5.34","5.34","5.34","0.02K","-2.91%"
"Oct 23, 2019","5.50","5.50","5.50","5.50","0.25K","-1.61%"
"Sep 27, 2019","5.59","5.59","5.59","5.59","0.00K","2.76%"
"Sep 19, 2019","5.44","5.44","5.44","5.44","0.04K","-0.18%"
"Sep 18, 2019","5.45","5.45","5.45","5.45","0.01K","-0.91%"
"Sep 11, 2019","5.50","5.67","5.67","5.50","0.08K","-1.79%"
"Sep 10, 2019","5.60","5.60","5.60","5.60","0.10K","1.82%"
"Sep 03, 2019","5.50","5.50","5.50","5.50","0.55K","-0.18%"
"Aug 29, 2019","5.51","5.51","5.51","5.51","0.40K","-4.34%"
"Aug 19, 2019","5.76","5.76","5.76","5.76","0.02K","-2.87%"
"Jul 26, 2019","5.93","5.93","5.93","5.93","0.50K","-0.17%"
"Jul 24, 2019","5.94","5.94","5.94","5.94","0.00K","2.95%"
"Jul 23, 2019","5.77","5.77","5.77","5.77","0.01K","2.85%"
"Jul 22, 2019","5.61","5.61","5.61","5.61","0.00K","2.94%"
"Jul 16, 2019","5.45","5.45","5.45","5.45","0.20K","-2.85%"
"Jul 12, 2019","5.61","5.61","5.61","5.61","0.00K","2.94%"
"Jul 09, 2019","5.45","5.61","5.61","5.45","0.05K","0.00%"
"Jul 08, 2019","5.45","5.45","5.45","5.45","0.00K","-6.03%"
"Jul 04, 2019","5.80","5.80","5.80","5.80","0.10K","0.00%"
"Jul 03, 2019","5.80","5.80","5.80","5.80","1.07K","0.00%"
"Jul 02, 2019","5.80","5.80","5.80","5.80","0.50K","0.00%"
"Jul 01, 2019","5.80","5.80","5.80","5.80","0.85K","0.00%"
"Jun 28, 2019","5.80","5.80","5.80","5.80","6.99K","0.00%"
"Jun 27, 2019","5.80","5.80","5.80","5.80","0.10K","0.00%"
"Jun 26, 2019","5.80","5.80","5.80","5.80","0.60K","0.00%"
"Jun 25, 2019","5.80","5.80","5.80","5.80","1.32K","0.00%"
"Jun 24, 2019","5.80","5.80","5.80","5.80","0.01K","0.00%"
"Jun 21, 2019","5.80","5.80","5.80","5.80","5.28K","0.00%"
"Jun 14, 2019","5.80","5.80","5.80","5.80","2.99K","0.00%"
"Jun 11, 2019","5.80","5.80","5.80","5.80","1.10K","0.00%"
"Jun 10, 2019","5.80","5.80","5.80","5.80","0.50K","1.75%"
"May 31, 2019","5.70","5.70","5.70","5.70","0.07K","-0.18%"
"May 28, 2019","5.71","5.71","5.71","5.71","1.00K","0.00%"
"May 27, 2019","5.71","5.70","5.71","5.70","2.10K","-2.39%"
"May 24, 2019","5.85","5.85","5.85","5.85","0.50K","-0.17%"
"May 23, 2019","5.86","5.86","5.86","5.86","1.50K","-2.33%"
"May 20, 2019","6.00","6.00","6.00","6.00","0.00K","2.56%"
"May 17, 2019","5.85","5.85","5.85","5.85","0.93K","0.00%"
"May 16, 2019","5.85","5.85","5.85","5.85","0.25K","-2.50%"
"Apr 26, 2019","6.00","6.00","6.00","6.00","0.08K","0.17%"
"Apr 24, 2019","5.99","5.99","5.99","5.99","0.00K","2.92%"
"Apr 23, 2019","5.82","5.82","5.82","5.82","0.00K","2.83%"
"Apr 22, 2019","5.66","5.66","5.66","5.66","0.01K","2.91%"
"Apr 17, 2019","5.50","5.36","5.50","5.36","0.11K","0.00%"
"Apr 16, 2019","5.50","5.50","5.50","5.50","0.25K","0.00%"
"Apr 11, 2019","5.50","5.50","5.50","5.50","0.02K","0.00%"
"Apr 10, 2019","5.50","5.50","5.50","5.50","0.22K","0.00%"
"Apr 04, 2019","5.50","5.50","5.50","5.50","0.40K","0.00%"
"Apr 03, 2019","5.50","5.50","5.50","5.50","0.05K","3.00%"
