"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 27, 2020","8.90","8.80","8.90","8.80","0.19K","0.00%"
"Apr 24, 2020","8.90","8.90","8.90","8.90","0.04K","-1.11%"
"Apr 23, 2020","9.00","9.00","9.00","9.00","0.03K","-0.77%"
"Apr 22, 2020","9.07","9.07","9.07","9.07","0.27K","-2.99%"
"Apr 21, 2020","9.35","9.35","9.35","9.35","0.35K","0.00%"
"Apr 20, 2020","9.35","9.35","9.35","9.35","0.05K","-0.64%"
"Apr 14, 2020","9.41","9.45","9.45","9.41","0.11K","-2.99%"
"Apr 07, 2020","9.70","9.70","9.70","9.70","0.20K","0.00%"
"Apr 01, 2020","9.70","9.70","9.70","9.70","0.01K","0.00%"
"Mar 31, 2020","9.70","9.70","9.70","9.70","0.03K","-1.02%"
"Mar 26, 2020","9.80","9.80","9.80","9.80","0.01K","-1.90%"
"Mar 23, 2020","9.99","9.99","9.99","9.99","0.02K","0.00%"
"Mar 18, 2020","9.99","9.99","9.99","9.99","0.01K","-5.75%"
"Mar 04, 2020","10.60","10.60","10.60","10.60","0.10K","-0.93%"
"Mar 02, 2020","10.70","10.70","10.70","10.70","0.05K","0.00%"
"Feb 28, 2020","10.70","10.80","10.80","10.70","0.30K","-1.02%"
"Feb 24, 2020","10.81","10.81","10.81","10.81","0.11K","-0.83%"
"Feb 21, 2020","10.90","10.91","10.91","10.90","0.22K","0.00%"
"Feb 11, 2020","10.90","11.00","11.00","10.90","0.36K","0.00%"
"Feb 05, 2020","10.90","10.90","10.90","10.90","0.03K","-0.91%"
"Feb 03, 2020","11.00","11.00","11.00","10.92","0.34K","0.00%"
"Jan 30, 2020","11.00","11.20","11.20","11.00","0.23K","-2.14%"
"Jan 29, 2020","11.24","11.26","11.26","11.24","0.08K","-2.94%"
"Jan 27, 2020","11.58","11.58","11.58","11.58","1.53K","-0.09%"
"Jan 24, 2020","11.59","11.26","11.59","11.26","0.10K","0.35%"
"Jan 17, 2020","11.55","11.55","11.55","11.55","0.06K","-2.04%"
"Jan 16, 2020","11.79","11.79","11.79","11.79","0.01K","-0.92%"
"Jan 15, 2020","11.90","11.90","11.90","11.90","0.01K","2.67%"
"Jan 13, 2020","11.59","11.60","11.60","11.59","0.14K","0.00%"
"Jan 10, 2020","11.59","11.59","11.59","11.59","0.04K","-2.93%"
"Jan 09, 2020","11.94","11.94","11.94","11.94","0.00K","-4.48%"
"Dec 30, 2019","12.50","12.82","12.90","11.95","0.10K","2.88%"
"Dec 27, 2019","12.15","11.85","12.15","11.85","0.02K","0.00%"
"Dec 25, 2019","12.15","11.59","12.15","11.58","0.08K","2.97%"
"Dec 24, 2019","11.80","11.66","11.95","11.66","2.03K","1.20%"
"Dec 23, 2019","11.66","11.60","11.66","11.26","0.25K","0.00%"
"Dec 20, 2019","11.66","11.24","11.66","11.01","0.60K","6.00%"
"Dec 19, 2019","11.00","10.70","11.00","10.70","1.35K","2.90%"
"Dec 18, 2019","10.69","10.69","10.69","10.69","0.02K","0.00%"
"Dec 17, 2019","10.69","10.69","10.69","10.69","0.02K","2.89%"
"Dec 16, 2019","10.39","10.69","10.69","10.39","0.18K","-2.99%"
"Dec 13, 2019","10.71","10.71","10.71","10.71","0.02K","-0.83%"
"Dec 12, 2019","10.80","10.88","10.88","10.38","2.18K","0.93%"
"Dec 10, 2019","10.70","10.70","10.70","10.70","0.05K","-1.74%"
"Dec 09, 2019","10.89","10.88","10.89","10.88","0.09K","3.71%"
"Dec 04, 2019","10.50","10.50","10.50","10.50","0.23K","0.00%"
"Dec 03, 2019","10.50","10.50","10.50","10.50","0.01K","0.00%"
"Dec 02, 2019","10.50","10.89","10.90","10.50","0.02K","-1.04%"
"Nov 28, 2019","10.61","10.60","10.61","10.60","0.04K","0.09%"
"Nov 27, 2019","10.60","10.55","10.60","10.55","0.10K","0.47%"
"Nov 26, 2019","10.55","10.40","10.55","10.40","0.04K","1.44%"
"Nov 20, 2019","10.40","10.40","10.40","10.40","0.05K","0.00%"
"Nov 15, 2019","10.40","10.40","10.40","10.40","0.03K","-1.70%"
"Nov 14, 2019","10.58","10.58","10.58","10.58","0.03K","0.00%"
"Nov 13, 2019","10.58","10.58","10.58","10.58","0.10K","-0.28%"
"Nov 12, 2019","10.61","10.61","10.61","10.61","0.11K","0.00%"
"Nov 11, 2019","10.61","10.61","10.61","10.61","0.12K","0.00%"
"Nov 08, 2019","10.61","10.61","10.61","10.61","0.30K","-2.66%"
"Nov 05, 2019","10.90","10.90","10.90","10.90","0.03K","0.00%"
"Nov 04, 2019","10.90","10.90","10.90","10.90","0.02K","-0.91%"
"Oct 31, 2019","11.00","10.72","11.00","10.72","0.01K","2.61%"
"Oct 30, 2019","10.72","10.73","10.73","10.72","0.04K","-2.46%"
"Oct 25, 2019","10.99","11.00","11.00","10.73","0.03K","2.52%"
"Oct 22, 2019","10.72","10.73","10.73","10.72","1.65K","-2.99%"
"Oct 21, 2019","11.05","11.39","11.39","11.05","4.21K","-2.99%"
"Oct 18, 2019","11.39","11.39","11.39","11.39","0.01K","-2.98%"
"Oct 17, 2019","11.74","11.74","11.74","11.74","0.06K","-2.98%"
