"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","5.90","5.98","5.98","5.82","0.73K","-1.34%"
"May 04, 2020","5.98","6.09","6.09","5.82","10.56K","-0.17%"
"Apr 30, 2020","5.99","6.09","6.09","5.99","0.30K","-1.64%"
"Apr 29, 2020","6.09","6.18","6.18","5.82","2.39K","1.50%"
"Apr 28, 2020","6.00","6.02","6.28","5.92","7.52K","-1.64%"
"Apr 27, 2020","6.10","6.18","6.18","6.02","0.65K","-1.29%"
"Apr 24, 2020","6.18","6.30","6.30","6.11","12.12K","-0.32%"
"Apr 23, 2020","6.20","6.28","6.28","6.12","1.50K","-1.12%"
"Apr 22, 2020","6.27","6.29","6.30","6.12","2.12K","-0.32%"
"Apr 21, 2020","6.29","6.40","6.40","6.11","4.60K","0.16%"
"Apr 20, 2020","6.28","6.27","6.30","6.20","2.57K","0.16%"
"Apr 17, 2020","6.27","6.29","6.29","6.20","3.43K","-0.32%"
"Apr 16, 2020","6.29","6.30","6.30","6.12","4.42K","-0.16%"
"Apr 15, 2020","6.30","6.40","6.40","6.30","1.01K","-2.63%"
"Apr 14, 2020","6.47","6.29","6.47","6.15","3.36K","2.70%"
"Apr 13, 2020","6.30","6.58","6.58","6.21","1.44K","-1.56%"
"Apr 08, 2020","6.40","6.23","6.45","6.23","4.53K","0.79%"
"Apr 07, 2020","6.35","6.30","6.58","6.30","1.53K","-0.94%"
"Apr 06, 2020","6.41","6.77","6.79","6.41","10.71K","-2.88%"
"Apr 03, 2020","6.60","6.98","6.98","6.60","3.95K","-2.94%"
"Apr 02, 2020","6.80","7.05","7.05","6.79","4.27K","-2.86%"
"Apr 01, 2020","7.00","7.05","7.05","6.95","0.30K","0.29%"
"Mar 31, 2020","6.98","7.10","7.10","6.92","3.47K","-0.14%"
"Mar 30, 2020","6.99","7.07","7.15","6.78","2.00K","0.14%"
"Mar 27, 2020","6.98","7.00","7.20","6.85","3.14K","-0.29%"
"Mar 26, 2020","7.00","7.27","7.27","6.87","1.23K","-0.99%"
"Mar 25, 2020","7.07","7.27","7.27","6.89","1.73K","-0.14%"
"Mar 24, 2020","7.08","6.75","7.14","6.75","17.15K","1.87%"
"Mar 23, 2020","6.95","6.79","6.98","6.79","2.90K","-0.57%"
"Mar 19, 2020","6.99","7.06","7.06","6.70","6.75K","1.90%"
"Mar 18, 2020","6.86","6.68","6.87","6.68","3.49K","-0.29%"
"Mar 17, 2020","6.88","6.88","7.33","6.88","2.17K","-4.44%"
"Mar 16, 2020","7.20","7.30","7.30","7.18","5.93K","-2.70%"
