"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2020","8.75","8.50","8.75","8.50","0.03K","2.94%"
"Apr 23, 2020","8.50","8.99","8.99","8.50","0.55K","-2.63%"
"Apr 22, 2020","8.73","8.98","8.98","8.73","0.46K","-3.00%"
"Apr 21, 2020","9.00","9.00","9.00","9.00","35.14K","0.00%"
"Apr 16, 2020","9.00","8.95","9.22","8.95","61.95K","-5.26%"
"Apr 14, 2020","9.50","9.50","9.50","9.50","0.00K","2.48%"
"Apr 08, 2020","9.27","9.27","9.27","9.27","0.00K","3.00%"
"Apr 07, 2020","9.00","9.00","9.00","9.00","0.00K","2.86%"
"Apr 06, 2020","8.75","8.73","9.27","8.73","0.07K","0.11%"
"Apr 01, 2020","8.74","8.73","9.00","8.73","2.09K","-2.89%"
"Mar 31, 2020","9.00","9.53","9.53","9.00","0.02K","-2.81%"
"Mar 30, 2020","9.26","9.26","9.82","9.26","4.01K","-2.94%"
"Mar 27, 2020","9.54","10.12","10.12","9.54","0.70K","-2.95%"
"Mar 26, 2020","9.83","9.83","9.83","9.55","0.17K","2.93%"
"Mar 25, 2020","9.55","9.01","9.55","9.01","0.11K","2.91%"
"Mar 24, 2020","9.28","9.28","9.28","9.28","0.00K","3.00%"
"Mar 19, 2020","9.01","9.01","9.01","9.01","0.09K","-2.91%"
"Mar 18, 2020","9.28","9.01","9.28","9.01","0.32K","0.00%"
"Mar 17, 2020","9.28","9.28","9.28","9.28","1.06K","-5.79%"
"Mar 16, 2020","9.85","9.85","9.85","9.85","0.05K","-2.76%"
"Mar 13, 2020","10.13","10.13","10.13","10.13","0.03K","-2.97%"
"Mar 06, 2020","10.44","10.44","10.44","10.44","0.00K","-1.42%"
"Mar 03, 2020","10.59","10.15","10.59","10.15","0.10K","-0.19%"
"Mar 02, 2020","10.61","10.47","10.61","10.47","0.12K","1.34%"
"Feb 28, 2020","10.47","10.17","10.47","10.17","0.08K","-0.10%"
"Feb 26, 2020","10.48","10.48","10.48","10.48","0.00K","1.75%"
"Feb 25, 2020","10.30","10.00","10.30","9.70","3.46K","3.00%"
"Feb 24, 2020","10.00","10.15","10.15","10.00","2.46K","-1.96%"
"Feb 21, 2020","10.20","10.69","10.69","10.19","0.24K","-2.86%"
"Feb 20, 2020","10.50","10.50","10.50","10.50","0.25K","-1.78%"
"Feb 17, 2020","10.69","10.48","10.69","10.48","0.16K","-0.09%"
"Feb 14, 2020","10.70","10.58","10.70","10.48","0.17K","0.38%"
"Feb 13, 2020","10.66","10.67","10.67","10.66","0.14K","-2.91%"
"Feb 12, 2020","10.98","10.59","11.20","10.59","9.62K","0.64%"
"Feb 11, 2020","10.91","10.91","10.91","10.91","0.19K","-2.94%"
"Feb 10, 2020","11.24","11.24","11.24","11.24","0.01K","-0.27%"
"Feb 07, 2020","11.27","11.27","11.27","11.00","0.22K","0.00%"
"Feb 06, 2020","11.27","11.27","11.27","11.27","0.00K","2.45%"
"Feb 05, 2020","11.00","11.40","11.40","10.81","0.36K","-3.51%"
"Feb 04, 2020","11.40","11.40","11.40","11.40","0.20K","-0.70%"
"Feb 03, 2020","11.48","11.39","11.70","11.05","1.21K","-0.09%"
"Jan 31, 2020","11.49","11.09","11.58","11.09","24.83K","3.98%"
"Jan 30, 2020","11.05","10.73","11.05","10.73","14.74K","2.98%"
"Jan 29, 2020","10.73","10.30","10.76","10.30","6.59K","4.17%"
"Jan 28, 2020","10.30","9.72","10.30","9.72","19.22K","6.08%"
"Jan 27, 2020","9.71","9.30","9.71","9.30","2.46K","5.66%"
"Jan 24, 2020","9.19","8.65","9.19","8.65","1.31K","4.43%"
"Jan 23, 2020","8.80","8.70","8.80","8.70","0.10K","2.09%"
"Jan 22, 2020","8.62","8.41","8.62","8.41","3.73K","2.25%"
"Jan 21, 2020","8.43","8.30","8.43","8.30","1.37K","1.57%"
"Jan 20, 2020","8.30","8.00","8.30","8.00","0.37K","3.75%"
"Jan 16, 2020","8.00","8.01","8.01","8.00","0.09K","0.00%"
"Jan 15, 2020","8.00","8.00","8.00","8.00","0.50K","-3.50%"
"Jan 10, 2020","8.29","8.09","8.29","8.09","2.42K","-0.60%"
"Jan 08, 2020","8.34","8.19","8.34","8.18","0.03K","-1.07%"
"Jan 07, 2020","8.43","8.43","8.43","8.43","0.00K","-2.99%"
"Jan 06, 2020","8.69","8.40","8.69","8.40","0.02K","5.85%"
"Jan 03, 2020","8.21","8.40","8.65","8.21","1.46K","-2.26%"
"Jan 02, 2020","8.40","8.40","8.40","8.40","0.00K","0.00%"
"Dec 31, 2019","8.40","8.40","8.40","8.40","0.03K","0.48%"
"Dec 30, 2019","8.36","8.18","8.37","8.18","4.05K","2.20%"
"Dec 27, 2019","8.18","8.20","8.20","8.18","0.56K","-2.97%"
"Dec 26, 2019","8.43","8.43","8.43","8.20","0.67K","-0.24%"
"Dec 25, 2019","8.45","8.70","8.79","8.45","0.55K","-2.87%"
"Dec 23, 2019","8.70","8.54","8.70","8.53","0.12K","-1.02%"
"Dec 20, 2019","8.79","8.54","8.79","8.54","0.03K","0.23%"
"Dec 19, 2019","8.77","8.55","8.77","8.55","0.05K","-0.11%"
"Dec 18, 2019","8.78","8.80","8.80","8.54","1.02K","-0.23%"
"Dec 17, 2019","8.80","8.90","8.90","8.54","5.22K","0.00%"
"Dec 16, 2019","8.80","8.55","8.80","8.55","0.54K","2.92%"
"Dec 13, 2019","8.55","8.40","8.55","8.37","4.93K","2.15%"
"Dec 12, 2019","8.37","8.25","8.39","8.00","29.49K","1.58%"
