"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","3.59","3.59","3.59","3.48","0.75K","0.28%"
"May 04, 2020","3.58","3.59","3.59","3.49","1.29K","-0.28%"
"Apr 30, 2020","3.59","3.70","3.70","3.59","0.95K","-1.10%"
"Apr 29, 2020","3.63","3.65","3.65","3.45","1.04K","1.68%"
"Apr 28, 2020","3.57","3.71","3.71","3.57","4.48K","-2.19%"
"Apr 27, 2020","3.65","3.72","3.72","3.61","0.16K","-1.88%"
"Apr 24, 2020","3.72","3.74","3.74","3.56","1.03K","1.92%"
"Apr 23, 2020","3.65","3.58","3.75","3.55","1.93K","0.00%"
"Apr 22, 2020","3.65","3.65","3.66","3.65","1.81K","-0.27%"
"Apr 21, 2020","3.66","3.70","3.72","3.66","3.61K","-2.92%"
"Apr 20, 2020","3.77","3.78","3.78","3.67","3.50K","-0.26%"
"Apr 17, 2020","3.78","3.78","3.78","3.58","4.10K","2.44%"
"Apr 16, 2020","3.69","3.71","3.88","3.69","8.15K","-2.89%"
"Apr 15, 2020","3.80","3.70","3.86","3.70","2.70K","1.33%"
"Apr 14, 2020","3.75","3.75","3.75","3.70","2.30K","-0.79%"
"Apr 13, 2020","3.78","3.89","3.89","3.78","0.80K","-2.83%"
"Apr 08, 2020","3.89","3.89","3.89","3.89","0.50K","1.04%"
"Apr 07, 2020","3.85","3.90","3.90","3.72","3.64K","0.52%"
"Apr 06, 2020","3.83","3.61","3.83","3.61","3.18K","2.96%"
"Apr 03, 2020","3.72","3.90","3.92","3.72","1.95K","-2.87%"
"Apr 02, 2020","3.83","3.90","3.90","3.83","2.15K","-2.79%"
"Apr 01, 2020","3.94","3.96","3.96","3.94","0.12K","-0.51%"
"Mar 31, 2020","3.96","3.90","3.98","3.79","3.66K","1.54%"
"Mar 30, 2020","3.90","3.91","3.91","3.69","1.11K","2.63%"
"Mar 27, 2020","3.80","3.90","3.90","3.70","3.50K","0.26%"
"Mar 26, 2020","3.79","3.80","3.80","3.61","1.34K","2.71%"
"Mar 25, 2020","3.69","3.73","3.73","3.56","0.17K","0.82%"
"Mar 24, 2020","3.66","3.46","3.66","3.46","11.50K","2.81%"
"Mar 23, 2020","3.56","3.56","3.56","3.56","0.14K","-3.00%"
"Mar 19, 2020","3.67","3.70","3.70","3.50","10.34K","1.94%"
"Mar 18, 2020","3.60","3.57","3.79","3.57","16.96K","-2.17%"
"Mar 17, 2020","3.68","3.71","3.71","3.68","1.63K","-4.42%"
"Mar 16, 2020","3.85","3.96","3.96","3.85","33.20K","-5.64%"
"Mar 13, 2020","4.08","4.32","4.32","4.08","6.68K","-5.99%"
"Mar 12, 2020","4.34","4.35","4.39","4.26","3.75K","1.64%"
"Mar 11, 2020","4.27","4.36","4.39","4.27","4.39K","-2.73%"
"Mar 10, 2020","4.39","4.20","4.39","4.20","1.98K","0.00%"
"Mar 09, 2020","4.39","4.39","4.39","4.39","0.53K","0.00%"
"Mar 06, 2020","4.39","4.39","4.39","4.26","4.73K","2.09%"
"Mar 05, 2020","4.30","4.34","4.34","4.30","4.67K","-0.92%"
"Mar 04, 2020","4.34","4.35","4.35","4.34","5.22K","-1.36%"
"Mar 03, 2020","4.40","4.42","4.42","4.40","2.54K","-1.57%"
"Mar 02, 2020","4.47","4.41","4.50","4.40","13.17K","-0.22%"
"Feb 28, 2020","4.48","4.50","4.53","4.45","5.75K","0.00%"
"Feb 27, 2020","4.48","4.40","4.48","4.33","4.32K","1.82%"
"Feb 26, 2020","4.40","4.40","4.40","4.38","5.72K","-2.22%"
"Feb 25, 2020","4.50","4.50","4.50","4.50","0.21K","0.00%"
"Feb 24, 2020","4.50","4.50","4.50","4.40","5.09K","0.22%"
"Feb 21, 2020","4.49","4.49","4.50","4.40","6.25K","-0.22%"
"Feb 20, 2020","4.50","4.49","4.50","4.42","2.62K","0.00%"
"Feb 19, 2020","4.50","4.50","4.50","4.42","8.29K","0.45%"
"Feb 18, 2020","4.48","4.50","4.50","4.48","5.18K","-0.44%"
"Feb 17, 2020","4.50","4.48","4.50","4.48","1.82K","0.45%"
"Feb 14, 2020","4.48","4.50","4.50","4.45","7.58K","-0.44%"
"Feb 13, 2020","4.50","4.50","4.50","4.49","3.91K","0.00%"
"Feb 12, 2020","4.50","4.50","4.50","4.50","0.50K","0.00%"
"Feb 11, 2020","4.50","4.45","4.50","4.45","2.82K","1.12%"
"Feb 10, 2020","4.45","4.37","4.45","4.37","4.95K","1.14%"
"Feb 07, 2020","4.40","4.40","4.52","4.40","5.33K","0.00%"
"Feb 06, 2020","4.40","4.55","4.55","4.40","12.34K","-2.22%"
"Feb 05, 2020","4.50","4.47","4.50","4.38","5.76K","2.97%"
"Feb 04, 2020","4.37","4.49","4.49","4.36","24.89K","-2.67%"
"Feb 03, 2020","4.49","4.50","4.50","4.48","10.78K","-0.22%"
"Jan 31, 2020","4.50","4.50","4.50","4.47","3.02K","0.45%"
"Jan 30, 2020","4.48","4.58","4.58","4.47","2.76K","-0.44%"
"Jan 29, 2020","4.50","4.58","4.58","4.50","38.53K","-1.75%"
"Jan 28, 2020","4.58","4.52","4.59","4.50","2.53K","-0.43%"
"Jan 27, 2020","4.60","4.58","4.60","4.51","4.81K","0.44%"
"Jan 24, 2020","4.58","4.45","4.58","4.45","0.29K","0.66%"
"Jan 23, 2020","4.55","4.53","4.60","4.40","3.64K","1.11%"
"Jan 22, 2020","4.50","4.48","4.50","4.35","12.94K","-2.17%"
"Jan 21, 2020","4.60","4.61","4.62","4.50","3.41K","-0.43%"
"Jan 20, 2020","4.62","4.63","4.64","4.50","2.48K","4.05%"
"Jan 17, 2020","4.44","4.75","4.75","4.40","2.47K","-3.48%"
"Jan 16, 2020","4.60","4.60","4.60","4.59","3.66K","0.44%"
"Jan 15, 2020","4.58","4.45","4.58","4.33","4.90K","1.78%"
"Jan 13, 2020","4.50","4.50","4.50","4.49","2.20K","-0.22%"
"Jan 10, 2020","4.51","4.38","4.51","4.32","8.60K","1.58%"
"Jan 09, 2020","4.44","4.58","4.58","4.44","0.45K","-0.22%"
"Jan 08, 2020","4.45","4.45","4.48","4.40","28.37K","0.00%"
"Jan 07, 2020","4.45","4.65","4.70","4.43","6.82K","-2.84%"
"Jan 06, 2020","4.58","4.53","4.65","4.48","23.70K","1.10%"
"Jan 03, 2020","4.53","4.60","4.70","4.53","41.92K","-1.52%"
"Jan 02, 2020","4.60","4.74","4.88","4.60","3.13K","-2.95%"
"Dec 31, 2019","4.74","4.88","4.89","4.74","6.84K","-2.87%"
"Dec 30, 2019","4.88","4.77","4.90","4.64","23.50K","3.17%"
"Dec 27, 2019","4.73","4.73","4.80","4.59","24.42K","2.83%"
"Dec 26, 2019","4.60","4.68","4.68","4.60","63.26K","-1.71%"
"Dec 25, 2019","4.68","4.56","4.68","4.55","16.02K","2.86%"
"Dec 24, 2019","4.55","4.55","4.55","4.50","15.99K","1.11%"
"Dec 23, 2019","4.50","4.50","4.50","4.50","20.25K","0.00%"
"Dec 20, 2019","4.50","4.50","4.56","4.50","22.73K","0.00%"
"Dec 19, 2019","4.50","4.58","4.60","4.50","4.11K","-1.75%"
"Dec 18, 2019","4.58","4.58","4.58","4.58","1.52K","0.22%"
"Dec 17, 2019","4.57","4.54","4.60","4.54","7.43K","0.66%"
"Dec 16, 2019","4.54","4.54","4.55","4.50","6.62K","0.89%"
"Dec 13, 2019","4.50","4.50","4.55","4.50","4.54K","0.45%"
"Dec 12, 2019","4.48","4.48","4.48","4.48","0.62K","-0.44%"
"Dec 11, 2019","4.50","4.56","4.56","4.50","4.66K","0.00%"
"Dec 10, 2019","4.50","4.58","4.58","4.50","1.34K","-0.88%"
"Dec 09, 2019","4.54","4.59","4.59","4.54","1.18K","0.00%"
"Dec 06, 2019","4.54","4.60","4.60","4.50","3.23K","-1.09%"
"Dec 05, 2019","4.59","4.57","4.59","4.57","0.65K","0.66%"
"Dec 04, 2019","4.56","4.60","4.60","4.55","0.50K","0.22%"
"Dec 03, 2019","4.55","4.60","4.60","4.54","7.13K","-1.09%"
"Dec 02, 2019","4.60","4.70","4.82","4.60","8.75K","0.22%"
